Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2020-11-18-LEG18-Senato-sed-276	ParlaMint-IT_2020-11-18-LEG18-Senato-sed-276.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 276, Day (2020-11-18)	2020-11-18	Upper house	18 Legislatura	-	-	276 Seduta	-	COVID	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-11-18-LEG18-Senato-sed-276	ParlaMint-IT_2020-11-18-LEG18-Senato-sed-276.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 276, Day (2020-11-18)	2020-11-18	Upper house	18 Legislatura	-	-	276 Seduta	-	COVID	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-11-18-LEG18-Senato-sed-276	ParlaMint-IT_2020-11-18-LEG18-Senato-sed-276.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 276, Day (2020-11-18)	2020-11-18	Upper house	18 Legislatura	-	-	276 Seduta	-	COVID	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-11-18-LEG18-Senato-sed-276	ParlaMint-IT_2020-11-18-LEG18-Senato-sed-276.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 276, Day (2020-11-18)	2020-11-18	Upper house	18 Legislatura	-	-	276 Seduta	-	COVID	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	AirolaAlberto	Airola, Alberto	M	1970	
ParlaMint-IT-en_2020-11-18-LEG18-Senato-sed-276	ParlaMint-IT_2020-11-18-LEG18-Senato-sed-276.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 276, Day (2020-11-18)	2020-11-18	Upper house	18 Legislatura	-	-	276 Seduta	-	COVID	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-11-18-LEG18-Senato-sed-276	ParlaMint-IT_2020-11-18-LEG18-Senato-sed-276.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 276, Day (2020-11-18)	2020-11-18	Upper house	18 Legislatura	-	-	276 Seduta	-	COVID	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	AirolaAlberto	Airola, Alberto	M	1970	
ParlaMint-IT-en_2020-11-18-LEG18-Senato-sed-276	ParlaMint-IT_2020-11-18-LEG18-Senato-sed-276.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 276, Day (2020-11-18)	2020-11-18	Upper house	18 Legislatura	-	-	276 Seduta	-	COVID	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-11-18-LEG18-Senato-sed-276	ParlaMint-IT_2020-11-18-LEG18-Senato-sed-276.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 276, Day (2020-11-18)	2020-11-18	Upper house	18 Legislatura	-	-	276 Seduta	-	COVID	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	ZandaLuigi	Zanda, Luigi	M	1942	
ParlaMint-IT-en_2020-11-18-LEG18-Senato-sed-276	ParlaMint-IT_2020-11-18-LEG18-Senato-sed-276.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 276, Day (2020-11-18)	2020-11-18	Upper house	18 Legislatura	-	-	276 Seduta	-	COVID	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-11-18-LEG18-Senato-sed-276	ParlaMint-IT_2020-11-18-LEG18-Senato-sed-276.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 276, Day (2020-11-18)	2020-11-18	Upper house	18 Legislatura	-	-	276 Seduta	-	COVID	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	ZandaLuigi	Zanda, Luigi	M	1942	
ParlaMint-IT-en_2020-11-18-LEG18-Senato-sed-276	ParlaMint-IT_2020-11-18-LEG18-Senato-sed-276.ana.u11	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 276, Day (2020-11-18)	2020-11-18	Upper house	18 Legislatura	-	-	276 Seduta	-	COVID	English	Regular	MP	notMinister	L-SP-PSd'Az	Lega-Salvini Premier-Partito Sardo d'Azione	Opposition	Right to far-right	LunesuMichelina	Lunesu, Michelina	F	1954	
ParlaMint-IT-en_2020-11-18-LEG18-Senato-sed-276	ParlaMint-IT_2020-11-18-LEG18-Senato-sed-276.ana.u12	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 276, Day (2020-11-18)	2020-11-18	Upper house	18 Legislatura	-	-	276 Seduta	-	COVID	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-11-18-LEG18-Senato-sed-276	ParlaMint-IT_2020-11-18-LEG18-Senato-sed-276.ana.u13	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 276, Day (2020-11-18)	2020-11-18	Upper house	18 Legislatura	-	-	276 Seduta	-	COVID	English	Regular	MP	notMinister	L-SP-PSd'Az	Lega-Salvini Premier-Partito Sardo d'Azione	Opposition	Right to far-right	LunesuMichelina	Lunesu, Michelina	F	1954	
ParlaMint-IT-en_2020-11-18-LEG18-Senato-sed-276	ParlaMint-IT_2020-11-18-LEG18-Senato-sed-276.ana.u14	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 276, Day (2020-11-18)	2020-11-18	Upper house	18 Legislatura	-	-	276 Seduta	-	COVID	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
