Session,Date,Male,Female
ParlaMint-BA-en_1998-11-26-0-meta.tsv,1998-11-26,17,5
ParlaMint-BA-en_1998-12-04-0-meta.tsv,1998-12-04,7,0
ParlaMint-BA-en_1998-12-10-0-meta.tsv,1998-12-10,14,5
ParlaMint-BA-en_1999-01-11-0-meta.tsv,1999-01-11,5,0
ParlaMint-BA-en_1999-01-22-0-meta.tsv,1999-01-22,19,2
ParlaMint-BA-en_1999-02-10-0-meta.tsv,1999-02-10,17,6
ParlaMint-BA-en_1999-02-25-0-meta.tsv,1999-02-25,10,0
ParlaMint-BA-en_1999-05-11-0-meta.tsv,1999-05-11,10,4
ParlaMint-BA-en_1999-05-18-0-meta.tsv,1999-05-18,4,0
ParlaMint-BA-en_1999-06-09-0-meta.tsv,1999-06-09,8,0
ParlaMint-BA-en_1999-07-08-0-meta.tsv,1999-07-08,14,6
ParlaMint-BA-en_1999-07-15-0-meta.tsv,1999-07-15,15,5
ParlaMint-BA-en_1999-07-19-0-meta.tsv,1999-07-19,6,0
ParlaMint-BA-en_1999-07-27-0-meta.tsv,1999-07-27,2,0
ParlaMint-BA-en_1999-07-27-1-meta.tsv,1999-07-27,9,0
ParlaMint-BA-en_1999-08-31-0-meta.tsv,1999-08-31,8,0
ParlaMint-BA-en_1999-08-31-1-meta.tsv,1999-08-31,21,6
ParlaMint-BA-en_1999-09-17-0-meta.tsv,1999-09-17,13,7
ParlaMint-BA-en_1999-10-05-0-meta.tsv,1999-10-05,22,9
ParlaMint-BA-en_1999-10-06-0-meta.tsv,1999-10-06,8,0
ParlaMint-BA-en_1999-11-10-0-meta.tsv,1999-11-10,16,6
ParlaMint-BA-en_1999-11-11-0-meta.tsv,1999-11-11,9,0
ParlaMint-BA-en_1999-11-23-0-meta.tsv,1999-11-23,13,6
ParlaMint-BA-en_1999-12-01-0-meta.tsv,1999-12-01,14,5
ParlaMint-BA-en_1999-12-03-0-meta.tsv,1999-12-03,9,0
ParlaMint-BA-en_1999-12-15-0-meta.tsv,1999-12-15,19,7
ParlaMint-BA-en_1999-12-29-0-meta.tsv,1999-12-29,23,7
ParlaMint-BA-en_2000-01-17-0-meta.tsv,2000-01-17,2,0
ParlaMint-BA-en_2000-02-15-0-meta.tsv,2000-02-15,18,7
ParlaMint-BA-en_2000-03-02-0-meta.tsv,2000-03-02,2,0
ParlaMint-BA-en_2000-03-07-0-meta.tsv,2000-03-07,19,6
ParlaMint-BA-en_2000-03-21-0-meta.tsv,2000-03-21,12,0
ParlaMint-BA-en_2000-03-30-0-meta.tsv,2000-03-30,6,0
ParlaMint-BA-en_2000-04-13-0-meta.tsv,2000-04-13,7,0
ParlaMint-BA-en_2000-04-19-0-meta.tsv,2000-04-19,12,4
ParlaMint-BA-en_2000-04-27-0-meta.tsv,2000-04-27,3,0
ParlaMint-BA-en_2000-05-08-0-meta.tsv,2000-05-08,15,6
ParlaMint-BA-en_2000-06-06-0-meta.tsv,2000-06-06,16,1
ParlaMint-BA-en_2000-06-07-0-meta.tsv,2000-06-07,13,3
ParlaMint-BA-en_2000-06-09-0-meta.tsv,2000-06-09,6,0
ParlaMint-BA-en_2000-06-22-0-meta.tsv,2000-06-22,19,7
ParlaMint-BA-en_2000-07-06-0-meta.tsv,2000-07-06,9,0
ParlaMint-BA-en_2000-07-11-0-meta.tsv,2000-07-11,10,0
ParlaMint-BA-en_2000-07-27-0-meta.tsv,2000-07-27,19,6
ParlaMint-BA-en_2000-07-31-0-meta.tsv,2000-07-31,10,0
ParlaMint-BA-en_2000-08-29-0-meta.tsv,2000-08-29,21,8
ParlaMint-BA-en_2000-09-08-0-meta.tsv,2000-09-08,4,1
ParlaMint-BA-en_2000-10-13-0-meta.tsv,2000-10-13,5,0
ParlaMint-BA-en_2000-10-18-0-meta.tsv,2000-10-18,19,4
ParlaMint-BA-en_2000-10-23-0-meta.tsv,2000-10-23,7,1
ParlaMint-BA-en_2000-12-29-0-meta.tsv,2000-12-29,12,1
ParlaMint-BA-en_2001-01-29-0-meta.tsv,2001-01-29,13,0
ParlaMint-BA-en_2001-02-07-0-meta.tsv,2001-02-07,26,1
ParlaMint-BA-en_2001-02-22-0-meta.tsv,2001-02-22,11,0
ParlaMint-BA-en_2001-03-20-0-meta.tsv,2001-03-20,13,0
ParlaMint-BA-en_2001-03-26-0-meta.tsv,2001-03-26,21,1
ParlaMint-BA-en_2001-03-27-0-meta.tsv,2001-03-27,26,3
ParlaMint-BA-en_2001-03-30-0-meta.tsv,2001-03-30,12,0
ParlaMint-BA-en_2001-04-19-0-meta.tsv,2001-04-19,21,1
ParlaMint-BA-en_2001-04-25-0-meta.tsv,2001-04-25,13,0
ParlaMint-BA-en_2001-05-17-0-meta.tsv,2001-05-17,20,2
ParlaMint-BA-en_2001-05-23-0-meta.tsv,2001-05-23,13,0
ParlaMint-BA-en_2001-06-06-0-meta.tsv,2001-06-06,26,4
ParlaMint-BA-en_2001-06-14-0-meta.tsv,2001-06-14,14,0
ParlaMint-BA-en_2001-06-22-0-meta.tsv,2001-06-22,10,0
ParlaMint-BA-en_2001-06-28-0-meta.tsv,2001-06-28,23,2
ParlaMint-BA-en_2001-07-06-0-meta.tsv,2001-07-06,19,2
ParlaMint-BA-en_2001-07-18-0-meta.tsv,2001-07-18,31,0
ParlaMint-BA-en_2001-07-24-0-meta.tsv,2001-07-24,12,0
ParlaMint-BA-en_2001-08-21-0-meta.tsv,2001-08-21,16,1
ParlaMint-BA-en_2001-08-23-0-meta.tsv,2001-08-23,10,0
ParlaMint-BA-en_2001-10-09-0-meta.tsv,2001-10-09,28,3
ParlaMint-BA-en_2001-10-23-0-meta.tsv,2001-10-23,14,0
ParlaMint-BA-en_2001-10-24-0-meta.tsv,2001-10-24,25,1
ParlaMint-BA-en_2001-11-20-0-meta.tsv,2001-11-20,15,1
ParlaMint-BA-en_2001-11-29-0-meta.tsv,2001-11-29,13,0
ParlaMint-BA-en_2001-11-30-0-meta.tsv,2001-11-30,28,2
ParlaMint-BA-en_2001-12-13-0-meta.tsv,2001-12-13,23,2
ParlaMint-BA-en_2001-12-20-0-meta.tsv,2001-12-20,16,1
ParlaMint-BA-en_2001-12-24-0-meta.tsv,2001-12-24,2,0
ParlaMint-BA-en_2002-01-16-0-meta.tsv,2002-01-16,21,3
ParlaMint-BA-en_2002-01-17-0-meta.tsv,2002-01-17,15,0
ParlaMint-BA-en_2002-02-12-0-meta.tsv,2002-02-12,28,3
ParlaMint-BA-en_2002-02-21-0-meta.tsv,2002-02-21,16,0
ParlaMint-BA-en_2002-03-12-0-meta.tsv,2002-03-12,26,2
ParlaMint-BA-en_2002-03-15-0-meta.tsv,2002-03-15,22,0
ParlaMint-BA-en_2002-03-21-0-meta.tsv,2002-03-21,14,0
ParlaMint-BA-en_2002-04-17-0-meta.tsv,2002-04-17,23,3
ParlaMint-BA-en_2002-04-17-1-meta.tsv,2002-04-17,14,0
ParlaMint-BA-en_2002-04-29-0-meta.tsv,2002-04-29,11,1
ParlaMint-BA-en_2002-05-23-0-meta.tsv,2002-05-23,36,2
ParlaMint-BA-en_2002-05-27-0-meta.tsv,2002-05-27,11,0
ParlaMint-BA-en_2002-05-29-0-meta.tsv,2002-05-29,28,1
ParlaMint-BA-en_2002-05-31-0-meta.tsv,2002-05-31,12,0
ParlaMint-BA-en_2002-06-20-0-meta.tsv,2002-06-20,32,3
ParlaMint-BA-en_2002-06-25-0-meta.tsv,2002-06-25,12,0
ParlaMint-BA-en_2002-07-03-0-meta.tsv,2002-07-03,9,1
ParlaMint-BA-en_2002-07-09-0-meta.tsv,2002-07-09,12,0
ParlaMint-BA-en_2002-07-16-0-meta.tsv,2002-07-16,23,3
