Session,Date,Left,Centre,Right
ParlaMint-BA-en_1998-11-26-0-meta.tsv,1998-11-26,5,1,5
ParlaMint-BA-en_1998-12-04-0-meta.tsv,1998-12-04,0,1,5
ParlaMint-BA-en_1998-12-10-0-meta.tsv,1998-12-10,4,0,7
ParlaMint-BA-en_1999-01-11-0-meta.tsv,1999-01-11,1,1,2
ParlaMint-BA-en_1999-01-22-0-meta.tsv,1999-01-22,5,1,6
ParlaMint-BA-en_1999-02-10-0-meta.tsv,1999-02-10,3,1,6
ParlaMint-BA-en_1999-02-25-0-meta.tsv,1999-02-25,2,1,7
ParlaMint-BA-en_1999-05-11-0-meta.tsv,1999-05-11,4,0,1
ParlaMint-BA-en_1999-05-18-0-meta.tsv,1999-05-18,1,0,2
ParlaMint-BA-en_1999-06-09-0-meta.tsv,1999-06-09,2,0,6
ParlaMint-BA-en_1999-07-08-0-meta.tsv,1999-07-08,4,0,8
ParlaMint-BA-en_1999-07-15-0-meta.tsv,1999-07-15,5,0,5
ParlaMint-BA-en_1999-07-19-0-meta.tsv,1999-07-19,0,1,4
ParlaMint-BA-en_1999-07-27-0-meta.tsv,1999-07-27,1,1,0
ParlaMint-BA-en_1999-07-27-1-meta.tsv,1999-07-27,2,0,2
ParlaMint-BA-en_1999-08-31-0-meta.tsv,1999-08-31,1,1,5
ParlaMint-BA-en_1999-08-31-1-meta.tsv,1999-08-31,5,0,8
ParlaMint-BA-en_1999-09-17-0-meta.tsv,1999-09-17,3,1,5
ParlaMint-BA-en_1999-10-05-0-meta.tsv,1999-10-05,5,0,9
ParlaMint-BA-en_1999-10-06-0-meta.tsv,1999-10-06,2,1,5
ParlaMint-BA-en_1999-11-10-0-meta.tsv,1999-11-10,5,0,9
ParlaMint-BA-en_1999-11-11-0-meta.tsv,1999-11-11,1,1,6
ParlaMint-BA-en_1999-11-23-0-meta.tsv,1999-11-23,4,1,6
ParlaMint-BA-en_1999-12-01-0-meta.tsv,1999-12-01,4,0,7
ParlaMint-BA-en_1999-12-03-0-meta.tsv,1999-12-03,1,1,6
ParlaMint-BA-en_1999-12-15-0-meta.tsv,1999-12-15,5,0,9
ParlaMint-BA-en_1999-12-29-0-meta.tsv,1999-12-29,5,0,9
ParlaMint-BA-en_2000-01-17-0-meta.tsv,2000-01-17,0,1,1
ParlaMint-BA-en_2000-02-15-0-meta.tsv,2000-02-15,4,0,7
ParlaMint-BA-en_2000-03-02-0-meta.tsv,2000-03-02,0,1,1
ParlaMint-BA-en_2000-03-07-0-meta.tsv,2000-03-07,5,0,8
ParlaMint-BA-en_2000-03-21-0-meta.tsv,2000-03-21,2,1,8
