Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2018-06-28-ps2017-016-03-003-007	ParlaMint-CZ_2018-06-28-ps2017-016-03-003-007.u1	Parliament of the Czech Republic, Chamber of Deputies, 2018-06-28	2018-06-28	Lower house	ps2017	-	ps2017/016	ps2017/016/03	ps2017/016/007	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2018-06-28-ps2017-016-03-003-007	ParlaMint-CZ_2018-06-28-ps2017-016-03-003-007.u2	Parliament of the Czech Republic, Chamber of Deputies, 2018-06-28	2018-06-28	Lower house	ps2017	-	ps2017/016	ps2017/016/03	ps2017/016/007	Reference	English	Guest	MP	Minister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2018-06-28-ps2017-016-03-003-007	ParlaMint-CZ_2018-06-28-ps2017-016-03-003-007.u3	Parliament of the Czech Republic, Chamber of Deputies, 2018-06-28	2018-06-28	Lower house	ps2017	-	ps2017/016	ps2017/016/03	ps2017/016/007	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2018-06-28-ps2017-016-03-003-007	ParlaMint-CZ_2018-06-28-ps2017-016-03-003-007.u4	Parliament of the Czech Republic, Chamber of Deputies, 2018-06-28	2018-06-28	Lower house	ps2017	-	ps2017/016	ps2017/016/03	ps2017/016/007	Reference	English	Guest	MP	Minister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2018-06-28-ps2017-016-03-003-007	ParlaMint-CZ_2018-06-28-ps2017-016-03-003-007.u5	Parliament of the Czech Republic, Chamber of Deputies, 2018-06-28	2018-06-28	Lower house	ps2017	-	ps2017/016	ps2017/016/03	ps2017/016/007	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2018-06-28-ps2017-016-03-003-007	ParlaMint-CZ_2018-06-28-ps2017-016-03-003-007.u6	Parliament of the Czech Republic, Chamber of Deputies, 2018-06-28	2018-06-28	Lower house	ps2017	-	ps2017/016	ps2017/016/03	ps2017/016/007	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2018-06-28-ps2017-016-03-003-007	ParlaMint-CZ_2018-06-28-ps2017-016-03-003-007.u7	Parliament of the Czech Republic, Chamber of Deputies, 2018-06-28	2018-06-28	Lower house	ps2017	-	ps2017/016	ps2017/016/03	ps2017/016/007	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2018-06-28-ps2017-016-03-003-007	ParlaMint-CZ_2018-06-28-ps2017-016-03-003-007.u8	Parliament of the Czech Republic, Chamber of Deputies, 2018-06-28	2018-06-28	Lower house	ps2017	-	ps2017/016	ps2017/016/03	ps2017/016/007	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	LeoLuzar.1964	Luzar, Leo	M	1964	
ParlaMint-CZ-en_2018-06-28-ps2017-016-03-003-007	ParlaMint-CZ_2018-06-28-ps2017-016-03-003-007.u9	Parliament of the Czech Republic, Chamber of Deputies, 2018-06-28	2018-06-28	Lower house	ps2017	-	ps2017/016	ps2017/016/03	ps2017/016/007	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2018-06-28-ps2017-016-03-003-007	ParlaMint-CZ_2018-06-28-ps2017-016-03-003-007.u10	Parliament of the Czech Republic, Chamber of Deputies, 2018-06-28	2018-06-28	Lower house	ps2017	-	ps2017/016	ps2017/016/03	ps2017/016/007	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	LeoLuzar.1964	Luzar, Leo	M	1964	
ParlaMint-CZ-en_2018-06-28-ps2017-016-03-003-007	ParlaMint-CZ_2018-06-28-ps2017-016-03-003-007.u11	Parliament of the Czech Republic, Chamber of Deputies, 2018-06-28	2018-06-28	Lower house	ps2017	-	ps2017/016	ps2017/016/03	ps2017/016/007	Reference	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
