Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2020-03-16	ParlaMint-EE_2020-03-16_U1	XIV Parliament term, III Session, Plenary Assembly regular meeting on Monday, 16.03.2020, 15:00	2020-03-16	Unicameralism	XIV Riigikogu	III regular session	-	2020-03-16	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-03-16	ParlaMint-EE_2020-03-16_U2	XIV Parliament term, III Session, Plenary Assembly regular meeting on Monday, 16.03.2020, 15:00	2020-03-16	Unicameralism	XIV Riigikogu	III regular session	-	2020-03-16	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2020-03-16	ParlaMint-EE_2020-03-16_U3	XIV Parliament term, III Session, Plenary Assembly regular meeting on Monday, 16.03.2020, 15:00	2020-03-16	Unicameralism	XIV Riigikogu	III regular session	-	2020-03-16	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-03-16	ParlaMint-EE_2020-03-16_U4	XIV Parliament term, III Session, Plenary Assembly regular meeting on Monday, 16.03.2020, 15:00	2020-03-16	Unicameralism	XIV Riigikogu	III regular session	-	2020-03-16	-	COVID	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	a_korobeinik_19801105	Korobeinik, Andrei	M	1980	
ParlaMint-EE-en_2020-03-16	ParlaMint-EE_2020-03-16_U5	XIV Parliament term, III Session, Plenary Assembly regular meeting on Monday, 16.03.2020, 15:00	2020-03-16	Unicameralism	XIV Riigikogu	III regular session	-	2020-03-16	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-03-16	ParlaMint-EE_2020-03-16_U6	XIV Parliament term, III Session, Plenary Assembly regular meeting on Monday, 16.03.2020, 15:00	2020-03-16	Unicameralism	XIV Riigikogu	III regular session	-	2020-03-16	-	COVID	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	j_ligi_19590716	Ligi, Jürgen	M	1959	
ParlaMint-EE-en_2020-03-16	ParlaMint-EE_2020-03-16_U7	XIV Parliament term, III Session, Plenary Assembly regular meeting on Monday, 16.03.2020, 15:00	2020-03-16	Unicameralism	XIV Riigikogu	III regular session	-	2020-03-16	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-03-16	ParlaMint-EE_2020-03-16_U8	XIV Parliament term, III Session, Plenary Assembly regular meeting on Monday, 16.03.2020, 15:00	2020-03-16	Unicameralism	XIV Riigikogu	III regular session	-	2020-03-16	-	COVID	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	p_sibul_19771231	Sibul, Priit	M	1977	
ParlaMint-EE-en_2020-03-16	ParlaMint-EE_2020-03-16_U9	XIV Parliament term, III Session, Plenary Assembly regular meeting on Monday, 16.03.2020, 15:00	2020-03-16	Unicameralism	XIV Riigikogu	III regular session	-	2020-03-16	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-03-16	ParlaMint-EE_2020-03-16_U10	XIV Parliament term, III Session, Plenary Assembly regular meeting on Monday, 16.03.2020, 15:00	2020-03-16	Unicameralism	XIV Riigikogu	III regular session	-	2020-03-16	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-03-16	ParlaMint-EE_2020-03-16_U11	XIV Parliament term, III Session, Plenary Assembly regular meeting on Monday, 16.03.2020, 15:00	2020-03-16	Unicameralism	XIV Riigikogu	III regular session	-	2020-03-16	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
