Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2020-11-16	ParlaMint-EE_2020-11-16_U1	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 16.11.2020, 15:00	2020-11-16	Unicameralism	XIV Riigikogu	IV regular session	-	2020-11-16	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-11-16	ParlaMint-EE_2020-11-16_U2	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 16.11.2020, 15:00	2020-11-16	Unicameralism	XIV Riigikogu	IV regular session	-	2020-11-16	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-11-16	ParlaMint-EE_2020-11-16_U3	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 16.11.2020, 15:00	2020-11-16	Unicameralism	XIV Riigikogu	IV regular session	-	2020-11-16	-	COVID	English	Regular	notMP	Minister	-	-	-	-	r_epler_19770606	Epler, R	U	-	
ParlaMint-EE-en_2020-11-16	ParlaMint-EE_2020-11-16_U4	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 16.11.2020, 15:00	2020-11-16	Unicameralism	XIV Riigikogu	IV regular session	-	2020-11-16	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-11-16	ParlaMint-EE_2020-11-16_U5	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 16.11.2020, 15:00	2020-11-16	Unicameralism	XIV Riigikogu	IV regular session	-	2020-11-16	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-11-16	ParlaMint-EE_2020-11-16_U6	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 16.11.2020, 15:00	2020-11-16	Unicameralism	XIV Riigikogu	IV regular session	-	2020-11-16	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-11-16	ParlaMint-EE_2020-11-16_U7	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 16.11.2020, 15:00	2020-11-16	Unicameralism	XIV Riigikogu	IV regular session	-	2020-11-16	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-11-16	ParlaMint-EE_2020-11-16_U8	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 16.11.2020, 15:00	2020-11-16	Unicameralism	XIV Riigikogu	IV regular session	-	2020-11-16	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-11-16	ParlaMint-EE_2020-11-16_U9	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 16.11.2020, 15:00	2020-11-16	Unicameralism	XIV Riigikogu	IV regular session	-	2020-11-16	-	COVID	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	j_juske_19761212	Juske, Jaak	M	1976	
ParlaMint-EE-en_2020-11-16	ParlaMint-EE_2020-11-16_U10	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 16.11.2020, 15:00	2020-11-16	Unicameralism	XIV Riigikogu	IV regular session	-	2020-11-16	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-11-16	ParlaMint-EE_2020-11-16_U11	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 16.11.2020, 15:00	2020-11-16	Unicameralism	XIV Riigikogu	IV regular session	-	2020-11-16	-	COVID	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	k_grünthal_19600224	Grünthal, Kalle	M	1960	
