Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2020-10-29	ParlaMint-EE_2020-10-29_U1	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Thursday, 29.10.2020, 10:00	2020-10-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-10-29	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-10-29	ParlaMint-EE_2020-10-29_U2	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Thursday, 29.10.2020, 10:00	2020-10-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-10-29	-	COVID	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	h_pikhof_19581020	Pikhof, Heljo	F	1958	
ParlaMint-EE-en_2020-10-29	ParlaMint-EE_2020-10-29_U3	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Thursday, 29.10.2020, 10:00	2020-10-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-10-29	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-10-29	ParlaMint-EE_2020-10-29_U4	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Thursday, 29.10.2020, 10:00	2020-10-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-10-29	-	COVID	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	a_must_19510325	Must, Aadu	M	1951	
ParlaMint-EE-en_2020-10-29	ParlaMint-EE_2020-10-29_U5	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Thursday, 29.10.2020, 10:00	2020-10-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-10-29	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-10-29	ParlaMint-EE_2020-10-29_U6	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Thursday, 29.10.2020, 10:00	2020-10-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-10-29	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-10-29	ParlaMint-EE_2020-10-29_U7	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Thursday, 29.10.2020, 10:00	2020-10-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-10-29	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-10-29	ParlaMint-EE_2020-10-29_U8	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Thursday, 29.10.2020, 10:00	2020-10-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-10-29	-	COVID	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	en_kross_19670908	Kross, Eerik-Niiles	M	1967	
ParlaMint-EE-en_2020-10-29	ParlaMint-EE_2020-10-29_U9	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Thursday, 29.10.2020, 10:00	2020-10-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-10-29	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-10-29	ParlaMint-EE_2020-10-29_U10	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Thursday, 29.10.2020, 10:00	2020-10-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-10-29	-	COVID	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	en_kross_19670908	Kross, Eerik-Niiles	M	1967	
ParlaMint-EE-en_2020-10-29	ParlaMint-EE_2020-10-29_U11	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Thursday, 29.10.2020, 10:00	2020-10-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-10-29	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2020-10-29	ParlaMint-EE_2020-10-29_U12	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Thursday, 29.10.2020, 10:00	2020-10-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-10-29	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
