Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2020-09-28	ParlaMint-EE_2020-09-28_U1	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 28.09.2020, 15:00	2020-09-28	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-28	-	COVID	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2020-09-28	ParlaMint-EE_2020-09-28_U2	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 28.09.2020, 15:00	2020-09-28	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-28	-	COVID	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	en_kross_19670908	Kross, Eerik-Niiles	M	1967	
ParlaMint-EE-en_2020-09-28	ParlaMint-EE_2020-09-28_U3	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 28.09.2020, 15:00	2020-09-28	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-28	-	COVID	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2020-09-28	ParlaMint-EE_2020-09-28_U4	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 28.09.2020, 15:00	2020-09-28	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-28	-	COVID	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	l_läänemets_19830131	Läänemets, Lauri	M	1983	
ParlaMint-EE-en_2020-09-28	ParlaMint-EE_2020-09-28_U5	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 28.09.2020, 15:00	2020-09-28	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-28	-	COVID	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2020-09-28	ParlaMint-EE_2020-09-28_U6	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 28.09.2020, 15:00	2020-09-28	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-28	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2020-09-28	ParlaMint-EE_2020-09-28_U7	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 28.09.2020, 15:00	2020-09-28	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-28	-	COVID	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2020-09-28	ParlaMint-EE_2020-09-28_U8	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 28.09.2020, 15:00	2020-09-28	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-28	-	COVID	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2020-09-28	ParlaMint-EE_2020-09-28_U9	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 28.09.2020, 15:00	2020-09-28	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-28	-	COVID	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2020-09-28	ParlaMint-EE_2020-09-28_U10	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 28.09.2020, 15:00	2020-09-28	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-28	-	COVID	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2020-09-28	ParlaMint-EE_2020-09-28_U11	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 28.09.2020, 15:00	2020-09-28	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-28	-	COVID	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	a_poolamets_19710222	Poolamets, Anti	M	1971	
ParlaMint-EE-en_2020-09-28	ParlaMint-EE_2020-09-28_U12	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 28.09.2020, 15:00	2020-09-28	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-28	-	COVID	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2020-09-28	ParlaMint-EE_2020-09-28_U13	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 28.09.2020, 15:00	2020-09-28	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-28	-	COVID	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	h_everaus_19530105	Everaus, Hele	F	1953	
ParlaMint-EE-en_2020-09-28	ParlaMint-EE_2020-09-28_U14	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Monday, 28.09.2020, 15:00	2020-09-28	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-28	-	COVID	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
