Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U1	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U2	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	h_pikhof_19581020	Pikhof, Heljo	F	1958	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U3	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U4	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	m_lauri_19660101	Lauri, Maris	F	1966	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U5	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U6	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U7	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U8	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	k_rimmel_19521123	Rimmel, Kai	F	1952	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U9	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U10	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	a_kokk_19600415	Kokk, Aivar	M	1960	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U11	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	k_rimmel_19521123	Rimmel, Kai	F	1952	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U12	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U13	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	a_kokk_19600415	Kokk, Aivar	M	1960	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U14	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	k_rimmel_19521123	Rimmel, Kai	F	1952	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U15	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U16	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	a_sutt_19671111	Sutt, Andres	M	1967	
ParlaMint-EE-en_2020-09-29	ParlaMint-EE_2020-09-29_U17	XIV Parliament term, IV istungjärk, Plenary Assembly meeting on Tuesday, 29.09.2020, 10:00	2020-09-29	Unicameralism	XIV Riigikogu	IV regular session	-	2020-09-29	-	COVID	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	k_rimmel_19521123	Rimmel, Kai	F	1952	
