ParlaMint-ES_2020-02-04-CD200204.u1	Good afternoon, ladies and gentlemen. The meeting was called to order.
ParlaMint-ES_2020-02-04-CD200204.u2	Prior to the consideration of the agenda, we shall proceed to the oath or promise of compliance with the Constitution, in accordance with Article 20.1.3 of the Rules of Procedure. In place of dona María Beatriz Corredor Sierra, I ask dona María Isaura Leal Fernández if she swears or promises to abide by the Constitution.
ParlaMint-ES_2020-02-04-CD200204.u3	Yes, I promise.
ParlaMint-ES_2020-02-04-CD200204.u4	In place of Dolores Delgado García, I ask Don Omar Anguita Pérez if he swears or promises to abide by the Constitution.
ParlaMint-ES_2020-02-04-CD200204.u5	Yes, I promise.
ParlaMint-ES_2020-02-04-CD200204.u6	In place of Don Francisco José Salazar Rodríguez, I ask Don José Losada Fernández if he swears or promises to abide by the Constitution.
ParlaMint-ES_2020-02-04-CD200204.u7	Yes, I promise.
ParlaMint-ES_2020-02-04-CD200204.u8	In place of Don Héctor Illueca Ballester, I ask Dona Rosa Medel Pérez if she swears or promises to abide by the Constitution.
ParlaMint-ES_2020-02-04-CD200204.u9	Yes, I promise.
ParlaMint-ES_2020-02-04-CD200204.u10	In place of Elena Máñez Rodríguez, I ask Don Juan Bernardo Fuentes Curbelo if he swears or promises to abide by the Constitution.
ParlaMint-ES_2020-02-04-CD200204.u11	Yes, I promise.
ParlaMint-ES_2020-02-04-CD200204.u12	In place of dona María Victoria Rosell Aguilar, I ask dona María del Carmen Pita Cárdenes if she swears or promises to abide by the Constitution.
ParlaMint-ES_2020-02-04-CD200204.u13	Yes, I promise.
ParlaMint-ES_2020-02-04-CD200204.u14	In place of Don Francisco Polo Llavata, I ask Sonia Guerra López if she swears or promises to abide by the Constitution.
ParlaMint-ES_2020-02-04-CD200204.u15	Yes, I promise.
ParlaMint-ES_2020-02-04-CD200204.u16	In place of Don José Guirao Cabrera, I ask Don Indalecio Gutiérrez Salinas if he swears or promises to abide by the Constitution.
ParlaMint-ES_2020-02-04-CD200204.u17	Yes, I promise.
ParlaMint-ES_2020-02-04-CD200204.u18	Dona María Isaura Leal Fernández, don Omar Anguita Pérez, don José Losada Fernández, dona Rosa Medel Pérez, don Juan Bernardo Fuentes Curbelo, dona María del Carmen Pita Cárdenes, dona Sonia Guerra López and don Indalecio Gutiérrez Salinas have acquired the full status of deputies. Congratulations. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u19	We begin with item I of the agenda: Take into consideration the proposal for a reform of the Rules of Procedure of the Congress of Deputies, amending Rule 46.1, tabled by the Socialist, Popular parliamentary groups in the Congress and Confederal of the United Podemos-En Comú Podemos-Galicia in common. As agreed by the Board of Spokespersons, this item, as well as the following, is submitted for approval by consent, without prior discussion. Can it be understood as approved by consent? [[Consent]] The proposed reform of the Regulation is therefore taken into account.
ParlaMint-ES_2020-02-04-CD200204.u20	We turn to item II of the agenda, on the agreement on direct and single reading of the above-mentioned proposal for a reform of the Regulation. Can it be understood as approved by consent? [[Consent]] As a result, direct and read-only processing is agreed. I would remind you that, having taken into consideration and adopted the direct and read-only agreement, it is envisaged that the debate on the proposed reform of the Rules of Procedure of the Congress of Deputies, amending Rule 46.1, will take place after the debate on the validation or repeal of the actual decree-laws on the agenda. At the end of the debate, the vote will be taken on all the remaining items on the agenda. I would also like to inform you that a one-hour time limit, i.e. up to 16 hours and five minutes, is now being opened so that amendments to this proposal to amend the Rules of Procedure can be tabled in the register of the House.
ParlaMint-ES_2020-02-04-CD200204.u21	We continue with item III of the agenda, concerning the validation or repeal of royal decree-laws. First, it is the validation or repeal of Royal Decree-Law 1/2020 of 14 January, which establishes the revaluation and maintenance of pensions and public benefits of the social security system. To present the royal decree-law, the Minister of Inclusion, Social Security and Migration has the floor on behalf of the Government.
ParlaMint-ES_2020-02-04-CD200204.u22	Madam President, ladies and gentlemen, good afternoon. Today I present myself to your ladies and gentlemen for the first time as Minister of Inclusion, Social Security and Migration to ask you to validate the royal decree-law guaranteeing the purchasing power of pensions in 2020. This was an inescapable promise from the Government of the nation and that is why it was the first decision taken by the Council of Ministers. In addition, this royal decree-law is in line with the second recommendation of the draft agreement of the Toledo Pact, which claims that pensions should not lose purchasing power. Before I enter into this matter, and although in the coming weeks I will have the opportunity to appear before your ladies and gentlemen in the Committee on Labour, Inclusion, Social Security and Migration, I would like to take this opportunity to share with your ladies and gentlemen one of the main challenges we face as a country: the cost, in terms of inequality and disaffection towards our institutions, of non-inclusive growth. Therefore, the name of the ministry I lead is not casual. It responds to a thoughtful process of reflection and shows that our priority will be those policies that aim to help the incorporation and participation in society on equal opportunities for the most disadvantaged groups. Therefore, updating pensions under the CPI is not only a prerequisite for finding just and equitable solutions to the future challenges facing the pension system. We are bound and determined to strengthen the solvency of the system and that must be achieved by giving certainty to pensioners and workers. Finally, the increase in pensions that we want to validate today fulfils the commitment communicated to the European Commission within the 2020 budget plan for the Kingdom of Spain, as well as the agreements signed between the Socialist Party and the United Podemos. Twenty-five years after the signing of the Toledo Pact have passed this year. That very important agreement served to strengthen the confidence of the Spaniards in the viability of the system. The consensus reached there made it possible to adopt the necessary reforms to ensure their solvency. Among the recommendations of that first agreement, back in 1995, was number 11, which I am going to read textually: '... the maintenance of the purchasing power of pensions by automatic revaluation of pensions, according to the evolution of the consumer price index and through stable formulae...'. The signatories of that original pact understood that giving certainty to pensioners and workers was a step ahead of any attempt at lasting reform. I trust that today we will take a step in the same direction. From this ministry, in which for the first time all pensioner groups are integrated, today we bring to this House to validate a royal decree-law that benefits more than 11 million people: about 10 million beneficiaries of contributory pensions, 450 000 beneficiaries of non-contributory pensions, almost 200 000 beneficiaries of family benefits and approximately 650 000 beneficiaries of passive classes, the pensioners who were active were pensioners. Guaranteeing the purchasing power of these more than 11 million people is a top priority for this Government, and particularly for this ministry, which, as I said in my introduction, bears the first name Inclusion. Pensioners include some of the most vulnerable groups in society. The most effective way to get them not to stay behind is to secure their purchasing power. With this royal decree-law - I said -, more than 11 million people will see their pensions increased by 0.9%, which is the inflation forecast for the year 2020. They will already notice this effect from this month, in which they will also charge the arrears corresponding to the month of January. The Royal Decree-Law not only includes this rise, but for the first time and in a novel way ensures that if inflation were above 0.9%, that possible upward deviation would be offset by an additional payment. This is a guarantee that, whatever the price increase, the purchasing power of our pensioners will be assured. Ladies and gentlemen, I ask this House for the greatest agreement to validate the Decree-Law. Our pensioners should not only be sure that they will not lose purchasing power, but also that there is maximum political consensus around our pension system, one of the great achievements of society. I'm going to give you a piece of information. For many years the percentage of people surveyed by the CIS who mentioned that pensions were one of the main problems in Spain was around 2%. In recent years this percentage has reached 15% and is currently 12%. The previous peak records of pension concern date back to the late 1980s and early 1990s. We all know how that concern was resolved: with the signing of the Toledo Pact. That virtually unanimous consensus on our pension system managed to clear up all sorts of doubts for many years. We must recover it if we want uncertainty to stop flying over our pension system. In this regard, it is my duty as Minister of Inclusion, Social Security and Migration to make every effort to rebuild this consensus. I understand that this obligation extends to all members of this House. We cannot burden our pensioners' shoulders with the uncertainty of not agreeing on how to finance a pension system as solid as Spanish; let alone let their pensions be eroded year after year. We cannot do this to more than 11 million pensioners who, above all, expect us to be able to agree on how to make the system sustainable. There is nothing more powerful than consensus to reduce uncertainty. Today is the first time to prove it. Ladies and gentlemen, just 25 years ago, representatives of this House reached an agreement on the Parador de Toledo. Just two months later a document with the master lines of our system was ratified in this same building. We can deceiv ourselves by ensuring that the situation there in 1995 was simpler, but that is not true. It was so complicated or more than the current one and everyone left behind their particular interests in favor of a consensus that has been the great support of our system for many years. Our welfare state and its pension system are a guarantee of inclusive growth that does not forget the most vulnerable. Our commitment is to preserve the system and ensure that it continues to serve its purpose. Our pension system is solid and we cannot allow the lack of agreement to cast doubt on its solidity. Ladies and gentlemen, the rule I am presenting today for validation includes measures of significance for more than 11 million people. Given the quantitative and qualitative importance of the measures included in this Royal Decree-Law, I ask the House to validate it by trusting that we can begin a stage of consensus on our pension system that will continue throughout the legislature. Thank you very much. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u23	Thank you very much, Minister. The Joint Parliamentary Group, Mr Martínez Oblanca, is taking part in the position-setting exercise.
ParlaMint-ES_2020-02-04-CD200204.u24	Thank you very much, Madam President. Good afternoon, ladies and gentlemen. Minister, this royal decreeley overcomes Pedro Sánchez's unnecessary and gross strategism during the negotiations for his investiture and patches an important issue for society as a whole, which urgently needs to undertake reforms in order for the Spaniards to have better pensions, adapted to the growing cost of living, and a stable public system over time. In the face of this very complex challenge, it is worth recalling the precedent of a year ago in the United States, which is now part of the coalition government, breaking at the last minute the consensus reached within the Toledo Pact, and I agree that it is essential to re-edit it, starting with its colleagues in the government's blue bank. Likewise, all economic indicators already show signs of instability, as always there is a socialist president, and I say to you, Mr Escrivá, that you have so many times prescribed control over public expenditure. Nor does it go with the socialists to create jobs, which is the only way to generate resources for social security and guarantee pensions. The data known today on registered unemployment are chilling. Also, in the dark room of the government, the tax crank is being greased, and in Asturias, the oldest and most fiscally pressured community, we know that any proposal to raise taxes in Spain will destroy more jobs and put our pension system at risk. The Forum vote will be in favour of this validation.
ParlaMint-ES_2020-02-04-CD200204.u25	Thank you, Mr. Martínez Oblanca. Secondly, Mr Mazón Ramos has the floor for the same parliamentary group.
ParlaMint-ES_2020-02-04-CD200204.u26	Good afternoon. Thank you very much, Madam President. In the Regionalist Party of Cantabria we have always defended the objective of maintaining the purchasing power of pensions. This, together with the improvement of lower pensions and the correction of some collectives who are currently discriminated against with respect to the general rule, I believe that they are objectives that must be met throughout this legislature. The sustainability of the current distribution system is sometimes questioned, and we say that, unless catastrophic situations occur, the previous objectives must be maintained. If the system as designed is not sustainable, we will have to change it, but not the objectives. There are many formulas to achieve this, but what is clear is that the progress that will be made in the future cannot make it very difficult for this to be achieved. Retirees are a group that deserves no less and needs the support of all institutions. This decree-law is in this line, and that is why we are going to vote in favour.
ParlaMint-ES_2020-02-04-CD200204.u27	Thank you very much, Mr. Mazón. Mr Sayas López now has the floor.
ParlaMint-ES_2020-02-04-CD200204.u28	Thank you, President. Good afternoon, ladies and gentlemen. We are also going to vote in favour of the validation of this decree, and we are going to do so because I believe that pensioners do not just deserve a timely increase in the amount related to the CPI. Nor do pensioners deserve to be traded with something that is their right; they cannot be expected to expect this reform to depend on whether or not there was Government. I believe that the pensioners deserve us to have a serious debate, to have a debate seeking consensus and unity and to have it in the appropriate area, which is the Toledo Pact. That is why we need to be able to agree on a few things among all of us, and in this virtually all of this House will agree. Firstly, we will agree that pensions are a right and, secondly, we will also agree that we all want a public, universal and guaranteed pension system. From there we should discuss with serenity and unity and ask ourselves some questions. Firstly, we must ask ourselves whether a pensioner can live with less money than a worker, because that will lead us to define whether or not the pensions referred to in the interprofessional minimum wage should be. Secondly, we will have to deal with a fundamental issue, if we can maintain the pension system with a birth rate that cuts the replacement rate, with economic growth that is low and that affects employment, and with an increasing life expectancy. I'm done. Of course, I believe that this is an issue that we all share, but it is not worth specific measures, but it needs to be addressed in a structural way. Thank you very much.
ParlaMint-ES_2020-02-04-CD200204.u29	Thank you very much, Mr. Sayas. I give the floor to Mrs Oramas González-Moro.
ParlaMint-ES_2020-02-04-CD200204.u30	Thank you, Madam President. Mr Minister, I very much liked your introduction - I think a person with your experience is going to contribute a lot to the debate we have on the future of pensions and the system - especially when you spoke about inclusion, and this is what a canary Member is saying. Canary Islands is one of the communities, along with Extremadura, which has the lowest pensions in this country. In the last ten years, both Extremadura and the Canary Islands are moving away from the national average. We have three times as many non-contributory pensions as the rest of the communities - we're talking about 360 euros - and it's not people who didn't work - worked as mules all their life, mostly women -, what happens is that they couldn't contribute. We need to move towards a public pension system that is, first and foremost, sustainable. The guarantee of the welfare state is to achieve a sustainable system and, in turn, the public pension system must ensure that it is inclusive, as you have said, because, in the end, the poverty rates of Extremadura and the Canary Islands - whether they have governed the PSOE or have governed the nationalists in the Canary Islands, each one has a discourse according to the community: either it is the fault of the canarian nationalists or the socialists in Extremadura - they are dependent on the component of the pensions and the reinforcement that they have. It does not seem logical for the public pension system to finance the maximum pension of a person who did not provide the maximum pension for the years of life he worked, but it does have to ensure that people who have 360 euros or 900 euros - as they have on average Extremadura and the Canary Islands - have at least a decent pension. And from that we'll have to see what the system is. Of course, we will support the decree. I am fortunate to be a spokesperson for the Joint Group on the Toledo Pact Commission, and I therefore make myself available to the Minister to work for inclusion in this country and to fight poverty, but above all for the dignity of thousands of people who have worked their whole lives and who deserve to have decent pensions in recent years; people who, during the economic crisis, with these unworthy pensions, helped their children and grandchildren. Thank you, Madam President.
ParlaMint-ES_2020-02-04-CD200204.u31	Thank you very much, Mrs Oramas. Finally, for the Joint Parliamentary Group, Mrs Vehí Cantenys has the floor.
ParlaMint-ES_2020-02-04-CD200204.u32	Thank you, President. Good afternoon. Today we are presented with this decree-law and two more, and I move forward as the CUP is going to have a position that we have called 'attentional abstention'. We are going to make a joint formula and we are going to abstain in the voting of the three decrees, because we understand that they are decrees that timidly improve the conditions of the popular classes, which is not enough for us. Yesterday we showed the closed fist to the king and the regime and today, specifically in the pension decree and in the other two, we will facilitate it. [[Rumors]] I'm going to focus on pensions. It is clear that an increase of 0.9% is positive and also that it is positive to equal it to the CPI - in fact, not to make that update would have been irresponsible - but for us it is not enough. The picture in this decree-law is next. While a retired person, with a dependent spouse, receives little more than EUR 11 000 per year; while a widower receives the same amount, about EUR 11 000 per year, and while the monthly minimum income guarantee allowance is EUR 149.86 per month, the special war pension for the lowest rank is more than EUR 20 000 per year, the highest is about EUR 42 000, as does a secretary-general of the Constitutional Court, who is also about 42,000 per year and even a lawyer of the Courts who is also in the same amount. While the high offices of the state, which are already paying much higher salaries, receive much larger pensions than the working people - let me tell you that neither I nor most of the workers have ever paid from the Spanish state 42 000 euros a year -, the pensions of the popular classes are those that they are. Today, moreover, you have announced the interprofessional minimum wage: 950 euros per month. This is a good measure, but if we compare it, it is certainly insufficient. For us the debate is in the value given to life, the value given to ageing worthy of our elders, the right to raise with dignity, or the right given to the army and the high judiciary; for us, or the judges, prosecutors and the military, or our grandmothers and widows.
ParlaMint-ES_2020-02-04-CD200204.u33	Thank you very much, Mrs Vehi. Mr Ruiz de Pinedo Undiano has the floor for the Euskal Herria Bildu Parliamentary Group.
ParlaMint-ES_2020-02-04-CD200204.u34	Good afternoon. Pick it up on. The first question we have to ask ourselves is: do we maintain the purchasing power of pensions with this decree? This is one of the first questions we have, not with regard to this decree, but with regard to the future, in the discussions we have. Is the CPI sufficient for the maintenance of pensions? I believe that all of us here agree that we must keep pensions, at least not go down. But one must be aware that this decree is a small, very small step. With this measure we fail to ensure the maintenance of purchasing power. This is the idea I'm coming to introduce you this afternoon. We say that it is very limited and does not allow to maintain purchasing power because it only accounts for 0.9%, which is the CPI, which has raised life in general. However, in poor households, account must be taken of how the shopping basket is calculated, because in most households with the weakest economies the basket is different from the average of the population. The basic elements have a much greater weight than in the rest of the population. I will give you a concrete example of what is happening to us in Euskal Herria. During 2019, the increase in the CPI in food has been 3.2% in Navarre; 2.5% in the autonomous community; in housing, the official figure is 1.1%, but take into account that the housing with the highest needs are the ones that have the most rentals, the ones that have the least permanence in rents and those who have raised rents unorthodoxly. Therefore, the first idea I wanted to convey to you is that we must bear in mind that in order to maintain the purchasing power of pensions we will have to think something, above all, about the lower pensions, because otherwise they are shrinking. I cannot give you any specific data, but in recent years in the Basque Country an average pension has been reduced by 6% of the disposable income in families, the relative income taking into account these inflations. I would also like to say that there is a positive aspect to this decree: having abandoned the formula of the revaluation index is a very important element. If we did not abandon this formula of the revaluation index, in fifteen years the average pension would be 20% below purchasing power, because there is a lot of difference between areas and different economies. That index is what enabled that 2018 letter to pensioners, which raised an increase of euro cents in pensions and which was the spark that blew up our pensioners and our pensioners; that spark that fueled the social protest of the population. The strike that took place on 30 January in the Basque Country has been supported by a large part of society, because it is calling on the governments to repeal cuts and to put in place measures to enable people to live in dignity, whether or not they have been able to stop at the factories or at the workplace, because given the employment situation of the majority of the population at present there is a fear of being able to express themselves freely within the workplace. I wanted to convey to you what many pensioners and people who were on strike told me: we are not making a strike for governments to fall, we are making a strike, a mobilization for our problem to be taken into account, so that the government does not, as has happened to us historically, reach a point where it looks at the black well and forgets what it promised us. To this he has responded the great mobilization that has been made in Euskal Herria and in other parts of the State, which have conveyed to us their solidarity by the hand of the social pension movement and the majority of the trade union. That is why many sectors have been mobilized, because from the implementation of austerity reforms in recent years, mainly since 2012, there has been a weakening of social coverage, and all these reforms need to be reversed. In this period of time it is true that many macroeconomic variables have improved, many fortunes have been strengthened, but most household economies have reduced their purchasing power. In this period of time the implementation of austerity policies has brought such serious social consequences that it will cost to straighten the course again, because everything has its inertia and it costs to turn this austerity inertia that has fallen on us. That is why I invite you to reverse all anti-social policies that have been implemented in recent years. It is time to reverse anti-social policies and introduce new measures that put people in the middle, people as a fundamental element to which to respond; the economy at the service of people. Finally, and to conclude, I would like to point out that this decree is characterized by non-compliance with the status of autonomy and improvement. The final provision states that the economic system of social security is the exclusive competence of the State. Please read the point concerning improvement in the statute, because they are in breach of the law, they are in breach of the fundamental elements of the statute on improvement. We demand that this be corrected immediately and in the shortest possible time. In short, we call all of you to responsibility, because this issue of pensions and poverty is an urgent one. What is asked is just, the pensioners deserve it; but the current pensioners deserve it, and especially those who are about to arrive, because we are playing the future of our society and of the generations to come. That is why our group is going to vote in favour on this point. Eskerrik asko, thank you very much, and I hope we can straighten this boat.
ParlaMint-ES_2020-02-04-CD200204.u35	Thank you, Mr Ruiz de Pinedo. For the Basque Parliamentary Group, Mr Barandiaran Benito has the floor. [[EAJ-PNV]]
