Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u1	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	MP	notMinister	I	Independent	-	-	PeterFowler	Fowler, Peter	M	-	
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u2	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	AnneMcIntosh	McIntosh, Anne	F	-	
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u3	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JoyceAnelay	Anelay, Joyce	F	-	
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u4	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u5	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JoyceAnelay	Anelay, Joyce	F	-	
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u6	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u7	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JoyceAnelay	Anelay, Joyce	F	-	
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u8	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	MichaelDobbs	Dobbs, Michael John	M	-	
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u9	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u10	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	MichaelDobbs	Dobbs, Michael John	M	-	
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u11	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	AngelaSmith2	Smith, Angela	F	-	
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u12	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	AngelaSmith2	Smith, Angela	F	-	
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u13	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	MP	notMinister	LD	Liberal Democrat	-	Centre to centre-left	RichardNewby	Newby, Richard	M	-	
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u14	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	NatalieEvans	Evans, Natalie	F	-	
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u15	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	NatalieEvans	Evans, Natalie	F	-	
ParlaMint-GB-en_2019-10-14-lords	ParlaMint-GB_2019-10-14-lords.u16	Minutes of the House of Lords, Daily Session 2019-10-14	2019-10-14	Upper house	57	-	2019-10-14	2019-10-14	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	NatalieEvans	Evans, Natalie	F	-	
