Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2018-10-02-20181-M1	ParlaMint-DK_20181002115913	Hansard of the session of the Danish Parliament (Folketinget), 20181, M1 (2018-10-02), final version	2018-10-02	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M1	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Coalition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2018-10-02-20181-M1	ParlaMint-DK_20181002120052	Hansard of the session of the Danish Parliament (Folketinget), 20181, M1 (2018-10-02), final version	2018-10-02	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M1	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Coalition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2018-10-02-20181-M1	ParlaMint-DK_20181002120117	Hansard of the session of the Danish Parliament (Folketinget), 20181, M1 (2018-10-02), final version	2018-10-02	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M1	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Coalition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2018-10-02-20181-M1	ParlaMint-DK_20181002120134	Hansard of the session of the Danish Parliament (Folketinget), 20181, M1 (2018-10-02), final version	2018-10-02	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M1	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Coalition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2018-10-02-20181-M1	ParlaMint-DK_20181002120208	Hansard of the session of the Danish Parliament (Folketinget), 20181, M1 (2018-10-02), final version	2018-10-02	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M1	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2018-10-02-20181-M1	ParlaMint-DK_20181002120417	Hansard of the session of the Danish Parliament (Folketinget), 20181, M1 (2018-10-02), final version	2018-10-02	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M1	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2018-10-02-20181-M1	ParlaMint-DK_20181002120505	Hansard of the session of the Danish Parliament (Folketinget), 20181, M1 (2018-10-02), final version	2018-10-02	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M1	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2018-10-02-20181-M1	ParlaMint-DK_20181002120507	Hansard of the session of the Danish Parliament (Folketinget), 20181, M1 (2018-10-02), final version	2018-10-02	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M1	-	-	Reference	English	Regular	MP	Minister	V	Venstre	Coalition	Centre-right	RasmussenLarsLøkke	Rasmussen, Lars Løkke	M	1964	
ParlaMint-DK-en_2018-10-02-20181-M1	ParlaMint-DK_20181002123511	Hansard of the session of the Danish Parliament (Folketinget), 20181, M1 (2018-10-02), final version	2018-10-02	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M1	-	-	Reference	English	Regular	MP	Minister	V	Venstre	Coalition	Centre-right	RasmussenLarsLøkke	Rasmussen, Lars Løkke	M	1964	
ParlaMint-DK-en_2018-10-02-20181-M1	ParlaMint-DK_20181002124824	Hansard of the session of the Danish Parliament (Folketinget), 20181, M1 (2018-10-02), final version	2018-10-02	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M1	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2018-10-02-20181-M1	ParlaMint-DK_20181002124832	Hansard of the session of the Danish Parliament (Folketinget), 20181, M1 (2018-10-02), final version	2018-10-02	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M1	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
