Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2015-11-30-44	ParlaMint-IS_2015-11-30-44.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-44, 30.11.2015.	2015-11-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteinunnArnadottir	Árnadóttir, Steinunn Þóra	F	1977	
ParlaMint-IS-en_2015-11-30-44	ParlaMint-IS_2015-11-30-44.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-44, 30.11.2015.	2015-11-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	ArniArnason	Árnason, Árni Páll	M	1966	
ParlaMint-IS-en_2015-11-30-44	ParlaMint-IS_2015-11-30-44.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-44, 30.11.2015.	2015-11-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	UnnurKonradsdottir	Konráðsdóttir, Unnur Brá	F	1974	
ParlaMint-IS-en_2015-11-30-44	ParlaMint-IS_2015-11-30-44.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-44, 30.11.2015.	2015-11-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	ArniArnason	Árnason, Árni Páll	M	1966	
ParlaMint-IS-en_2015-11-30-44	ParlaMint-IS_2015-11-30-44.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-44, 30.11.2015.	2015-11-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	UnnurKonradsdottir	Konráðsdóttir, Unnur Brá	F	1974	
ParlaMint-IS-en_2015-11-30-44	ParlaMint-IS_2015-11-30-44.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-44, 30.11.2015.	2015-11-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BrynjarNielsson	Níelsson, Brynjar	M	1960	
ParlaMint-IS-en_2015-11-30-44	ParlaMint-IS_2015-11-30-44.u7	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-44, 30.11.2015.	2015-11-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	VilhjalmurBjarnason	Bjarnason, Vilhjálmur	M	1952	
ParlaMint-IS-en_2015-11-30-44	ParlaMint-IS_2015-11-30-44.u8	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-44, 30.11.2015.	2015-11-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BrynjarNielsson	Níelsson, Brynjar	M	1960	
ParlaMint-IS-en_2015-11-30-44	ParlaMint-IS_2015-11-30-44.u9	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-44, 30.11.2015.	2015-11-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	VilhjalmurBjarnason	Bjarnason, Vilhjálmur	M	1952	
ParlaMint-IS-en_2015-11-30-44	ParlaMint-IS_2015-11-30-44.u10	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-44, 30.11.2015.	2015-11-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BrynjarNielsson	Níelsson, Brynjar	M	1960	
ParlaMint-IS-en_2015-11-30-44	ParlaMint-IS_2015-11-30-44.u11	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-44, 30.11.2015.	2015-11-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	VilhjalmurBjarnason	Bjarnason, Vilhjálmur	M	1952	
