ParlaMint-IS_2015-05-27-113.u1	The program suggested at a meeting yesterday from Jón Þór Ólafsson, etc. is called again.
ParlaMint-IS_2015-05-27-113.u2	The President plans that the votes will be after the end of the council conferences, this afternoon. 15th
ParlaMint-IS_2015-05-27-113.u3	Borist has received a letter from the chairman of the Council of Birts the Björt of Ólafsdóttir Ólafurdótttir, why. 6th. Smoke. No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. Therefore, it is requested that Eldar's Ástþórsson, who is second on the Bjart's list in the district. 1 strategist on a list of the districts has announced ahead of time. At the request of the president, the national government has assembled and issued a ballot for Eldar, the son of Ástþórsson. At the same time, a board of administrations and monitoring has been arranged to discuss the stock market.
ParlaMint-IS_2015-05-27-113.u4	V.E.G. President. As mentioned in the case of the highest. The President has issued a district election letter for El Eldar Ástþórsson, 2nd Prefect of Birt's Future in Smoke. n. As also noted in the case of the Senate's president, a board of directors and board of directors has assembled to review the ballot letter and make no comments.
ParlaMint-IS_2015-05-27-113.u5	As noted in the case of the chairman of the Commission and the Commission committee, the Commission recommends a unanimousity with the approval of the convention and considered it acceptable without a vote if no protests are moved. Eldar Ástþórsson Þorsson, 6th. Smoke. No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.
ParlaMint-IS_2015-05-27-113.u6	Eldar Ástþórsson has signed his pledge to the Constitution and is welcomed to serve at the General Assembly.
ParlaMint-IS_2015-05-27-113.u7	A respectable president. There is reason to rejoice that if there is a problem with solving collective labour market agreements, this will draw attention to the complete failure of the public market interviews. There is reason to use this opportunity to encourage the government to address the uncontaminated issues in following the example of the labour market and solving the present debate. It is especially happy that you are being won toward 300 o'clock. K. The requirement and specific baloney for the lowest paid. This, of course, is in a crying inconsistencies with the highest statement. Secretary of finance that this has been overcrowded, reflecting the wide will that is in particular to improve the minimum wage. However, as the lowest paid people in the labour market are getting a sludge, it is inevitable that at the General Assembly, we will turn to tens of thousands of pensioners in the country, for the pensioners are in large quantities those living at the lowest markets in the country. When people in a general labour market have shown great interest in raising especially the highest wage in the currently successful contracts, it is a challenge for us to do the same for those in pension, disability, and social security, and to have their contribution entirely under this institution here, the General Assembly. The general body of the labour market is not to be left behind when it comes to the worst - paying business ventures in the community.
ParlaMint-IS_2015-05-27-113.u8	V.E.G. President. Once again, we learn that the social interpretation fund is empty. It's going to be years from year to year when these funds are empty. Heiðdís Dögg Eiríksdóttir, president of the Deaf, wrote this morning an article in the visi.is, and I want to quote it, with permission of presidents: ▪ The authorities tie our hands, and we cannot care for our duties as landlords, parents, taxpayers, relatives, and so forth. This year the Ministry of Education and Culture decided to divide the budget into four quarters. I don't know what their math skills are, it's very simple, it doesn't last much longer than the rest of the years. Our roles and responsibilities will not diminish if they are divided into four quarters. V.E.G. President. This may be referred to as a complete violation of the fundamental principle on which the United Nations Convention on the Rights of Disappointments is based and has the primary objective that disabled persons can take full and active part in the community without separating and ensuring access without discrimination to the other and this service to the deaf who are entitled to, but will miss out if they do not have this interpretation. The State of England must show that it means something when it says that the United Nations will validate the rights of disabled people and ensures the minimal rights he commands. Money needed in this fund is complicating to the great interests and rights of those in need of service and to the importance of human rights as the United Nations Convention on Human Rights. V.E.G. President. I challenge the highest. The Minister of Education and Culture to make things right and to add money to this fund. We can't invite these people not to have an interpretation service for a month, that's totally incorruption.
ParlaMint-IS_2015-05-27-113.u9	To shame.
ParlaMint-IS_2015-05-27-113.u10	Mr. President. Because this team's name is The House of Congress, I'm going to begin to rejoice over the program of this meeting compared with what has been over the past few weeks, with a much more favorable response to the fact that a number of cases have arrived on a program that the Parliament can face. Of course, I'm at the top of my mind, as well as other employment standards and nurse strikes that struck at this hour of the night. This makes it clear that there is becoming a more serious situation in our health system than is likely to have existed for decades. I was listening to the executive staff of nursing at a Land hospital on the radio this morning and a man is shocked. Although everything is tried within this narrow framework to ensure safety, this situation will be added to the five, six - week - old radiologists, biologists, and others who have been severely paralyzed by hospital operations, adding back to the effects of the medical strike that the health system had not worked out. So there are very long and hard waiting lists that are hard to see when they will be working on. The Kingdom is the negotiater of these groups. They cannot approach matters in a way that is not spoken to them, nor would it be possible to negotiate with them on an independent basis on the basis of the contract rights they have to form in some way or at least. address their requirements, special requirements for education in their jobs. A statement of the highest magnitude. Of course, a prime minister has said no disrespect to the independent agreement, and I am surprised that the community has not caused more civil storms: There will be no talk with these people; there will be no agreement with them until it is clear how the public labour market is working, and then it adds to accusations that the head of the labor movement is going on even at the expense of the interests of its candidates. [[The president calls.]] That's not lucky, is it, when the government's point of view puts it into the bag to solve matters? [[The president calls.]]
ParlaMint-IS_2015-05-27-113.u11	A respectable president. When disputes occur, as at the high Council of the past few weeks, I believe that members of Congress tend to forget that the people of the community are not at the General Assembly. It is likely to be. Allied council members isolate themselves from what is going on in the community. To help us cope with this, I suggest again and again that as we look ahead, we think about democracy, we think of methods that enable the public to take control when they want it or some particular part of the public so that we at the high council can never forget the nation and what we do for the people. There are a number of factors that can be considered. They are simple and different animals, but all are simple, and all are cheap. National pay is not expensive. It's not complicated. It is easy to establish here a stronger and better, civilized democracy that allows the public to decide for themselves how the priorities of the High Generalis should be, at least in principle. Shares like those that have recently been here should not occur. Never should we view these disputes as a natural part of the way the Council operates. Well, I don't think anybody's gonna do that for a long time. As we look ahead, we are not to blame one another, and when the nation wants to have a choice, we should not act as if it is an automatic defeat by politicians whose views differ. Rather, we are to show respect for the self - determination of all people, whether by individuals or by groups. Finally, I suggest that the meetings of the Generals will normally be opened.
ParlaMint-IS_2015-05-27-113.u12	A respectable president. We live in a truly acceptable land. A few days ago, DV reported that the European Commission ALMC, formerly Stramur, set aside 3,400 million dollars. K. which the Society paid a favor in grants to key employees and directors. On average, there are 100 million dollars in pay. K. on each employee. Some will have more, others less. DV, according to AMC, 20 to 30 employees are expecting such requests. This includes foreigners and foreigners. Today, the same media reported that dozens of current and former council workers are expecting offers that in some cases will be approved by tens of millions. The total is hundreds of millions. K. Keep in mind that these are not particularly ill - suffering employees, since according to their annual account, they had 1.6 billion. K. average per month. The chain of financial institutions played a major role in the 2008 collapse. Yesterday, a large group of people gathered here outside the U.S. Assembly Hall protesting everything possible, including the U.S. A return to the Iceland we knew just before a crash. A respectable president. Have we learned nothing? Will we really maintain a petitioning system in Icelandic financial life whether the petition is 25%, 50%, or 100%? Do we want a new petition? The answer is no.
ParlaMint-IS_2015-05-27-113.u13	President. I think I can totally agree with that. paritaprevir Karl Garðarsson son that most people don't want their marriage back. But there are so many other factors that make the public feel that we are back in 2007. It is not only a petitioning system in the banks but also a certain mental attitude that exists in the privacy of this workplace. I wanted to make it a subject of rented conditions, and they were very disappointed by what I have seen about this new housing system. House rent compensations - wording is only changed, and according to the news, this will benefit the most from some financial definition. I wanted to challenge the members of the greater part to make sure that the matter is being arranged at the General Assembly before we leave for vacation so that there can be serious comments in the summer so that there can be a reform of the home estate, especially as well as other solutions to Iceland's facilities. It has recently been observed that far too many people do not know their rights. That's something I think it's urgent to take care of is, i.e. how the board doesn't work here. It is all too common for the system to go into some kind of resistance. Instead of recognizing that something has to be fixed, the system says: 'Computer sass no!' "By permission of the President, I beg pardon to use English, but this word has to be turned to Icelandic, the system says no. [[The president calls.]] [[The president calls.]] Let's fix it, change the attitude.
ParlaMint-IS_2015-05-27-113.u14	A respectable president. I'm glad that we are now in the process of contracting a general labour market. I agree with them. Councilmen who have made comments on the government's procedure in other ways in dealing with their own employees are deeply concerned that they do not make the same progress. It is worth it for us, however, to remember that it is not granted when negotiations succeed in securing social peace. We've been here before. By the end of 2013, a contract with a general labour market and with the government, where peace was laid on the labour market, was controlled by the government. Minister's statements, whether that's a statement by the highest degree. Secretary of finance for an equalizing of too much in Iceland, or short of the highest. As an example of a debate in Icelandic politics today, prime minister in front of the labor force, undermines solidarity when it comes to building solidarity around the way. The answer is clear that more is needed. What the government failed, the test it went on after the 2013 contract, was that it failed to bring back to its employees the reductions in public records. She went crazy about bringing a tax change that gave them the lowest remuneration, and that's why you can learn. The process now must involve changing the tax system for those with low income and medium income, providing real solutions to housing after two years of government inactivity and ensuring the nation's maximum resources. It is a fundamental problem today that the nation has no faith that the government is interested in securing the maximum amount of resources in common funds. [[The president calls.]]
ParlaMint-IS_2015-05-27-113.u15	Mr. President. I'd like to mention two things about collective agreements that should be priorities for the government, one of the short-term details and the other long-term issues. The short - term importance is to prioritize money to 90% of the population's will, in a first - grade health system. Impulse control of the health system is not successful, nurses are having a relapse in a strike-out prior to the resolution of the issue. In November, 90% of the population reported in the Capacent Gallup survey that the Piratars had made it possible for them to set priorities for the funds that come from our joint funds in our first-class health systems. The government has to start listening to this. The long-term thing is we need framework on the success of collective agreements. The government promised two years ago, saying in its policy declaration, by permission of a president: The workforce's development and future development will be far more at peace with the partners of the labour market. The government said two years ago in a memo to the labour market party, with permission of a president: As a result of contracts made by the labour market, workers have looked to the future and changed environmental management of collective labour agreements. There is a desire to ensure more discipline and firmness, as is the definition of collective agreements in the states of the North [...]. Good idea. What, then, does ASI say about the matter in his book Buy and Vote? It says that ASI and SA stated that the organization wanted to come to a common level with the government labour market partners and set goals for improved work in the preparation of collective agreements. Almost every year, ASI and SA considered looking for models in neighboring countries that have managed to increase their power with lower inflation. What does SE say about this? Yes, they say that the Norwegian labour market model has ensured economic stability and created a better basis than the Icelandic model. The workforce, the government, and the Council have a collective responsibility to establish and maintain economic stability. [[The president calls.]] Where is this National Model Framework program to achieve the success of collective agreements? [[The president calls.]] The government needs to answer that. [[The president calls.]]
ParlaMint-IS_2015-05-27-113.u16	A respectable president. First, I'd like to thank the President for a good meeting board and to have taken matters into his own hands and resolved disputes for the moment. I'll take back what I said yesterday or the day before, that we should have the Swedish President sent to this country, but we don't have to do it at the moment. What I'd like to talk to you about is the news that it's now 850 million. K. in the tourism budget for development of tourism infrastructure and 1.3 billion for road construction. It's divided on Facebook and put in news as if it's great and the government is doing great things. Now, it has been in progress for a long time to have a tourist position built and, in fact, 500 billion of the tourist attraction fund. K. on budget 2013. The current government greatly reduced budgets, reaching only 260 million. K. 2014. They had to pick up nearly 400 million. K. on budgets, and today for budgets this year, 150 million were expected, of course, some 850 million are now being attended. K. on budgets. Investment does not finance programs that governments plan. It's a back pocket book. It's a bad idea. I don't understand how people are out all over town shouting to the government, putting money in road traffic, and in the tourist budget, or in construction at tourist places. There's always been a time when this has to be done, and if I remember correctly in the plan of investment that the government threw off the board. May I ask for a good plan, and perhaps more part of it and the highest? Secretary of finance reads the Committee's opinion of the object. I pointed to this in my Committee Department for the budget of 2014 and 2015. It wasn't supposed to surprise anyone. I think it's amazing how this is going to work, and it's amazing to be talking about discipline and responsibilities in government matters when people act like that.
ParlaMint-IS_2015-05-27-113.u17	Mr. President. I'd like to discuss the issues that have been discussed here on what happened outside yesterday and what the people in the East were asking about and demanding. For one thing, it is the authority that the members of the council have here within the house. Where is it, and how should we treat it? The majority are not considered to be good with the power they have, and it was said here that resources are being badly treated, that they needed democratic compensation, that the health system was being crushed, etc. It is people's experience, no matter what we may feel, and it is up to us to do our best to try to fix it. Older civilians and cripples should not have to depose death, many of them, as we stand before them. The balance is still far too high, and we can contribute to it, the state that deals with our professions, which are the most important groups of women, which are in pay struggles. It should not be that our people are afraid of getting sick or getting older or what they are now facing in view of the fact that these are strikes and dismissed. The future somehow looks that way for very many, too many. I'd like to say to the highest. A government and prime minister who would like to change the nation that it is just not. We must then replace the government leaders because they seem to have no ties with their people. Yesterday we were asked if it would be unfairly necessary to keep a promise and follow a law, which is likely to refer to the framework. It was then asked if it would be unfair for a person to receive a minimum wage that should be sufficient for alimony. It was also said that it was unfair that the nation could not benefit from its resources. All of these are the subjects that I think we can agree on, at least we have spoken to them in the memory, and of course we want this to be done.
