Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2015-06-13-130	ParlaMint-IS_2015-06-13-130.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-130, 13.06.2015.	2015-06-13	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	GudbjarturHannesson	Hannesson, Guðbjartur	M	1950	
ParlaMint-IS-en_2015-06-13-130	ParlaMint-IS_2015-06-13-130.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-130, 13.06.2015.	2015-06-13	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2015-06-13-130	ParlaMint-IS_2015-06-13-130.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-130, 13.06.2015.	2015-06-13	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BirgittaJonsdottir	Jónsdóttir, Birgitta	F	1967	
ParlaMint-IS-en_2015-06-13-130	ParlaMint-IS_2015-06-13-130.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-130, 13.06.2015.	2015-06-13	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	OgmundurJonasson	Jónasson, Ögmundur	M	1948	
ParlaMint-IS-en_2015-06-13-130	ParlaMint-IS_2015-06-13-130.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-130, 13.06.2015.	2015-06-13	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	JonOlafsson1977	Ólafsson, Jón Þór	M	1977	
ParlaMint-IS-en_2015-06-13-130	ParlaMint-IS_2015-06-13-130.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-130, 13.06.2015.	2015-06-13	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	UnnurKonradsdottir	Konráðsdóttir, Unnur Brá	F	1974	
ParlaMint-IS-en_2015-06-13-130	ParlaMint-IS_2015-06-13-130.u7	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-130, 13.06.2015.	2015-06-13	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	GudbjarturHannesson	Hannesson, Guðbjartur	M	1950	
ParlaMint-IS-en_2015-06-13-130	ParlaMint-IS_2015-06-13-130.u8	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-130, 13.06.2015.	2015-06-13	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	UnnurKonradsdottir	Konráðsdóttir, Unnur Brá	F	1974	
ParlaMint-IS-en_2015-06-13-130	ParlaMint-IS_2015-06-13-130.u9	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-130, 13.06.2015.	2015-06-13	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	THorsteinnSaemundsson	Sæmundsson, Þorsteinn	M	1953	
ParlaMint-IS-en_2015-06-13-130	ParlaMint-IS_2015-06-13-130.u10	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-130, 13.06.2015.	2015-06-13	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	JohannaSigmundsdottir	Sigmundsdóttir, Jóhanna María	F	1991	
ParlaMint-IS-en_2015-06-13-130	ParlaMint-IS_2015-06-13-130.u11	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-130, 13.06.2015.	2015-06-13	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BirgittaJonsdottir	Jónsdóttir, Birgitta	F	1967	
ParlaMint-IS-en_2015-06-13-130	ParlaMint-IS_2015-06-13-130.u12	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-130, 13.06.2015.	2015-06-13	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	SigridurIngadottir	Ingadóttir, Sigríður Ingibjörg	F	1968	
