ParlaMint-IS_2015-12-19-59.u1	The president considers an agreement that may last longer than the Senate allows.
ParlaMint-IS_2015-12-19-59.u2	A respectable president. This is where we take a vote on the bill for the budget. It should be noted that more of the budget committees do not suggest changes in the bill between 2 and 3. So it does not come to votes on the part of the greater part, and the Senate document is here. The bill thus changed in a reading room, and we suggest that it not be changed.
ParlaMint-IS_2015-12-19-59.u3	Mr. President. A smaller section of the budget suggests adjustments in terms of the interest of the elderly and the poor. We do so because we have observed a misunderstanding in the discussion here. They're what they were. In 2015, officials who have expressed themselves on the subject claim that by an increase of 9.7% on January 1, recovery has arrived. The fact is, though, that at least 10.9% increased in minimum employment wages on May 1. The difference, therefore, between the lowest remuneration in the labour market and the elderly and the disability market is at least 260 you. K. in 2015 and it will not be replaced by an increase of 9.7% in the January 1 month period. There's a misunderstanding, and we give it what? directors have the opportunity to revise their minds by making the proposal a little different.
ParlaMint-IS_2015-12-19-59.u4	Mr. President. There are no changes made on the part of the executives, as shown. But in the smaller parts, we certainly suggest and other angry ones to be improved from the ideal elderly and desperate in the hope of being seen by the government. As mentioned earlier, it is obvious that there is a major difference of opinion as to how percentages are calculated to micro-species and older citizens who do not stand equal or get more in their pockets, as shown in a financial memo. I do not truly believe that council officials here believe that the poorer and older citizens get more from their pockets than the lowest paid people in the country who are far too badly rewarded. Honorable House of Congress. You have a second chance here.
ParlaMint-IS_2015-12-19-59.u5	A respectable president. Here, a body of Congress has just a chance to reconsider its mind and do what is right. I encourage him to do that.
ParlaMint-IS_2015-12-19-59.u6	President. I didn't expect this proposal from my share to get a walk at the General. However, I find it important to note that it is expensive to be ill. It's expensive to be an invalid. I'm sad that a nation with a wealth of prosperity can't nurture and watch out for its citizens who have the worst and who live under the worst terms. I think we should take a careful look at the next funds and even the next funds.
ParlaMint-IS_2015-12-19-59.u7	A respectable president. We're about to vote on the budget. Later today, we'll vote for the budget. The budget has significant increases in social security benefits. This includes the insurance policy negotiated on a general labour market starting on January 1, 2016. I'll focus on it, and we'll be thinking about how we'll be able to make sure that in the years that will continue to improve the insurance policy of a general labour market. This is in line with the resolution of the party council of candidates. I would also like to point out that the changes made in the budget are very relevant to groups of people who have mentioned from hand to hand. There is also 1 billion more in aging service to support those who are ill, are in the medical system, and are elderly. At the same time, significant funds are being put in service to disabled people. [[The president calls.]] Of course, we are then making a big contribution to those who have been least able to handle the rent.
ParlaMint-IS_2015-12-19-59.u8	A respectable president. Here we are giving more than one chance to come along to make the lowest pensioners as low as the minimum wage in the labour market. This cannot be done by bringing up the 1st of January, such as the winter. paritaprevir Oddný Harðardóttir went over carefully. In addition, immediately on May 1 again, between the lowest remuneration and the tax pay will be paid by social security. If men stand by what they say, that they really want the benefit of these groups as the best, they come with us to this expedition and vote with our proposal. The proposal of the government here is to leave these groups behind.
ParlaMint-IS_2015-12-19-59.u9	A respectable president. The third year in a row, we are voting on budgets, where hundreds of millions are spent in the tourism fund. This shows that the government is not able to handle the task facing the nation in the vast stream of tourists, so it needs a year after the fall of funds in this building. The inability to make plans, follow them, and make them decent.
ParlaMint-IS_2015-12-19-59.u10	A respectable president. In other words, there is a critical moment in the situation, in the ideal poverty and in the elderly, i.e. When the advice of these groups finishes their last meeting. It is this meeting that decides what home textbooks look like in Iceland's homes, about the next and next month's conventions, how it looks like a good day, how to give Christmas gifts, or how to react to events in everyday life. This is a step toward reducing poverty in Iceland, and I challenge the management team to take a good look at their minds right now on this last Christmas Day.
ParlaMint-IS_2015-12-19-59.u11	A respectable president. We now give the administrative part an opportunity to see that there is yet another hallway in which there is a retrospective rise in pensioners. We have heard amazing excuses from the board of directors discussing this matter, and the false claims are repeatedly pronounced. It's been said that pensioners will be equal at the end of the year. That's not true. It has been said that during annual increases, it is taken into account that there were increases in the payers on May 1. That's not true. There is no basis for opposition from the government in this case other than their firm resolve that pensioners should have less benefit than underpayers. That resolve has been confirmed in the talk of the Supreme Court. Secretary of the budget, confirmed by the chairman of the budget board last night. It's the serious thing to draw up, that we live in a government that considers it its own goal that pensioners have less value than people at the lowest wage. This involves political policy. It's not pleasant, it's not justified, it's based on no reasoning, but it's shown in the government case. The opportunity now gives other members of the board, the members of the board, to show whether they will be on that team or on those who want to protect the fundamental point that pensioners have the right to equal equality with pay paid people. [[The president calls.]]
