ParlaMint-HR_2016-11-30-0.u17819	Here's my colleague Branimir Bunjac.
ParlaMint-HR_2016-11-30-0.u17820	Thank you, Chairman. I demand a break to warn of non-compliance with the public service raise agreement by 6% and the consequences resulting.
ParlaMint-HR_2016-11-30-0.u17821	Thank you very much. Dear colleague Puh.
ParlaMint-HR_2016-11-30-0.u17822	Your Honor, I'm looking for a break on behalf of the HNS and HSU club. The theme is the waste management plan.
ParlaMint-HR_2016-11-30-0.u17823	Thank you very much. You got it. And distinguished colleague Ivan Celic.
ParlaMint-HR_2016-11-30-0.u17824	Dear Vice President, I demand a break on behalf of the HDZ Club, given the latest data on the consumption of new psychoactive substances, the increase in gambling among young people in Croatia.
ParlaMint-HR_2016-11-30-0.u17825	Thank you very much.
ParlaMint-HR_2016-11-30-0.u17826	... [[The speaker is not enabled.]]
ParlaMint-HR_2016-11-30-0.u17827	So the fourth break of the Club of Representatives of MOST's waste management plan. That's it, I'm giving a 10 minute break. So we move on at 9.45. Thank you very much. It's 9:00.35. [[CONTINUES AFTER 9:45 A.M.]] The first is the Club of Representatives of the Living Wall esteemed colleague Branimir Bunjac. Here you go.
ParlaMint-HR_2016-11-30-0.u17829	Thank you, Chairman, dear colleagues and colleagues. The government of the Republic of Croatia signed an agreement with state service employees in 2006 guaranteeing them a 6% increase over the next three years. However, although the pay has started to increase by 6% already in 2009, the government has returned the base back to the old ones so that the contract annex promises that the salary will be, therefore, increased by automation the moment the GDP rises by 2% to two consecutive quarters. The conditions, therefore, for the salary raise, were earned at the latest on 1 March of this year, and some say they won on January 1st. It has also been signed that a parity with salaries in the economy will be achieved, so the salary of a person with high professional equipment will be at a minimum of 95% of the average salary in the economy. However, although the conditions for meeting this contract have not been increased. And now we have the right to justifiably ask ourselves what the government is going to do with this contract. Because as we have seen in recent days, the teacher's first private lawsuits have already begun, and it is announced that police charges will also go. This will specifically mean that the government will have to pay not only all the obligations under this contract, but that it will have to pay them up for the costs of the proceedings as well as interest. I would now like to ask the Government here which has given its mandate the foundation of the parole credibility that you can, therefore, call on what is called justice if you do not respect the contracts signed by the previous governments, which is the most important of all the government that came from the same parties that are now making up the government. Is it possible, say, that citizens don't respect signed contracts? Can the citizen who signed the contract with the bank come to the bank and say I don't respect this contract. I don't respect the 6% interest rate. I'll be paying the one-and-a-half-percent interest loan from now on. Is that possible? Is it possible that a man I don't know who has to pay for the director's electricity or the water says I don't have any money right now come next year and then I'll pay you? He can't. And a government that should be an example and a role model for all citizens, it can do that. So this government is all just untrustworthy. Also, colleagues from MOST, you said there would be some change in policymaking, and you don't respect what's signed. What are you talking about? You're bringing budget rebalances here, some kind of GDP growth story, the deficit, and all the stories are, so one simple delusion. You're cheating on the public. You can already say in advance that the budget deficit will be higher than you planned, that GDP growth will be lower, that expenditure will increase. You haven't solved one fundamental question, so in the budget, and for that, you've had a full year. And what were you waiting for? Last minute, you were waiting for a lawsuit. The worst of all, this government has created mistrust, additional mistrust in the institutions, and it turns out that the problems created by some previous governments will have to be solved by our children. So, the contract that was signed in 2006 when someone was 17, 18 and went maybe to high school, he's 27, 28 now, he's employed and he has to suffer the consequences of a non-fulfilling contract made by a government in the past. So if you don't respect the decisions of the previous governments, then say, then we annul all the laws that have been passed and the previous summations of the Parliament, so let's start all over again. I think that some basic, as the culture of political life is called, should go in order for every contract signed to be respected. And choose to respect what you have signed, and if not, then also be prepared to bear all the consequences that will result. Don't take responsibility for someone else that I see all the time in this esteemed House you keep doing. Thank you very much.
ParlaMint-HR_2016-11-30-0.u17830	Second debate, dear colleague Maria Puh on behalf of the Club of HNS and HSU Representatives. Here you go.
