Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u18009	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u18010	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u18011	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u18012	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u18013	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u18014	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u18015	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u18016	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u18017	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u23771	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	BrkićMilijan	Brkić, Milijan	M	1970	
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u23772	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ĐurićSpomenka	Đurić, Spomenka	U	-	
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u23773	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	BrkićMilijan	Brkić, Milijan	M	1970	
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u23774	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	KlisovićJoško	Klisović, Joško	M	1968	
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u23775	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	BrkićMilijan	Brkić, Milijan	M	1970	
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u23776	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	MiloševićDomagojIvan	Milošević, Domagoj Ivan	M	1970	
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u23777	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	BrkićMilijan	Brkić, Milijan	M	1970	
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u23778	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	MP	notMinister	Živi zid	Živi zid	Coalition	-	PernarIvan	Pernar, Ivan	M	1985	
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u23779	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	BrkićMilijan	Brkić, Milijan	M	1970	
ParlaMint-HR-en_2016-12-13-0	ParlaMint-HR_2016-12-13-0.u23780	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-13	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	ŠkibolaMarin	Škibola, Marin	M	1991	
