ParlaMint-HR_2016-03-11-0.u292	On behalf of the Club of Representatives of the Most, I'm looking for a five-minute break.
ParlaMint-HR_2016-03-11-0.u293	Now we can't do it in this time of the Rules of Procedure. What?
ParlaMint-HR_2016-03-11-0.u294	On the eve of the vote on the next item.
ParlaMint-HR_2016-03-11-0.u295	You can't ask for a break in the middle of the vote, according to the Rules of Procedure.
ParlaMint-HR_2016-03-11-0.u296	It may be on the eve of the vote, after the vote of the agenda.
ParlaMint-HR_2016-03-11-0.u297	On the eve of the vote, but we're not. Actually, good.
ParlaMint-HR_2016-03-11-0.u298	We are looking for a break to see why this time is not on the agenda to vote on the half-yearly report of the Croatian National Bank and the Annual Report for 2014.
ParlaMint-HR_2016-03-11-0.u299	Okay. That's why I can answer you right now, so we don't have to ask for a break. So this time it was not the vote because during the debate there were controversial thoughts about whether, some claimed that a report should be accepted or rejected, and some argued in their discussions that only the report should be kept in mind. That's why we're gonna, let me talk? That is why we will refer this question to the Committee on the Constitution, the Rules of Procedure and the political system to answer to give us a measurement opinion. Therefore, whenever we receive a response from the Committee on the Constitution, the Rules of Procedure and the political system, we will, of course, put it on the agenda for the vote. Here you go.
ParlaMint-HR_2016-03-11-0.u300	I'm interested in the Rules of Procedure. Who asked for an opinion? I think it's point 209.
ParlaMint-HR_2016-03-11-0.u301	I asked for an opinion.
ParlaMint-HR_2016-03-11-0.u302	All right, we're just interested.
ParlaMint-HR_2016-03-11-0.u303	I've asked for an opinion, or I'll ask for an opinion officially. We haven't finished voting at all. ... No, it's over. [[Speakers speaking out loud, doesn't understand.]] If you're gonna stay, we'll figure it out, if we don't. Then there's no conclusion on this point either. I'm asking you to check the quorum now because we don't seem to have it. Yeah, of course we don't have a quorum. Therefore, we cannot continue to vote, nor with the rest of the point that we have had and which has been interrupted, I would like to make it very clear immediately about the report on the implementation of the Constitutional Law on the Rights of National Minorities. The continuation of the session, but obviously some do not care, will be on 15 March at 9.30 p.m. with the point of the proposal for a budget of the Republic of Croatia for 2016. I ask that the committees all meet on Monday and discuss the budget on Monday as well as to discuss the laws that we have put on the agenda today. Because next week, we're going to discuss the budget on Tuesday, and the rest of the days are primarily about the laws that have now come from the government and that we've put on the agenda. I also ask all members of the Patriot coalition to meet me at the Šokčević Hall at the club of representatives. Session interrupted at 12.39 p.m.
ParlaMint-HR_2016-03-11-0.u4679	Here's our esteemed colleague and colleagues. We're moving on with our day's work. We go with the agenda point, scheduled - Report on the implementation of the National Strategy and Action Plan to combat drug abuse in the Republic of Croatia for 2014. The report shall be submitted by the Government of the Republic of Croatia on the basis of Article 123. Rules of Procedure of the Croatian Parliament. You took the materials into the boxes. The debate was conducted by our Committees on Health and Social Policy, the Committee on Family, Youth and Sports. Does the applicant's representative want to further explain the report? Yeah. Deputy Minister of Health Mr. Ivan Bekavac.
