Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2016-05-19-0	ParlaMint-HR_2016-05-19-0.u7185	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 3	2016-05-19	Unicameralism	8. mandat	-	Zasedanje 3	2016-06-20	-	Reference	English	Chairperson	MP	notMinister	HSP AS	Hrvatska stranka prava dr. Ante Starčević	Coalition	Far-right	TepešIvan	Tepeš, Ivan	M	1980	
ParlaMint-HR-en_2016-05-19-0	ParlaMint-HR_2016-05-19-0.u7186	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 3	2016-05-19	Unicameralism	8. mandat	-	Zasedanje 3	2016-06-20	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-HR-en_2016-05-19-0	ParlaMint-HR_2016-05-19-0.u7187	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 3	2016-05-19	Unicameralism	8. mandat	-	Zasedanje 3	2016-06-20	-	Reference	English	Chairperson	MP	notMinister	HSP AS	Hrvatska stranka prava dr. Ante Starčević	Coalition	Far-right	TepešIvan	Tepeš, Ivan	M	1980	
ParlaMint-HR-en_2016-05-19-0	ParlaMint-HR_2016-05-19-0.u7188	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 3	2016-05-19	Unicameralism	8. mandat	-	Zasedanje 3	2016-06-20	-	Reference	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	BuljMiro	Bulj, Miro	M	1972	
ParlaMint-HR-en_2016-05-19-0	ParlaMint-HR_2016-05-19-0.u7189	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 3	2016-05-19	Unicameralism	8. mandat	-	Zasedanje 3	2016-06-20	-	Reference	English	Chairperson	MP	notMinister	HSP AS	Hrvatska stranka prava dr. Ante Starčević	Coalition	Far-right	TepešIvan	Tepeš, Ivan	M	1980	
ParlaMint-HR-en_2016-05-19-0	ParlaMint-HR_2016-05-19-0.u7190	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 3	2016-05-19	Unicameralism	8. mandat	-	Zasedanje 3	2016-06-20	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	StazićNenad	Stazić, Nenad	M	1957	
ParlaMint-HR-en_2016-05-19-0	ParlaMint-HR_2016-05-19-0.u7191	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 3	2016-05-19	Unicameralism	8. mandat	-	Zasedanje 3	2016-06-20	-	Reference	English	Chairperson	MP	notMinister	HSP AS	Hrvatska stranka prava dr. Ante Starčević	Coalition	Far-right	TepešIvan	Tepeš, Ivan	M	1980	
ParlaMint-HR-en_2016-05-19-0	ParlaMint-HR_2016-05-19-0.u7193	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 3	2016-05-19	Unicameralism	8. mandat	-	Zasedanje 3	2016-06-20	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-HR-en_2016-05-19-0	ParlaMint-HR_2016-05-19-0.u7194	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 3	2016-05-19	Unicameralism	8. mandat	-	Zasedanje 3	2016-06-20	-	Reference	English	Chairperson	MP	notMinister	HSP AS	Hrvatska stranka prava dr. Ante Starčević	Coalition	Far-right	TepešIvan	Tepeš, Ivan	M	1980	
ParlaMint-HR-en_2016-05-19-0	ParlaMint-HR_2016-05-19-0.u7195	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 3	2016-05-19	Unicameralism	8. mandat	-	Zasedanje 3	2016-06-20	-	Reference	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	BuljMiro	Bulj, Miro	M	1972	
ParlaMint-HR-en_2016-05-19-0	ParlaMint-HR_2016-05-19-0.u7196	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 3	2016-05-19	Unicameralism	8. mandat	-	Zasedanje 3	2016-06-20	-	Reference	English	Chairperson	MP	notMinister	HSP AS	Hrvatska stranka prava dr. Ante Starčević	Coalition	Far-right	TepešIvan	Tepeš, Ivan	M	1980	
ParlaMint-HR-en_2016-05-19-0	ParlaMint-HR_2016-05-19-0.u7197	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 3	2016-05-19	Unicameralism	8. mandat	-	Zasedanje 3	2016-06-20	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	JakovinaTihomir	Jakovina, Tihomir	M	1967	
