ParlaMint-HR_2016-02-03-0.u1642	I swear.
ParlaMint-HR_2016-02-03-0.u1643	Mr. Branko Greek.
ParlaMint-HR_2016-02-03-0.u1644	I swear.
ParlaMint-HR_2016-02-03-0.u1645	Mr. Sinisha Hajdash Doncic.
ParlaMint-HR_2016-02-03-0.u1646	I swear.
ParlaMint-HR_2016-02-03-0.u1647	Mr. Tihomir Jakovina.
ParlaMint-HR_2016-02-03-0.u1648	I swear.
ParlaMint-HR_2016-02-03-0.u1649	Mr. Josko Klisovic.
ParlaMint-HR_2016-02-03-0.u1650	I swear.
ParlaMint-HR_2016-02-03-0.u1651	Mr. Gordan Maras.
ParlaMint-HR_2016-02-03-0.u1652	I swear.
ParlaMint-HR_2016-02-03-0.u1653	Mr. Predrag Matic.
ParlaMint-HR_2016-02-03-0.u1654	I swear.
ParlaMint-HR_2016-02-03-0.u1655	Mr. Zoran Milanovic.
ParlaMint-HR_2016-02-03-0.u1656	I swear.
ParlaMint-HR_2016-02-03-0.u1657	Mr. Orsat Milenić.
ParlaMint-HR_2016-02-03-0.u1658	I swear.
ParlaMint-HR_2016-02-03-0.u1659	Mrs. Anka Dark Taritash.
ParlaMint-HR_2016-02-03-0.u1660	I swear.
ParlaMint-HR_2016-02-03-0.u1661	Mr. Miranda Mrsic.
ParlaMint-HR_2016-02-03-0.u1662	I swear.
ParlaMint-HR_2016-02-03-0.u1663	Mrs. Vesna Pusic.
ParlaMint-HR_2016-02-03-0.u1664	I swear.
ParlaMint-HR_2016-02-03-0.u1665	Mrs. Milanka Opačić.
ParlaMint-HR_2016-02-03-0.u1666	I swear.
ParlaMint-HR_2016-02-03-0.u1667	Mr. Ranko Ostojić.
ParlaMint-HR_2016-02-03-0.u1668	I swear.
ParlaMint-HR_2016-02-03-0.u1669	Mr. Tomislav Sauch.
ParlaMint-HR_2016-02-03-0.u1670	I swear.
ParlaMint-HR_2016-02-03-0.u1671	Mr. Sinisha Varga.
ParlaMint-HR_2016-02-03-0.u1672	I swear.
ParlaMint-HR_2016-02-03-0.u1673	Mr. Ivan Vrdoljak.
ParlaMint-HR_2016-02-03-0.u1674	I swear.
ParlaMint-HR_2016-02-03-0.u1675	And Mr. Michael Zmajlovic.
ParlaMint-HR_2016-02-03-0.u1676	I swear.
ParlaMint-HR_2016-02-03-0.u1677	Thank you very much. Congratulations to the MPs and MPs on their sworn oath and I wish them success in carrying out this honorable and responsible parliamentary duty. That's what we're done with this part. [[Applause]] Good morning, colleagues and colleagues! We'd like to start with today's work. Here we would begin first with the oath of our colleague Boris Lalovec, who was prevented from doing so when others did. So here I have to read, so in accordance with Article 7 it has been determined that the president has to read the text of the oath, and then after that, the representative gets up and answers the word "I swear." So, I will now read the text of the oath: "I swear by my honor that I will exercise my duties as a representative in the Croatian Parliament knowingly and responsibly, that in my work I will stick to the Constitution and the law and respect the legal order and that I will stand up for all the progress of the Republic of Croatia." Here's Mr. Boris Lalovec.
ParlaMint-HR_2016-02-03-0.u1679	I swear.
ParlaMint-HR_2016-02-03-0.u1680	Thank you very much. I congratulate my colleague Lalovac on his sworn oath and wish him success in carrying out this honorable and responsible parliamentary duty. . And now I think we're complete as a Parliament, so we can continue to work, that is, with the first point of today's agenda, which is... [[Applause.]] [[The intruder doesn't understand.]] We would now move to, according to the agenda, the first point that is stated is: - The election of the vice-president of the Croatian Parliament; Proposers: SDP's Club and the Club of Representatives of the Croatian National Assembly; Honored colleagues of the MPs and MPs will have 5 vice-presidents in accordance with inter-party agreements in the 8th session of the Croatian Parliament. On the basis of Article 32, if 5 vice-presidents are elected, 3 vice-presidents shall be elected on a parliamentary majority proposal and 2 on a parliamentary minority proposal. In accordance with the above-mentioned article of the Rules of Procedure for the Vice-Presidents of the Assembly of Parliament held at the session on 22 January this year, the vice-presidents of the Croatian Parliament were elected to the parliamentary majority proposal. Based on an inter-party agreement between the SDP Club of Representatives and the HNS Club of Representatives, Croatian Parliament vice-presidents from the ranks of the parliamentary minority Ms Milanka Opačić and Ms. Vesna Pusic were proposed. Would the proposing representatives like to explain the proposal? No, I don't. Thank you very much. I'm opening a debate. Any word from anyone for the hearing? No, I don't. Thank you very much. I'm closing the debate. Before we make a statement on the proposals, I remind you that the election of Vice-President of the Parliament requires most of the votes of the present representatives. I'd like to ask you to establish the quorum first. Please press any button. Is that it? Can we see the situation? 96, good. Thank you very much. So the quorum is 96. First of all, I would like to vote on the proposal to elect a representative of Milanka Opačić as vice-president of the Croatian Parliament. Who's in? The vote is over. Please score. Out of 94, now we're slightly less, 76 for, 3 abstentions and 15 against. I therefore find that most of the votes of MP Milanka Opačić has been elected vice president of the Croatian Parliament. Congratulations! ... I am now voting on the proposal to elect Ms Vesna Pusic as vice president of the Croatian Parliament. [[Applause.]] Who's in? The vote is over. Out of 94 total votes, 56 are for, 5 abstentions and 33 against. Therefore, I find that most of the votes were elected by representative Mrs Vesna Pusic as vice president of the Croatian Parliament. Congratulations! ... We're going to the next item on the agenda. [[Applause.]]
