Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2014-01-30	ParlaMint-EE_2014-01-30_U1	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 30.01.2014, 10:00	2014-01-30	Unicameralism	XII Riigikogu	VII regular session	-	2014-01-30	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2014-01-30	ParlaMint-EE_2014-01-30_U2	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 30.01.2014, 10:00	2014-01-30	Unicameralism	XII Riigikogu	VII regular session	-	2014-01-30	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	y_toom_19661015	Toom, Yana	F	1966	
ParlaMint-EE-en_2014-01-30	ParlaMint-EE_2014-01-30_U3	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 30.01.2014, 10:00	2014-01-30	Unicameralism	XII Riigikogu	VII regular session	-	2014-01-30	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2014-01-30	ParlaMint-EE_2014-01-30_U4	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 30.01.2014, 10:00	2014-01-30	Unicameralism	XII Riigikogu	VII regular session	-	2014-01-30	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	j_ossinovski_19860315	Ossinovski, Jevgeni	M	1986	
ParlaMint-EE-en_2014-01-30	ParlaMint-EE_2014-01-30_U5	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 30.01.2014, 10:00	2014-01-30	Unicameralism	XII Riigikogu	VII regular session	-	2014-01-30	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2014-01-30	ParlaMint-EE_2014-01-30_U6	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 30.01.2014, 10:00	2014-01-30	Unicameralism	XII Riigikogu	VII regular session	-	2014-01-30	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2014-01-30	ParlaMint-EE_2014-01-30_U7	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 30.01.2014, 10:00	2014-01-30	Unicameralism	XII Riigikogu	VII regular session	-	2014-01-30	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	i_teder_00000000	Teder, I	U	-	
ParlaMint-EE-en_2014-01-30	ParlaMint-EE_2014-01-30_U8	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 30.01.2014, 10:00	2014-01-30	Unicameralism	XII Riigikogu	VII regular session	-	2014-01-30	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2014-01-30	ParlaMint-EE_2014-01-30_U9	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 30.01.2014, 10:00	2014-01-30	Unicameralism	XII Riigikogu	VII regular session	-	2014-01-30	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_tuus_laul_19510512	Tuus-Laul, Marika	F	1951	
ParlaMint-EE-en_2014-01-30	ParlaMint-EE_2014-01-30_U10	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 30.01.2014, 10:00	2014-01-30	Unicameralism	XII Riigikogu	VII regular session	-	2014-01-30	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	i_teder_00000000	Teder, I	U	-	
ParlaMint-EE-en_2014-01-30	ParlaMint-EE_2014-01-30_U11	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 30.01.2014, 10:00	2014-01-30	Unicameralism	XII Riigikogu	VII regular session	-	2014-01-30	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2014-01-30	ParlaMint-EE_2014-01-30_U12	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 30.01.2014, 10:00	2014-01-30	Unicameralism	XII Riigikogu	VII regular session	-	2014-01-30	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	r_maruste_19530927	Maruste, Rait	M	1953	
ParlaMint-EE-en_2014-01-30	ParlaMint-EE_2014-01-30_U13	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 30.01.2014, 10:00	2014-01-30	Unicameralism	XII Riigikogu	VII regular session	-	2014-01-30	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
