Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2014-10-21	ParlaMint-EE_2014-10-21_U1	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Tuesday, 21.10.2014, 10:00	2014-10-21	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-21	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2014-10-21	ParlaMint-EE_2014-10-21_U2	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Tuesday, 21.10.2014, 10:00	2014-10-21	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-21	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2014-10-21	ParlaMint-EE_2014-10-21_U3	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Tuesday, 21.10.2014, 10:00	2014-10-21	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-21	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	r_lang_19570704	Lang, Rein	M	1957	
ParlaMint-EE-en_2014-10-21	ParlaMint-EE_2014-10-21_U4	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Tuesday, 21.10.2014, 10:00	2014-10-21	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-21	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2014-10-21	ParlaMint-EE_2014-10-21_U5	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Tuesday, 21.10.2014, 10:00	2014-10-21	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-21	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	u_reinsalu_19750622	Reinsalu, Urmas	M	1975	
ParlaMint-EE-en_2014-10-21	ParlaMint-EE_2014-10-21_U6	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Tuesday, 21.10.2014, 10:00	2014-10-21	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-21	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2014-10-21	ParlaMint-EE_2014-10-21_U7	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Tuesday, 21.10.2014, 10:00	2014-10-21	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-21	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2014-10-21	ParlaMint-EE_2014-10-21_U8	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Tuesday, 21.10.2014, 10:00	2014-10-21	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-21	-	Reference	English	Regular	notMP	Minister	-	-	-	-	a_anvelt_19690930	Anvelt, Andres	M	1969	
ParlaMint-EE-en_2014-10-21	ParlaMint-EE_2014-10-21_U9	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Tuesday, 21.10.2014, 10:00	2014-10-21	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-21	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2014-10-21	ParlaMint-EE_2014-10-21_U10	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Tuesday, 21.10.2014, 10:00	2014-10-21	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-21	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	r_maruste_19530927	Maruste, Rait	M	1953	
ParlaMint-EE-en_2014-10-21	ParlaMint-EE_2014-10-21_U11	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Tuesday, 21.10.2014, 10:00	2014-10-21	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-21	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
