Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2014-02-13	ParlaMint-EE_2014-02-13_U1	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 13.02.2014, 10:00	2014-02-13	Unicameralism	XII Riigikogu	VII regular session	-	2014-02-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-02-13	ParlaMint-EE_2014-02-13_U2	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 13.02.2014, 10:00	2014-02-13	Unicameralism	XII Riigikogu	VII regular session	-	2014-02-13	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-02-13	ParlaMint-EE_2014-02-13_U3	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 13.02.2014, 10:00	2014-02-13	Unicameralism	XII Riigikogu	VII regular session	-	2014-02-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-02-13	ParlaMint-EE_2014-02-13_U4	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 13.02.2014, 10:00	2014-02-13	Unicameralism	XII Riigikogu	VII regular session	-	2014-02-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-02-13	ParlaMint-EE_2014-02-13_U5	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 13.02.2014, 10:00	2014-02-13	Unicameralism	XII Riigikogu	VII regular session	-	2014-02-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-02-13	ParlaMint-EE_2014-02-13_U6	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 13.02.2014, 10:00	2014-02-13	Unicameralism	XII Riigikogu	VII regular session	-	2014-02-13	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	r_maruste_19530927	Maruste, Rait	M	1953	
ParlaMint-EE-en_2014-02-13	ParlaMint-EE_2014-02-13_U7	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 13.02.2014, 10:00	2014-02-13	Unicameralism	XII Riigikogu	VII regular session	-	2014-02-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-02-13	ParlaMint-EE_2014-02-13_U8	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 13.02.2014, 10:00	2014-02-13	Unicameralism	XII Riigikogu	VII regular session	-	2014-02-13	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	r_maruste_19530927	Maruste, Rait	M	1953	
ParlaMint-EE-en_2014-02-13	ParlaMint-EE_2014-02-13_U9	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 13.02.2014, 10:00	2014-02-13	Unicameralism	XII Riigikogu	VII regular session	-	2014-02-13	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-02-13	ParlaMint-EE_2014-02-13_U10	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 13.02.2014, 10:00	2014-02-13	Unicameralism	XII Riigikogu	VII regular session	-	2014-02-13	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	n_suur_19680902	Suur, Neeme	M	1968	
ParlaMint-EE-en_2014-02-13	ParlaMint-EE_2014-02-13_U11	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 13.02.2014, 10:00	2014-02-13	Unicameralism	XII Riigikogu	VII regular session	-	2014-02-13	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	r_maruste_19530927	Maruste, Rait	M	1953	
