ParlaMint-FR_2017-11-16-O1058.u1	I'm going to suspend the meeting for a few moments.
ParlaMint-FR_2017-11-16-O1058.u2	The meeting was resumed.
ParlaMint-FR_2017-11-16-O1058.u3	The next item is the continuation of the discussion on the second part of the finance bill for 2018 (No.235, 273).
ParlaMint-FR_2017-11-16-O1058.u4	We discuss the review of appropriations for the missions "Management of public finances and human resources", "Public action and transformation", "Unallocated appropriations" and "Social and pension schemes", as well as appropriations for the special allocation accounts "Management of the State's real estate assets" and "pensions". (No 273, Annexes 25, 26, 27 and 35; No 276, Volume IV; No 278, Volume II.) The next speaker is the Minister for Action and Public Accounts.
ParlaMint-FR_2017-11-16-O1058.u5	Madam President, ladies and gentlemen, rapporteurs, ladies and gentlemen of the House of Commons, you will be aware of the various missions that we are now going to examine, and which I have the honour to conduct, that cannot be exempt from the effort that the Minister of Public Accounts is asking each of the ministers who follow this rostrum. What would the minister responsible for public accounts be the name of, if it did not apply to himself, as to his administration, the efforts and ambitions of transformation that he affirms for all and that he tries to implement under the authority of the Prime Minister? That is why, as you have seen, the appropriations of the mission "Management of public finances and human resources", relating to the means of operation and investment of the Ministry of Action and Public Accounts, are stable compared to 2017, at 10.9 billion euros. This effort is largely due to the 1450 downsizing within the department, even though there have already been significant downsizings, as has been said in the committee. I would like to take this opportunity to pay tribute to all the public service officers in my department, and in particular to the officers of the Public Finance Branch – FIPB – who demonstrate, year after year, their ability to best serve the interests of the public, while actively participating in the correction of our accounts. Several examples will suffice to convince you, ladies and gentlemen, that we can transform the country and provide better public service with fewer agents, but with more efficient computer and digital services. The DGFIP has been able to demonstrate, as you know, and all the French see it, of a modernity before the hour, of which it is now reaping the fruits. Similarly, customs, which are now confronted with new tasks, as a result of the re-establishment of Brexit-induced controls and the terrorist threat, are contributing to the objective of controlling public employment without sacrificing these essential tasks, in particular through the redeployment of human resources and the digital transformation of our administration. This improvement in productivity, however, is only made possible over time by the modernization of our administration and its methods of operation. That is why the investment appropriations that enable my Ministry's IT and digital projects to be carried out are up by 38% – plus 52 million euros. Everyone perceives the limits of the policy of the plan, whether it be public officials, trade union organizations, who have told me, or even the executives of my administration. We must now engage in a real transformation, choose the public policies we want to pursue and the public service we want to render to the French. This is the whole meaning of Public Action 2022, which the Prime Minister asked me to lead with him. For the first time, we will examine in depth the entire scope of public action, namely the State and operators, social security administrations and local and regional authorities. What tasks must be carried out today by the public authorities? How? With what means? These are the questions we must ask ourselves. While the general review of public policies – the RGPP – and the modernisation of public action – MAP – have enabled substantial efforts to be made in terms of control over public finances, if they may have prompted some administrations to transform, the non-replacement of one in two or three public servants does not appear to us to be the solution and we will change the way we do it. This approach covers, as you know, three objectives: first, an improvement in the quality of public service for users; a further improvement in working conditions for public service employees; A reduction in public spending, finally, for taxpayers. I want to reiterate here that transformation must allow us to make economies of scale while improving public service. Other countries have done so, and the Italian example is quite interesting in this respect. To do this, we have a priority lever, which I share with Mounir Mahjoubi, that of digital transformation. For the first time in the history of the Republic – let us dare focus! – 700 million euros are spent on it in the draft finance law, including 200 million euros of commitment authorisations from 2018. Our country is rich in its public service. I would like to highlight the excellent work of parliamentarians who are interested in this issue and to commend, through them, all the elected representatives of the Republic and the officials of the administration who have wished to participate, together with national representation, in the remarkable work of the special rapporteurs. I will have the opportunity to come back to this when we consider the amendments. I would like to say before the national representation how proud we are all of the remarkable work that public officials do in the service of our fellow citizens, whether it is the territorial civil service, which I have known well as mayor, the state civil service, which I now command, at my modest level or, of course, the hospital civil service. I am deeply committed to social dialogue in the public service and we have had about 30 meetings for the past six months. Since the day I took on my responsibilities, telling the truth to public officials is, it seems to me, the first sign of respect, and I know that they have heard it, even if they do not always share my view of reform. Through dialogue, I am sure we will be able to prepare for action. The truth is that the budgetary situation in our country has led us to freeze the point of index for this year...
ParlaMint-FR_2017-11-16-O1058.u6	Thank you for closing, Minister.
ParlaMint-FR_2017-11-16-O1058.u7	... to postpone the implementation of the protocol "Professional Paths, Careers and Remunerations – PPCR", and to restore the day of deficiency. [[Applause on the benches of the REM and MODEM groups]] As for the training of public officials, in accordance with the commitment of the President of the Republic, this draft finance bill devotes him extremely important appropriations.
ParlaMint-FR_2017-11-16-O1058.u8	Mr Laurent Saint-Martin, Special Rapporteur of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2017-11-16-O1058.u9	Madam President, Minister, ladies and gentlemen, rapporteurs, ladies and gentlemen, for this first budget of the legislature, my special report covers two missions: the mission "Management of public finances and human resources", which traces the appropriations of most of the directorates and agencies of the Ministry of Action and Public Accounts, and the new mission "Action et transformation publique", created by the Government to accompany the modernization of the State within the framework of the Programme Public Action 2022. For the first mission, the payment appropriations proposed for the 156, 218 and 302 programmes are down slightly, by EUR 4 million, compared to the original 2017 finance law; This will bring them to EUR 10.65 billion in 2018. This saving is allowed by a sharp reduction in staff costs, of almost 70 million euros: the Directorate-General for Public Finance – DGFIP – will make 1702 full-time equivalents worked – ETPT – while the Directorate-General for Customs and Indirect Duties – DGDDI – will see its staff increased to 286 ETPT, particularly in the context of the preparation of Brexit. These administrations have made significant gains in productivity by modernising their organization, tools and working methods. The dematerialization of tax reporting and payment, the consolidation of local revenues and the development of targeting techniques have made it possible to adapt State action and maintain robust results in a constrained budgetary context. DGFIP and DGDDI are leading their reorganization processes very well, but in the short term. This situation must change. These administrations do not have a real human resources policy, and the restructuring of the territorial network is managed in short sight, even though this subject is crucial for the continuity of the public service. It also seems to me essential to increase exchanges between directorates, between administrations and between ministries. In the fight against tax evasion, too often there is little cooperation between administrations. This has gone on for too long, and I would like to draw your attention, Minister, to the need to streamline the exchange of information and to improve the IT tools that our different jurisdictions need – as you mentioned. In order to accompany future changes as much as possible, I believe that a strategic review of the missions of these administrations is necessary. The Government launched this project with the creation of the Public Action Programme 2022. I support this approach and welcome, in this regard, the creation of the "Public Action and Transformation" mission. With €1.7 billion over five years, it will enable investments to generate sustainable savings, in order to improve the quality of the service rendered and to optimize public spending. Program 348 "Renovation of Administrative Cities and Other Multi-Occupant Government Sites" aims to improve the energy performance of buildings and reduce maintenance costs. It will have EUR 1 billion in payment appropriations by 2022. I stress, minister, the relevance of the chosen approach: 2018 will be dedicated to the realization of a diagnosis, which will allow to define the state of the housing stock and the needs of the public service. In these circumstances, I think it is necessary to take time to ensure that the expenditure achieved is effective. Program 349 "Public Action Transformation Fund" will be the arm of the Public Action Committee 2022. The obstacles to productive investment in the public sphere are known: fiscal annuality introduces a strong short-term bias; sectoral ministries are struggling to get the Ministry of Action and Public Accounts to accept long-term investment projects; reorganizations are difficult to conduct. The creation of this inter-ministerial fund, with €700 million over five years, including €200 million in commitment authorisations as early as 2018, will, I hope, free itself from these difficulties, which have hampered the modernisation of public action for too long. I hope, Minister, that you will come to this House regularly to present the progress of this project, the concrete achievements and the gains achieved. In this regard, I support the idea that the evaluation of public policies must return to a central place in the work of the Government and Parliament. In my report, I made several proposals to revitalize the role of the Special Rapporteur. I hope that it will fully exploit the powers conferred on it by the Organic Act on Finance Laws – LOLF – and that the time for control, far from focusing only on the fall, will extend throughout the year, particularly during the consideration of the proposed Regulations. In a report tabled in 1881, Mr Henri Brisson, then chairman of the Committee on the Budget, said: "The House discusses the forecasts, votes on the probable expenses, but in reality the expenditure that is made escapes it [...] no one is there to check whether the thought that presided over the preparation of the budget has been faithfully obeyed. »
ParlaMint-FR_2017-11-16-O1058.u10	All right!
ParlaMint-FR_2017-11-16-O1058.u11	[[Applause on the benches of the REM group]] The subject is known. Minister, I know your government's determination to improve the budgetary procedure. This is a vast project, but I have confidence in our common determination.
