ParlaMint-FR_2017-12-12-O1094.u1	Mrs Laurence Dumont has the floor for the New Left Group.
ParlaMint-FR_2017-12-12-O1094.u2	[[Exclaims on the benches of the LR group]] Mr Prime Minister, last Thursday, your majority, with the right and the approval of the Minister of the Interior, voted for a text aimed at locking up and returning asylum seekers more quickly and in numbers, in disregard of the most basic fundamental rights. This is a worrying, unworthy sign of your policy towards the most vulnerable, who are fleeing war, misery and famine. Is it this same course of action that would explain the state's inaction in Ouistreham today? For months, candidates for exile to England have arrived in Ouistreham, a small town in Calvados, from which ferries depart for England. Today, 176 people are wandering the streets of the commune and benefit, where possible, from the generosity of the population and the support of the associations. Very often minor, these young men are delivered to cold, wind, rain and the risk of finding dead is not excluded. The population is divided between the need to help them and the difficulties that so many migrants can create. Citizens come together spontaneously to ask for these people to be sheltered, but the municipality alone cannot do so. The question is complex, but it is our duty, first of all that of the State, to protect those people who, I would remind you, are mostly minors. Today, the State is being brought before the administrative court of Caen in summary release, so that the migrants of Ouistreham can enjoy living conditions that respect human dignity. Prime Minister, do we have to get to this for a roof, water, a toilet? What the State is doing to ensure dignified treatment of these people...
ParlaMint-FR_2017-12-12-O1094.u3	He's sending them back!
ParlaMint-FR_2017-12-12-O1094.u4	[[Applause on the benches of the NG group]] ...and to review, with England, the conditions for managing our border?
ParlaMint-FR_2017-12-12-O1094.u5	The next speaker is the Minister of State, Minister for the Interior.
ParlaMint-FR_2017-12-12-O1094.u6	[[Exclaims on the banks of the NG group]] Madam Member, the situation in Ouistreham is obviously worrying. From the moment we managed with, I believe, a certain efficiency the Calais problem, since we did not allow a jungle to be reconstructed, as was the case under the previous government...
ParlaMint-FR_2017-12-12-O1094.u7	That you supported!
ParlaMint-FR_2017-12-12-O1094.u8	Stop spitting in the soup!
ParlaMint-FR_2017-12-12-O1094.u9	Some seem never to have been socialists!
ParlaMint-FR_2017-12-12-O1094.u10	Ladies and gentlemen, please listen to the minister!
ParlaMint-FR_2017-12-12-O1094.u11	... a number of migrants have taken the direction of Ouistreham. If we look at their origin, we can see that many are "dublins", i.e. people whose application for asylum has already been taken into account in another Member State of the European Union. That is why on 7 December last the Assembly adopted the proposal for a law allowing for the proper application of the European asylum system. In fact, today, in Germany, out of the 800,000 people who have been welcomed, 300,000 have been denied their asylum application. Of course, honourable Member, you voted against this bill, but if these people all came to Ouistreham, you would see that they would face conditions other than those you describe. For our part, we are trying to combine efficiency and generosity.
