ParlaMint-FR_2017-12-20-O1107.u1	The next item is the question to the Government.
ParlaMint-FR_2017-12-20-O1107.u2	Mr Sebastien Jumel, for the Group of the Democratic and Republican Left, has the floor.
ParlaMint-FR_2017-12-20-O1107.u3	Prime Minister, since, in his wisdom, the Constitution still allows us to question the Government, I am doing so on a serious subject that threatens social cohesion. Inequalities are a prosperous evil. Four figures, from a report released a few days ago, demonstrate this. Since the 1980s, the richest 1% have captured 27% of income growth, compared to only 12% for the poorest half. This increase is even more striking in the United States. Low incomes are collapsing; At the top of the scale, income is blazing. The causal link is very clear: where tax escalation, the power of trade unions and the minimum wage are receding, inequalities develop as crazy herbs. Your government's roadmap is consistent: dismantling of the labour code, the willingness to go back to the SMIC, the abolition of the solidarity tax on wealth, the reduction of corporate taxes, the weakening of local public services, the strengthening of metropolisation at the expense of rural areas, the weakening of housing policy, the reduction of hospital spending and, even yesterday, the strengthening of the social selection of students. This roadmap is the mirror of the mechanics described in the report I have just quoted. You're taking us to an American slope. You have made the choice to remove crisis dampers, as for assisted jobs, which you have defeated without any connection to the promised formations. You are undermining our social state, promising a personal enrichment that returns to the closet the State that protects. Castle life for some, black bread for others! [[Protests on the benches of the REM group]] Prime Minister, France is not Chambord; At the end of this American slope, the greatest number will remain on the edge.
ParlaMint-FR_2017-12-20-O1107.u4	That sucks! That sucks!
ParlaMint-FR_2017-12-20-O1107.u5	[[Applause on the benches of the GDR group and on some benches of the FI group]] When do you plan to find the path of a Republic that protects?
ParlaMint-FR_2017-12-20-O1107.u6	The Prime Minister has the floor.
ParlaMint-FR_2017-12-20-O1107.u7	Mr. Jumel, we're still someone else's ideologist. By questioning the Government, as the Constitution invites you to do, on this subject, and by reproaching it without telling it to implement an ideology that would like to increase inequalities,...
ParlaMint-FR_2017-12-20-O1107.u8	The jet set!
ParlaMint-FR_2017-12-20-O1107.u9	... you expose yourself otherwise to the reproach, at least to the opposite remark, that you would see the whole reality by a prism that some might describe as ideological. You mentioned a lot of numbers, Mr. Member of Parliament. Let me also mention a few of them.
ParlaMint-FR_2017-12-20-O1107.u10	The cost of your return from Tokyo?
ParlaMint-FR_2017-12-20-O1107.u11	The measures in favour of labour and purchasing power that we will take...
ParlaMint-FR_2017-12-20-O1107.u12	Which ones?
ParlaMint-FR_2017-12-20-O1107.u13	[[Applause on several benches of the REM and MODEM groups]] ...will increase the purchasing power of the first decile of our citizens – that is, the most modest 10% – by 2.9%...
ParlaMint-FR_2017-12-20-O1107.u14	That's not true!
