ParlaMint-FR_2017-08-02-E1030.u1	The next item is the question to the Government.
ParlaMint-FR_2017-08-02-E1030.u2	Mr Loïc Prud'homme, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2017-08-02-E1030.u3	Minister of Agriculture, today, August 2, is the "day of exceedance" for 2017. From that day on mankind lives on credit because we have consumed all the natural resources that the planet can renew in one year. This day arrives every year earlier in the calendar, reflecting the continued degradation of our environment. Objectively, Minister, this week has also been for you the week of overcoming any political coherence. Given the indisputable effect of the depletion of natural resources, we cannot continue on the path of intensive agriculture, whose practices use these resources beyond sustainability. For this time, I will turn to the use of pesticides and other endocrine disruptors: you will also have to answer for them with your colleagues! While organic production, which represents another path, is booming – 16% more agricultural area in 2016 – and the demand for organic farming products is not met due to the lack of sufficient producers, you announced last Thursday – one more black Thursday – that you will not allocate enough resources for organic farming aid for the next three years! You go beyond all the laws of Cartesian logic: while, on Monday, you give yourself 50% organic food in canteens within five years and 8% of the agricultural area devoted to organic farming in 2021, you cut off, at the same time, the means allocated to support this mode of production – not to mention the fact that the aids of the years 2015 and 2016 are still not paid! Minister, you claim to be pragmatic, while we are only dreamers. But it is your statements that are illusory! Can you tell me in concrete terms how you intend to prevent the thousands of farmers who convert to organic farming from returning to conventional agriculture? Can you answer the thirty-four organizations that asked you about this historical mistake, in parallel with the launch of the General Food States? [[Applause on the benches of the FI group as well as on some benches of the NG group]] Can you explain to consumers, concerned about their health, that you are giving up healthy and local production in sufficient quantity? Finally, can you justify not committing EUR 250 million for organic farming, while the total volume of aid for the common agricultural policy, CAP, reaches EUR 9 billion?
ParlaMint-FR_2017-08-02-E1030.u4	All right!
ParlaMint-FR_2017-08-02-E1030.u5	The next speaker is the Minister for Agriculture and Food.
ParlaMint-FR_2017-08-02-E1030.u6	I thank you, honourable Member, for your question, which will allow me to re-establish the facts in their accuracy, in their truth. In fact, you have already given yourself, in your question, elements of answer. I have set myself a course: to honour the Head of State's promise to offer 50 per cent organic products in school catering, and to increase the agricultural area of organic farming from 6 per cent to 8 per cent. It is a matter of responding to growing social demand, expressed by consumers for a number of years. To achieve this, I took on my responsibilities, with the approval of the Government, and I decided to notify the European Commission of a 4.2% transfer of aid from the first pillar of the CAP to the second, in addition to the 3.3% already committed. This decision reflects our determination, firm and definitive, to move towards organic farming, to support it, to stimulate its dynamism. Today, as you know, organic farming receives aid from conventional agriculture, the first and second pillars, just as conventional agriculture does. It also benefits from specific measures to accompany its development, in particular conversion aid, which is paid to farmers for five years to accompany their changes in practice. [[Applause on the benches of the REM and MODEM groups]] The transfer I have just announced to you, honourable Member, will achieve the target I mentioned, which is 8% of the agricultural area converted to organic farming in 2021, compared to 6% today. I would also like to associate all the regional councils closely with this reflection: we will start a conversation with them in the autumn to define our policies on the financing of organic farming.
ParlaMint-FR_2017-08-02-E1030.u7	And it's the peasants who pay!
ParlaMint-FR_2017-08-02-E1030.u8	Mrs Aude Luquet, for the Group of the Democratic and Related Movement, has the floor.
ParlaMint-FR_2017-08-02-E1030.u9	My question is for the minister responsible for transportation. The recent difficulties of SNCF at Montparnasse station, if not due to the outdated equipment, have nevertheless highlighted the worrying dependence of our rail transport network, which has been paralysed by an anecdotal signaling failure in the Vanves sector. Irrespective of the difficulties it has caused during a period of heavy influx, how can such a banal incident have such important consequences? More broadly, Madam Minister, we would like to alert you again to the situation of SNCF's secondary networks. Following the recent opening of two new high-speed lines, the President of the Republic announced that, from now on, the resources would be allocated to modernising the lines that our fellow citizens borrow daily to go to work. As you know, these networks have been suffering for many years from significant delays that affect their efficiency and that do not allow them to fulfil public service missions. A recent report commissioned by SNCF management has highlighted the numerous and repeated dysfunctions that everyone knows. Vetusty of computer equipment, delays to be completed, lack of management chain: the black dots are numerous and particularly affect these highly borrowed networks. The report proposed that SNCF review its organisation in order to favour a line-based structure, instead of the regional structure, which was too cumbersome and inefficient. How does the State, present at the supervisory board of the SNCF group, intend to influence management in order to ensure that the problems of these networks, which are so essential to territorial cohesion, are better taken into account?
ParlaMint-FR_2017-08-02-E1030.u10	The Minister responsible for transport has the floor.
ParlaMint-FR_2017-08-02-E1030.u11	Madam Member, it was indeed tens of thousands of travellers who experienced very difficult conditions of transport last Sunday, the day when the SNCF was to transport 1.5 million passengers throughout the territory. At the root of this problem is a malfunction in a signalling station. I would like to point out that this is not an ordinary incident, because this malfunction could cause safety problems – including lights that passed to red or green randomly or trains were misaligned. It was therefore essential to stop the movement of trains, which SNCF did. The SNCF teams, it should be noted, have mobilized all day long to allow as many passengers as possible to reach their destination, including very late. It was thus necessary to worry about people arriving at three or four o'clock in the morning in Paris Montparnasse. I had asked, in the morning, for the activation of the Pegasus plan, which allows, in connection with the police prefecture, to provide a taxi service to travellers who met very late in Paris. During my visit to the crisis room, I had been able to measure the difficulties encountered by SNCF Réseau in reorganizing train traffic and, consequently, in providing quality information to travellers. I requested a report from the chairpersons of the SNCF and SNCF Network on the management of this incident, during which the identification and processing of the breakdown and the information of the passengers were not satisfactory. [[Applause on the benches of the REM, MODEM and LC groups and on several benches of the LR and NG groups]] I am aware that beyond this incident, every day travellers may encounter difficulties in their daily transportation. This is the whole meaning of the priority given to the maintenance and modernization of the networks which was announced by the President of the Republic and which can be discussed during the foundations of mobility which I will launch in the autumn.
