ParlaMint-FR_2017-09-26-E2003.u1	The next item is the question to the Government.
ParlaMint-FR_2017-09-26-E2003.u2	Mr Christian Jacob, for the Republican Group, has the floor.
ParlaMint-FR_2017-09-26-E2003.u3	[[Exclaims on the benches of the REM and MODEM groups – Applause on the benches of the LR group]] [[Exclaims on several benches in the REM group]] Prime Minister, on Sunday, your walkers stayed at the Senate marches, a Senate closed twice by angry local elected officials. Those of your new friends who have won, and they are just a few, are usually defectors – a word that must speak to you, Prime Minister!
ParlaMint-FR_2017-09-26-E2003.u4	They're traitors!
ParlaMint-FR_2017-09-26-E2003.u5	Local elected officials have seen what lies behind macroism. It is a company of weakening of proximity and communal vitality...
ParlaMint-FR_2017-09-26-E2003.u6	Exactly!
ParlaMint-FR_2017-09-26-E2003.u7	... a real enterprise to recentralize powers in Paris against our territories.
ParlaMint-FR_2017-09-26-E2003.u8	What exactly is your question?
ParlaMint-FR_2017-09-26-E2003.u9	You have announced a decrease in endowments, a sharp decrease in the number of assisted contracts, the abandonment of major infrastructure projects, the demagogic abolition of the housing tax and a territorial project where there is much more question of metropolises than of rurality.
ParlaMint-FR_2017-09-26-E2003.u10	The question!
ParlaMint-FR_2017-09-26-E2003.u11	[[Applause on the benches of the LR group]] And now the President of the Republic announces to us that there are too many local elected officials and that we must remove them! Would it come to the idea of anyone to suppress volunteers in associations? I don't think so! To remove local elected representatives is to attack the first volunteers of the Republic, those who often allow French society to stand up, by their commitment and by their volunteerism.
ParlaMint-FR_2017-09-26-E2003.u12	You're right!
ParlaMint-FR_2017-09-26-E2003.u13	If there is a hidden plan to abolish the communes, as your recently appointed prefects suggest, make it clear, Prime Minister. Assume it! [["Ah! » on the benches of the REM and MODEM groups]] [[Applause on the benches of the LR group]] So my question is simple, Prime Minister. Did you, yes or no, hear the immense incomprehension, and above all the great anger, which expressed itself on Sunday?
ParlaMint-FR_2017-09-26-E2003.u14	The Prime Minister has the floor.
ParlaMint-FR_2017-09-26-E2003.u15	A defector!
