Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FR-en_2017-06-27-O1124	ParlaMint-FR_2017-06-27-O1124.u1	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 124, 27/06/2017	2017-06-27	Lower house	15e législature	Session ordinaire 2016-2017 (CRSANR5L15S2017O1N124)	-	124. séance	-	Reference	English	Chairperson	MP	notMinister	LR	Les Républicains	Opposition	Centre-right	PA223837	Brochand, Bernard	M	1938	
ParlaMint-FR-en_2017-06-27-O1124	ParlaMint-FR_2017-06-27-O1124.u2	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 124, 27/06/2017	2017-06-27	Lower house	15e législature	Session ordinaire 2016-2017 (CRSANR5L15S2017O1N124)	-	124. séance	-	Reference	English	Chairperson	MP	notMinister	LR	Les Républicains	Opposition	Centre-right	PA223837	Brochand, Bernard	M	1938	
ParlaMint-FR-en_2017-06-27-O1124	ParlaMint-FR_2017-06-27-O1124.u3	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 124, 27/06/2017	2017-06-27	Lower house	15e législature	Session ordinaire 2016-2017 (CRSANR5L15S2017O1N124)	-	124. séance	-	Reference	English	Chairperson	MP	notMinister	LR	Les Républicains	Opposition	Centre-right	PA223837	Brochand, Bernard	M	1938	
ParlaMint-FR-en_2017-06-27-O1124	ParlaMint-FR_2017-06-27-O1124.u4	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 124, 27/06/2017	2017-06-27	Lower house	15e législature	Session ordinaire 2016-2017 (CRSANR5L15S2017O1N124)	-	124. séance	-	Reference	English	Chairperson	MP	notMinister	LR	Les Républicains	Opposition	Centre-right	PA223837	Brochand, Bernard	M	1938	
ParlaMint-FR-en_2017-06-27-O1124	ParlaMint-FR_2017-06-27-O1124.u5	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 124, 27/06/2017	2017-06-27	Lower house	15e législature	Session ordinaire 2016-2017 (CRSANR5L15S2017O1N124)	-	124. séance	-	Reference	English	Chairperson	MP	notMinister	LR	Les Républicains	Opposition	Centre-right	PA223837	Brochand, Bernard	M	1938	
ParlaMint-FR-en_2017-06-27-O1124	ParlaMint-FR_2017-06-27-O1124.u6	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 124, 27/06/2017	2017-06-27	Lower house	15e législature	Session ordinaire 2016-2017 (CRSANR5L15S2017O1N124)	-	124. séance	-	Reference	English	Chairperson	MP	notMinister	LR	Les Républicains	Opposition	Centre-right	PA223837	Brochand, Bernard	M	1938	
ParlaMint-FR-en_2017-06-27-O1124	ParlaMint-FR_2017-06-27-O1124.u7	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 124, 27/06/2017	2017-06-27	Lower house	15e législature	Session ordinaire 2016-2017 (CRSANR5L15S2017O1N124)	-	124. séance	-	Reference	English	Chairperson	MP	notMinister	LR	Les Républicains	Opposition	Centre-right	PA223837	Brochand, Bernard	M	1938	
ParlaMint-FR-en_2017-06-27-O1124	ParlaMint-FR_2017-06-27-O1124.u8	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 124, 27/06/2017	2017-06-27	Lower house	15e législature	Session ordinaire 2016-2017 (CRSANR5L15S2017O1N124)	-	124. séance	-	Reference	English	Chairperson	MP	notMinister	LR	Les Républicains	Opposition	Centre-right	PA223837	Brochand, Bernard	M	1938	
ParlaMint-FR-en_2017-06-27-O1124	ParlaMint-FR_2017-06-27-O1124.u9	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 124, 27/06/2017	2017-06-27	Lower house	15e législature	Session ordinaire 2016-2017 (CRSANR5L15S2017O1N124)	-	124. séance	-	Reference	English	Chairperson	MP	notMinister	LR	Les Républicains	Opposition	Centre-right	PA223837	Brochand, Bernard	M	1938	
ParlaMint-FR-en_2017-06-27-O1124	ParlaMint-FR_2017-06-27-O1124.u10	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 124, 27/06/2017	2017-06-27	Lower house	15e législature	Session ordinaire 2016-2017 (CRSANR5L15S2017O1N124)	-	124. séance	-	Reference	English	Chairperson	MP	notMinister	LR	Les Républicains	Opposition	Centre-right	PA223837	Brochand, Bernard	M	1938	
ParlaMint-FR-en_2017-06-27-O1124	ParlaMint-FR_2017-06-27-O1124.u11	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 124, 27/06/2017	2017-06-27	Lower house	15e législature	Session ordinaire 2016-2017 (CRSANR5L15S2017O1N124)	-	124. séance	-	Reference	English	Chairperson	MP	notMinister	LR	Les Républicains	Opposition	Centre-right	PA223837	Brochand, Bernard	M	1938	
