ParlaMint-FR_2017-11-14-O1054.u1	The next item is the discussion, for final reading, of the 2017 amending finance bill (No. 379).
ParlaMint-FR_2017-11-14-O1054.u2	The Secretary of State for Relations with Parliament, the spokesman for the Government, has the floor.
ParlaMint-FR_2017-11-14-O1054.u3	Mr President, let me tell you that I enjoyed, almost smiling, this introduction and the rapid flow that you are adopting when you are chairing the meeting. The former Member of Parliament who was sitting in front of you is happy to find your speed again. Mr President, and the rapporteur-general of the Committee on Finance, the General Economy and Budgetary Control, ladies and gentlemen, I shall be brief, and I shall speak not about the substance of this text, which you are familiar with, but about what leads us to debate it. This morning, in the Committee on Finance, some criticisms were made of the timetable. I hear them perfectly and it is on this subject that I will speak before you. I will be brief on the substance because last week's discussions, as well as yesterday's new reading in the National Assembly, have allowed – as I know – precise and serious exchanges. The first reading was an opportunity for the Minister of Economy and Finance to explain in full transparency the Government's approach and to provide – despite the time constraints we have, which you have had – all the figures that parliamentarians have asked for. Yes, the effort we are asking for from our big companies is important, but it is necessary to ensure the stability of our public finances and the fulfilment of our European commitments. The credibility that will bring us out of the excessive deficit procedure, in which our country has been in since 2009, will benefit all, including companies that are seeing their corporate taxes increase in 2017 – for only one year. Bruno Le Maire told you, and I would like to reaffirm it before you. It must be noted that no one, including among those who opposed this text, has been able to propose an alternative solution that meets the three requirements that we had to set ourselves: first of all, let us call a cat a cat, a revenue requirement of EUR 5 billion; Then, a requirement of legal soundness in order to close the chain of disputes; Finally, an accounting requirement allowing the tax proceeds to be charged as early as 2017, you know the reasons. This is the best solution, in the face of a situation which can only be unanimously deplored. The final reading of this draft law on amending finance will enable us to implement within the very short time limits which were given to us the additional contribution and the exceptional contribution to corporate tax for the 320 companies with turnover of more than EUR 1 billion. I am not unaware of the efforts you have made or the work you have done to adopt this text very quickly, and I thank you for that, but we were under an obligation to move quickly. Why? Because the text has to be adopted so that the contribution can be cashed by 20 December 2017, so that it is sufficiently upstream to allow tax services to recover it and businesses to organise themselves. It was therefore not possible to wait for the PLFR to be completed. Hence this ad hoc PLFR. Another constraint is that when a dedicated finance bill is required, its review must take place in a strictly separate time frame from the end-of-management PLFR. That is another reason for the urgency that prompted us to ask you to debate and pronounce yourself tonight. This requirement derives from the Organic Law on Finance Laws. Any delay in the review of this PLFR would have resulted in a further delay in the review of the end-of-management PLFR, effectively compromising its conditions for consideration and voting by the National Assembly and the Senate. By voting on this text, you allow France to maintain the planned fiscal trajectory initially below 3% of the deficit. Then we'll have to move on. First of all, we need to rethink the development of our tax law. The Minister for Economic Affairs and Finance was able to present the report of the General Inspectorate of Finance to you yesterday, during the discussion in a new reading, and to discuss with you the reasons which led to the annulment by the Constitutional Council of the 3% tax on dividends. This report is now public. The Government had undertaken to do so. It was introduced to you. He is now to the French. This is a first step in the collective reflection that we must lead. The Government wishes to closely involve parliamentarians around three strong objectives: to strengthen the security of the procedure for drawing up the tax law, to ensure greater transparency on the risks of litigation and, finally, to put the administrative machinery for following up on the tax dispute down and to establish an effective alert procedure. Moreover, this PLFR does not call into question the fiscal policy set out in the 2018 Finance Bill: a policy to better finance businesses, promote their development, growth and job creation. The Minister of Economy and Finance will therefore be before you on Thursday to defend the continuation of the profound transformation of our taxation as proposed by the Government. The first part of the finance bill for 2018 proposed a recast of capital taxation, in order to encourage the reorientation of French savings towards investment and the productive economy. This is a strong impetus for economic actors and an incentive for our citizens to undertake and succeed. The second stage will be the reduction of the corporate tax rate to a competitive level for France, as well as the sustainability of the competitiveness and employment tax credit – CICE – transformed into an expense relief from 1 January 2019. Let me remind you: the gradual reduction in corporate tax from 33.3% to 25% in 2022 represents a reduction of more than EUR 11 billion for businesses over the five-year period, and then from EUR 5 billion per year from 2022, compared to today's taxation. [[Applause on the benches of the REM group]] Ladies and gentlemen, by renewing my thanks for accepting the time constraints associated with the examination of this text, I welcome the quality of your work and remain at your disposal to answer your questions.
ParlaMint-FR_2017-11-14-O1054.u4	Mr Joël Giraud, rapporteur-general of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2017-11-14-O1054.u5	Mr President, Mr Secretary of State, Mr President of the Committee on Finance, ladies and gentlemen, for the third time in less than ten days, we are called upon to vote on this amending finance bill, which we are all familiar with now. This afternoon, on further reading, the Senate initially rejected a motion to oppose the previous question, the adoption of which would have led to the rejection of the text. It then passed without amending sections 1 and 3 of the bill, eventually rejecting the entire text. Comprehensive who can! In accordance with the last paragraph of article 45 of the Constitution, the Government has asked our Assembly to take a final decision by seizing the text that we adopted yesterday on a new reading. Under the same article of the Constitution, only amendments adopted by the Senate on re-reading may be tabled. As the Senate rejected the text, no amendments were possible. We are therefore faced with a simple choice, which is not unusual in terms of financial laws – I refer you to the collective of 2016 –: to adopt the text voted yesterday by our assembly or to reject it. That will not surprise you: I will invite you, ladies and gentlemen, to adopt it. But allow me a little digression following the remarks made by the Secretary of State on the budgetary procedure. Tomorrow, will be presented to our Finance Committee the second PLFR for 2017...
ParlaMint-FR_2017-11-14-O1054.u6	The real one!
ParlaMint-FR_2017-11-14-O1054.u7	... which corresponds to the traditional end-of-year collective. We are not aware of its content, but I assure you that it will contain, in addition to the necessary budgetary adjustments and other arrangements which must be included in the finance law, many technical articles which could have been found in another vehicle, for example a dedicated tax law, which we could have examined in the spring, without urgency, with deadlines for working properly.
ParlaMint-FR_2017-11-14-O1054.u8	Bravo!
ParlaMint-FR_2017-11-14-O1054.u9	[[Applause on several benches of the REM and LC groups]] In order to protect us as much as possible from constitutional censorship, whether it takes place a priori or as a result of a priority issue of constitutionality, I invite you, Mr Secretary of State, ladies and gentlemen, to make budgetary review time and, more generally, parliamentary time one of the central issues of the ongoing reflection on the functioning of our institutions, of our Assembly and of the budgetary debate – and to do so really. Thank you!
ParlaMint-FR_2017-11-14-O1054.u10	Mr President, the Committee on Finance, the General Economy and Budgetary Control has the floor.
ParlaMint-FR_2017-11-14-O1054.u11	Mr President, Mr Secretary of State, ladies and gentlemen, we are meeting for the third time. We're going to rehearse in the end! Why all the agitation around this text, Secretary of State? We are facing a state scandal for which no one is responsible, if I understand the report of the General Inspectorate of Finance. The 2017 deficit might not have been affected by the measures you are proposing, if you had included them in the year-end collective that will be presented tomorrow. Moreover, even if the amount was not cashed this year, it could have been cashed in January for the 2017 fiscal year. This was a discussion with INSEE and Eurostat, which was not a particular problem. The bill contains three contradictory messages introduced – this is not the first time in this government's mouth – by the famous "at the same time". Let's start with corporate tax, which is not a 3 % but a 30 % subject, since, in order to repay the 3 % dividend levy, you will increase corporate tax by 30 % for companies with a turnover of more than €3 billion. It's not nothing. I know that neither businessmen nor their representatives have protested much. That's the least we can say.
