ParlaMint-FR_2017-12-19-O1104.u1	The next item is the oral questions without debate.
ParlaMint-FR_2017-12-19-O1104.u2	Mr Jean François Mbaye has the floor to put his question, No. 49, on the cost of the 2024 Olympic Games.
ParlaMint-FR_2017-12-19-O1104.u3	Madam Minister of Sport, on September 13, Paris was designated host city of the 2024 Olympic Games. However, which says Olympic Games says too often financial drift. The players in the dossier ensure that France will be an exception in keeping with its estimate of €6.8 billion in value 2024, i.e. taking into account inflation. This includes $3.6 billion for the organization component of the Olympic Games Organizing Committee, the OCOG, funded by the International Olympic Committee, ticketing and national sponsors. In addition, it is estimated that 3 billion will be spent on sustainable structural investment from the public sector. The State will contribute EUR 1 billion and local and regional authorities EUR 500 million. The private sector will contribute $1.51 billion. Taxpayers will therefore be charged $1.5 billion. The City of Paris and the Île-de-France region will contribute 145 million each, and the Seine-Saint-Denis will contribute 67.4 million. The public authorities must also contribute EUR 100 million to the Paralympic Games. Minister, in recent history, only the Olympic Games in Los Angeles in 1984 were able to meet the budget forecasts. For the other organizing cities, the bill has sometimes been multiplied by five times compared to these forecasts, partly to the detriment of taxpayers. The Mayor of Paris, Anne Hidalgo, recalled that only 5% of the equipment must be built: the Olympic basin and the two villages. This seems to bode well for the implementation of the announced budget. Hidalgo assures that taxpayers will not finance the Olympic Games and announced on October 1st in an interview with the Parisian: "I made a commitment not to raise taxes. And we won't do it until 2020. » Minister, what steps does the Government intend to take to meet the projected budget? Can you tell us whether security measures and expenditures, in particular, have been taken into account? For the time being, a €200 million envelope is foreseen for this purpose in the organisational budget, but is this estimate sufficient? The cost of deploying the police forces in August and September 2024 is not included in the general budget and could be heavily burdened. In addition, in a context of difficult budgetary savings, is the financial burden of the Olympic project not excessive for local and regional authorities?
ParlaMint-FR_2017-12-19-O1104.u4	The Minister for Sport has the floor.
ParlaMint-FR_2017-12-19-O1104.u5	Mr President, the control of the expenses associated with hosting the Olympic and Paralympic Games in 2024 is a legitimate concern for all our compatriots: on the one hand, because France is committed to an ambitious strategy to redress its public accounts; On the other hand, because recent experiences abroad have shown that hosting the Games is indeed a complex operation, which therefore deserves a coordinated approach. This is why the Government, prior to the announcement of the IOC's ratification of the Paris Olympic and Paralympic Games, wanted to organize an extremely precise mechanism to accompany the Games, in order to prevent any risk of budget deviations over the entire duration of the planning of operations. The actions of the State and the stakeholders at the Games create a comprehensive supervisory mechanism that I would like to recall here. First, it includes an interdepartmental delegation to the Olympic and Paralympic Games, dedicated to ensuring the quality of coordination between the OCOG, the delivery company of the Games – SOLIDEO – and all parties linked by the organisation, including local and regional authorities. This inter-ministerial structure, created by decree, is operational. It ensures that the schedule of operations will be maintained. It is a guarantee of efficiency, because it is known that delays are often the main source of additional budgetary costs. Then, an ad hoc budget programme was created, dedicated to the re-coupling of Olympic spending, including payment appropriations and commitment authorizations for operations conducted by the delivery company of the Games. It is a guarantee of financial transparency and monitoring of the execution of Olympic spending. The programme was introduced by an amendment by the Government during the first reading of the 2018 Finance Bill. In addition, the OCOG's statutes, which will be tabled in early 2018, provide, in return for the guarantee that was granted to the committee in the 2017 draft amending finance bill, numerous safeguards: general economic and financial control, a remuneration committee, an ethics committee, an audit committee, and enhanced rights for the state to inform and monitor the OCOG's financial and accounting activities. With these mechanisms of supervision taken as a whole, it is subject to a control of its management and operation which is exceptional for an association law 1901. All of these processes are entirely new to a private law structure. This comprehensive approach, introduced throughout the cycle of the event, will ultimately ensure that sovereign exposure to financial risks will be curbed.
ParlaMint-FR_2017-12-19-O1104.u6	Mr Jean François Mbaye has the floor.
ParlaMint-FR_2017-12-19-O1104.u7	Thank you for that clarification, Minister. It was important to clarify the situation at a time when we were talking about budget savings. [[Applause on all benches]] I would like, if I may, to extend, on behalf of all my colleagues, my congratulations to our women's handball team.
ParlaMint-FR_2017-12-19-O1104.u8	All right!
ParlaMint-FR_2017-12-19-O1104.u9	Handball, both men's and women's teams, is a source of pride for us. Congratulations to these players, who have given us immense happiness!
ParlaMint-FR_2017-12-19-O1104.u10	Mrs Carole Bureau-Bonnard spoke of her question, No 52, on the legal simplification of the apprenticeship contract.
ParlaMint-FR_2017-12-19-O1104.u11	My question is for the Minister of Labour. Simplification of the legal framework of the apprenticeship contract should be at the heart of the learning reform that the Government is preparing and which will be considered by Parliament in the coming months. During my meetings and visits to my constituency – the sixth in the Oise, from Compiègne to Noyon – young apprentices and entrepreneurs often share the same expectations: a real simplification and relaxation of the apprenticeship contract. As you know, it has become too complex over time, both for employers and for apprentices: the procedure for authorisation prior to the use of night work and overtime, the way in which it is broken, and the speed of alternation which is too rigid. It is also necessary to remove the age limits applicable to entry into apprenticeship, which are a barrier to its development, in particular for financial reasons in the case of artisans, and among the public wishing to embark on a course which offers the best chances of access to employment. However, the specificities of the apprenticeship contract must be preserved. Apprenticeship is a comprehensive course of training, designed to acquire a set of skills that will enable you to practise a profession, but also to consider a rich and fulfilling professional and personal career path. In the craft sector, it is also the royal route to business start-ups: 41% of craft entrepreneurs were apprentices. The apprenticeship contract and the professionalisation contract must be clearly distinguished, because their respective objectives are not the same: initial training courses for the apprenticeship contract, often after the college; adaptation to a first job or specialization for the professionalization contract. However, they are too often confused under the generic category of alternation, whereas they are fundamentally different in nature. Learning combines the advantages of a way of acquiring knowledge through practice and professional action with the presence in the company, which allows a real osmosis between acquisition of know-how and acquisition of know-how. The objectives and the target audiences of each of these training routes should therefore be clearly stated, the associated funding strictly pointed out and the legal framework simplified. What is the position of the Government to reform learning and to satisfy the need for simplification expressed by all actors in access to employment through alternance?
