ParlaMint-FR_2017-12-12-O1093.u1	The next item is the oral questions without debate.
ParlaMint-FR_2017-12-12-O1093.u2	Mr Jean-Pierre Vigier has the floor to put his question, No 9, on the digital coverage of rural areas.
ParlaMint-FR_2017-12-12-O1093.u3	My question is for the Minister for Territorial Cohesion. The French in the rural world are not second-class French. There must not be a France for the connected and a France for the forgotten. There can't be a France that has the chance to be open to the world and a France that is being disconnected. In France, as you know, too many regions face a disparity in access to digital technologies. Despite what the operators say, many areas of the national territory remain very little covered by 4G or 3G, which only exacerbates the territorial divide. Adequate digital coverage is essential to ensure the attractiveness and development of rural areas. The digital coverage of the entire territory is an absolute emergency for the inhabitants of rural areas. The President of the Republic has pledged to provide 100 per cent of the French population with broadband coverage by the end of 2020 and the Government is currently conducting discussions with operators to obtain new coverage commitments. I would like to know the state of play of these discussions with operators regarding the installation of towers in rural areas, particularly in the Haute-Loire department. In the absence of agreement with these operators, what steps does the Government wish to take to force them – I insist on this word – to fulfil this essential mission for the French? On behalf of the millions of people in the rural world, who are exasperated at not having the same digital rights as the other French, I call on the Government to act quickly and, above all, to act well.
ParlaMint-FR_2017-12-12-O1093.u4	The Secretary of State to the Minister for Action and Public Accounts has the floor.
ParlaMint-FR_2017-12-12-O1093.u5	Mr. Member of Parliament, aware of the urgent need to put an end to what you rightly describe as an unjust territorial divide, the Government has decided to speed up the digital coverage of the territories by setting ambitious and coherent objectives around two axes. The first is a cohesion axis, in order to ensure that all, particularly in rural areas, have access to broadband for all or to very high-speed from 2020 and to generalise the quality of mobile coverage, allowing, in particular, all uses of 4G. The second is a axis of ambition, to provide all the territories of the Republic with state-of-the-art digital infrastructure, offering access to very high-speed. In order to achieve these objectives, we have launched various projects since the summer, in consultation, as you have pointed out, with local authorities, operators and industry in the sector. With regard to the fixed coverage of the territory, the Government has chosen to maintain the stable balances of the France Très Haut Débit plan, by securing the action of the local authorities engaged in public initiative networks and by obtaining from the operators firm commitments of deployment, punishable within a legal framework. For the cohesion target set in 2020, a major project is under way, which aims to identify all premises that will not have good wired broadband by 2020. More than seventy departments have already been dealt with to date. The Government will ensure that an effective Internet access solution is available for each of these households and consider how best to support their equipment. Approximately two million premises are involved, according to the Digital Agency's estimates. With regard to mobile coverage of the Territory, despite existing programmes, the Government was fully aware that the solutions currently in place were not sufficient. The current criteria do not correspond to the practices that have developed strongly, particularly for the mobile sector, which causes frustration and incomprehension among elected officials, citizens and operators, especially in the most rural areas, which are poorly covered. In order to achieve the goal of widespread quality mobile coverage by 2020, the Government intends to rely mainly on private operators. With this in mind, he asked the regulation of electronic communications and postal services, ARCEP, to conduct discussions with the operators on the commitments they could undertake in a binding way – I stress this word – in the context of the renewal of their licence. Proposals on these new modalities have already been transmitted by the regulator to the Government, which intends to report its decision by the end of this year, in the next few days. On the other hand, our reflections feed on the various initiatives that can be implemented in the territories. Every good example must serve us. Mr President, the proximity to the expiry of the licences for 2021-2024 offers a unique opportunity for dialogue. However, if the proposal made by ARCEP to the Government was not considered satisfactory, it should be noted that ARCEP will study all the other forms of action, in consultation with the local authorities, and will of course inform the national representative accordingly.
ParlaMint-FR_2017-12-12-O1093.u6	Mr Jean-Pierre Vigier has the floor.
ParlaMint-FR_2017-12-12-O1093.u7	Thank you for your answer, Secretary of State. However, this digital coverage in rural areas needs to be done very quickly, as it is the development of rural areas. If we do not act now, there will be a territorial divide between urban areas and rural areas, and deserts will be created on these territories. We therefore need concrete action very quickly.
ParlaMint-FR_2017-12-12-O1093.u8	Mr Mickaël Nogal has the floor to put his question, No 22, on emergency accommodation.
ParlaMint-FR_2017-12-12-O1093.u9	My question is to the Minister for Territorial Cohesion and is about the state of emergency accommodation as it approaches the winter period. In Toulouse, as in other cities and cities, the housing situation of vulnerable people remains worrying. In recent weeks, I have been alerted to the situation of many homeless families. Thanks to good coordination between the State departments, those of the city and the action of associations such as France Horizon, emergency solutions were found. Thus, the Haute-Garonne will have 650 emergency accommodation places dedicated to the reception of homeless people during the winter period. Other, longer-term solutions exist. For example, it is not uncommon for buildings awaiting renovation, particularly in the city centre, where regulations are multiple and heavy, to remain empty for at least 12 months or even 18 to 24 months. In Toulouse, associations propose to use these buildings for emergency accommodation during the period of inoccupation, before the start of the work, for example, or as part of a free supply by the owner, to whom this operation avoids the costs of guarding. Alternatively, a Toulouse non-profit association offers an emergency accommodation solution in the form of accommodation modules installed in unoccupied offices. This system makes it possible to exploit the interlayer domain, i.e. the unused buildings of the city, which are numerous. Mr Secretary of State to the Minister for Action and Public Accounts, can you tell me what short-, medium- and long-term solutions the Government intends to put in place to address the immediate human emergency, and what you are considering to encourage innovative solutions when the current mechanisms are no longer sufficient to respond to these unacceptable crisis situations?
ParlaMint-FR_2017-12-12-O1093.u10	The Secretary of State to the Minister for Action and Public Accounts has the floor.
ParlaMint-FR_2017-12-12-O1093.u11	Mr President, as you have pointed out, the Occitanie region and, in particular, the Haute-Garonne department have, historically, a social housing park below the national average. A major catch-up effort has been made in recent years. For example, the resources allocated by the State to housing and access policy in the Occitanie region under programme 177 have increased by 24 per cent over five years. The capacity of accommodation and suitable accommodation in the Haute-Garonne department has been the subject of special attention in recent years and has grown considerably, to reach today a capacity of around 5000 places. This mobilisation is obviously reinforced during the winter period and, since 1 November last, an unprecedented effort has been made in terms of the creation of accommodation places, so that a suitable solution is found for each family without accommodation that requests 115, with particular attention when these families include children. In your department of Haute-Garonne, until 15 November, an average of 220 people were daily without accommodation solutions and you are among those most involved in bringing this matter to the attention of the Government. On 1 December, just a week ago, more than 550 winter places were opened in Haute-Garonne. By the end of this month, your department will eventually have more than 800 emergency accommodation spaces dedicated to welcoming homeless people during the winter. I would add that 220 places still have to be opened in the next few days in apartments made available by social donors, as you mentioned. Finally, since 1 December, on average, seventy-four people have been sheltered in a gym every day. At national level, up to 10,000 places will be mobilised in addition to the 125,000 places open all year round. I would point out that all these places are 100% financed by the State in the form of social support. In Haute-Garonne, solutions were first found in the social park: new squares were opened in apartments, but also in buildings dedicated to demolition. As for the mobilization of State-owned buildings, new solutions are currently under consideration. I can also tell you that the State and the city of Toulouse are also working to support the Unity Cube association, which has developed the innovative solution that you mentioned and which consists of installing modules in unoccupied buildings. As you can see, all solutions deserve to be explored and the Government is paying great attention to these issues. In conclusion, I would like to recall the remarks made precisely to the elected representatives of Toulouse by the President of the Republic last September on the occasion of the presentation of the plan for emergency accommodation: "I know the work your city is doing in terms of housing and we want to experiment with you our plan Housing first". Member of Parliament, you can count on the determination and mobilization of the entire Government to allow as many people as possible without accommodation to have a roof, in Haute-Garonne as elsewhere in the national territory, especially during the winter period. Finally, on November 20, the Minister of Territorial Cohesion issued a call for expressions of interest to communities wishing to invest in the Housing First Plan. The objective is to select, in February 2018, the fifteen accelerated implementation territories. I know how to count on you to relay this message and call the metropolis and the city of Toulouse, if they wish, to register in this context.
