ParlaMint-FR_2017-10-11-O1007.u1	The next item is the question to the Government.
ParlaMint-FR_2017-10-11-O1007.u2	Mrs Marie-Christine Dalloz, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2017-10-11-O1007.u3	Prime Minister, your budget provides for a real tax shock for people living in rural areas. Indeed, your unprecedented fuel taxation project will result in a sharp increase in gasoline prices and a very sharp increase in diesel prices. As of next year, the price of gas oil at the pump will increase by almost 7.6 cents and the price of gasoline by 3.9 cents. And the tax shock will intensify further during the quinquennium. By 2022, the price of diesel at the pump is expected to increase by 57% and that of gasoline by 20%! This increase in fuel prices will bring the French government 14 billion euros. You make the bet that the price of the barrel will not increase: what if it is not? [[Applause on the benches of the LR Group and among non-attached Members]] President Macron seems to ignore this, but 95% of French territory does not have subways, trams or even buses to move around.
ParlaMint-FR_2017-10-11-O1007.u4	That's right!
ParlaMint-FR_2017-10-11-O1007.u5	To go to work, to take the children to school or to go shopping, all these French in rural areas use their vehicle. They have no other way! You're going to severely penalize their purchasing power. Consider that more than two thirds of the vehicles in use in our country are diesel-powered: their users will be hit hard by this increase in pump prices. Prime Minister, people in rural areas often feel they are abandoned by the public authorities. I am thinking in particular of your terrible plan to close down the services of the hospital center of Saint-Claude. [[Applause on the benches of the LR Group and among non-attached Members]] Today, is it not paradoxical to organize a conference of territories at national level, conferences of territories throughout the national territory and to orchestrate at the same time a brutal, unprecedented tax shock for all of France's territories?
ParlaMint-FR_2017-10-11-O1007.u6	All right!
ParlaMint-FR_2017-10-11-O1007.u7	The next speaker is the Minister for Action and Public Accounts.
ParlaMint-FR_2017-10-11-O1007.u8	[[Applause on a few benches of the REM group. – Exclaims on the benches of the LR group]] [[Exclaims on FI and GDR benches]] Madam Member, if there is a tax shock, it is a shock of tax cuts. We remove taxes as never before a government of the Fifth Republic has removed them. We delete the ISF – you talked a lot about it, we do it.
ParlaMint-FR_2017-10-11-O1007.u9	That's not true!
ParlaMint-FR_2017-10-11-O1007.u10	[[Applause on several benches of the REM and MODEM groups]] We remove the housing tax for 80% of French people. I am even quite surprised, Madam Member, that the Group of the European People's Party can make an amendment to remove this measure of purchasing power: if you pay 600 euros of housing tax this year – the French people are receiving it right now – you will pay 400 euros next year, then 200 euros, then zero euros in 2020!
ParlaMint-FR_2017-10-11-O1007.u11	It's not fair.
ParlaMint-FR_2017-10-11-O1007.u12	Madam Member, you are right: rural areas face particular difficulties, particularly with regard to the use of vehicles, since they obviously do not have the public transport that large municipalities can have. That is why we have put in place in the budget unprecedented aid also for rural areas: the generalisation of the energy check. In concrete terms, all those who use cars, including diesel-powered cars, will be able to use this energy check in connection with their purchasing power and their travel for work.
ParlaMint-FR_2017-10-11-O1007.u13	This check doesn't apply to heating!
ParlaMint-FR_2017-10-11-O1007.u14	We also doubled the vehicle change premium. I am sure, honourable Member, that you will promote this beautiful public policy in your territory. Finally, Madam Member, I want to be very clear with you: we cannot at the same time applaud the Climate Plan, applaud the COP21, applaud what France does to its partners when we are on television,...
ParlaMint-FR_2017-10-11-O1007.u15	We're not applause!
ParlaMint-FR_2017-10-11-O1007.u16	[[Applause on the benches of the REM and MODEM groups]] ... and here denounce an increase in taxation for vehicles that are responsible for peak pollution, which unfortunately cause chronic diseases among the oldest or most fragile people. Today is the time of responsibility, this is no longer the time of demagogy.
ParlaMint-FR_2017-10-11-O1007.u17	The next speaker is Mr Brahim Hammouche, for the Group of the Democratic and Related Movement.
ParlaMint-FR_2017-10-11-O1007.u18	The Minister of Solidarity and Health, in the face of the health challenges posed by medical deserts, the ageing of the population and the increasing prevalence of chronic diseases, telemedicine represents a strong commitment to innovation and progress for patients, caregivers and our territories. Madam Minister, France is full of initiatives that only require dissemination. Pilot tele-consultation and tele-expertise experiments allow for the individualized management and follow-up of patients at a distance, in outpatients, in hospitals or in medical-social institutions, particularly in the fields of cardiology, geriatrics, emergencies and even psychiatry. However, due to a lack of sustainable funding, not all of these projects have been generalized and remain incomplete. Minister, this is an ambitious digital shift that we are looking forward to. By pushing the rise of telemedicine and more generally of e-health, the EUR 1 billion investment plan to digitise our health system and EUR 3 billion to equip hospitals is in the right direction. The Group of the Democratic and Related Movement will support this coherent approach in terms of continuity and equal access to care, which aims to reduce the supply of care in each territory of the Republic. [[Applause on the MODEM benches and on several REM benches]] Minister, what long-term measures do you intend to implement in the Social Security Funding Bill 2018 to deploy telemedicine?
ParlaMint-FR_2017-10-11-O1007.u19	The Minister for Solidarity and Health has the floor.
ParlaMint-FR_2017-10-11-O1007.u20	Mr President, thank you for your question. Since joining the Ministry of Solidarity and Health, I have placed access to care among my priorities.
ParlaMint-FR_2017-10-11-O1007.u21	Yeah?
ParlaMint-FR_2017-10-11-O1007.u22	As you know, if there is no single or uniform solution, telemedicine is clearly one of the tools we need. France is lagging behind, because we have remained in limited experiments. It is time to carry a national ambition and integrate telemedicine into everyday care. This is my ambition for 2018. This is a key point in the plan to promote access to care that I will announce on October 13. From now on, we are going to launch conventional negotiations with doctors to define a tariff for teleconsultation and tele-expertise. In the first half of 2018, health insurance and doctors will negotiate a common legal tariff for telemedicine, which consists of either remote consultation, ensuring proper follow-up of treatment or facilitating the sharing of information. These acts will complement the offer of consultation of doctors' offices and will provide new opportunities for the public to access general practitioners or specialists, as is already the case in residential institutions for dependent seniors, the EHPADs. [[Applause on the benches of the REM and MODEM groups]] Specific financial measures will be included in the Social Security Funding Bill for 2018, in order to meet the immediate needs for the deployment of telemedicine and digital health in general. This obviously requires sustainable financing.
ParlaMint-FR_2017-10-11-O1007.u23	The next speaker is Mr Boris Vallaud, for the New Left Group.
ParlaMint-FR_2017-10-11-O1007.u24	Prime Minister, you have successively announced two good news, with the creation of an Airbus of the sea and the creation of an Airbus of the rail. Two Airbuses in 15 days! However, the hearings of Alstom's Minister of Economy and Finance and President and CEO this morning have not removed our concerns. While we can conceive of the need for European rail consolidation in the face of Chinese competition, the Alstom-Siemens merger project is not based on any intergovernmental agreement. The agreement with Siemens is unbalanced and there is no guarantee beyond a four-year horizon. The industrial question bears above all the requirement to defend the French industrial base. This is good, since the executive precedent had taken the precaution to foresee the possibility of buying out the 20% of shares currently held by Martin Bouygues in Alstom Transport, in anticipation of future industrial partnerships designed not only as necessary, but also as to benefit the French industrial base. Prime Minister, we call on the Government to lift the option and to acquire these actions without delay in order to constitute a lasting shareholder pact and a balanced project. Above all, you must do so to defend jobs and industrial sites in France, because behind the pudic word of "synergies" are site closures and job losses. In this connection, I would also ask you to tell the national representative without delay the number of jobs and sites in duplicates in Europe and France. There are thousands of jobs. I have no doubt that you have an extremely precise count in Bercy which I would be grateful if you could communicate to the national representative. If you do not lift the option to defend the interests of our industry, do so at least in the interest of public finances, as Gilles Carrez had the opportunity to tell the Minister of Economy and Finance.
ParlaMint-FR_2017-10-11-O1007.u25	Well done, Mr. Carrez!
ParlaMint-FR_2017-10-11-O1007.u26	[[Applause on the benches of the NG and GDR groups]] Prime Minister, our suggestion is simple: by taking this option, give yourself the means to succeed in building an industrial giant without sacrificing the French industrial base.
ParlaMint-FR_2017-10-11-O1007.u27	The Secretary of State for Relations with Parliament, the spokesman for the Government, has the floor.
