ParlaMint-FR_2017-10-17-O1010.u1	The next item is the question to the Government.
ParlaMint-FR_2017-10-17-O1010.u2	The next speaker is Mr Dominique Potier, for the New Left Group.
ParlaMint-FR_2017-10-17-O1010.u3	Prime Minister, for the past sixty years, ATD Fourth World activists and volunteers have also been the leaders of our society and our country. Both in Noisy-le-Grand and in Dhaka, they tell us that it is not only a question of correcting poverty, but also of fighting the causes of poverty. In the 19th century, this fight took the form of the fight against accidents at work. At the time, the most conservative people thought it was the end of the world, when it was the dawn of a new time, that of prevention and collective insurance aimed at redressing mistakes and avoiding bankruptcies. This was especially the time for a technological leap to avoid the accidents themselves. In the 21st century, our forges and mines are world-wide. These are the factories of the world. There is a hypocritical veil that legally separates the parent houses and the principals from their subcontractors and subsidiaries across the world. Today, for a few cents on a T-shirt, we can destroy a river, break lives or put children at work. Against this situation, against ecocides and modern slavery, the National Assembly, last spring, had the audacity to vote for a pioneering law, the first in the world, which removes this hypocritical legal veil, based on a simple minimum duty, that of prevention, which establishes a new priority in the world economy and now schools around the world. [[Applause on the benches of the NG and GDR groups as well as on some benches of the REM and LC groups]] Today, 134 developing countries are calling for French law to become a UN treaty. They will meet next week in Geneva. We would like our country to engage clearly in the line of Father Wresinski, who, sixty years ago, said: "Where men are condemned to live in misery, human rights are violated. Uniting to enforce them is a sacred duty. »
ParlaMint-FR_2017-10-17-O1010.u4	The next speaker is the Minister for Europe and Foreign Affairs.
ParlaMint-FR_2017-10-17-O1010.u5	As you pointed out, the United Nations Human Rights Council has been implementing a procedure for several months. France participates very actively and assiduously. This initiative will lead to a meeting of this UN working group at the end of this month, with the aim of tabling a text that can be shared and voted on by all the countries supporting this treaty. I know you care a lot, and I know it's a necessity. It is in fact a matter of obliging multinational companies to respect human rights everywhere, regardless of the place, jurisdiction and law of the country in which they are located. I can tell you here, France will show a constructive and pragmatic approach in these discussions. It will seek solutions that ensure fair and universal implementation of standards at the international level, in order to avoid that only our companies bear additional obligations. [[Applause on the benches of the REM, MODEM and NG groups]] We have reason to say that, as you recalled, the law of 27 March 2017, of which you are the author, has extended the legal responsibility of multinationals to human rights violations throughout the sphere of influence, particularly on multinationals' subcontracting chains, whether on national territory or not. It's a reference. France will be very determined to ensure that this draft treaty can be activated and caught the attention of the United Nations.
ParlaMint-FR_2017-10-17-O1010.u6	The next speaker is Mr Jean-Jacques Bridey, for the Group of the European People's Party (La République en marche).
ParlaMint-FR_2017-10-17-O1010.u7	Today, only the Socialist Members of Parliament are asking questions!
ParlaMint-FR_2017-10-17-O1010.u8	Madam Minister of the Armed Forces, last Friday, you handed over to the Head of State, Head of the Armed Forces, the strategic review of national defence and security. Written by a high-level committee of experts chaired by Arnaud Danjean and under your authority, this review provides a lucid and realistic picture of the strategic environment in which our armed forces operate. Our collective security architecture is weakened as hotbeds of crisis are permanently installed at the gates of our Europe and new forms of conflict are developing, harder and more diffuse. This is particularly the case in cyberspace, which has become a field of confrontation in its own right, where the continuum between security and defence is more relevant than ever. The strategic review also notes that the factors that aggravate crises are as many as these, be they climate change, energy rivalries, health risks or organised crime. With regard to the long-term deterioration of the geopolitical context, I note two things in particular. The first is that the five strategic functions – protection, deterrence, intervention, prevention, knowledge and anticipation – are interdependent and must all be consolidated in a balanced manner. The second is that our armies must succeed in a delicate alchemy between today's operational needs and tomorrow's technological challenges, between strategic autonomy and a demanding European ambition, between the ability to enter first and the ability to enter for the long term.
ParlaMint-FR_2017-10-17-O1010.u9	With a budget down!
ParlaMint-FR_2017-10-17-O1010.u10	[[Applause on the benches of the REM group and on several benches of the MODEM group]] Madam Minister, the President of the Republic has hoped that this strategic reflection will lead to a redefinition of our defence ambitions. It must allow us to draw the skills required of our defence tool, so that France's voice continues to be on the international stage, in Europe, Africa and the Middle East. So, minister, can you tell us what lessons you learn from the strategic review for our armed forces, in view of the upcoming military programming law?
ParlaMint-FR_2017-10-17-O1010.u11	The Minister of the Armed Forces has the floor.
ParlaMint-FR_2017-10-17-O1010.u12	Like you, Mr Bridey, I would like first of all to acknowledge the quality of the work carried out by the Committee of Experts chaired by Arnaud Danjean, whom you are familiar with. This strategic review made it possible to draw up, in three months, a lucid observation on the state of the world: lucid as to the sustainability of the jihadist terrorist threat; lucid as to the development of a number of powers, whether state or non-state; We are aware of the fragility of our environment, in a more unstable world, with more uncertain partners and an increasingly difficult operational environment for our armies. As far as I am concerned, I share the view of the committee that France must maintain a double ambition. Its first ambition must be to preserve its strategic autonomy – it is essential, both for our sovereignty and for our freedom of action. The second axis is to build an ever more robust Europe in this uncertain environment. [[Applause on the benches of the REM and MODEM groups]] To meet these challenges, we need a complete military model. That is what will serve as our course under the next military programming law, which we will soon begin to draft and which you will have to consider shortly in your assembly. This military programming law can be based on a well-known economic and budgetary framework, that of the 2018 Finance Act and the 2018 to 2022 Public Finance Programming Act, which you will also have to deliberate on. These two texts show a very strong increase in resources, since an additional EUR 30 billion is foreseen for the present quinquennium compared with the previous quinquennium.
ParlaMint-FR_2017-10-17-O1010.u13	Mrs Isabelle Valentin has the floor for the Group of the European People's Party.
ParlaMint-FR_2017-10-17-O1010.u14	[[Exclaims on various benches]] Prime Minister, on Sunday night, the President of the Republic spoke a lot about him and little – so little! - French.
ParlaMint-FR_2017-10-17-O1010.u15	And few of his ministers!
ParlaMint-FR_2017-10-17-O1010.u16	[[Applause on the benches of the LR group]] Full of certainties, he has terribly lacked empathy for this France that suffers. We have seen an uprooted president, disconnected from what the French are experiencing.
ParlaMint-FR_2017-10-17-O1010.u17	A president above ground!
ParlaMint-FR_2017-10-17-O1010.u18	He initially refused to apologise, while his words may have struck some people. But most of all he refused to question his policy, while this budget – his budget – is considered deeply unjust. While you benefit from a favourable environment for the return of growth,...
ParlaMint-FR_2017-10-17-O1010.u19	It's not because of you!
ParlaMint-FR_2017-10-17-O1010.u20	[[Protests on several benches in the REM group]] ...you make pensioners, middle classes, families and local communities the main victims of your budget. You increase the generalised social contribution – CSG – by 25%, without compensation, for 8 million pensioners who have contributed their entire lives. Is that decent?
ParlaMint-FR_2017-10-17-O1010.u21	Everything that's excessive is insignificant!
ParlaMint-FR_2017-10-17-O1010.u22	[[Claims on several benches of the LR and FI groups]] [[Applause on several benches in the LR group]] In reality, it is all the middle classes that will pay the high price with the drop in personalized housing subsidies – APL –, the increase in fuel, the increase in the cost of labour and the various and varied taxes on savers.
ParlaMint-FR_2017-10-17-O1010.u23	What's your question?
ParlaMint-FR_2017-10-17-O1010.u24	[[Exclaims on the benches of the LR group]] How can we justify such a tax baton? How can we justify this choice to destabilize the purchasing power of the middle classes, savers, owners and families?
ParlaMint-FR_2017-10-17-O1010.u25	They went to the Dutch school!
ParlaMint-FR_2017-10-17-O1010.u26	Please, ladies and gentlemen!
ParlaMint-FR_2017-10-17-O1010.u27	[[Exclaims on the benches of the LR group]] How can we not be more ambitious in terms of economic competitiveness and declining public spending? The result of this policy will be that 5 million households will live less well in 2022 than in 2017. Prime Minister, the French don't want to...
ParlaMint-FR_2017-10-17-O1010.u28	Thank you, Congresswoman. The next speaker is the Minister for Action and Public Accounts.
ParlaMint-FR_2017-10-17-O1010.u29	If I understand correctly, honourable Member, you are asking me about the difference between the budgetary policy of this majority and that which could have been carried out by another majority...
