ParlaMint-FR_2017-07-19-E1015.u1	The next item is the question to the Government.
ParlaMint-FR_2017-07-19-E1015.u2	[[Applause on the benches of the LC group]] The next speaker is Mr Maurice Leroy, for the Group of the European People's Party: Republicans, IDU, independents.
ParlaMint-FR_2017-07-19-E1015.u3	[[Applause on the benches of the LC group]] Prime Minister, the day before yesterday, in the Senate, with the President of the Republic, you launched the National Conference of Territories. It is an excellent initiative, which the Members of the Les Constructifs Group welcome, as well as I am delighted to see the initial ambition of the Grand Paris reinvigorated, in particular to reconnect with the Seine axis – and why not, Prime Minister, make Le Havre the port of the Grand Paris?
ParlaMint-FR_2017-07-19-E1015.u4	Great idea!
ParlaMint-FR_2017-07-19-E1015.u5	Yes, there is a need to re-create a relationship of trust between the state and local and regional authorities.
ParlaMint-FR_2017-07-19-E1015.u6	It's a mess!
ParlaMint-FR_2017-07-19-E1015.u7	[[Applause on several benches of the LC and LR groups]] [[Same movements]] But this requires equal efforts between the State and local and regional authorities. The spending state cannot teach local authorities who vote their budgets in balance and who have already borne 11 billion euros in savings.
ParlaMint-FR_2017-07-19-E1015.u8	That's right!
ParlaMint-FR_2017-07-19-E1015.u9	Yes, it takes a contract, Prime Minister, but not just a financial one, to find something to close your state budget. We must be aware of the silent despair of our campaigns. We must understand the sense of abandonment that is gaining our rural territories. It takes breath and ambition for our rural life. [[Applause on the benches of the LC group and on several benches of the LR group]] Prime Minister, together with the Members of the Les Constructifs Group, we propose that you create a national agency for the revitalization of rural areas, as Jean-Louis Borloo had created for the urban renewal of sensitive neighbourhoods, an initiative which had been welcomed by all the benches of this House. [[Applause on the benches of the LC group and on several benches of the LR group]] Are you ready to create this agency to fight effectively against medical deserts, facilitate the deployment of very high speed and revitalize our rural territories of peripheral France?
ParlaMint-FR_2017-07-19-E1015.u10	The next speaker is the Minister of State, Minister for the Interior.
ParlaMint-FR_2017-07-19-E1015.u11	He doesn't know what rurality is!
ParlaMint-FR_2017-07-19-E1015.u12	Mr President, you are right to welcome the holding of the National Conference of Territories. Indeed, the President of the Republic, the Prime Minister and the Government have chosen the path of dialogue with the territories, and I can tell you that the Minister of the Interior, whom I am, is very pleased with this.
ParlaMint-FR_2017-07-19-E1015.u13	So do we! So far in the answer, it's okay!
ParlaMint-FR_2017-07-19-E1015.u14	I remember that the decline in overall operating staffing may have been relatively significant – as you recalled.
ParlaMint-FR_2017-07-19-E1015.u15	You're not answering the question!
ParlaMint-FR_2017-07-19-E1015.u16	[[Exclaims on the benches of the LR group – Applause on the benches of the REM and MODEM groups]] You have seen that we have chosen another method: to ensure that the State and local authorities participate together in the effort, of which you know how much it is necessary. Some candidates, during the election campaign, had announced a decrease of €20 billion.
ParlaMint-FR_2017-07-19-E1015.u17	That's not true!
ParlaMint-FR_2017-07-19-E1015.u18	[[Applause on the benches of the REM group]] In the present case, this will amount to 13 billion, and this will involve not a reduction in appropriations, but structural reforms and the will of the local authorities themselves.
ParlaMint-FR_2017-07-19-E1015.u19	That was 10 billion before!
ParlaMint-FR_2017-07-19-E1015.u20	[[Applause on the benches of the REM and MODEM groups]] You were suggesting, honourable Member, interesting paths to rebuild the Greater Paris: we are listening to this subject.
ParlaMint-FR_2017-07-19-E1015.u21	The next speaker is Mrs Danielle Brulebois, for the La République group on the move.
ParlaMint-FR_2017-07-19-E1015.u22	Minister of Territorial Cohesion, this Monday, July 17th was held in the Senate the launch of the National Conference of Territories...
ParlaMint-FR_2017-07-19-E1015.u23	A new question called...
ParlaMint-FR_2017-07-19-E1015.u24	[[Exclaims on the benches of the LR group]] ... in the presence of the President of the Republic, the Government and many parliamentarians and elected members of our territories. We are many on these benches to have participated in it and to have listened to the President of the Republic detail his ambition for our country, in line with his courageous commitments made during the presidential campaign:...
ParlaMint-FR_2017-07-19-E1015.u25	His catechism!
ParlaMint-FR_2017-07-19-E1015.u26	... better integration of rural areas, digital coverage, mobility, public services and reform of local taxation, including the removal of the housing tax for 80% of households. [[Exclaims on the benches of the LR group]] The many challenges facing our territories have long been identified. Today is opening a new era in a process of constructive dialogue, consultation and shared decision-making.
ParlaMint-FR_2017-07-19-E1015.u27	The question!
ParlaMint-FR_2017-07-19-E1015.u28	This method sought by the President of the Republic aimed at restoring the relationship of trust between the State and its communities reflects a desire to consider and respect elected officials in order to make them real partners.
ParlaMint-FR_2017-07-19-E1015.u29	The question! The question!
ParlaMint-FR_2017-07-19-E1015.u30	The presidents of local executive bodies and representatives of elected associations present welcomed this meeting, which laid the groundwork for collective work for a long-awaited pact of trust in order to reconcile our different and complementary territories.
ParlaMint-FR_2017-07-19-E1015.u31	Hello! Hello!
ParlaMint-FR_2017-07-19-E1015.u32	[["Ah! » on the benches of the LR group]] Minister, my question is: Can you tell us the details of this new process?
ParlaMint-FR_2017-07-19-E1015.u33	[[Applause on the benches of the REM and MODEM groups]] Ladies and gentlemen, it is in everyone's interest to allow everyone to hear the questions and the answers. Comments are not required. Each group has the floor in turn. The Minister for Territorial Cohesion has the floor.
ParlaMint-FR_2017-07-19-E1015.u34	He'll make the question and answer!
ParlaMint-FR_2017-07-19-E1015.u35	[[Applause on the benches of the REM group.– Rires on the benches of the LR group]] Madam Member, I will answer the question, which is excellent. What is the objective of the National Conference of Territories? It is to be an instrument of dialogue and consultation where we, the state and the communities, can tell us things. In fact, it is an excellent thing that Minister of State Gérard Collomb speaks of rurality and I of metropolises.
ParlaMint-FR_2017-07-19-E1015.u36	He didn't mention it!
ParlaMint-FR_2017-07-19-E1015.u37	He should have, but he couldn't.
ParlaMint-FR_2017-07-19-E1015.u38	[[Applause on the benches of the REM and MODEM groups]] I'll tell you about it. We have the will to establish this dialogue that has been lacking for years, regardless of government. We need to say things to ourselves, to pose problems and to try to find solutions together. The state is not there to give lessons to communities. He's here to build with you. Together, we have efforts to make. We will achieve them together.
ParlaMint-FR_2017-07-19-E1015.u39	Just a minute to say nothing...
ParlaMint-FR_2017-07-19-E1015.u40	Know I'm still a local elected officer.
ParlaMint-FR_2017-07-19-E1015.u41	Cumulard!
ParlaMint-FR_2017-07-19-E1015.u42	[[Applause on several benches of the REM and MODEM groups]] I hear the messages delivered to us in rural areas and in the suburbs. We all know what work is ahead of us. I don't teach those who preceded us. Nor do I intend to receive them today, as we are at the beginning of a quinquennium where we want to succeed in this dialogue and dialogue. [[Applause on the benches of the REM and MODEM groups]] We have an appointment in six months, after the work done by the five workshops. I'll be here at this point to answer your questions.
ParlaMint-FR_2017-07-19-E1015.u43	Mr Jean-Louis Masson, for the Group of the European People's Party, spoke.
ParlaMint-FR_2017-07-19-E1015.u44	My question is for the Minister of Armed Forces.
ParlaMint-FR_2017-07-19-E1015.u45	Finally, an interesting question.
ParlaMint-FR_2017-07-19-E1015.u46	Madam Minister, where are you? What are you doing? The Minister of Public Accounts announced last Tuesday that your department is expected to suffer 850 million budget cuts this year and we can't hear you! Your silence is deafening. However, Bercy's decision is unacceptable and its consequences terrible for our military. Madam Minister, your silence is equally deafening with regard to the fate of the former Chief of Staff of the Armed Forces, General Pierre de Villiers.
ParlaMint-FR_2017-07-19-E1015.u47	Scandalous!
ParlaMint-FR_2017-07-19-E1015.u48	[[Applause on the benches of the LRet group on several benches of the LC and NG groups]] Before the Members of the Defence Committee, the Chief of the Armed Staff expressed the feeling of legitimate betrayal by the French military in the light of the promises made and not kept by the executive.
ParlaMint-FR_2017-07-19-E1015.u49	Yes!
ParlaMint-FR_2017-07-19-E1015.u50	[[Same movements]] For this, he has been publicly humiliated while no one can question the righteousness, the meaning of the State and the attachment to the Republic of General Villiers.
ParlaMint-FR_2017-07-19-E1015.u51	That's right!
ParlaMint-FR_2017-07-19-E1015.u52	Military personnel, who risk their lives every day, need support, consideration and respect, no budget cuts and humiliation. Today's resignation of General Villiers' army is an exceptional event – the daily Le Monde title: "A historic event". The trust between the Head of State and our army is seriously undermined, no doubt broken, perhaps permanently. [[Applause on the benches of the LRet group on several benches of the LC and NG groups]] Minister, how are you going to explain these decisions to our armed forces and when are you finally going to respect them?
ParlaMint-FR_2017-07-19-E1015.u53	The Minister of the Armed Forces has the floor.
ParlaMint-FR_2017-07-19-E1015.u54	[[Applause on the benches of the REM and MODEM groups]] Mr President, if the consideration for our military were to be measured in the light of the budget cancellations, then I think that some on these benches could carry out their conscientious examination.
ParlaMint-FR_2017-07-19-E1015.u55	That's right.
ParlaMint-FR_2017-07-19-E1015.u56	That's not true!
ParlaMint-FR_2017-07-19-E1015.u57	Names!
ParlaMint-FR_2017-07-19-E1015.u58	The Chief of Staff of the Armed Forces, General de Villiers, handed over his resignation to the President of the Republic this morning. The President of the Republic accepted it.
ParlaMint-FR_2017-07-19-E1015.u59	That's too bad.
ParlaMint-FR_2017-07-19-E1015.u60	This is the choice of General de Villiers...
ParlaMint-FR_2017-07-19-E1015.u61	That's not true!
ParlaMint-FR_2017-07-19-E1015.u62	[[Exclaims on the benches of the LR group on several benches in the NG group]] ...and I respect him.
ParlaMint-FR_2017-07-19-E1015.u63	That's because the minister doesn't exist!
ParlaMint-FR_2017-07-19-E1015.u64	He spoke in a parliamentary setting!
ParlaMint-FR_2017-07-19-E1015.u65	[[Applause on the benches of the REM and MODEM groups – Exclaims on the benches of the LR group]] I would like to pay tribute to the action of General de Villiers, who, since 2014, as Chief of Staff, has successfully conducted the operations of our armies in outdoor theatres as well as in metropolitan areas. And I also want to pay tribute to him for the transformation of the ministry he carried out...
ParlaMint-FR_2017-07-19-E1015.u66	You don't lack air!
ParlaMint-FR_2017-07-19-E1015.u67	...and the fact that the French army is one of the best in the world. [[Applause on the benches of the REM and MODEM groups]] I would now like to greet Lieutenant General François Lecointre, who is appointed to succeed him as Chief of the Armed Forces Staff. He's an officer of exceptional quality. He's an experienced officer.
ParlaMint-FR_2017-07-19-E1015.u68	Like General de Villiers.
ParlaMint-FR_2017-07-19-E1015.u69	He has all my confidence in meeting the many challenges ahead. That's what I'll tell him in a few hours when I get him...
ParlaMint-FR_2017-07-19-E1015.u70	Finally!
ParlaMint-FR_2017-07-19-E1015.u71	... to inform him of all his responsibilities. The context, in fact, is not easy. Budget 2017 has been the subject of...
ParlaMint-FR_2017-07-19-E1015.u72	Thank you, Minister.
ParlaMint-FR_2017-07-19-E1015.u73	Mr Matthieu Orphelin has the floor for the Republic on the move.
ParlaMint-FR_2017-07-19-E1015.u74	Mr Minister for Agriculture and Food, our farmers are suffering. Some feel neglected or even despised.
ParlaMint-FR_2017-07-19-E1015.u75	That's right!
ParlaMint-FR_2017-07-19-E1015.u76	Many cannot earn a decent income and live below the poverty line. The challenges they face are immense but vital for our country: improving the health of everyone through a healthier and sustainable diet, reducing the impact on the environment, and the vitality of our rural areas.
ParlaMint-FR_2017-07-19-E1015.u77	All right!
ParlaMint-FR_2017-07-19-E1015.u78	The Republic's project in the presidential and legislative elections aims to act vigorously to achieve a new agricultural model through strong measures: an investment plan of €5 billion to accelerate the modernization of farms, the improvement of animal welfare, the protection of the environment, the development of proximity circuits. We also want to act vigorously to put in place, at European level, the regulatory tools adapted to each sector in order to protect farmers from price volatility. At the same time, we are pursuing the goal that, by 2022, 50% of the food served in the collective restoration will come from organic farming, another quality label or short circuits. One of our commitments is the organization of the general states of food. It is a question of bringing all the players together to discuss two main issues: how to ensure a better distribution of value, in particular by finally paying the right price to farmers, and how to reconcile agriculture and the environment. [[Applause on the benches of the REM, MODEM and several benches of the LC group]] Minister, could you outline the implementation of these general statements of food? What will be the method, the timetable, the modalities of stakeholder and public involvement, the main issues to be discussed, the modalities of inter-ministerial work and, above all, the way in which the conclusions of these general statements will be declined during the quinquennium?
ParlaMint-FR_2017-07-19-E1015.u79	The next speaker is the Minister for Agriculture and Food.
ParlaMint-FR_2017-07-19-E1015.u80	[[Applause on the benches of the REM, MODEM and several benches of the LC group]] Mr President, French agriculture is the most beautiful and most efficient in the world.
ParlaMint-FR_2017-07-19-E1015.u81	That's right.
