ParlaMint-FR_2017-11-21-O1064.u1	The next item is the question to the Government.
ParlaMint-FR_2017-11-21-O1064.u2	Mr Thibault Bazin, for the Republican Group, has the floor.
ParlaMint-FR_2017-11-21-O1064.u3	My question is for the Prime Minister. Fifteen thousand mayors are gathered today for their one hundredth congress. Mayors are mad at your politics. You have taken brutal measures without any agreement: you have cancelled 300 million euros for rural areas, you have sharply reduced the number of assisted contracts, you are reducing the autonomy of the municipalities with the virtual abolition of the housing tax, you are demanding 13 billion savings from the local authorities over five years, which the state does not impose on itself. With this government, it's the worst continuity! Too much is too much! [[Applause on the benches of the LR group. – Exclaims on the benches of the REM group]] The mayors can no longer do so because your policy is further neglecting our rural and rural territories. Your finance bill is deeply unfair. Your fiscal restraint measures target almost exclusively France of the territories. France is not just the metropolises.
ParlaMint-FR_2017-11-21-O1064.u4	What's the question?
ParlaMint-FR_2017-11-21-O1064.u5	Let us be realistic, you do not want to give a future to our communes. Yet the Republic must not forget any territory. The long-awaited conference of territories is just another communication operation. The development of our municipalities and the preservation of local public services require another policy. We're far from it! I measure it well because I was mayor for nine years and my constituency covers 190 communes. [["The question! »on the benches of the REM group]] Mayors are not fooled: your mystification operation didn't work. We refuse to grant guardianship to our communes. Mayors are dedicated, courageous, and they benefit from the confidence of the French.
ParlaMint-FR_2017-11-21-O1064.u6	Demagogue!
ParlaMint-FR_2017-11-21-O1064.u7	But you're taking away the means to carry out their missions. [[Vif applause on the benches of the LR group]] Will you finally respect the mayors? Are you finally going to hear the grunt that goes up the territories? Will you finally stop aggravating the territorial divide?
ParlaMint-FR_2017-11-21-O1064.u8	[["And Lyon! » on several benches of the LR group]] The next speaker is the Minister of State, Minister for the Interior.
ParlaMint-FR_2017-11-21-O1064.u9	In Lyon, there's no problem. Lyon is entitled to special treatment!
ParlaMint-FR_2017-11-21-O1064.u10	[[Applause on the benches of the REM and MODEM groups. - Exclaims on the benches of the LR group]] I am responding this afternoon to the Prime Minister, who, as you know, was a great mayor of Le Havre. So, Mr. Member, he has the same experience as you. He knows, like you, that the local authorities, and in particular the communes and the communal bloc, have lived in the recent difficult years.
ParlaMint-FR_2017-11-21-O1064.u11	With your friends!
ParlaMint-FR_2017-11-21-O1064.u12	As you know, the first freeze in value of the overall operating endowment – DGF –...
ParlaMint-FR_2017-11-21-O1064.u13	The frost isn't the drop!
ParlaMint-FR_2017-11-21-O1064.u14	[[Applause on the benches of the REM and MODEM groups]] ... was applied in 2011. At the time, the Minister of Economy was François Baroin.
ParlaMint-FR_2017-11-21-O1064.u15	Hypocrite!
ParlaMint-FR_2017-11-21-O1064.u16	It was just a DGF freeze!
ParlaMint-FR_2017-11-21-O1064.u17	Then, as you know, the DGF was reduced by 25%, a decrease of 11 billion euros between 2012 and 2017.
ParlaMint-FR_2017-11-21-O1064.u18	By your friends!
ParlaMint-FR_2017-11-21-O1064.u19	Yes, local and regional authorities have suffered a lot.
ParlaMint-FR_2017-11-21-O1064.u20	And it's not going to get better!
ParlaMint-FR_2017-11-21-O1064.u21	[[Applause on the benches of the REM and MODEM groups. - Long exclamations on the benches of the LR group]] That is why we have decided not to pursue the same policy.
ParlaMint-FR_2017-11-21-O1064.u22	You're doing worse!
ParlaMint-FR_2017-11-21-O1064.u23	[[Mrs. and Mr. MEPs from the REM and MODEM groups stand up and applaud strongly. – Protests on the benches of the LR group]] For the first time in years, operating endowments are not declining, they are even slightly increasing.
ParlaMint-FR_2017-11-21-O1064.u24	Thank you, Minister of State.
ParlaMint-FR_2017-11-21-O1064.u25	[[Applause on the benches of the REM and MODEM groups. – Continuous exclamations on the benches of the LR group]] Ladies and gentlemen, elected local like you, I knew that if we pursued the same policy, communities would face enormous challenges.
ParlaMint-FR_2017-11-21-O1064.u26	[[Exclaims on the benches of the LR group]] May I remind you that the time limit is two minutes.
ParlaMint-FR_2017-11-21-O1064.u27	Mr Ludovic Mendes, on behalf of the Group of the European People's Party, is speaking.
ParlaMint-FR_2017-11-21-O1064.u28	Madam Minister for European Affairs, we had the pleasure of learning yesterday about the designation of Paris as the new host city of the European Banking Authority as of 2019, following the entry into force of the Brexit. The European Banking Authority is one of three agencies established in 2011 to regulate financial services, alongside the European Securities and Markets Authority and the European Insurance and Occupational Pensions Authority. On behalf of the Members of the La République Group on the move, I welcome this decision taken by the Council of the European Union. This testifies to the restored credibility of our country on the European stage and will be an economic opportunity with the creation of hundreds of jobs in our territory.
ParlaMint-FR_2017-11-21-O1064.u29	That's not true!
