ParlaMint-GB_2022-01-11-commons.u1	1. What steps he is taking to improve productivity levels in the UK.
ParlaMint-GB_2022-01-11-commons.u2	As we recover from the pandemic, the Government are seizing the opportunity to drive up productivity. We seek to level up the private sector in all parts of the UK.
ParlaMint-GB_2022-01-11-commons.u3	I recently visited the Financial Planning Corporation in my constituency, whose impressive productivity has enabled it to expand its business. Will the Secretary of State confirm that if bills and taxes go up in the spring, local businesses will continue to operate in a productive environment, free from bureaucracy and unnecessary red tape?
ParlaMint-GB_2022-01-11-commons.u4	Absolutely. I know that my hon. Friend is doing an excellent job of representing his constituents and making sure that the Government deliver on the levelling-up agenda.
ParlaMint-GB_2022-01-11-commons.u5	I call the shadow Minister.
ParlaMint-GB_2022-01-11-commons.u6	Buying British is a great way for the Government to boost productivity, so why are they buying so many covid tests from China? Many of those tests have only temporary approval from the Medicines and Healthcare products Regulatory Agency and are now banned in the United States. In contrast, the MHRA is delaying approval for British test manufacturers, who have approval and can sell around the world but not here. Surely the Secretary of State is not going to tell us that the MHRA has a different set of standards from those in all other countries. When will he get behind British manufacturers who want to play their part in fixing the shortage of covid tests?
ParlaMint-GB_2022-01-11-commons.u7	The hon. Gentleman will know that the UK has led the world in life sciences manufacturing. I am delighted that the Under-Secretary of State, my hon. Friend the Member for Mid Norfolk (George Freeman), has taken up the role of life sciences Minister. He has engaged with our manufacturing base, and people look to the UK as an outstanding example of a world-leading life sciences manufacturing nation.
ParlaMint-GB_2022-01-11-commons.u8	2. What plans he has to support small and medium-sized enterprises in the hospitality sector during the covid-19 outbreak.
ParlaMint-GB_2022-01-11-commons.u9	In addition to our £400 billion package, including grants, loans, business rates relief, VAT discounts and the rent moratorium, we are providing a further £1 billion for hospitality businesses and an extra £100 million in discretionary grants—a lifeline for many small businesses.
ParlaMint-GB_2022-01-11-commons.u10	Great British pubs are the heart of our community, especially in rural constituencies such as mine. I recently hosted a roundtable with several pubs in South West Hertfordshire, at which they expressed their concerns about the next few months after a tough December. Will the Minister confirm that he will do all he can to encourage people to return to their local pub? Will he commend publicans for their hard work making their businesses covid-safe, indoors and out?
ParlaMint-GB_2022-01-11-commons.u11	I thank my hon. Friend for his support for our pubs. It is important that we save our pubs one pint at a time; they play a crucial role in our high streets, our communities and our wellbeing. I am working, through the hospitality recovery strategy, to champion pubs at the heart of our communities, many of which have been supporting the vulnerable during the pandemic. We will showcase the value of the excellent work of pub landlords to make venues covid-secure, including with good ventilation.
ParlaMint-GB_2022-01-11-commons.u12	My nightclub in Brighton, Revenge—[Laughter. ] It is not mine personally, although I do like to frequent it. It has seen a 60% fall in its patronage because of the latest variant. It is really struggling, but it has been told that it is not eligible for the latest round of grants because it has received previous grants, including the recovery grant. That is a real problem for our night-time economy and for many businesses. Will the Minister confirm that any business in the night-time economy or hospitality sector is eligible for the latest round of grants that he has released?
ParlaMint-GB_2022-01-11-commons.u13	I thank the hon. Gentleman for his reference to that aptly named nightclub in Brighton. Clearly, opening nightclubs is a big challenge because of ventilation, but they are eligible for discretionary grants: councils have £100 million for discretionary grants to support them.
ParlaMint-GB_2022-01-11-commons.u14	The café and restaurant owners I met in Basingstoke before Christmas saw their bookings plummet in the key pre-Christmas weeks, so they will really welcome the extra support that the Minister speaks about. The newly recognised personal care sector—hair and beauty—was similarly hit. Will he support that sector as well: the hairdressers, barbers and beauty businesses that make up our high streets?
ParlaMint-GB_2022-01-11-commons.u15	I support the personal care sector, which I have engaged with regularly over the past few weeks. My right hon. Friend refers to the hospitality sector, cafés and the like. The grants that we are now offering equate to the levels we were offering when those businesses were closed, in recognition of the chilling factor affecting the number of events booked in the lead-up to Christmas—that is the rationale behind it. The care sector can also get discretionary grants from the local authority.
ParlaMint-GB_2022-01-11-commons.u16	I call the shadow Minister.
ParlaMint-GB_2022-01-11-commons.u17	Tory failures on the economy now show all too clearly that the Tories are no longer the party of business. Business taxes and costs are rising, revenues and profits are falling, and businesses face a cliff edge in March as support is withdrawn. Yet when hospitality businesses were losing, on average, £10,000 a week, the Chancellor was in California, with the Business Secretary nowhere to be seen. Does the Minister agree that hospitality businesses, hit hard by covid and Government chaos, need more than the one-off grants finally announced, and will he now back Labour’s calls for the Government to consider extending the VAT discount for hospitality?
ParlaMint-GB_2022-01-11-commons.u18	This Government continue to be the Government and the party for businesses, and that includes the hard-pressed hospitality sector, which is such a crucial part of the ecosystem of our high streets, our cities, and our coastal and rural areas. The Secretary of State and I spoke to hospitality sector representatives of all kinds within hours of the announcement of the move to plan B ahead of Christmas, and we will continue to support them as best we can.
ParlaMint-GB_2022-01-11-commons.u19	3. What steps he is taking to harness science and innovation for the purposes of the Government’s levelling-up agenda.
ParlaMint-GB_2022-01-11-commons.u20	UK leadership in science, technology and innovation is already driving huge investment in new sectors, companies and clusters throughout the UK, from the Newquay spaceport to the Shetlands, and from Northern Ireland to Teesside, Aberdeen and other life science clusters around the country. However, we intend to go further, and following our innovation nation strategy, we are committed to supporting those clusters. I am engaged in talks with my right hon. Friend the Secretary of State for Levelling Up, Housing and Communities, and details will be provided in the forthcoming levelling up White Paper.
ParlaMint-GB_2022-01-11-commons.u21	My hon. Friend may know that a leading example of science and innovation as a key tool in achieving levelling up is the Lincoln Science and Innovation Park in my city constituency of Lincoln, which has been headed by the excellent Tom Blount for a number of years. The aptly named Boole Technology Centre, of calculus infamy, has been a great success to date and continues to expand even further, recently attracting notable international tenants and job providers. What financial support can our Government offer, so that organisations such as the Lincoln Science and Innovation Park can continue to grow and nurture companies such as KryptoKloud, and similar new ones can be created?
ParlaMint-GB_2022-01-11-commons.u22	I congratulate my hon. Friend, who has been a tireless advocate for the Lincoln cluster. He asked about funding. In the comprehensive spending review, we set out the biggest increase in investment in science and innovation for a generation. Specifically, 34 projects in the cluster are funded by UK Research and Innovation. I look forward to discussing this with my hon. Friend, who has made a powerful pitch for that centre to be recognised as a cluster, and I look forward to visiting it.
ParlaMint-GB_2022-01-11-commons.u23	The University of Sheffield’s new gene therapy innovation and manufacturing centre shows that South Yorkshire can lead the world when it comes to research, but nearly half of all R&D spending goes into the golden triangle. What is the Minister doing to ensure that the north gets its fair share?
ParlaMint-GB_2022-01-11-commons.u24	That was a great question. The hon. Gentleman is right. In fact, there are several clusters in the Yorkshire area, and in a previous career I myself worked in the Sheffield university cluster, which is very powerful Our strategy is that if we wish to be both a global science superpower to attract investment internationally and an innovation nation, we will not achieve that by moving the golden triangle north. What we must do is increase spending in the north, which we are already doing, and grow the supply chains in, for instance, advanced manufacturing. We are not just an invention economy; we are also a manufacturing and innovation economy, and Yorkshire, and Sheffield specifically, have a big part to play in that.
ParlaMint-GB_2022-01-11-commons.u25	That truly iconic British-built scientific research vessel RRS Sir David Attenborough—built by Cammell Laird of Birkenhead—came up the Thames just before Christmas, at the time of COP26. Does the Minister agree that she is the epitome of all that is best about British science, and that the British Antarctic Survey, through its work in both the Antarctic and the Arctic, leads the world in research on climate change in particular, and in so many other areas of science?
ParlaMint-GB_2022-01-11-commons.u26	My hon. Friend is right, and he is also a powerful envoy for the Government in terms of our polar science. The royal research ship Sir David Attenborough is something of which all of us in the House can be proud. It is an incredible platform, and it embodies the very best of British leadership in science and innovation, with international scientists working on global challenges.
ParlaMint-GB_2022-01-11-commons.u27	Will the Minister publish details of the business innovation forum, and how it will hold the Government to account on the distribution of the shared prosperity fund throughout the UK?
ParlaMint-GB_2022-01-11-commons.u28	Yes. We are in the process of establishing the forum, and I want to ensure that we are talking not just to the same old people whom the Government always talk to but to the companies on the frontline—the leaders of the sectors of tomorrow. In the innovation strategy we set out seven high-growth sectors, and I will publish details of that in due course.
ParlaMint-GB_2022-01-11-commons.u29	4. What steps he is taking to deliver new nuclear power.
ParlaMint-GB_2022-01-11-commons.u30	Let me pay tribute to those who worked at Hunterston nuclear power station in Scotland, which closed a few days ago. The operators have reported that since the station came online in 1976 it has produced enough zero-carbon electricity to power every home in Scotland for nearly 31 years Looking ahead, the Government have announced a £120 million future nuclear enabling fund to support new nuclear and we are aiming for a final investment decision on at least one more large-scale nuclear project during this Parliament, subject to value for money and relevant approvals.
ParlaMint-GB_2022-01-11-commons.u31	What a shame that the Scottish National party is not pressing for a replacement of that old girl, who has given fantastic service over the years. Will the Minister reassure me that he sees nuclear as a way of not only replacing electricity capacity but producing the hydrogen we will need to power the heavy vehicles—the buses and trucks—of the future?
ParlaMint-GB_2022-01-11-commons.u32	I thank my right hon. Friend for that further question, and I totally agree with him on where the SNP is. On energy in general, SNP Members are not the friends of Scotland on nuclear or the North sea. He is also absolutely right on hydrogen. On the Government Benches we recognise that net zero needs nuclear for security of supply, to meet our decarbonisation targets and to support new industries such as hydrogen.
ParlaMint-GB_2022-01-11-commons.u33	When it comes to new nuclear, there is not a single successful EPR plan operational anywhere in the world. The regulated asset base—RAB—model has not been shown to work for new nuclear, so why does the Minister think that it is a good investment of £63 billion of bill payers’ money to sign up for Sizewell C when it is just going to be another white elephant?
ParlaMint-GB_2022-01-11-commons.u34	I repeat my disappointment. Scotland has an amazing nuclear past and I would like it to have a very good nuclear future, but unfortunately the Scottish Government stand in the way. This country needs nuclear, and net zero needs nuclear. Hinkley is being built, and we are very confident of the numbers and of building new nuclear power stations in this country. That is what the Nuclear Energy (Financing) Bill—which secured its Third Reading yesterday with the support of the official Opposition but not of the SNP or the Lib Dems—is all about.
ParlaMint-GB_2022-01-11-commons.u35	My constituency is home to Wylfa Newydd, the best potential nuclear site in the UK. Will the Minister accept my invitation to visit Wylfa Newydd to see at first hand why the Prime Minister himself is a fervent supporter?
ParlaMint-GB_2022-01-11-commons.u36	I absolutely accept that invitation. There is no more passionate an advocate of new nuclear in this House than my hon. Friend. Nuclear is going to be a vital part of our future. The UN Economic Commission for Europe recently said that international climate objectives would not be met if nuclear power were excluded, so it is a key part of our net-zero ambitions.
ParlaMint-GB_2022-01-11-commons.u37	I was disappointed that, in his reply, the Minister did not refer to small modular nuclear reactors, which surely are the future in this sector. Can we take the lesson from the vaccine taskforce that rigorous scientific methods can be combined with speeding up the process and cutting out dead time? Can he convey that message to the regulators so that this world-beating technology can be built in Britain to the benefit of British industry and British workers?
ParlaMint-GB_2022-01-11-commons.u38	I absolutely share the right hon. Gentleman’s enthusiasm for SMRs. At the end of last year, the Secretary of State announced funding for SMRs of £250 million, working with Rolls-Royce and with the best of British industry and innovation on SMRs. I recently had a meeting with Sheffield MPs as well, where we talked about Sheffield’s potential to host SMRs, along with other sites. SMRs are very much part of our nuclear future.
ParlaMint-GB_2022-01-11-commons.u39	Is the Minister aware that my constituency is on the frontline of the SNP Scottish Government’s dogmatic opposition to new nuclear power stations? For over 50 years, the Chapelcross power station near Annan provided much-needed jobs and a huge boost to the local economy, yet despite public support we cannot have Chapelcross 2 because the SNP is blocking it.
ParlaMint-GB_2022-01-11-commons.u40	My right hon. Friend has been a passionate defender of Scotland’s interests since he and I were first elected in 2005, and he is absolutely right. The SNP has a nonsensical policy towards energy in Scotland in general, and towards nuclear in particular. There is a great civil nuclear heritage in Scotland which the SNP has betrayed. I wholly agree with my right hon. Friend.
ParlaMint-GB_2022-01-11-commons.u41	5. What steps he is taking with the Secretary of State for Levelling Up, Housing and Communities to ensure the adequacy of business and community flood recovery support funding.
ParlaMint-GB_2022-01-11-commons.u42	The flood recovery framework is in place to determine where communities and businesses need support from central Government in severe flood events. The guidance has recently been reviewed and refreshed, to learn from previous years. The framework includes the business recovery grant, which BEIS administers as part of a Government core package of support for communities and businesses.
ParlaMint-GB_2022-01-11-commons.u43	Flooding is now inevitable: climate change means that it is going to happen. It is not a question of if but a question of when, and small and medium-sized enterprises are disproportionately affected by the devastation of flooding. The Flood Re insurance scheme does not cover small businesses, meaning that many are left without insurance. I am pleased to hear that the flood recovery grant system is being looked at again, but will the Minister now consider talking to SMEs to design a scheme that is ready to go from the moment flooding happens? As I say, flooding is not a question of if but a question of when.
ParlaMint-GB_2022-01-11-commons.u44	The Flood Re scheme does not include businesses, as the hon. Lady says, and there are no plans to extend eligibility because that market operates differently from the household insurance market. The scheme is bespoke. I appreciate that SMEs are disproportionately affected compared with bigger businesses, but I suggest that the hon. Lady engages directly on this with the Department for Environment, Food and Rural Affairs.
ParlaMint-GB_2022-01-11-commons.u45	Will the Minister look at the opportunities to manage Britain’s longest river, the River Severn? We believe that, if an holistic solution were found to managing Britain’s longest river, there would be a gross value added uplift in the west midlands of more than £150 billion. These figures are being presented to DEFRA. Will he and his Department also take an interest and work with me, as chairman of the all-party parliamentary group on the River Severn Partnership, on trying to find a solution to managing Britain’s longest river?
ParlaMint-GB_2022-01-11-commons.u46	It is important not to wait until flooding happens, as we have heard, but to manage it actively. Organisations such as Living With Water in the constituency of the hon. Member for Kingston upon Hull West and Hessle (Emma Hardy) have done very good things in proactively tackling flooding Again, I suggest that my hon. Friend the Member for Shrewsbury and Atcham (Daniel Kawczynski) works with DEFRA. I am happy to see what more I can do in that regard.
ParlaMint-GB_2022-01-11-commons.u47	6. What steps his Department is taking to support businesses in the night-time economy.
ParlaMint-GB_2022-01-11-commons.u48	BEIS and the Department for Digital, Culture, Media and Sport sponsor the hospitality and entertainment sectors, both of which support the night-time economy. Alongside the £400 billion package of grants, loans, business rates relief, VAT discounts and rent moratoriums, we are providing £1 billion-worth of grants and £100 million-worth of discretionary grants.
ParlaMint-GB_2022-01-11-commons.u49	Although the night-time economy has clearly been thriving in Whitehall, especially at the height of lockdown, many bars, clubs and pubs across the rest of London are unfortunately struggling to stay afloat, and many of them employee my constituents. The Night Time Industries Association suggests that its members have lost, on average, £45,000 over the festive period, so the grants do not touch the sides. Will the Minister commit to providing further financial support to this sector by reintroducing the 100% business rates relief and the emergency 5% VAT rate?
ParlaMint-GB_2022-01-11-commons.u50	The business rates relief and VAT relief continue, but the grants the Chancellor has offered equate to the grants we previously offered when the same businesses were mandated to close, in recognition of the chilling effect. Clearly we will continue to work with the hospitality sector, which wants to stay open and trade normally. That is why we are learning to live with covid, in contrast with, for example, Labour-run Wales, where the hospitality sector has remained hampered by further restrictions.
