ParlaMint-GB_2022-05-16-commons.u1	1. What steps he is taking to support local leaders in regenerating high streets and town centres.
ParlaMint-GB_2022-05-16-commons.u2	20. What steps his Department is taking to help support the regeneration of towns and high streets.
ParlaMint-GB_2022-05-16-commons.u3	Regenerating our high streets and town centres is essential to the Government’s commitment to levelling up the country. The Levelling-up and Regeneration Bill includes measures to tackle vacant properties, improve compulsory purchase powers and make temporary pavement licensing permanent. It builds on the comprehensive funding package already announced, including the £3.6 billion towns and future high streets funds, the £4.8 billion levelling-up fund and the recently launched £2.6 billion shared prosperity fund.
ParlaMint-GB_2022-05-16-commons.u4	I thank the Minister and the whole Cabinet for visiting Stoke-on-Trent last week. In towns across Stoke-on-Trent, encouraging new uses of property on our high streets has often been held back by complex ownership and the council not having the resources to tackle the issues. What more are the Government doing both to incentivise property owners to bring derelict spaces back into use and to make it easier to use enforcement powers where owners prove unwilling to do so?
ParlaMint-GB_2022-05-16-commons.u5	My hon. Friend is completely correct. It was a pleasure to join the Cabinet meeting in Stoke last week and talk about how we drive forward regeneration there. Stoke is really powering ahead, and the measures in the Levelling-up and Regeneration Bill—particularly those to reform compulsory purchase orders and crack down on empty shops—will help things go even faster. That is in addition to the specialised support that Stoke-on-Trent is receiving through the high streets task force. I have also set up a meeting next month with all the infrastructure and regeneration bodies across Government to plan how we can build on Stoke’s three levelling-up fund successes.
ParlaMint-GB_2022-05-16-commons.u6	Burton town deal board has worked hard over the past two years in putting together a town deal we can be proud of. It is clear that constituents are passionate about our town, and they have worked with the board to ensure that the final plan will offer a great future for Burton. The plan has now been submitted. Can my hon. Friend offer any thoughts on Burton’s plans, and can he give an indication of when approval might be granted so that we can crack on with levelling up in our area?
ParlaMint-GB_2022-05-16-commons.u7	I praise the proactive approach that East Staffordshire Borough Council has taken, which includes working cross-party to build consensus. Its plans for the riverside regeneration in particular will be absolutely transformative. The business case documents are currently being reviewed by officials, and I hope to be able to sign those off shortly so that the projects can get under way.
ParlaMint-GB_2022-05-16-commons.u8	The Rhondda is absolutely beautiful, but some of our town centres are let down by hideous old buildings which, frankly, do not need any levelling up; they need some levelling down. So will the Minister please put in place a levelling-down fund that will allow us to destroy some buildings, such as the bingo hall in Hannah Street in Porth?
ParlaMint-GB_2022-05-16-commons.u9	At the same time as making an amusing point, the hon. Gentleman makes a very important point. The powers for compulsory purchase will help to unlock sites, including sites that the hon. Gentleman mentions which need fundamental change. The funding schemes we have put in place—the shared prosperity fund and so on—will help put financial firepower behind those regeneration schemes, too.
ParlaMint-GB_2022-05-16-commons.u10	One way to regenerate high streets is to repurpose old retail units as co-working spaces, and increasing the number of remote jobs available means people do not have to leave the place they love for the job they want. Would the Minister, and indeed any Member across the House, like to come to my Work Hull: Work Happy event on 23 June at 11 am to find out more about the benefits of remote working for productivity and opportunity?
ParlaMint-GB_2022-05-16-commons.u11	It sounds extremely interesting, and I would be very interested in coming along. The hon. Lady is completely correct that remote working is potentially a really powerful driver for levelling up, and some of the measures in the Levelling-up and Regeneration Bill, such as repurposing shops through the high street rental auction scheme, can potentially be really transformative for our high streets.
ParlaMint-GB_2022-05-16-commons.u12	2. What steps he is taking to ensure that leaseholders do not have to pay for remediation work in buildings where the developer is at fault.
ParlaMint-GB_2022-05-16-commons.u13	The Building Safety Act 2022 protects leaseholders from costs associated with historical building safety defects. Qualifying leaseholders and buildings of above 11 metres in height are fully protected from unsafe cladding remediation costs. There are also robust and far-reaching protections from non-cladding costs, with leaseholder contributions being a last resort and firmly capped. Where a freeholder is linked to the original developer, leaseholders will now pay nothing.
ParlaMint-GB_2022-05-16-commons.u14	Leaseholders in my constituency have been pleased with the progress that has been made through the Building Safety Act. However, it is disappointing that some developers are yet to sign up to the building safety pledge. Could my right hon. Friend outline what support is in place for leaseholders in buildings of over 11 metres who find themselves in that situation?
ParlaMint-GB_2022-05-16-commons.u15	I am very grateful to my hon. Friend for raising that particular question. Some 45 of the biggest 53 developers have so far signed the pledge to remediate buildings for which they are responsible. However, I know there are developments in my hon. Friend’s constituency where the developers are not among those who have signed up yet. We will be moving developer by developer and owner by owner to ensure that those responsible relieve leaseholders of their obligations, and I will stay closely in touch with my hon. Friend as we make progress.
ParlaMint-GB_2022-05-16-commons.u16	We have all had cases where a developer who is at fault closes down on a Friday evening and then reopens on the Monday morning under a different name, as that avoids any kind of sanction or prosecution. Will the Secretary of State look at allowing the prosecution of individual directors only in those extreme cases of deeply questionable developers?
ParlaMint-GB_2022-05-16-commons.u17	Yes, absolutely.
ParlaMint-GB_2022-05-16-commons.u18	My right hon. Friend has done excellent work on protecting leaseholders over the cladding scandal as a result of revisiting Government policy. Will he revisit another Government policy that affects leaseholders badly: the encouragement of building new floors on top of existing apartment blocks? Having experienced this disaster myself, I know only too well how shoddy workmanship then leaves leaseholders picking up the bills for a development that they did not want and they had to endure for months on end.
