ParlaMint-GB_2022-02-04-commons.u1	I beg to move, That the House sit in private Question put forthwith (Standing Order No. 163)
ParlaMint-GB_2022-02-04-commons.u2	On a point of order, Mr Speaker, I want to raise comments made on Monday by the Prime Minister, who I believe inadvertently mislead the House. On Monday 31 January, the Prime Minister said in this place that “we have been cutting crime by 14%”. —[Official Report, 31 January 2022; Vol. 708, c. 24. ] Again on Monday, he said: “What we are actually doing is cutting crime by 14%”. —[Official Report, 31 January 2022; Vol. 708, c. 50. ] The Prime Minister was referring to the national crime statistics, which were published on 27 January In a letter to the right hon. Member for Orkney and Shetland (Mr Carmichael), the UK Statistics Authority said that “the Prime Minister referred to a 14% reduction in crime, which is the change between the year ending September 2019 and the year ending September 2021. This figure also excludes fraud and computer misuse, though the Prime Minister did not make that clear. If fraud and computer misuse are counted in total crime as they should be, total crime in fact increased by 14% between the year ending September 2019 and the year ending September 2021. ” The ministerial code states: “It is of paramount importance that Ministers give accurate and truthful information to Parliament, correcting any inadvertent error at the earliest opportunity. ” It seems clear that the Prime Minister inadvertently mislead the House, and I would be grateful for your advice, Mr Speaker, on how he might at the earliest opportunity correct the record.
ParlaMint-GB_2022-02-04-commons.u3	First, may I say I am grateful to the hon. Lady for giving notice of her point of order? She may be aware that the issue was raised by the hon. Member for North East Fife (Wendy Chamberlain) yesterday. I repeat what was said in response to that point of order. Although the Chair is not responsible for the content of contributions made by Ministers, I am sure that the concern was heard by those on the Treasury Bench. If an error has been made in this instance, I am sure that the Prime Minister will seek to correct it as quickly as possible. She will no doubt also be aware of paragraph 8.15 of the ministerial code, which deals with the use of statistics. I am sure she will find ways of pursuing this issue, should she wish to do so.
ParlaMint-GB_2022-02-04-commons.u4	I beg to move, That the Bill be now read the Third time I thank you, Mr Speaker, and all Members in the House who have joined me today to help me bring my Bill to its remaining stages on the Floor of the House. I also thank the Public Bill Committee, which considered the Bill in detail on Wednesday 8 December last year. The discussion was insightful, and I appreciate the careful and detailed consideration that has gone into the process so that the Bill can today reach this point It is clear that we are truly a nation united by our love of animals, and my Bill has attracted strong support from all parties in this House and, most especially, from animal welfare organisations across the country. I am pleased that it has progressed through the House without a single amendment and that Members on both sides of the Chamber value not only its spirit but its content I am delighted by the energy shown by so many in ensuring that we get the Bill absolutely right so that it has the best possible impact on animal welfare across the country. Important conversations have been ongoing throughout its passage involving all parties in the House and key organisations outside. Ultimately, that has allowed the Bill to arrive at this final stage As you will know only too well, Mr Speaker, I have, like you, been an advocate for the protection of animals my entire life, and particularly during my 20 years as a Member of Parliament. My own dogs were Staffordshire bull terriers called Spike and Buster and they were the best companions anyone could have wished for. They campaigned for me in every general election, sporting their famous Union Jack waistcoats. I have fond memories of my hon. Friend the Member for Buckingham (Greg Smith) looking after Spike during the 2001 general election, and I am delighted that he is in the Chamber to support my Bill As we love our country, we also love our animals. From my experience of speaking to constituents and working closely with animal welfare charities, I know the joy that animals can bring. Protecting animals should unite us all. We have a duty of care to the animals that we are privileged to live alongside—household pets, wild animals, farm animals and all creatures of land, sea and sky.
ParlaMint-GB_2022-02-04-commons.u5	My hon. Friend mentions farm animals. I do not know of any farmers who deliberately mistreat their animals, but sometimes false accusations are made against them. There is some concern in the farming community about the appeals process if they are given a penalty charge notice. Will he assure the House that there is a robust appeals process in his Bill?
ParlaMint-GB_2022-02-04-commons.u6	There absolutely has to be, and my hon. Friend is right to raise that point. The purpose of the Bill is to deal with fairly minor offences and act almost as guidance. It is not there to deal with serious offences, which would still be handled through the usual process. I take on board his point that when false accusations are made there must be a robust appeals process, and I know that the Minister will take that on board in dealing with any secondary legislation. I thank my hon. Friend for his intervention Our dearly missed friend and departed colleague, Sir David Amess, shared my view on the Bill. He shared all my views on animal welfare and was the greatest champion of the issue among Members of Parliament. He dedicated his life to that. We think of David today, on the first day of a new Member, my hon. Friend the Member for Southend West (Anna Firth). We wish her all success as David’s successor, but no one could replace David. He was unique, and we think of him all the time. His stance on animal welfare never changed throughout his 38 years in Parliament. In fact, he introduced a private Member’s Bill in 1998 that strengthened protections for horses tethered by the roadside, and through his tireless campaigning inspired so many others to continue the fight for strengthened protection for animals. We remember him as we carry on the fight to defend and protect animals throughout the United Kingdom It has been an honour to have the opportunity to introduce a Bill that I believe will make a real difference to the lives of animals and help promote greater understanding of welfare. This Bill will directly benefit the health and welfare of this country’s farmed and kept animals and will increase accountability when our country’s biosecurity is put at risk. The Bill introduces enabling powers so that we can apply penalty notices to the appropriate offences and establishes the framework crucial to introducing these penalties through statutory instrument. Penalty notices will bolster our existing enforcement measures and give enforcement authorities more options to influence positive behaviour when it comes to caring for our farmed and kept animals, including companion animals and zoo animals As chair of the zoos and aquariums all-party parliamentary group, I recognise that this is a welcome development for that sector. Having worked very closely for so many years with the excellent British and Irish Association of Zoos and Aquariums, which does so much for zoos and the care of animals in zoos and aquariums across the country, I know that it agrees that penalty notices are the right way forward. The debate in Committee highlighted the wide support for the Bill and what I believe it will achieve. I have held ongoing discussions with various non-governmental organisations, and I am delighted that there is a strong consensus that penalty notices will benefit this country and should be introduced. I share the same enthusiasm and excitement for this legislation, which I truly believe will be a gain for animal welfare across this country I am also grateful to the organisations that have already invested their time in engaging with myself and the Department for Environment, Food and Rural Affairs to consider the Bill and how it will work for them in practice, and sharing their views so that we can make the Bill as effective as possible. The support of the Royal Society for the Prevention of Cruelty to Animals, Battersea Dogs and Cats Home, the National Farmers Union, Blue Cross, Cats Protection, the National Sheep Association and the National Pig Association, as well as many other animal welfare groups across the country, has been invaluable I once again thank hon. Members here today for supporting this landmark Bill, and for the many contributions made at its previous stages. I hope we can agree that this important Bill should progress today, so that it may continue its journey in the House of Lords under the stewardship of the right hon. Lord Randall of Uxbridge, who has agreed to champion my Bill in the other place. The wellbeing and safety of animals is something that I know matters to us all, so as a nation of animal lovers, let us continue to lead the world in enhancing the cause of animal welfare I would like to place on record my sincere thanks to the Minister who is not here today, the Under-Secretary of State for Environment, Food and Rural Affairs, my hon. Friend the Member for Bury St Edmunds (Jo Churchill). She has done so much to support my Bill, and has been very dedicated in helping to ensure that the Bill has reached this stage. It has been my pleasure to work with her to ensure that this new legislation has arrived in this place today, and I thank the Minister in her place—the Minister for Farming, Fisheries and Food, my hon. Friend the Member for Banbury (Victoria Prentis)—for standing in and leading in today’s debate I would also like to thank those organisations and Members who have provided such valuable care to animals for vocalising their support for this Bill and giving me full confidence that penalty notices will be a welcome addition to the enforcement of animal welfare when they become available.
ParlaMint-GB_2022-02-04-commons.u7	I thank my hon. Friend for bringing forward this very important Bill. I think members of the public listening or watching might be surprised that this kind of Bill needs to be brought in. What changes will it make to improve the situation and assist us in making sure that people are not being cruel to animals?
ParlaMint-GB_2022-02-04-commons.u8	My hon. Friend makes a really important point, because we need to understand the purpose of this Bill. At present, enforcing breaches of animal welfare laws means having to prosecute, so it takes a long time, and involves going to court and all those processes. However, many offences are very minor—mistakes that individuals may have made inadvertently—so, a bit like a parking ticket, the penalty notices are a way of informing people, when they have not done something very serious, that they need to do things better in future. The Bill will give the enforcement authorities greater powers to deal with minor offences speedily, rather than having to go through long processes. Of course, some of those cases will never be prosecuted, because in effect time runs out; there is not enough time to deal with the issue. This Bill will be really effective as a way of dealing with such cases quickly. That is really the nub of the Bill; it will increase the powers in animal welfare laws and make them a lot more effective. I thank my hon. Friend for her intervention, and hope I have explained the background clearly to her This Bill will fundamentally reform how we enforce animal welfare, biosecurity and welfare across farmed and kept animals in England. I hope other parts of the United Kingdom will follow suit when this Bill becomes legislation. I believe it will improve this country’s response to offences and strengthen our position as a world leader in the welfare of animals, with whom we are privileged to share this planet. I sincerely hope that we will see it placed on the statute book in the very near future. This is a good Bill that will improve the lives of animals and guide the people of this nation towards better protection and welfare of the animals we all care so much about, and I commend it to the House.
ParlaMint-GB_2022-02-04-commons.u9	I must congratulate the hon. Member in charge of this Bill.
ParlaMint-GB_2022-02-04-commons.u10	Thank you, Mr Speaker, for calling me so early in the debate. I think we can all agree that my hon. Friend the Member for Romford (Andrew Rosindell) has brought a hugely important Bill to the House. It shows that cruelty to any animal will face serious consequences, and he should be commended for such a worthwhile Bill. If my hon. Friend will bear with me, he is, if I have got this right, the chairman of the all-party parliamentary group on zoos and aquariums, a former shadow Minister for animal welfare, and a committed advocate for the care and protection of animals. He speaks with great experience and authority, so I will be delighted to support this Bill, which will crack down on animal offenders and establish a more consistent, targeted approach to protecting all animals from harm I need to be clear that animal cruelty has no place in our society, and I am so delighted that this Bill will close the gap that is being exploited by cruel animal abusers. The Bill has received significant backing from key stakeholders, as my hon. Friend has said, including the RSPCA, which has said that the measures would help to combat the suffering of farmed animals, horses and animals kept in zoos. I welcome the assurance that the animal cruelty offences will always be prosecuted and that penalties will be used in conjunction with tougher sentences to provide better safeguards for all animals. This Bill will provide a welcome powerful additional enforcement tool, providing authorities with an extra measure that could be used alongside warnings and criminal prosecution. I support this Bill, because it builds on the Government’s decisive actions to improve our already world-leading animal welfare standards, including raising the maximum prison sentence for animal cruelty Just months after being elected, I met, as did many other Members, Finn, a former police dog who was attacked while pursuing a suspect. Finn’s story convinced me—not that I needed much convincing—of the need to increase the maximum sentence from six months to a more respectable five years. I met many service animals in my time in the armed forces, and I know that they not only work hard but that their actions have saved many lives. I remember when serving in Northern Ireland in the troubles doing 5 metre and 10 metre checks: when walking along a street, every time we stopped we had to look around to check for improvised explosive devices and command wires. We were always nervous doing that and when we had sniffer dogs with us that could smell any explosives a mile away we felt safer straight away In 1999, I deployed to Kosovo for the conflict. We were living in very harsh conditions, working 20 to 22 hours a day on average and living in derelict buildings at the start. We were shattered for much of the time. I remember my patrol coming back in one day and meeting one of the attack dogs—war dogs—in the operation rooms. Most of my blokes were too tired to eat, but as we walked in and came face to face with one of the British Army’s finest attack dogs, who certainly made us aware that we had got too close to him, we were all wide awake straight away More seriously, a friend of mine who was serving in the British special forces in Afghanistan was, unfortunately, shot in the neck and killed. As a result, the Special Air Service decided to use dogs as members of their team, so they have become an extra member of their team in operations. From knowing some of the people who have used these dogs on operations I can say that they have saved countless lives. Those are some of my personal experiences, where I have seen the love for animals and where they have saved human lives I also support this Bill because it provides an important educational tool that can be used before offences become more severe and can prevent offenders from repeating their mistakes—let us educate people on this issue. As a local MP, I want to do all I can to ensure that Wolverhampton becomes a safer place to live, work and visit for everyone, and that includes all the animals that co-inhabit it.
ParlaMint-GB_2022-02-04-commons.u11	I pay tribute to my hon. Friend the Member for Romford (Andrew Rosindell) for doing so much to further the case for animal welfare: as a former shadow Minister for animal welfare and the chair of the all-party group on zoos and aquariums, he is an advocate like no other. They say that dogs are a man’s best friend; it is no stretch to say that my hon. Friend is one of the UK animal population’s best friends One of my best friends is a sassy little bitch called Karen, a pomeranian chihuahua, or pomihuaha. She is a very small dog with a very big personality—the ultimate companion who can cheer me up at the end of a long day and bring a smile to my face in the toughest of times. Through my time with Karen I am reminded of the special place our pets and animals have in our homes and hearts, why Britain is a proud nation of animal lovers, and why it is so important that we protect our furry friends I am very proud that our Government are striving to ensure our animal welfare standards continue to be world leading. We have had the Animal Welfare (Sentencing) Act 2021, or Loder’s law, which has increased the maximum prison sentence from six months to five years for those who harm animals, and a new offence of pet abduction to tackle the sick and depraved individuals who would steal someone’s cherished pet and deprive them of an often-priceless relationship. We also have the Animal Welfare (Kept Animals) Bill tackling puppy smuggling and the export of live animals for slaughter. My hon. Friend’s Bill will bridge the gap between criminal prosecution and warning letters so that action can be taken and sanctions issued straightaway to protect our animals’ health and wellbeing In this country, we have an incredible farming community who go above and beyond to care for their livestock. We also have an amazing network of zoos that delivers incredible educational opportunities for youngsters and protects and cares for exotic and rare species to high standards. In our own homes, we are a nation of animal lovers. People across Britain love, cherish and adore their furry friends and family members, but how do we deal with the small minority who do not provide that level of care There is currently a gap in the powers available to deal with those people and in some cases we fail to provide a fair, firm, proportionate and prompt response before reaching the threshold for prosecution. It is devastating that last year the RSPCA received 57,000 complaints of animal cruelty. The Bill will provide the penalties and the means to tackle that behaviour at an earlier stage as well as an educational tool to prevent bad situations from getting worse. Our pets are family members and friends who deserve protection. We should give the authorities all the powers they need to tackle those who would do them harm.
