ParlaMint-GB_2022-07-05-commons.u1	1. What recent assessment he has made of the adequacy of staffing levels in the probation service.
ParlaMint-GB_2022-07-05-commons.u2	The probation service is committed to increasing recruitment to fill probation officer vacancies. The adequacy of staffing levels is monitored on an ongoing basis through operational management and plans around recruitment and retention.
ParlaMint-GB_2022-07-05-commons.u3	I recently spoke to a probation officer who is off work due to stress. They told me: “We are losing no end of experienced officers and management doesn’t seem to care. ” With record levels of staff leaving the service and overworked officers fearful that any wrong decision could lead to tragedy, what specific actions will the Minister take to improve working conditions for probation officers?
ParlaMint-GB_2022-07-05-commons.u4	Although, obviously, people do leave the probation service from time to time, I hope the hon. Gentleman recognises the very vigorous recruitment campaign over the past three years. We have taken on: 1,007 new recruits in 2020-21; 1,518 in 2021-22; and 1,500 more this year. However, he is right that we need to work hard to make sure that we retain staff as well. There is a variety of strategies that we can put in place to make sure that that is the case, not least looking at the workload, which is often a cause of stress and strain. I am pleased to say that the latest numbers tell me that only 4% of probation officers have a workload above the recommended maximum, and there are obviously reasons why that may be the case. Having said that, there is, obviously, much more that we can do, and one of those things is to agree a productive and helpful pay settlement. We are in conversation with the unions and, indeed, with colleagues in the Treasury about reaching a conclusion on those discussions soon.
ParlaMint-GB_2022-07-05-commons.u5	I call the shadow Minister.
ParlaMint-GB_2022-07-05-commons.u6	Dedicated probation officers are telling me that they cannot manage their workloads as it is. One said: “I used to spend about an hour each week with my high risk cases, but that simply isn’t possible with my current caseload. I no longer have confidence I can manage my cases in a way that keeps the public safe” After the Prime Minister’s pledge to cut civil service numbers by a fifth, will the Minister now rule out any more cuts to the probation service?
ParlaMint-GB_2022-07-05-commons.u7	As I said in my previous answer, we are always reviewing case loads. I know the hon. Lady will recognise that the Inspectorate of Probation report on case loads, workloads and staffing numbers indicated that the recommended case load should not exceed 50, although it also said that there should not be a precise target. I am happy to tell her that 96% of probation officers and probation service officers hold fewer than 50 cases, with an average caseload of 34. Having said that, we recognise that the profession, which is valuable and does important work, presents particular stresses and strains. As part of the reunification process, and moving towards a target operating model, staff wellbeing and welfare will be a key element in our considerations.
ParlaMint-GB_2022-07-05-commons.u8	2. What steps he is taking to reduce reoffending rates.
ParlaMint-GB_2022-07-05-commons.u9	3. What steps he is taking to reduce reoffending.
ParlaMint-GB_2022-07-05-commons.u10	19. What steps he is taking to reduce reoffending.
ParlaMint-GB_2022-07-05-commons.u11	Let me take the chance, on behalf of those on the Conservative Front Bench and, I believe, on all the Benches behind me, to offer our condolences to the shadow Justice Secretary on the passing of his father The overall reoffending rate has decreased by 5 percentage points from 31% in 2009-10 to 26% in 2019-20. Over that period, reoffending rates for robbery, criminal damage, arson, drug offences and sexual offences have all fallen.
ParlaMint-GB_2022-07-05-commons.u12	I very much welcome the work that is being done to reduce reoffending rates. I vividly remember visiting Armley Jail and hearing about the work being done there. A big part of this work is transitioning ex-offenders into work. What role does my right hon. Friend see apprenticeships playing in that work?
ParlaMint-GB_2022-07-05-commons.u13	My hon. Friend is right: the work that we are doing on skills and education right the way through to getting offenders into work is vital. I am very pleased, as he may know, that, working with the Department for Education, we are introducing a statutory instrument to introduce apprenticeships in prison. That SI will pass in September, and we will start the first apprenticeship straight away.
ParlaMint-GB_2022-07-05-commons.u14	The top 10 repeat offenders being dealt with by police in North Devon have committed 108 offences in April to June this year. As the police themselves say, many of these individuals have previously been in prison—some on multiple occasions—but the offending cycle continues. What more can be done to reduce repeat offending, as, locally, the current system is clearly not delivering that desired outcome?
ParlaMint-GB_2022-07-05-commons.u15	By 2024-25, we will be investing £200 million a year, in dealing with skills and work, as I have already said, and also with drug rehabilitation, particularly sustainable absence-based drug rehabilitation. The further action that we are taking on resettlement passports will avoid that potential cliff edge when an offender leaves prison, and makes sure that the wraparound care is there as they transition.
ParlaMint-GB_2022-07-05-commons.u16	Sussex prisoners’ families have highlighted how important families of offenders, particularly prisoners, are in reducing offending. Prisoners’ families are often forgotten about in the criminal justice system, but research shows that if prisoners have a supportive family, they are less likely to offend. What steps is my right hon. Friend taking to support such families, thereby helping to make our communities stronger and safer?
ParlaMint-GB_2022-07-05-commons.u17	My hon. Friend is absolutely right; research shows that the odds of reoffending are 39% higher for prisoners who did not have visits from family or friends while they were inside prison. That is why the new builds, Five Wells and the others, have not only in-cell technology that can facilitate dialogue and close family ties, but family centres to ensure that the ties that bind, and can cut crime by reducing reoffending, are strengthened and not weakened.
ParlaMint-GB_2022-07-05-commons.u18	Careful parole decisions are important to minimise reoffending. Can the Justice Secretary explain why new Parole Board rules will mean that expert report writers will be forbidden to provide a view on suitability for release of the most serious offenders?
ParlaMint-GB_2022-07-05-commons.u19	At the moment, when the vital question of risk is assessed, there is a risk that separate reports, whether from psychiatrists or probation officers and those who manage risk, may give conflicting recommendations. Therefore, in those serious cases that the hon. Lady refers to, there will be one overarching Ministry of Justice view, so that the Parole Board has a very clear steer and we make sure—the hon. Lady shakes her head, but I think she agrees with me—that the overriding focus is on public safety and protecting the public.
ParlaMint-GB_2022-07-05-commons.u20	I call the shadow Secretary of State.
ParlaMint-GB_2022-07-05-commons.u21	I thank you, Mr Speaker, the Secretary of State and other hon. Members for their condolences on the passing of my dad, Roy Reed, a few days ago. Everyone’s very kind words were a great comfort to our family at a very difficult time Community payback is vital for reducing reoffending and giving justice to victims, but the number of hours completed by offenders has been falling since 2017. It fell in 2018 and again in 2019, before anyone had heard of covid-19. Please can the Secretary of State explain why?
ParlaMint-GB_2022-07-05-commons.u22	There is renewed investment going in to community payback. There has been a covid effect since the years the hon. Gentleman mentions; I know he has raised the issue of those obligations being discharged from home, but that will all be phased out by the autumn. This is a valuable scheme for restorative justice, so that the public see those who have committed crimes making recompense.
ParlaMint-GB_2022-07-05-commons.u23	4. What discussions he has had with Cabinet colleagues on the effect of the pension age of prison officers on staff (a) recruitment and (b) retention.
ParlaMint-GB_2022-07-05-commons.u24	The Government are committed to recognising the extraordinary public service carried out by our hard-working prison staff and officers, and to ensuring that we have a modern employment offer that attracts and retains the very best. I am listening to and working with officers, staff and trade unions on all employment matters.
ParlaMint-GB_2022-07-05-commons.u25	The Minister agreed more than six months ago in this place and on a number of other occasions to meet with the professional trades union for prison, correctional and secure psychiatric workers—the Prison Officers Association—to discuss prison officer pension age as a standalone issue. Yet I am informed that that meeting is yet to happen or even to be scheduled. Does the Minister understand that making promises to prison officers and then breaking them is an insult to hundreds of my constituents in Durham, but entirely consistent with the way this Government treat those brave and loyal workers?
ParlaMint-GB_2022-07-05-commons.u26	I thank the hon. Lady for raising this matter. I have in fact met the Prison Officers Association; indeed, I was delighted to attend its conference in Eastbourne a couple of months ago. I note in passing that sadly the Opposition were not able to accept the union’s kind invitation to attend that same conference. In terms of pensions, I am determined to have a good employment offer for all our officers. I will continue to meet the POA union and the other unions that work in our prison estate. I emphasise both to officers and to staff that we want to ensure that the hard work they put in to our prison service is reflected in the coming months in the offer we put to our staff.
ParlaMint-GB_2022-07-05-commons.u27	5. What steps his Department is taking to support victims of rape and sexual abuse.
ParlaMint-GB_2022-07-05-commons.u28	The Government are committed to supporting victims of rape and sexual violence. We have seen rape convictions increase by two thirds since 2020, but we are committed to doing much more and going further. Last year the Government announced our ambitious end-to-end rape review action plan, which includes quadrupling the funding for victim support from £41 million in 2009-10 to £192 million by 2024-25. More than half of all Crown courts are equipped to use pre-recorded cross-examination and re-examination for vulnerable witnesses, to make the experience of giving evidence to the courts less daunting. There is much more happening, and I know the hon. Gentleman takes a close interest in these matters.
ParlaMint-GB_2022-07-05-commons.u29	I thank the Minister, who clearly has a very clear strategy to move forward. However, recent statistics from the charity Rape Crisis state that in 2021 only one in 100 victims of rape felt they could report it to the police, with some feeling completely unable to do so due to intense fear and angst about reprisals from the perpetrator. What steps will she take to ensure that victims feel that they can come forward and place their trust in the authorities, to find the closure they so very much want?
ParlaMint-GB_2022-07-05-commons.u30	The hon. Gentleman is right to identify the concerns that victims have from the very first moment of reaching out for support from the police in reporting these offences. As I say, we have conducted a forensic end-to-end review of the criminal justice system. Part of that includes ensuring that the police conduct so-called suspect-focused investigations whereby, rather than looking at the witness’s credibility, they focus on the suspect’s behaviour. We will be rolling this out nationally over the coming year, and I very much hope and expect that we will begin to see some real results from that.
ParlaMint-GB_2022-07-05-commons.u31	I call shadow Minister Ellie Reeves.
ParlaMint-GB_2022-07-05-commons.u32	Three years on from the Government’s end-to-end rape review, little has changed, with victims waiting three years for their case to get to court, section 28 rolled out in 37 out of 77 Crown courts, and specialist rape courts to be piloted in just three. When I raised the Conservatives’ appalling record in Parliament last week, the Minister accused me of “false, damaging and intemperate language”, but I make no apology for standing up for victims. Does she accept that it is her Government’s actions and not my words that are letting rape survivors down?
ParlaMint-GB_2022-07-05-commons.u33	I am extremely grateful to the shadow Minister for raising that matter. You know, Mr Speaker, that I wrote to you privately concerning conduct in this Chamber, because how we conduct ourselves in this Chamber matters: it has implications far beyond these walls for victims of crime. I raised this privately in a letter to you, Mr Speaker. I copied in the hon. Lady, as a professional courtesy, and it has mysteriously found its way into The Guardian newspaper; I know not how that could have happened. Just on a matter of House business, it is a very great shame that when colleagues express discreetly concerns about conduct in this Chamber, it becomes a matter for the national newspapers Turning to the hon. Lady’s allegations, we have more victims reporting their crimes to the police and the Crown Prosecution Service charging more perpetrators. We have timeliness in the Crown court improving by five weeks on last year. What is more, we have seen the conviction rate increase since last year, by two thirds. These are steps towards the targets that we want to meet. I do not for a moment claim that our work is done, but we must, for the sake of victims, ensure that we give them the reassurance and the support they need to bring these allegations to light.
ParlaMint-GB_2022-07-05-commons.u34	6. What plans he has to improve support for victims of crime.
