Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2015-07-03-20142-M2	ParlaMint-DK_20150703110004	Hansard of the session of the Danish Parliament (Folketinget), 20142, M2 (2015-07-03), final version	2015-07-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20142	M2	-	-	Reference	English	Chairperson	MP	Minister	V	Venstre	Coalition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2015-07-03-20142-M2	ParlaMint-DK_20150703110055	Hansard of the session of the Danish Parliament (Folketinget), 20142, M2 (2015-07-03), final version	2015-07-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20142	M2	-	-	Reference	English	Chairperson	MP	Minister	V	Venstre	Coalition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2015-07-03-20142-M2	ParlaMint-DK_20150703110115	Hansard of the session of the Danish Parliament (Folketinget), 20142, M2 (2015-07-03), final version	2015-07-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20142	M2	-	-	Reference	English	Regular	notMP	notMinister	V	Venstre	Coalition	Centre-right	JuelJensenPeter	Juel-Jensen, Peter	M	1966	
ParlaMint-DK-en_2015-07-03-20142-M2	ParlaMint-DK_20150703110445	Hansard of the session of the Danish Parliament (Folketinget), 20142, M2 (2015-07-03), final version	2015-07-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20142	M2	-	-	Reference	English	Chairperson	MP	Minister	V	Venstre	Coalition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2015-07-03-20142-M2	ParlaMint-DK_20150703110517	Hansard of the session of the Danish Parliament (Folketinget), 20142, M2 (2015-07-03), final version	2015-07-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20142	M2	-	-	Reference	English	Chairperson	MP	Minister	V	Venstre	Coalition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2015-07-03-20142-M2	ParlaMint-DK_20150703120001	Hansard of the session of the Danish Parliament (Folketinget), 20142, M2 (2015-07-03), final version	2015-07-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20142	M2	-	-	Reference	English	Chairperson	MP	Minister	V	Venstre	Coalition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2015-07-03-20142-M2	ParlaMint-DK_20150703120124	Hansard of the session of the Danish Parliament (Folketinget), 20142, M2 (2015-07-03), final version	2015-07-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20142	M2	-	-	Reference	English	Chairperson	MP	Minister	V	Venstre	Coalition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2015-07-03-20142-M2	ParlaMint-DK_20150703120243	Hansard of the session of the Danish Parliament (Folketinget), 20142, M2 (2015-07-03), final version	2015-07-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20142	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2015-07-03-20142-M2	ParlaMint-DK_20150703120339	Hansard of the session of the Danish Parliament (Folketinget), 20142, M2 (2015-07-03), final version	2015-07-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20142	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2015-07-03-20142-M2	ParlaMint-DK_20150703120404	Hansard of the session of the Danish Parliament (Folketinget), 20142, M2 (2015-07-03), final version	2015-07-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20142	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2015-07-03-20142-M2	ParlaMint-DK_20150703120540	Hansard of the session of the Danish Parliament (Folketinget), 20142, M2 (2015-07-03), final version	2015-07-03	Unicameralism	Regeringen Lars Løkke Rasmussen II	20142	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
