ParlaMint-ES-CT_2017-10-27-4402.1.0	The session begins. Mr. Carrizosa, why ask me the word?
ParlaMint-ES-CT_2017-10-27-4402.2.0	On a point of order, President.
ParlaMint-ES-CT_2017-10-27-4402.3.0	Say it.
ParlaMint-ES-CT_2017-10-27-4402.4.0	It seems that the Junts pel Si i CUP political parties have invited quite a few guests to the sessions of this plenary, which I do not know if, in addition, they have been added to other guests of other bodies. And the case is that these guests were shouting loud, full-lung sounds in the hall of events, audibly throughout this Parliament, in favour of independence. I call on these people to abide by the minimum standards of coexistence, that respect democracy, that they do not make constitutional parliamentarians, that we are defending the Constitution and democracy, to be coerced into the way we can make our claims and the presentation of our ideas. We do not like Parliament to look like the seat of the Republican Left, or of the ANC, or of Junts for Yes. [[Greetings.]] I'm done. We have submitted a letter by Registry requesting that it be ensured that we can exercise our right without feeling coerced by the guests of those who today claim to declare independence illegally in Catalonia.
ParlaMint-ES-CT_2017-10-27-4402.5.0	Mr. Carrizosa, you've already been informed and given orders that you will respect and, therefore... all security measures, okay? [[Don't worry about it. Don't worry ……]] I mean, there has been a unanimous agreement of the Bureau, by unanimous agreement of the Bureau we have called for respect for order and respect for what we are doing in this Parliament; therefore, all security measures have already been taken.
ParlaMint-ES-CT_2017-10-27-4402.6.0	Madam President...
ParlaMint-ES-CT_2017-10-27-4402.7.0	Yes, Mr. Carrizosa.
ParlaMint-ES-CT_2017-10-27-4402.8.0	I hope, Madam President, that, if the least is changed, or if the guests in the rostrum show evidence of reprobation or approval towards what any of the speakers say, they will be called to order and expelled from the Chamber to ensure that we can discuss democratically in this legislative assembly and not as if it were an assembly held, I repeat, in Ómnium Cultural, in the ANC, in the CUPs or in one of their closed-door meetings. [[Greetings.]]
ParlaMint-ES-CT_2017-10-27-4402.9.0	Mr. Carrizosa, I have no doubt that the public will behave correctly. And let's start... yes, Mr. Fernández, why ask me the word?
ParlaMint-ES-CT_2017-10-27-4402.10.0	On a point of order, too.
ParlaMint-ES-CT_2017-10-27-4402.11.0	Yeah.
ParlaMint-ES-CT_2017-10-27-4402.12.0	Simply to add to what Mr Carrizosa has said, an anecdote that perfectly reflects the sectarianism that is lived and that, unfortunately, you are practicing throughout this legislature. Our group has asked for the participation, in the rostrum or in other places of the Parliament, attached rooms, during the plenary session, several people. There have been two..., we have asked eight, and two have not been allowed in because they said they were not fit and, instead, they are allowed in seven hundred. What is that proportionality? What flagrant injustice. [[Greetings.]] And add one thing – add one thing – if it's okay to take care of me, because neither is that. [[Widow's remorse.]] Well, then let me..., let me stop, let me stop...
ParlaMint-ES-CT_2017-10-27-4402.13.0	No, I'm told it's not like that.
ParlaMint-ES-CT_2017-10-27-4402.14.0	Look, look, I'm going to add a question. When we were at the Spokesman's Meeting, you reported that you had asked, to the people who were in the room, screaming, to stop. They've yelled twice again. How do you interpret that? Do you not have the ability or the ability to tell them to abandon Parliament or to make drastic decisions about it, towards the groups that have driven the presence on a day like today, precisely? Do you imagine that all of us would be given to bring here two hundred, three hundred people and turn this into the taking of the Bastille? But what have you thought? [[Some applause.]] We ask you for a minimum of parliamentary decorum, even today, which is an extraordinarily sad day. Thank you.
ParlaMint-ES-CT_2017-10-27-4402.15.0	That's right, Mr. Fernández. Thank you very much. [[General debate on the application of Article 155 of the Spanish Constitution to Catalonia and its possible effects (continuation)]] [[255-00004/11]] General debate on the application of Article 155 of the Spanish Constitution to Catalonia and its possible effects. In accordance with Rule 152.3 of the Rules of Procedure, for the defence of the motions for resolutions submitted, has the word, for a maximum time of two minutes, Mrs Carlos Carrizosa, in representation of the Parliamentary Group of Ciutadans.
