Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2018-05-25-0	ParlaMint-RS_2018-05-25-0.u37305	Term 11, Meeting 5	2018-05-25	Unicameralism	11. mandat	-	Zasedanje 5	2019-11-14	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2018-05-25-0	ParlaMint-RS_2018-05-25-0.u37306	Term 11, Meeting 5	2018-05-25	Unicameralism	11. mandat	-	Zasedanje 5	2019-11-14	-	Reference	English	Regular	MP	notMinister	SDS	Socijaldemokratska stranka	Coalition	Centre-left	ĐurišićMarko	Đurišić, Marko	M	1968	
ParlaMint-RS-en_2018-05-25-0	ParlaMint-RS_2018-05-25-0.u37307	Term 11, Meeting 5	2018-05-25	Unicameralism	11. mandat	-	Zasedanje 5	2019-11-14	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2018-05-25-0	ParlaMint-RS_2018-05-25-0.u37308	Term 11, Meeting 5	2018-05-25	Unicameralism	11. mandat	-	Zasedanje 5	2019-11-14	-	Reference	English	Regular	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2018-05-25-0	ParlaMint-RS_2018-05-25-0.u37309	Term 11, Meeting 5	2018-05-25	Unicameralism	11. mandat	-	Zasedanje 5	2019-11-14	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2018-05-25-0	ParlaMint-RS_2018-05-25-0.u37310	Term 11, Meeting 5	2018-05-25	Unicameralism	11. mandat	-	Zasedanje 5	2019-11-14	-	Reference	English	Regular	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2018-05-25-0	ParlaMint-RS_2018-05-25-0.u37311	Term 11, Meeting 5	2018-05-25	Unicameralism	11. mandat	-	Zasedanje 5	2019-11-14	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2018-05-25-0	ParlaMint-RS_2018-05-25-0.u37312	Term 11, Meeting 5	2018-05-25	Unicameralism	11. mandat	-	Zasedanje 5	2019-11-14	-	Reference	English	Regular	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	LaketićDarko	Laketić, Darko	M	1975	
ParlaMint-RS-en_2018-05-25-0	ParlaMint-RS_2018-05-25-0.u37313	Term 11, Meeting 5	2018-05-25	Unicameralism	11. mandat	-	Zasedanje 5	2019-11-14	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2018-05-25-0	ParlaMint-RS_2018-05-25-0.u37314	Term 11, Meeting 5	2018-05-25	Unicameralism	11. mandat	-	Zasedanje 5	2019-11-14	-	Reference	English	Regular	MP	notMinister	Dveri	Srpski pokret Dveri	Coalition	Right to far-right	VesovićDragan	Vesović, Dragan	M	1966	
ParlaMint-RS-en_2018-05-25-0	ParlaMint-RS_2018-05-25-0.u37315	Term 11, Meeting 5	2018-05-25	Unicameralism	11. mandat	-	Zasedanje 5	2019-11-14	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
