ParlaMint-GR_2016-08-02-S1-commons.u1	Ladies and gentlemen, good morning. Accreditation of the quorum shall begin. [[Note: The following table of contents is not the final text because rationalisation and editorial corrections are pending]] We are entering the agenda of the LEGISLATIVE WORK Only discussion and vote on the principle, articles and all the draft law of the Ministry of Economy, Development and Tourism: ‘Public works, supplies and services contracts (adaptation to Directives 2014/24/EU and 2014/25/EU)’. The above draft law was identified by the Government as urgent and the committees accepted by a majority as urgent, in accordance with Rule 110 of Parliament's Rules of Procedure. The Conference of Presidents decided at its meeting on 28 July 2016 to discuss the draft law at a single meeting in principle, on articles and amendments. I propose: the first two rapporteurs will be able to register electronically. The first is Mr. Karanastasis from SYRIZA, and the second is Mr. Metarakis from New Democracy. Finally, Mr Metarakis will also be able to register, so that we can see how many colleagues will be registered. Secondly, once the speeches of the rapporteurs and of the special speakers have been finished, I would ask that the Minister be given the floor on the bill, but also to tell us which of the Members' amendments he is accepting or not, as they are three amendments so far with regard to Members. So that we do not look at today, so far there are no ministerial amendments. We therefore have no problem with that.
ParlaMint-GR_2016-08-02-S1-commons.u2	Miracle of the Fifteenth, Mr President!
ParlaMint-GR_2016-08-02-S1-commons.u3	Okay, we said don't look at each other. At the same time, Mr. Paraskevi will come and talk about some articles that are part of his ministry and are embedded in the directive. However, the flow of the rapporteurs and the special speakers will not be interrupted. The Minister talks, then the parliamentary representatives, if they so wish, and we will be on the list of colleagues. The time will be determined according to how many will be registered. Is there a colleague who would like to speak on a point of order?
ParlaMint-GR_2016-08-02-S1-commons.u4	Mr President, could I have the floor?
ParlaMint-GR_2016-08-02-S1-commons.u5	Here, Mr. Loverdo, you have the floor.
ParlaMint-GR_2016-08-02-S1-commons.u6	Here, Mr President, in plenary it must be explained by the Minister responsible what is the reason for the urgency. I do not know if you remember from your long experience in incorporating a directive using the rules of the House's Rules of Procedure for urgency and urgency. So the Minister needs to explain before the rest of the procedure begins, because the procedure is urgent and we have to close two very serious directives at a meeting. I do not know, of course, whether this is a routine matter for the Minister, but it is not for Parliament. The explanation, Mr President, must be clear and the arguments - the Conference of Presidents and the committees have said so - are nothing more than the majority. Why did the majority say so? And why didn't the majority say "probably"? And why did the majority not say 'at all procedures'? And why did he say "one meeting"? All this requires a clear parliamentary explanation, because otherwise we have not understood, Mr President, what the Greek state needs. Let the ministers tell us. Why don't we just have a government? It is, in fact, strange because we are resorting to urgent procedure for incorporation of directives. The second thing I would like to know about, Mr President, is tomorrow, which is one of the three directives incorporated into a plenary decision, which the Minister has a legislative initiative. This also has an interest in our parliamentary group in the shaping of the responsibilities of our parliamentary representatives. I would therefore ask you, for both - the second is simple and formal, but the first is essential - to have clarification on the part of the Ministers.
ParlaMint-GR_2016-08-02-S1-commons.u7	Thank you.
ParlaMint-GR_2016-08-02-S1-commons.u8	Mr President, could I have the floor too?
ParlaMint-GR_2016-08-02-S1-commons.u9	Here, Mr. Carras, you have the floor.
ParlaMint-GR_2016-08-02-S1-commons.u10	Thank you, Mr President. In addition, with what Mr Loverd said, I will say this. There is not even an excuse for urgency for this reason: if it were to be incorporated into two simple instructions, we could give our consent to the economy. However, since the directives themselves allow a great deal of room for national legislation to deal with crucial issues and if we look at the draft law - at least half of the articles are not a directive, but a legislative initiative by the Government - it is not possible to discuss this whole major issue at a meeting, taking into account the prehistory of public works, where maliciousness and mismanagement have taken huge forms, but if we still take into account the current conditions, where we must protect the public money and the costs of taxpayers and all Greeks.
ParlaMint-GR_2016-08-02-S1-commons.u11	You will allow me to tell you that it is the first application of the revised Article 110. On the essential issue raised by Mr Loverdos - and you, Mr Carras, have also adopted - a debate has been held in the relevant Standing Committee. That's where he was placed, the Minister said. It was not the opposition, and that is why a majority decision was taken to discuss the bill as a matter of urgency. It is therefore not a question of plenary. The debate took place in committee. Obviously, the opposition - as a whole, I would say - was not taken on the urgency, the vote was taken and the urgency was decided. The Conference of Presidents, also a majority - because opposition did not agree there too - was actually adopted by the committee's recommendation. If the Minister wants two, three minutes to repeat what he said in committee, I would be happy to give him the floor. If not, then we'll start the process. Mr. Stathakis, would you like to take the floor?
ParlaMint-GR_2016-08-02-S1-commons.u12	I will tell you in my speech, Mr President.
ParlaMint-GR_2016-08-02-S1-commons.u13	All right, all right.
ParlaMint-GR_2016-08-02-S1-commons.u14	Now he needs to talk.
ParlaMint-GR_2016-08-02-S1-commons.u15	Mr. Loverdo, he wants to say that then. The question you raised has been resolved in committee.
ParlaMint-GR_2016-08-02-S1-commons.u16	That is right, Mr President, but because you referred to Article 110 - it is not a rhetorical question...
ParlaMint-GR_2016-08-02-S1-commons.u17	You don't have the modified one there. In your Rules of Procedure, it is not the wording of the amended Article 110.
