Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2016-11-10-S1-commons	ParlaMint-GR_2016-11-10-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 22, 2016-11-10	2016-11-10	Unicameralism	17	2	-	22	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΟΥΡΑΚΗΣ_ΣΤΥΛΙΑΝΟΥ_ΑΝΑΣΤΑΣΙΟΣ_ΤΑΣΟΣ	Koyrakīs, Anastasios	M	-	
ParlaMint-GR-en_2016-11-10-S1-commons	ParlaMint-GR_2016-11-10-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 22, 2016-11-10	2016-11-10	Unicameralism	17	2	-	22	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΟΥΡΑΚΗΣ_ΣΤΥΛΙΑΝΟΥ_ΑΝΑΣΤΑΣΙΟΣ_ΤΑΣΟΣ	Koyrakīs, Anastasios	M	-	
ParlaMint-GR-en_2016-11-10-S1-commons	ParlaMint-GR_2016-11-10-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 22, 2016-11-10	2016-11-10	Unicameralism	17	2	-	22	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΟΥΡΑΚΗΣ_ΣΤΥΛΙΑΝΟΥ_ΑΝΑΣΤΑΣΙΟΣ_ΤΑΣΟΣ	Koyrakīs, Anastasios	M	-	
ParlaMint-GR-en_2016-11-10-S1-commons	ParlaMint-GR_2016-11-10-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 22, 2016-11-10	2016-11-10	Unicameralism	17	2	-	22	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΟΥΡΑΚΗΣ_ΣΤΥΛΙΑΝΟΥ_ΑΝΑΣΤΑΣΙΟΣ_ΤΑΣΟΣ	Koyrakīs, Anastasios	M	-	
ParlaMint-GR-en_2016-11-10-S1-commons	ParlaMint-GR_2016-11-10-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 22, 2016-11-10	2016-11-10	Unicameralism	17	2	-	22	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΟΥΡΑΚΗΣ_ΣΤΥΛΙΑΝΟΥ_ΑΝΑΣΤΑΣΙΟΣ_ΤΑΣΟΣ	Koyrakīs, Anastasios	M	-	
ParlaMint-GR-en_2016-11-10-S1-commons	ParlaMint-GR_2016-11-10-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 22, 2016-11-10	2016-11-10	Unicameralism	17	2	-	22	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΤΣΙΑΡΑΣ_ΑΛΕΞΑΝΔΡΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Tsiaras, Kōnstantinos	M	-	
ParlaMint-GR-en_2016-11-10-S1-commons	ParlaMint-GR_2016-11-10-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 22, 2016-11-10	2016-11-10	Unicameralism	17	2	-	22	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΟΥΡΑΚΗΣ_ΣΤΥΛΙΑΝΟΥ_ΑΝΑΣΤΑΣΙΟΣ_ΤΑΣΟΣ	Koyrakīs, Anastasios	M	-	
ParlaMint-GR-en_2016-11-10-S1-commons	ParlaMint-GR_2016-11-10-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 22, 2016-11-10	2016-11-10	Unicameralism	17	2	-	22	-	Reference	English	Regular	MP	Minister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΑΠΟΣΤΟΛΟΥ_ΔΗΜΗΤΡΙΟΥ_ΕΥΑΓΓΕΛΟΣ	Apostoloy, Eyaggelos	M	-	
ParlaMint-GR-en_2016-11-10-S1-commons	ParlaMint-GR_2016-11-10-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 22, 2016-11-10	2016-11-10	Unicameralism	17	2	-	22	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΟΥΡΑΚΗΣ_ΣΤΥΛΙΑΝΟΥ_ΑΝΑΣΤΑΣΙΟΣ_ΤΑΣΟΣ	Koyrakīs, Anastasios	M	-	
ParlaMint-GR-en_2016-11-10-S1-commons	ParlaMint-GR_2016-11-10-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 22, 2016-11-10	2016-11-10	Unicameralism	17	2	-	22	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΤΣΙΑΡΑΣ_ΑΛΕΞΑΝΔΡΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Tsiaras, Kōnstantinos	M	-	
ParlaMint-GR-en_2016-11-10-S1-commons	ParlaMint-GR_2016-11-10-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 22, 2016-11-10	2016-11-10	Unicameralism	17	2	-	22	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΟΥΡΑΚΗΣ_ΣΤΥΛΙΑΝΟΥ_ΑΝΑΣΤΑΣΙΟΣ_ΤΑΣΟΣ	Koyrakīs, Anastasios	M	-	
ParlaMint-GR-en_2016-11-10-S1-commons	ParlaMint-GR_2016-11-10-S1-commons.u12	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 22, 2016-11-10	2016-11-10	Unicameralism	17	2	-	22	-	Reference	English	Regular	MP	Minister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΑΠΟΣΤΟΛΟΥ_ΔΗΜΗΤΡΙΟΥ_ΕΥΑΓΓΕΛΟΣ	Apostoloy, Eyaggelos	M	-	
ParlaMint-GR-en_2016-11-10-S1-commons	ParlaMint-GR_2016-11-10-S1-commons.u13	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 22, 2016-11-10	2016-11-10	Unicameralism	17	2	-	22	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΟΥΡΑΚΗΣ_ΣΤΥΛΙΑΝΟΥ_ΑΝΑΣΤΑΣΙΟΣ_ΤΑΣΟΣ	Koyrakīs, Anastasios	M	-	
