ParlaMint-BE_2018-10-25-54-plenair-ip252x.u1	The meeting is open. The meeting was opened.
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u2	Mr. Chairman, Prime Minister, the decision made this morning by the small ministerial committee in favour of the choice of the American fighter aircraft confirms more than a proverb..., a saying illustrating the action of your government since you took up your duties: "What Bart De Wever wants, the Michel government executes it!" Prime Minister, we expected your government to take on the European dimension of this issue. We expected a Prime Minister, who said he was still willing to do so on the European project, to finally let all European partners know that the time had come, in the international context we know, for Europe to structure its defence vision. For there is no European defence project without the development of a European armaments project. That is why the French proposal deserved to be taken into consideration; You swept it away with a back of your hand under the false legal arguments. Yesterday, in committee, I was able to demonstrate that the legal possibility exists to put an end to the procedure initiated by the present government. Indeed, it was necessary to agree to put an end to this procedure in order to rework on other bases. Clearly, there was a need to change parameters and not to continue the process of purchasing aircraft as it was undertaken to give itself the time to the European vision of this issue. You didn't want it, Prime Minister. You did not want it because the extreme nationalist right of your government is anti-European, made this choice and imposed it on you. That is why today you may no longer have the opportunity to meet Mr Macron with the same favours and with the same sympathy because, once again, with a dossier of this importance, Belgium is turning its back on its European ambition.
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u3	Mr. President, Prime Minister, this is the end of a long series of which I have already had the opportunity to say that I did not like the scenario. There is neither happy end nor surprise, but bad news for Europe that comes at the worst moment for it. It is also the triumph of the N-VA. I would like to ask you three additional questions. We heard that we would do a gold case and that this plane would be poached on conditions that no one else in the world could get. Why? Either, it's a plane at the end of the series that nobody wants anymore. I guess not. That's a question I'm asking myself. Either, its real price will be far beyond the advertised price. This is what happens in all countries that have acquired the F-35 today. All sound the alarm to say that budgets are exploding. Either, it's dumping. It would be a way to lock up the European fighter aircraft market. Either, you may also have a special relationship with President Trump. Anyway, you'll explain it to us. You will tell us why we have a prize that no one has received internationally. This is an important, central question. As a Member of Parliament, I have the right to something other than laughter about it! You said at the press conference that there would be EUR 600 million in savings and that this would be used to support the Belgian defence industry. Will this be possible in the light of European rules? Does this not distort the market since it was not included in the specifications? Finally, how will you explain your decision to President Macron?
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u4	Mr President, Prime Minister: "Europe must not be a follower of America. We must have our own strategy for tomorrow's geopolitical challenges." That is what you said, Prime Minister, a month ago, in the margins of a United Nations meeting between two selfies between Mrs Merkel and Mr Macron. Yet, after the very long technical meeting that we had yesterday in your absence, the first conclusion we have drawn is that this choice that will commit our country for decades, for several generations, this choice that will commit our country for billions of euros, is above all a political choice. This choice will, of course, affect Belgian defence, European defence and the state budget. We have the answer today: your political choice is N-VA, an N-VA 100% Eurosceptic, a N-VA 100% Atlanticist, an N-VA that wants to buy American to kill European defence in the egg, an N-VA that wants to buy American by opting for an airplane – and that's a big deal – that doesn't fly and whose Pentagon Himself doubts technical capabilities, an N-VA that wants to buy American by supporting the Trump administration and strengthening our dependence on Americans in these troubled times when the worrying statements are coming. Prime Minister, my questions are simple. Why has your government not announced the end of this market to include it in a European logic? Why did your government not, at any time – and it is not for lack of having claimed it throughout the last few months during which we have been following this file, Mr. Miller – want to hear or question the federated entities? It gives the strange impression that when the interests and jobs of Francophones are at stake, it no longer matters to you.
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u5	Prime Minister, you have therefore opted for the F-35. What a surprise! What a surprise! From the beginning of the procedure, we knew very well that the US, masters of NATO, imposed on us this choice of the F-35. During this long procedure, we knew that the dice were punctured. Now we come to this choice. It's the F-35. What a surprise, Prime Minister! In football, there's fake games. In politics, there are tailor-made tenders like the one you made for the F-35. There is an even more serious saying of NATO, it is the very fact of having to invest 15 billion in death devices, a decision which you have postulated until after the communal elections because, indeed, it is not very popular as a measure. We still see it today in Le Soir. A poll indicates that the majority of the population in Wallonia, Brussels and Flanders is against the F-35. We still have to remember this reality. This F-35 will not be used to defend our territory. This F-35 will be used to carry out actions abroad, around the world, and to drop bombs, including nuclear bombs! Prime Minister, there is still something that needs to be explained. You don't have any money for pensions. You have to work up to 67 years for a lower pension, but you have 15 billion to invest in the F-35 that kill! You don't have money to fight poverty. The level of the Belgian population below the poverty line has just reached the 15.9% record, but you have 15 billion to buy F-35s that kill! You don't have money to save the climate or to invest in public transport. You've reduced the SNCB's allocation by $3 billion and you have a future management contract that's going to kill the rail, but you've got $15 billion to buy F-35s that kill! You don't have any money for health care. Every year, 900,000 Belgians postpone medical care for lack of money, but you have 15 billion to buy F-35s that kill! I only have two questions. Are there no other social and environmental emergencies to invest $15 billion in the F-35? Secondly, how can you justify the nuclear option of these F-35s which is not said but very real?
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u6	Mr President, Prime Minister, the debate has been going on for years, but I would like to ask you one more time to review your decision. I want to give you seven reasons why buying the F-35 is a bad decision. She's biased. She's unnecessary. She's not rational. The procedure is unreliable. There is not enough fair competition. It goes against the European interest. People's taxpayers' money is not being spent wisely. Prime Minister, withdraw this decision. Colleagues, we see here the prototype of a tunnel vision. After all, despite this unreliable procedure, despite the fact that three of the five candidates dropped out, despite the fact that we know that relevant studies have been withheld by the army top, you are going to continue with that decision to purchase the F-35, Prime Minister. In other words, this is no longer rational. Moreover, the purchase itself is actually unnecessary, because there are already enough fighter planes in Europe. We should have specialized to excel. We should also have invested at European level, because we can say that we want to make Europe great, but that requires a self-awareness, which requires pride, which requires faith in the development of our own European security policy. Colleagues, this American purchase is contrary to that.
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u7	Mr President, this is a serious matter! Prime Minister, this morning, your government has implemented key commitments, set out in the policy statement, to military reinvestment. This is the term "reinvestment" that must be used. These reinvestments relate to the three components (Earth, Sea, Air) of our national and Atlantic defence. They are intended to ensure the safety of our military on mission, of course, but also - and we should not forget too much - that of our fellow citizens, in a global environment that is increasingly threatening. No one can dispute this in this assembly. The environment is increasingly threatening the democratic states to which we are committed and whose sustainability we want to ensure, as some of us in this House do. Our majority wanted these files, particularly the F-16 replacement, to be dealt with in a robust, transparent and effective manner. Not only has this been the case - unlike the past - but in addition, Prime Minister, you have responded to the request of several of our parliamentary colleagues by adding a desire for transparency vis-à-vis Parliament. This led us yesterday to a rather special meeting. That was stressed. Mr. Gilkinet, do you have a problem? No? You're making signs. Maybe you're hugging someone behind me? Prime Minister, I think this will be of interest to all of our parliamentary colleagues. Yesterday's sitting was special, I agree, but I think it will be a landmark in parliamentary history, because it will serve as an example to reflect on a better relationship between Parliament and government for future issues of the same type. You have made an act that will be part of parliamentary history. Mr. Hellings, I thought you'd disagree. Only, sir, even you, you recognized the relevance of those who worked yesterday. I'm grateful for that. This proves the intellectual honesty that characterizes you. If anyone thinks that I have been excessive in my remarks, I ask any parliamentarian (...) with as much openness as we knew yesterday. It didn't exist in the history of the country!
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u8	We have to conclude, Mr. Miller.
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u9	I'll close, Mr. President. I do not take up the various aspects. Some have made the news, now that the decision has been made. I come to the question. Let me at least develop the thread of my reasoning, otherwise I will not end up with the question. Prime Minister, your government's decision makes it possible to respect our international agreements. It ensures our country's credibility on the international stage and participates in the military security of the Belgian and European territories. How, Prime Minister, will we negotiate the best (...) [[(...): (...)]]
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u10	It's okay, you're not here to push me back!
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u11	Go on, Mr. Miller!
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u12	How, after hearing the explanations yesterday, will we negotiate the best possible economic returns on all acquisition files, with the SPF Economy and regional entities?
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u13	Prime Minister, citizens will be able to judge. On the one hand, this dossier contains the government, which decides to opt for the F-35. On the other hand there is the sp.a, we who have always stated that the best solution was to fly with the F-16 for six years longer. I will put these two choices side by side on three points. Firstly, the technical problems that the F-35 still has. The American Court of Auditors has said that there are 263 deficiencies. The Pentagon says this plane is performing suboptimally. With our solution, we could have tested this first. So I have the following question to ask you, Prime Minister: are you sure that you have not decided today to buy a flying Fyra? Secondly, the budget. At the press conference, I followed the rosy presentation. It looks like we're in the financial heavens on earth. However, Canada has decided to waive the F-35 because the costs are falling apart. The Americans have decided to order one third less planes because their budget cannot carry the full purchase. In Denmark, which has already bought these aircraft, the Court of Auditors says that the prices were heavily underestimated. The British Parliament has published a report stating that, frankly, it is not possible to calculate how much it will cost. President Trudeau said this plane is a flying credit card. I'm adding that the code is with Lockheed Martin. I have the following question for you, Prime Minister. What measures have you taken to prevent a budgetary derailment? Finally, Prime Minister, you lack an historic opportunity! You chose today to turn our air force into the sub-contractor of Trump's Air Force. And that was when you had the chance to be the architect of a European defence. Our solution would have allowed you not to spend a poor EUR 600 million on European defence, but the full investment package. Mr Prime Minister, how is it possible that you are abdicating on one of the points I thought you were a firmly convinced European? How will you explain this to Macron and Merkel?
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u14	Mr President, Prime Minister, yesterday the Minister for Defence explained to the United Committees for Defence and Business. That happened before the government's decision. I think that is a positive point. I also received a concrete answer from Colonel Van Pee yesterday to all my questions. That is the first time since I have been in Parliament that I have really received answers. I have noted, however, that out of the 36 Members who had to be present, there were seven, plus two members of small groups who are not members of that committee, namely Mr Van Hees and myself. The biggest callers at the beginning of that meeting were in the meeting behind closed doors stealth, invisible. Mrs Fernandez Fernandez of the PS, Mr De Vriendt van Groen, invisible, Mr Van der Maelen, who gave away a perfect imitation of Fidel Castro at the beginning of the sitting, is absent at the sitting behind closed doors. Maybe he was checking his e-mails. After all, we never know if new information will come in. This is the fake opposition that some left-wing parties have here: shouting very loudly when the cameras are running and stealth is absent during a meeting behind closed doors. Did everything go perfectly? No, definitely not. We could have done the same exercise we did yesterday in connection with the handbook. After all, it is the rules in the handbook that determine who the winner is. Have we chosen the best plane? No, we have applied the rules of the handbook. That's something completely different. So it wasn't perfect. I have also noted that there is a form of insidious decision-making through the targets set by NATO. I think that is a democratic problem, because in the end our level of ambition has evolved from peacekeeping and security to hostile air missions, without any parliamentary debate. I would like to ask a question about ministerial responsibility. Minister Vandeput will also be stealth as of 1 January, and we can therefore no longer hold him accountable in Parliament. Other parliaments, however, still call former ministers to account. Who's gonna follow up on that file? Will you do that, since you supervised it, Prime Minister? Who will bear the political responsibility for this?
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u15	Mr President, Prime Minister, ladies and gentlemen, our F-16 pilots are internationally renowned for their expertise, professionalism, precision. Also in many international missions, our F-16 pilots have shown their added value in recent years. Investing in the future of defence and air combat capabilities is therefore essential and is a cornerstone of the strategic vision for our defence. The government has taken the initiative to come up with a new approach, an innovative approach and a strong approach, to conduct a market survey. Allowing the market to purchase such a device may have a positive effect on pricing. That this is a good way of working proves the international interest there is to copy our approach. Yesterday we debated the dossier again for hours, first in public session for a long time, then behind closed doors. There we received in detail information from the Minister of Defence and from the ACAP team. Just as the Minister explained, some members were shouting and fetching in the media, Mr Van der Maelen, about a lack of information, about an ongoing charade, in short, everything went through the review. However, at that time the Minister was explaining everything from needle to thread. Apparently, populism and media attention are more important today than the real parliamentary work. Prime Minister, this afternoon we heard that the government has decided to opt for the F-35. This gives you immediate implementation to one of the five yards in the State of the Union to take initiatives on defence, on combat capacity. I congratulate you on that. Mr Prime Minister, can you explain the decision taken this afternoon?
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u16	Mr President, Prime Minister, ladies and gentlemen, we are still living in a turbulent world. The Middle East is still a powder keg that's about to explode. Great powers such as Russia and China are active and very assertive. Just two years ago there were attacks, here in Brussels and Zaventem, organized by IS. Colleagues, we have assured ourselves as a small country against all these threats. We have assured ourselves by engaging in alliances, such as the EU and NATO. Cooperation and mutual assistance can continue to guarantee security, but such insurance costs money, colleagues. We're not profiteers. We don't let others pay for what we need. We take our own responsibility. Our party has always argued in favour of replacing the old F-16s, protecting our own citizens and our own airspace and also guaranteeing safety further away from home. Look at the fight against ISIS and our important participation in it. This is how we show that we are a loyal partner in NATO. That is what we are doing with the purchase of transport aircraft, and that is what you are doing today, Mr Prime Minister, with the purchase of new fighter aircraft. For the sake of security, we need to replace the F-16s. We have launched a very transparent procedure for this, so that our pilots will get the best plane at the best price. It will also improve our economy. Prime Minister, you chose the F-35 this morning with your government in honor and conscience. We therefore call on Parliament to have rapid access to the complete file so that we can exercise our control function. I have three questions. Firstly, when will the dossier be available to Members of Parliament? Secondly, can you explain the financial aspects of the purchase? Thirdly, can you explain in detail how the purchase can strengthen and support our Belgian industry and our Belgian companies?
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u17	Mr President, Prime Minister, ladies and gentlemen, what a masquerade yesterday! After six hours of completely sterile debate, where the government and the majority swept us away, reaffirming things that we had known for weeks or even months, a closed session was decided at 7:30 p.m. At that time, the Minister of Defence presented two tables comparing the two aircraft, from a technical, military and budgetary perspective. Today, you made the decision to buy the F-35. On these paintings that were presented to us last night did not appear geopolitical and political issues. Indeed, the question to which you must answer, Prime Minister, is: why will the main public procurement, from a symbolic and budgetary point of view, which will be granted under this legislature be granted to the Americans? In other words, this is a deal given to Trump, the one that spits at you at two consecutive NATO summits, the one that spits at us in the face – we Europeans. Secondly, my second question is related to the budget. This public market will involve two generations of Belgians, who are twenty years old today and who are responsible for the green wave of ten days ago. What will you say to the Belgians who will be twenty years old in 2038 and who will still have to pay for this public procurement? You will tell them that in 2018, you decided to buy 4 billion euros of fighter aircraft, while we were unable to invest at least 6 billion euros in the SCNB to relieve our city's congestion. The question is that Belgians can breathe. And that's your responsibility! You have opted for a hasty decision. You will assume it in the face of future generations!
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u18	Mr President, Prime Minister, today your government has taken a decision on the replacement of the F-16s. The government promised at the start of the legislature that a decision would be taken in 2018. Today that decision has been made and it will be the F-35. The procedure from state to state, which Defense set up, has already been open and correct. The choice made is a rational choice. The course of this decision had quite a bit of turbulence. There were intense discussions in the Defence Committee, but also in this hemisphere. All options, until longer in the air keeping the F-16s, were studied. Colleagues, I would like to make an appeal. Let us learn, above all, from what we have experienced here over the last period of time with regard to important dossiers. The role of Parliament is important here. Prime Minister, ladies and gentlemen, the budget allocated for this is not war money. It's not a waste of money either, let's be clear. This is a choice for security. This is a choice of responsibility. This is also a choice of international solidarity. Without security, no democracy thrives and there is no free world. With these 34 aircraft, we can not only guard our own airspace, but also continue to fulfil our international NATO obligations. I refer to our interventions in Syria and Iraq. Mr Prime Minister, let this be the last time we have to buy an American aircraft. Our country must play an important role in the development of a future European aircraft. Let us also seize the opportunity today to draw together with France and Germany the project of European defence tomorrow. I have two questions for you, Prime Minister. Can you explain on the basis of which criteria the choice was made on the F-35? When will the first aircraft be delivered? What guarantees will you ask the Americans to ensure that the agreements made are properly respected?
ParlaMint-BE_2018-10-25-54-plenair-ip252x.u19	Colleagues, I understand that the answer to all these questions will be given by the Prime Minister. The Ministers for Defence and Economy will then complement them.
