Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-10-03-54-commissie-ic976x	ParlaMint-BE_2018-10-03-54-commissie-ic976x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-10-2018	2018-10-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2018-10-03-54-commissie-ic976x	ParlaMint-BE_2018-10-03-54-commissie-ic976x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-10-2018	2018-10-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2018-10-03-54-commissie-ic976x	ParlaMint-BE_2018-10-03-54-commissie-ic976x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-10-2018	2018-10-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	DeConinckMonica	De Coninck, Monica	F	1956	
ParlaMint-BE-en_2018-10-03-54-commissie-ic976x	ParlaMint-BE_2018-10-03-54-commissie-ic976x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-10-2018	2018-10-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-10-03-54-commissie-ic976x	ParlaMint-BE_2018-10-03-54-commissie-ic976x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-10-2018	2018-10-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-10-03-54-commissie-ic976x	ParlaMint-BE_2018-10-03-54-commissie-ic976x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-10-2018	2018-10-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2018-10-03-54-commissie-ic976x	ParlaMint-BE_2018-10-03-54-commissie-ic976x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-10-2018	2018-10-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	DeConinckMonica	De Coninck, Monica	F	1956	
ParlaMint-BE-en_2018-10-03-54-commissie-ic976x	ParlaMint-BE_2018-10-03-54-commissie-ic976x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-10-2018	2018-10-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2018-10-03-54-commissie-ic976x	ParlaMint-BE_2018-10-03-54-commissie-ic976x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-10-2018	2018-10-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2018-10-03-54-commissie-ic976x	ParlaMint-BE_2018-10-03-54-commissie-ic976x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-10-2018	2018-10-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-10-03-54-commissie-ic976x	ParlaMint-BE_2018-10-03-54-commissie-ic976x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-10-2018	2018-10-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2018-10-03-54-commissie-ic976x	ParlaMint-BE_2018-10-03-54-commissie-ic976x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-10-2018	2018-10-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-10-03-54-commissie-ic976x	ParlaMint-BE_2018-10-03-54-commissie-ic976x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-10-2018	2018-10-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
