ParlaMint-BE_2018-01-10-54-commissie-ic793x.u1	Debates of the European Parliament Mr Crusnière's 22543 was converted into a written question.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u2	Mr President, Minister, my question dates from December, but was then postponed. I submitted this question in response to a strike which then took place in Merksplas and which forced police forces to be reclaimed. My question was to know the state of play with regard to minimum services. Even though my question was postponed at that time, it is again topical today. I read yesterday in a message from Belga that you did indeed sit with the security staff. The trade unions ask for additional recruitments and have given you a deadline for doing so, but they claim that it is not enough yet. You would have made a proposal, too. This week will be crucial. You should not negotiate in this committee, nor is that the subject of my question. The most important thing, however, is this. There's another strike wave being announced. If the questions are not addressed, a major national strike will be organised as in 2016. At that time it was mainly in the French-speaking part of the country. If there is a strike wave coming now, this minimum service will be a crucial story. Look at what happened back then. The minimum service would be provided by the end of last year. A new year has now begun. The Netherlands was told, in the context of the surrender, that the minimum service would be available by the end of 2017. Perhaps the Dutch objections to handing people over to Belgium might be dismissed. However, the minimum service is not yet available. Minister, what is the current state of affairs with regard to minimum service provision in prisons?
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u3	Mr.President, Mr.Minister, it is true that your policy note of 2018 highlighted "the need for a guaranteed service to ensure continuity of care for inmates awaiting appropriate placement in facilities and for any other person suffering from psychiatric conditions in detention." You announced that "Justice will continue to invest as much as possible in social dialogue so that conflicts that could jeopardize these basic rights can be avoided." My party has never underestimated the importance of establishing a minimum service in prisons, this service being elementary, both during strikes and incidents. As a reminder, on the weekend of 31 December, the staff of the Saint-Gilles prison decided to operate on minimum service for a period of 48 hours following an attack by one of its members. We understand this reaction. The visits were therefore suspended during the holiday period, a sensitive period for detainees and their families. On 15 March, other colleagues asked you about the status of this minimum service project in prisons. You then stated that "the government has informed the European Committee for the Prevention of Torture that it intends to conclude a framework agreement on the organisation of the continuity of detention by next summer" (2017). Since then, we have still not been aware of a framework agreement. On the contrary, we have taken note of a new statement by the Council of Europe's European Committee for the Prevention of Torture which strongly denounces "the continuing failure of the Belgian authorities to establish a minimum service to guarantee respect for the rights of persons detained in social movements engaged by prison staff". Minister, can you tell me what is the current state of negotiations with the unions and prison directors? Why would consultation be halted or not progressed at the desired pace? Do you have a specific schedule for the introduction of this minimum service, which means that staff managers must be supplemented? Are any specific measures envisaged in this regard?
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u4	Mr President, Mr Maingain, Mrs De Wit, first of all I would like to refer to the answer I gave to your colleague, Mr Stefaan Van Hecke, in this committee in mid-December. As set out in the Government Agreement and in my Justice Plan, I have actually started informal consultations with trade unions on the establishment of a guaranteed minimum service. During its thematic Council of Ministers in the summer of 2016, the government also confirmed that the approach to this issue would be part of a more comprehensive legislative initiative on the organization of prison services and the status of prison staff. I will not hide the fact that the unions of prison staff are not a party asking for such legislation. However, I am of the opinion that, during the various informal discussions I had with those responsible for these organizations, the minds have grown to an important extent. However, trade unions continue to prefer a protocol arrangement. I am convinced that important steps have been taken during this consultation to further optimise the phase of dealing with a social conflict in order to prevent strikes or at least minimise them. During the last consultation, which I had with the trade unions at the end of 2017, I announced that the legislative process of the bill providing for, inter alia, this arrangement will be launched shortly after New Year. I therefore intend to table this bill in the Justice Committee as soon as a consensus has been reached in the Council of Ministers. I am not yet in a position to provide a precise timetable, because other bodies such as the Finance Inspectorate and the Council of State must also deliver their opinions.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u5	I note, Minister, that the draft law will be dealt with in this committee, following consensus in the Council of Ministers. That's the most important thing for me. I would always like to help if it was not allowed to go so smoothly in the Council of Ministers, because we have prepared a proposal on this subject ourselves. I'd like to be of service to you and present our proposal. Then that can also be discussed with a view to consensus in the committee. All madness, Minister, minimum service is an important issue which was included in the coalition agreement. I am glad that you have been negotiating for a long time, which is important, but at some point we have to move forward. That is essential to avoid further convictions. In addition, every time other services, policemen or soldiers, have to take over those tasks. I believe those people already have their hands full with other tasks. I am glad to hear that the legislative work on the guaranteed or minimum service, or whatever it is called, is coming and I cannot wait until we can begin the discussion in committee.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u6	Very briefly, Mr President, we expect, like the conveyors, that there will be no pigeons in this case.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u7	Mr Minister, I had previously put these three questions on the agenda in writing, but because they were not answered in good time, I was obliged to put them orally. The first question concerns life in prisons, a different question from the one I asked a few weeks ago in response to the Court of Auditors' report. That question had already been submitted. After all, I regularly receive complaints about the costs and quality of food and other products that prisoners can purchase in prisons. In some places the supplier would be very expensive and the prison would charge 7 to 10 percent extra on top of the purchase price. In addition, there is of most products but a brand available, often not the cheapest. Certain prisons also have certain rules on keeping food, for example how many pieces of each product the prisoners are allowed to keep. This means that prisoners have to return purchased food or it is taken away by the penitentiary staff. I have the following specific questions. Is it true that the selling price of foodstuffs and other products in certain prisons is very high and that the supply varies considerably between prisons? What's your reaction to that? What actions do you plan to address this problem? Is it true that there are rules in certain prisons about keeping food? Is every prison free to lay down its own rules? What's your reaction to that? What possibilities do you see for relaxing the rules if necessary?
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u8	Mr Van Hecke, since the canteens of the establishments are organized locally using local suppliers, the range varies considerably between the different establishments. Through mass purchases, the establishments receive discounts from the suppliers. These discounts are not passed on to the detainees, but are booked into the support fund. That support fund is used exclusively for the benefit of the detainees and can therefore be considered as a form of solidarity mechanism which also allows less wealthy or incompetent detainees to acquire certain goods or products. As for your second question, the canteens of each establishment are adapted specifically to the target group present in the establishment. There is a great diversity with own needs, for example vegetarian or halal. There are also huge differences between the establishments themselves in terms of the composition of the population, accused, convicted and so on, which has an impact on the organisation of the cafeteria. For example, detention houses have a large turnover and have to adapt their canteens to this: several days of canteening. For this reason, the facilities differ greatly in terms of operation and approach of the canteens. In view of these differences, we have no intention of adjusting the current regime. Thirdly, in most establishments there is no restriction on ordering the number of products. The teachings, more specifically the collective letter No. 113 on the goods of the prisoner, nevertheless, provide that the Director may impose restrictions. Those possible limitations are mainly due to security reasons. The volume of goods and products present shall not prevent the normal execution of the monitoring and control orders. The restrictions are also based on sanitary and hygiene rules. This is particularly true for perishable products. In reply to your fourth question, it can generally be said that there is no restriction on the storage of products or foodstuffs on cell. The prisoners themselves are responsible for their preservation upon receipt of the cafeteria. A fridge is present in all establishments, either in the cell itself or in the section of the prison, to store the products. It is, of course, important that the sanitary and hygiene conditions in the living area are monitored and that safety procedures can be carried out. If a good balance can be found in this respect, I believe that the existing regulation still complies.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u9	Mr President, Minister, thank you for the comprehensive answer. I understand and know that the system exists. There is indeed a social fund which also allows prisoners who are more difficult to buy a number of products. It's a very good system. It is important that attention should always be paid and that products should be purchased as cheaply as possible, provided that good negotiations are conducted. Most inmates also have little income. This is therefore an important point of attention for those who have often been locked up for a long time.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u10	Mr Minister, this question was also put in writing earlier. Prisoners are dependent on the subscriptions available to prisons for telephony and television. I hope there haven't been too many Proximus subscribers in the last few days, because then it probably wasn't that nice to work. The rates would be very high. In 2014, you confirmed this in the reply to a written question from then MP Khattabi. Moreover, offerings and services change when a prison chooses another provider. In any case, it doesn't seem that much has changed. There is, however, PrisonCloud, a digital service platform along which inmates can also watch and call television. In early 2016, you announced that the system would be implemented in all prisons within three years. Firstly, in which prisons has the system already been installed and which prisons will soon be in place? Secondly, do you expect to achieve the timing for full deployment in all prisons in early 2019? Thirdly, how much has the installation cost to the government so far? I liked to get an overview per prison. Fourthly, how much is the full roll-out expected to cost, approximately? Fifthly, how is the system evaluated, both by prisoners and penitentiary staff, in the prisons where it is already used? Sixthly, what does PrisonCloud mean for the tariffs and the offers of telephony, internet and television, which are passed on to the inmates? Seventh, is it true that these rates are still very high in certain prisons? What has happened since 2014 to address this problem? Are there major differences between the prisons? I would like to get an overview of the rates per prison. That is why I had first submitted my question in writing. What actions do you plan to solve the problem?
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u11	Mr Van Hecke, my intentions for the new year are even better than those for the previous year. So I'll do my best. Currently, PrisonCloud is active in the criminal institutions of Beveren, Leuze-en-Hainaut and Marche-en-Famenne. In the construction of the new penal facilities, the installation of a service platform for detainees is added to the specifications. In the existing facilities, cabling is initially provided up to cell level, then installing cell telephony. The cell cabling project is currently under way. The bids for the project telephony on cell were evaluated and are currently being validated. The cabling is the basic infrastructure to which PrisonCloud can be connected. The roll-out of PrisonCloud by early 2019 is not realistic for budgetary reasons. After all, the cost of the digital platform is important. As far as cell telephony is concerned, the installation will be in full swing at that time. The cost of installing PrisonCloud amounts to EUR 1,314 million for Beveren prison, EUR 821,000 for Leuze and EUR 1,297 million for Marche. The cost of the telephony file includes 2.5 million investment costs and 4 million annual operating costs. It is difficult to make a somewhat reliable estimate of the cost of the total roll-out of PrisonCloud in all prisons. You already notice important differences between the three listed establishments, which have an equal capacity. The capacity of the devices varies between 32 and 694 cells, independently of other differences in architectural infrastructure. It would be a more than virtual exercise to simply extrapolate the known amounts to that capacity. Each additional installation will therefore have to be preceded by a study. A survey on the functioning of PrisonCloud was conducted in Beveren's criminal court. Based on the answers we received from the inmates, we can report that the system generally gets a good to very good score. Community services also see opportunities in the platform to offer digital training programmes. Most of the services offered are free of charge for the inmates. However, there are also paying services such as video on demand. The price of this depends on the type of film rented and the market conformity. As far as TV and radio are concerned, all inmates receive standard four TV channels plus all available radio channels. If the prisoner so wishes, he or she may receive, for a monthly amount, all available channels for a target price of EUR 17, depending on the prison. If the prisoner wishes to make a telephone call, he or she must pay for it. The rates depend on the number called, the country, zone and peak or valley hours, as shown below. The inmate can also rent a PC, like in the prisons without PrisonCloud. He or she pays a monthly rental target price of 15 euros depending on the prison. Indeed, tariffs for telephony are currently relatively high. Just before, the cell telephony project was proposed not only with a view to improving the accessibility of telephones but also with a view to market-based tariffs. The evaluation of tenders is currently being finalised. We therefore hope to be able to award the new system as soon as possible in order to provide all the establishments with the new system as soon as possible. The adjusted rates will then be possible to be introduced from then on. I will provide the secretariat of the committee with an overview of the current rates.
