ParlaMint-BE_2018-05-15-54-commissie-ic892x.u1	Mr Janssen is present and can ask his question. The questions of the other Members will lapse.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u2	Minister, in July 2017, I asked you a number of questions about the possible introduction of a friendly settlement between shoplifter and trader. This possibility was first discussed at the Council of Ministers of 14 May 2017 and would allow for more effective compensation for traders when they establish a shoplifting. The figures showed that, as a result of these thefts, the sector suffers a loss of 1% to 2% of its total turnover. Moreover, traders were found to have little confidence in obtaining compensation, which resulted in too few declarations being made. From the answers of your predecessor to my questions at the committee meeting of 4 July 2017 it could be inferred that the friendly settlement between trader and shoplifter would be introduced from January 2018. A draft protocol would be drawn up by your cabinet, which would result in a Dutch-style protocol after consultation with the relevant Cabinets of Justice and Home Affairs and with the sector concerned. I have the following questions. How is your cabinet doing in drawing up the said protocol? Which stakeholders were involved in the drafting of the Protocol and what were their opinions? When can we expect the protocol to be introduced?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u3	Mr Janssen, like my colleagues in the field of justice and home affairs, I have a great deal of interest in strengthening the safety of our self-employed and, above all, of our traders. The introduction of an accelerated procedure for an amicable settlement between trader and thief is an important measure. Shoplifting accounts for half a billion a year and fifteen complaints a day. That's huge. It is not just a question of fighting against theft, which is a miscarriage, but also of a sense of impunity. We all know that traders will not complain for a theft of EUR 50. That takes time, energy, but also money, that they rightly want to spend elsewhere. Since it is an important measure, it must be legally well calibrated in close consultation with stakeholders. In the first instance, my cabinet sat with the Cabinets of Justice and Home Affairs to determine the procedure for the adoption of the protocol. Following those meetings, the representative organisations of the traders and the distribution sector, UNIZO, the UCM, the NSZ and Comeos, were received one by one in my cabinet in August 2017. They were then invited to three working meetings. At the last working meeting, the Cabinets of Justice and Home Affairs were present. At this stage, a preliminary agreement provides for the following. Firstly, the amount of the friendly settlement would be set at EUR 181, which would be indexed. That amount is one-off and lump-sum to make it easy. Moreover, the amicable settlement is of a civil nature and compensates the affected trader. The friendly settlement does not prejudge a possible criminal prosecution of the thief. A new non-profit association will be established. Its administrative body will be composed of the parties concerned and a monitoring body composed of representatives of the Ministers for Justice, Home Affairs and Small and Medium-sized Enterprises. The non-profit association should entrust the recovery of friendly settlements to a service provider. The parties concerned have provided a draft statute for the non-profit organisation to be set up and have also developed a hypothesis of the functioning of the friendly settlement system, in particular to clarify the interactions between the non-profit organisation and the service provider, on the one hand, and the police and the public prosecutor, on the other. The Cabinets concerned must now comment on the statute of the non-profit association and on the hypothesis of the functioning of the friendly settlement system. So, in cooperation with my cabinet, the parties concerned are preparing a preliminary draft protocol integrating the possible comments of the three Cabinets. The draft protocol will then be submitted for agreement to the Council of Ministers for signature by the Ministers for Justice and Home Affairs and myself. Its actual implementation would then take place before the end of the year. The parties concerned, their network and the service provider designated by the non-profit association will, for the rest, familiarise traders with the advantages of joining the protocol.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u4	Mr President, Minister, thank you for your reply. Everything must indeed be legally properly arranged. I have heard that you have invited the right organisations, but that is usually the case. The draft statute is ready and the Cabinets and those involved are all consulted. We are pleased to hear that the protocol is scheduled for the end of the year. We all want things to go much faster, but we know how politics works, so we look forward to the end of the year when everything will come into effect.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u5	It's a combined question. Mr Janssen, you are the only one present so far.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u6	Mr. President, I'm here. If Members are not present, it is so bad for them. Parliament's rule is that if Members are not present, their questions are either postponed or commuted, if requested, to written questions.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u7	Except in the event that they indicated that they would arrive late.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u8	Oh, no! That's a good one! I have never seen this in Parliament. Arrive late at 11:00 a.m. and want to ask his questions? I've never seen that! There is a normal agenda. I made myself available until 2:00 p.m. I blocked my calendar. [[It's up to everyone to do the same!]] I trust you, Mr. President.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u9	In my opinion, every president has the right to work in his own way. I operate with some flexibility when members tell me, as Mrs Gerkens does, that they will arrive later because they have an impediment. If she gets there, she'll ask her question. In the meantime, I am working with the members present in the order of the questions.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u10	You're talking about the ones who warned you.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u11	Yes. Mr Calomne is about to arrive as well as others and the agenda will follow. I am working like that in this committee, with flexibility. There are often several commissions at the same time. One goes from one to the other. Those who are active are often members of several commissions.
