ParlaMint-BE_2018-03-28-54-commissie-ic861x.u1	Question No 24104 by Mrs Catherine Fonck is transformed into a written question.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u2	Mr.President, Minister, in July 2016, the joint Foreign Terrorism Fighters database was set up by the government. The R Committee, the Standing Committee on the Control of Intelligence Services, recently conducted an analysis of the central database on terrorists in Belgium. This database contains information on more than 600 fighters in Syria and other potential terrorists. It is therefore an essential tool in the fight against terrorism. However, it appears that there are many gaps in this database. First of all, it appears that some people are mistakenly recorded. However, these persons are not removed from the database on time. Moreover, while the government decided to extend the application of this database, it turns out that this decision did not have a legal basis. It is also learned that it is also not certain that all the mayors receive the names of the inhabitants of their communes who are well on this list. Finally, the report indicates that more than 1,500 people have access to the database: members of the police, intelligence services, prisons and the Foreign Office. According to the R Committee, such an expanded publication poses a security risk. Minister, how are you going to respond in practice to all the difficulties and shortcomings identified by the R Committee? Do you intend to put in place a specific action plan directly related to this Foreign Terrorism Fighters database?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u3	Mr. Vanden Burre, you're talking about people who've been "failed by mistake." It deserves to be nuanced. These are persons who were placed in pre-investigation on the basis of serious indications that they could meet the criteria. The services have six months to enrich the information about these persons. If the information cannot be corroborated, the names of these persons must be deleted from the common database. So far, it was not automatic and it could happen that a few people remained in pre-investigation for more than six months. This failure has been resolved in the meantime. After six months of pre-investigation, these people are now automatically erased. The OCAM also ensures that these people are not erased automatically, but that local services and task forces (TFL) first collect maximum information during these six months. In the very near future, the police will send an alert email as the technical manager of the database that alerts pre-investigation managers when a pre-investigator approaches the end of the six months. With regard to the extension of the database without a legal basis, two royal decrees, which provide the legal basis for the extension of the database with the categories "Homegrown Terrorist Fighters" and "Propagandists of Hate", were approved on 1 December 2017 at first reading by the Council of Ministers. At present, these texts have been adapted in the light of comments made by the Privacy Commission and the Council of State. The two royal decrees are therefore in the final phase before the signature. With regard to the information map to the mayors, a box will soon appear in the database, which will allow to trace whether and when an information map has been transmitted to the mayors. More than 1,500 people actually have access to the database. The aim is for a broad spectrum of services to be available. The problem of terrorism requires a broad approach, which makes it necessary to break the traditional institutional silo. This does not mean that everyone can access it in this way. Each department shall maintain an accurate record in this regard. Each user must have a security clearance of the secret level. A systematic login to trace all consultations and additions is required. It is also recoverable. In addition, access is modulated according to the need to know and not all services have the same read and write rights. Some services have, for example, only access on the basis of the Hit or No Hit principle.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u4	Minister, thank you for your answers. I believe it is important that you clarify all the points that were highlighted in the report of Committee R. It was essential to answer them. Indeed, we have seen, through the work of the Commission of Inquiry on the Attacks, that the management of databases was a key element in the dysfunctions observed but also in the improvements to be made in the future. The introduction of a new database did not pose any problems in principle and we approved it. But managing access, people and privacy are points that need to be properly linked. We will continue to track the file and your action plans in detail.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u5	Mr.President, this is an issue related to the measures announced in the wake of the March 22, 2016 attacks. Minister, as you know, the ASTRID network had a lot of ink at the time and sparked a lot of discussion. He found himself in the eye of the cyclone at the time of the attacks. An unprecedented overload was observed that day and put the network on the knees, greatly complicating the task of rescue services. Indeed, ASTRID had reached a completely new limit of physical capacity on that day, which was due in particular to the influx of communications from reinforcements from other provinces who were trying to connect. Since then, and following the recommendations of the Attentats Commission of Inquiry, action has been taken by the government and an investment plan has been put in place. In concrete terms, on January 11, 2017, a little over a year ago, you answered me a whole series of elements. I'm not going to read all the answers in detail. Overall, you announced a €117 million investment plan, 46 of which were already decided by the Board of Directors for the period 2012-2015, given the urgency. Approximately two-thirds of this investment programme must be received within the first five years. A wide range of work has been announced, including ensuring and maintaining the reliability of the network, replacing outdated infrastructure and upgrading the network in a variety of cases. Provision is also made for the installation of relay antennas in sensitive areas such as airports and Seveso industries and the addition of carriers on some of these relay antennas. This is the first point on which I would like clarification. The second point concerns the initiatives taken following the lessons learned on 22 March 2016. With regard to the additional frequencies in order to provide more capacity, ASTRID needs more radio frequencies. In the meantime, ASTRID has been authorized to use additional Defence-owned frequencies. Capacity increased last November. New communication channels have been installed on thirteen relay antennas in Brussels. Next, the communication capacity of the radio network will be increased structurally. You told me last January that ASTRID would put in place, between mid-2017 and mid-2018, on the national network, a reserve capacity that could be activated in the event of a crisis. This year, several masts will benefit from an additional control channel. This is essential for the expansion of capacity. My third question concerns the enhancement of the mobile deployment capability that ASTRID was supposed to be putting into service in 2017 and that you announced in January 2017. Finally, the extension of ASTRID's mobile data service, Blue Light Mobile, which uses the three national 3G and 4G networks, should have benefited, in the first quarter of 2017, from several improvements: the possibility of making telephone calls and priority access for both voice calls and data transfer. Almost a year later, I therefore come back to you to take stock of the actions undertaken and the state of progress on all the elements advanced at the time. Can you assure us that the ASTRID system is now ready to deal with emergencies on a scale comparable to those we tragically experienced on March 22, 2016?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u6	My colleague, the implementation of the investment plan continues unabated. The renewal of the radio network, of the dispatching infrastructure and the development of new services bring an undeniable added value in support of the actors of the rescue and security services. Work on the renewal of the radio network infrastructure has been completed. In the coming months, ASTRID will equip the 600 relay antennas with new technologies. This will allow for more efficient communications, better reach and a higher number of communications. Additional capacity will be provided in large cities equipped with an airport, around Seveso companies, information and communication centres (ICCs), prisons, along motorways as well as in cities and tourist places. Software renewal work at the dispatch centres will begin in the coming weeks. Capacity building on several relay antennas in the Brussels Region was finalized in November 2016. This capability can be mobilised in major incidents. In concrete terms, this means that the network is now better able to cope with increased radio traffic in crisis situations. For crisis capacity in Brussels, ASTRID can use a series of additional Defence radio frequencies. In future, emergency and security services must have the same guarantees to carry out their critical broadband communication and to benefit from reliable means of communication, as is the case with the TETRA-ASTRID network today. Emergency and safety services are currently ensuring that, in the final proposal for a Royal Order on radio access in the 700 megahertz band, the minimum conditions necessary to guarantee future mobile broadband critical communications are taken into account. In particular, in the future, this will allow operators to adapt to the demands of additional mission critical services, specific to rescue and security services. In terms of the capacity of the ASTRID radio network, in the various provinces, additional capacity relay antennas will be added to certain sites that have been identified as priorities by users and the crisis centre. The relay antennas will be equipped with additional transmitters. ASTRID is in consultation with the municipalities concerned and the first work will begin in May this year. In May, ASTRID will have a real-time monitoring tool to monitor the capacity of the radio network so that the situation on the network can be monitored closely. This tool will enable the additional capacity installed in the network. In early 2018, ASTRID launched a new compact vehicle with satellite technology and accredited as a priority vehicle with blue lights, allowing a faster arrival to the scene for a more effective temporary enhancement of capacity at the site of an incident. The operational benefits of this new vehicle were verified in the field during a recent car rally. Since 2014, ASTRID's mobile services for Blue Light Mobile data that use the three national 3G and 4G networks benefit from new features: the possibility of making telephone calls, first priority access to the Proximus network for both voice calls and data transfer, and, in case of saturation of the mobile network, 6,000 members of the priority emergency and security services will benefit from priority communications. Some 1,900 Blue Light Mobile SIM cards have been activated to date and activations are ongoing. Finally, the attacks highlighted the need for in-depth knowledge of the use of ASTRID radios. A teaching method whose results are quantifiable allows to extend the knowledge of the field user. This requires the intensive use of self-learning software. This resource is available for emergency and security services and is centralized at ASTRID This new computer-assisted learning system can be used remotely by 60,000 individual users during their training and training in the proper use of the radio apparatus in the various communication groups. Organizations using this tool are responsible for the installation of this tool in their services. In short, you will see that we have taken several initiatives to resolve the initial problems.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u7	Minister, thank you for taking stock of all these actions. I will read your answer in detail. We remember the state of ASTRID a year ago, whether because of the absence of a management contract or the total absence of investments. It is therefore important that public tools be strengthened, especially in emergency services.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u8	Minister, on Friday, February 16, in the afternoon, police officers are called Adolphe Sax Square in Ixelles for throwing stones at cars in the neighbourhood. Young people, aged 13 or 14, are spotted by the police and narrated. A chase begins and one of them, Bilal, 14, is stopped. Menoted with colsons, he was allegedly beaten and lost consciousness. If proven, this violence is disproportionate. The young teenager filed a complaint against the police and posted a photo of his injured face on his Snapchat account. The Brussels police zone CAPITALE Ixelles has opened an internal investigation, thus confirming information published in several media. The Brussels Public Prosecutor's Office has also been seized and has not yet been able to provide further details on this case. Could you tell me what the status of the internal investigation conducted by the Brussels police zone CAPITALE Ixelles is? Where are we? If the investigation is initiated, when will it be completed? If this is already the case, could you share the findings of this internal investigation? Could you tell us what the state of the investigation is at the level of the Brussels Public Prosecutor's Office?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u9	Mr. Vanden Burre, this local incident falls within the jurisdiction of Justice. I have not received any information on this. But following your question and the information provided by the local police zone of Brussels CAPITALE Ixelles, it appears that the investigation is still ongoing and carried out by the internal affairs services of the police of Brussels CAPITALE Ixelles, at the request of the public prosecutor's office in Brussels. The closing date of this investigation is currently unknown. At the level of the Brussels Public Prosecutor's Office, the case is dealt with by the Special Affairs Section, which deals in particular with cases involving police officers. For more information, I must refer you to my colleague Koen Geens, who is the Minister of Justice.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u10	Thank you, Minister. I'll ask your colleague, Mr. Geens. I knew he was the Minister of Justice. We have already addressed questions to the police area but, given the seriousness of the facts, it is important that we be able to quickly obtain information, because it is an event that has upset the life of the neighbourhood. We know how important it is for the local police not only to be present but also to listen and to have a good relationship with the inhabitants. Suspected serious incidents such as this one undermine this coherence. It is important to make clarity as quickly as possible.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u11	Mr Minister, at the committee on 31 January, I raised my concerns with regard to the abandonment by AFCN of ISO 9001 certification in favour of the Management System recommended by the International Atomic Energy Agency. You wanted to be reassuring by telling us that this Management system met a requirement for continuous improvement and that it would ensure that the Agency's missions will be fulfilled effectively and efficiently. You added that the non-renewal of certification did not mean that the quality system was no longer in force because it was fully compatible with the Management system. Nevertheless, the information that appeared in the press at the beginning of February seems strongly to call into question your assertions. I am not very aware of the exact implications of the standards required by ISO 9001 certification and the Management system, but I would be surprised if they were to ignore the poor performance of staff welfare, the Agency's weakness vis-à-vis the most important player in the market it is supposed to regulate, managerial incompetence, lack of vision, partiality and non-compliance with procedures, and the lack of transparency in human resources management. This is in any case the results of the IDEWE consultant's audit. As a result, the SPF Employment, Labour and Social Concertation demanded that management adopt an action plan. The latter was considered totally inadequate by the above-mentioned consultant as well as by an internal AFCN mediator. Management, on the other hand, seems completely in denial and prefers to question the work of its listener. Mr. Minister, in view of the crucial missions and challenges facing the CFNA over the next few years, I am concerned about this information. Fortunately, this would not have had an impact on the monitoring of power plants as yet, among other things, thanks to the overfunding of the Agency. However, this highlights a great inefficiency which contradicts what you have previously told us in committee. Minister, do you confirm the deficiencies identified by the IDEWE audit? If so, what steps do you plan to take to end it? Are you considering changes in management structure?
