ParlaMint-BE_2018-07-10-54-commissie-ic948x.u1	Mr Laaouej asked whether he could ask his question No 26531 at the beginning of the meeting.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u2	Mr President, contrary to Mr Gilkinet's assertion, it was not to fly to St Petersburg that I asked to ask my question now. I don't accept this kind of accusation. Having said that, I thank you, Mr President, ladies and gentlemen. Minister, you are aware of the reform of the Régie des Bâtiments undertaken by your colleague Minister Jambon. Beyond the reform itself which concerns us and which we are following very closely - I am thinking in particular of my esteemed colleague, Mr Delannois - I would like to ask you about some of the tax aspects of this recast. For the time being, the services provided by the Régie are provided by means of an allocation paid to it. If the Régie were to become a public limited company, the services provided could be billed to users. What about the VAT treatment of these services? For material services (maintenance, carpentry, electricity), would VAT not be due? With regard to the rental of real estate itself (currently exempt from VAT), what will be the consequence of the application of what was decided at the Council of Ministers on 30 March 2018? Will this additional VAT not entail a significant additional cost? On the other hand, what about the corporate tax aspects? Will the new reform result in the public limited liability company being subject to corporate tax, which will replace the Régie?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u3	Mr President, ladies and gentlemen, the Régie des Bâtiments is a public institution covered by Article 6 of the VAT Code which establishes a non-taxable regime with certain exceptions, in particular with regard to real estate leasing operations and the constitutions, assignments and surrenders of real rights relating to immovable property by nature covered by the exception provided for in Article 44, § 3.1B. In accordance with Article 93bis of the Code concerning professional secrecy, neither my administration nor myself can enter into the details on the current tax status of the Régie I refer you to the VAT Circular No 42/2015 concerning the VAT liability of bodies governed by public law. If the change in legal form to a public limited liability company would lead to more transactions subject to the tax, the related VAT will be borne by the final consumer. In return, this would result in an additional deduction right for the new entity that will be subject to VAT. With regard to the future optional VAT-submission scheme for certain business real estate rentals, it should be noted in particular that it will cover only future and therefore non-current real estate projects. In principle, it will not apply to public authorities. In these circumstances, it is not likely that this future regime would entail additional costs to the public authorities. In any event, it is for the time being too early to comment on the impact of the Régie's activities. It goes without saying that my administration remains available to answer any questions that may exist in the head of the Régie and his successor. The question of corporate tax liability is also premature.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u4	Mr President, I am absolutely not satisfied with the answers that have just been given to me. Minister Jambon made a number of very specific statements indicating that he wished to move forward on the transformation of the legal status of the Régie des Bâtiments to a public limited company. We're not under assumptions. We are in a political project that is under way. I hope that the Minister of Finance and his cabinet are involved in the discussions that currently exist within the government. If this is not the case, it may be time to remedy it. Clearly, it is now a question of whether the VAT liability of the public limited liability company to replace the Régie will generate or not invoicing with VAT. It is a matter of making it clear that, for the tenants of the Régie, there is not going to be an additional VAT rate to bear. The Minister gave an indication that, in principle, it is final consumers who support VAT. But if at the same time these end consumers are entities that do not deduct VAT, it is an irretrievable and definitive cost. I am not looking at the current tax status of the Régie. Minister, you're talking about professional secrecy. That's not the point. What will happen in the future? Is not what we are presented with as a major reform really going to entail an additional budgetary cost for the entities using the services of the present Régie, or even for this Régie itself? Another point is corporate tax liability. I regret, but again, this is not an ethereal project. It's a concrete project. My question is, therefore, the following. If the Régie becomes a public limited company, will there be, yes or no, an additional tax cost to corporate tax? Mr. Minister tells me it's premature. I wonder if the minister is well aware of the evolution of the issue within the government. I am absolutely not satisfied, and it is imperative that the minister come back with more precise answers within a limited period of time.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u5	Mr President, Minister, on your proposal the Council of Ministers adopted a draft royal decision on the scope of the attack system applicable to legal constructions. The press release following the Council of Ministers states that, as regards companies established in a Member State of the EEA, the Cayman tax will not apply once the income in that Member State is actually subject to income tax. I would like to hear from you in concrete terms what this results in a particular possibility. If a company would be subject to a real rate of 2% or 3% in the country where it is established, does that mean that the caiman tax does not effectively apply to the income of that company?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u6	Mr President, Mr Vanvelthoven, this question concerns a draft royal decree which seeks to extend the scope of the European Economic Area, the EEA. It was passed on to the Council of State for advice. Within the EEA, the scope of the browsing tax was more limited from the outset in order to avoid a breach of European fundamental freedoms. In addition to a generally defined category of hybrid entities and of certain institutions held by affiliated persons, the current Royal Decree regulating the scope of the viewing tax within the EEA explicitly lists four legal forms which are deemed not to be subject to income tax. The new design replaces these four legal forms with a general definition. This makes the design more widely applicable. From now on, not only the four explicitly mentioned legal forms will be subject to the tax system, but all other legal entities which are not effectively or hardly subject to income tax will also be included in the scope of application. Moreover, the other categories of the Royal Decree are adapted as regards the constructions not covered by the above definition.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u7	Mr Minister, your explanation indeed concerns the draft royal decree but, of course, does not answer my question. From the fact that you are not answering my question, I can only conclude that my question is answered in the affirmative. Companies or by extension legal persons who pay hardly any tax elsewhere therefore do not pay any tax here either. The expansion of the Cayman tax, as it is sold here, in practice means that companies that pay hardly any taxes pay hardly any tax in Belgium. I regret that.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u8	Question No 26300 by Mrs Kattrin Jadin was withdrawn.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u9	Mr President, Minister, I will return to my question of March 2018. You told me at the time that you were unable to answer my question because it required some research. That is why, four months later, I ask again the question of the number of full-time equivalents in the BBI on 31 December of the last four years.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u10	Mr President, Mr Vanvelthoven, I have an answer with a number of tables, which I will not read out, but I will give some verbal explanations. The number of recruitments by the BBI was 93 officials in 2015, 20 officials in 2016 and 13 officials in 2017. These are new recruitments that do not concern internal shifts or internal mobility. The increase in the number of effectives in the BBI is due to the government's decisions. In the case of unchanged policies, indeed, there would have been a sharp contraction, but I asked my colleagues to strengthen the BBI with people and resources. The recruitment of 100 officials, as envisaged by the government, has therefore also been achieved effectively. I am very pleased with that. In addition, a relatively recent decision was made to replace the control functions within the FPS one by one.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u11	Mr President, Minister, thank you for your reply. I'll take the figures and see if any of this has actually meant a reinforcement of the BBI.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u12	Point 5 will be discussed later, since Mr Flahaux is still at another committee meeting and Mr Deseyn has been excused. As soon as Mr Flahaux is finished in the other committee, he will be asking his question No. 26360 come to couples.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u13	Mr President, Minister, I asked this question once, both orally and in writing, but the answer was not available. That is why I now take the opportunity to ask the question again and more clearly following a cross-party open letter calling for the unique art collection of Belfius to be anchored in Belgian hands, which will also be the bank's future. I assume that you have also read the document in question, all the more so because your party colleague and art historian, Mr Swinnen, was one of the co-signators, together with the directors of the Flemish museums. Besides, we have now received the signal that many directors of federal museums also support the call. We have not expressed our opinion on this or that option for the future of Belfius. In fact, the majority still does not know how and when they would go to the stock market. Following the political agenda of the majority, there is a call, as de facto owner of the collection, to ensure that the art collection is protected from a possible sale and can therefore remain in Belgian hands and in Belgium. What are the government's concrete plans for the art collection of Belfius in the event of partial privatisation, and separately? What is the government's view of the future of that national heritage, of which several are listed in the Flemish Community's art decree? It concerns more than 4,000 pieces that offer a steel map of Belgian art from the founding of our country to the present day. Based on the philosophy of Belgian art in Belgian hands, three banks have built up this collection over the years. What is the estimated value of the collection? Many questions have already been asked about it, but it concerns a large number of works of art, including works by great masters. Hence my question about its value. Who estimated it? When's the latest estimate date?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u14	I will not repeat everything that Mr Almaci has already said; I share her concerns. The collection is very spacious. What would happen to it if Belfius went public? In a first phase it may be a partial IPO, but it can't hurt to look ahead. Is the art collection still being developed or is it rather a standstill collection? What is the share of national artists in the collection? Is there a difference between Belgian and non-Belgian artists? Have agreements already been made or will the fate of the collection be made when the government would no longer be a majority shareholder?
