ParlaMint-BE_2018-12-20-54-plenair-ip264x.u1	The meeting is open. The meeting was opened.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u2	In accordance with the opinion of the Conference of Presidents of 19 December 2018, I would like to present you on this afternoon's agenda. 1) to write down the following points: - items 3 to 14 of the draft agenda. - budgets, with the exception of resource and expenditure budgets. - the draft Financial Act for the financial year 2019, Nos 3432/1 to 4. - the Rules of Procedure of the Data Protection Authority, No. 3420/1. - the nomination of a French-speaking State Council (Council of State). (2) delete the oral questions;
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u3	In accordance with the opinion of the Conference of Presidents of 19 December 2018, I propose: 1) to include in this afternoon's agenda the following items: - items 3 to 14 of the draft agenda. - budgets, with the exception of the Ways and Means budget and the Expenditure budget. - the Finance Bill for the 2019 budget year, n°s 3432/1 to 4. - the Rules of Procedure of the Data Protection Authority, No. 3420/1. - the presentation of a French-speaking Council of State. 2) to delete oral questions;
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u4	Are you sure you don't mind? Pas d'observation?
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u5	Mr President, I honestly do not understand what is happening here. There were a lot of drafts and proposals on Tuesday and Wednesday's agenda, but they were all taken off the agenda. What is the criterion for the issues we are discussing here?
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u6	We took the decision at the Conference of Presidents to preserve everything that was on the agenda yesterday, yesterday and today. Of course, two things are excluded, in particular the budget and the oral questions. Both points have dropped. Everything else has remained on the agenda and we will pay due attention to it. I do not have to tell you that it is not because it is on the agenda, that it will also be adopted. We shall see how the Chamber will give its opinion on this matter.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u7	Mr President, I would just like to make it clear that the Conference of Presidents can only decide unanimously to change the agenda. That unanimity was not found yesterday. That does not mean that some people did not argue yesterday in the spirit of Mr Vuye.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u8	For the record, there was unanimity. There was unanimity on the agenda. We will therefore follow him as agreed. We'll do what's agreed. We will deal with the agenda, starting with the discussion of the four drafts relating to the victims of terrorism.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u9	Mr President, I do not appreciate that my colleague from the N-VA, as I understand it, seems to indicate that there was no unanimity in the Conference of Presidents.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u10	No, I don't. We needed unanimity, otherwise there would have been no agenda.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u11	All right, all right.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u12	Mr President, as you know, we are not represented at the Conference of Presidents. Generally, we are notified the week following the plenary session. In relation to Mr. De Roover has just said, I would like to know whether the N-VA, in the Conference of Presidents, has supported the agenda proposed to us today.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u13	The answer is yes.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u14	I do not understand Mr. From Roover.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u15	Mr Van Hees, I urge everyone to know that you too are informed as soon as the decision has been taken.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u16	On the agenda, yes, but not on the whole Conference of Presidents.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u17	Mr President, you say that the unrecognised groups are informed about this. Sometimes it can be. But we will receive the report from the Conference of Presidents at the earliest on Monday. It rarely happens on Fridays. I can assure you that I found nothing on the website this morning and that we ourselves went to the services of the Registry, where we were given the agenda at 10.55 p.m. I see the clerk shaking no, but we did go to the service at 10:55.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u18	We will not begin the discussion on this. I am assuming that this is important to say that, following the decision of the Conference of Presidents, it was immediately passed on to the political groups that are not represented in the conference.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u19	Mr President, I want the information provided to the other Members of Parliament to be correct. After the meeting of the Conference of Presidents, we received an e-mail with a link to the website. At that time, oral questions were still on the website. Only after my group has been informed was it informed by e-mail that no oral questions were raised. I do not personally blame you, that is not personally attributable to you, but the flow of information was, to say the least, chaotic.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u20	The situation is in itself chaotic, which was reflected on the website, where it was indeed necessary to put things right. I suggest that we do not continue this discussion.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u21	Mr President, I rise to make sure that colleagues understand what sauce we are eaten when we are not yet a group. We usually receive the minutes in S+1, a week later, that is, when everything is already over. We find out in the minutes what happened in the past. It's always nice! In this case, a link was sent to a website, but I guess no one understood the number of small danger triangles everywhere. Even the services of the House have confirmed the lack of clarity. As a result, we have been obliged to review everything this morning. Would it therefore be possible to request that we be called at the end of the meeting to communicate orally to us all that was decided at the Conference of Presidents? That's the least I can do.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u22	That seems to me to be a very constructive point. We will do the same from the next session. So we'll call you.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u23	Mr President, I think these are all very useful discussions, but they can be better oriented towards the coffee room bar. I suggest that we proceed to the order of the day.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u24	I will do the same, Mr Vandeput. Are there any further objections to the change of agenda? Thus shall be done. That will be the case.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u25	I propose that a single discussion be devoted to these draft laws. I propose that you devote one discussion to these bills.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u26	The general discussion is open. The general discussion is open.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u27	Mr President, I refer to my written report. I would like to speak directly with my party.
ParlaMint-BE_2018-12-20-54-plenair-ip264x.u28	You have the floor.
