ParlaMint-BE_2018-02-21-54-commissie-ic825x.u1	Mr Vanvelthoven has been excused, but Mr Deseyn maintains his question.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u2	Mr President, Minister, I would like to draw your attention to question No. 2024 on tax regularizations. In reply to that question, Minister, you said that tax regularisation would not have any effect if the person concerned was informed of specific ongoing investigations prior to the declaration. That is exactly what my question is about. After all, you have not specified whether the sending of requests for information falls within the scope of Article 6, 3° of the Law on Regularisation. I have two simple questions. Firstly, do you confirm that sending requests for information to Belgian taxpayers falls within the scope of Article 6, 3° of the Law on Regularisation? Secondly, do you confirm that the tax-deprecated capital cannot be regularised if they are entered in an ongoing judicial investigation prior to the submission of the regularisation declaration?
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u3	Mr President, Mr Deseyn, first of all I would like to refer to my answer to the written question No. 2024, on which you yourself have alluded. I can confirm once again that tax regularisation will not have any effect if, prior to the submission of the regularisation declaration by a Belgian judicial authority or a Belgian tax administration, specific investigations have been notified in writing. My answer is a bit intertwined with the answer to Mr Vanvelthoven's questions, but I assume you are also interested in hearing these aspects. Recently, the administration received a mass of information from Belgian accounts abroad, including through the so-called new Common Reporting Standard. For most accounts there is usually no problem, but tax and criminal investigations from the past have shown that foreign accounts were also used to hide black income or obtain movable income without the payment of movable withholding tax. I have already explained the statute of limitations in the plenary session of 1 February. Before a file will be transferred to the parquet, the General Administration of the BBI will invite the taxpayer to regularize his tax-barred capital at the Contact Point regularisations. I would stress that the investigation of the General Administration of the BBI and the enquiries for information that have been and will be sent only relate to tax-free periods. The current specific research actions of the Belgian tax administration therefore relate only to non-annuity income. The regularisation of the tax-deprecated capital at the Regularisation Contact Point will have its full effect once the levy has been paid, even if a request for information was sent in respect of the non-deprecated tax periods. Finally, as regards the question of the fact that certain taxable persons of the General Administration of the BBI will be invited or have already received an invitation to comply with their legal obligations through the Regulatory Contact Point, it is true that the selection criteria and the strategy for the various control actions of the General Administration of the BBI, including those which you identify, are only for internal use and cannot be communicated for obvious reasons. The General Administration of the BBI carries out tax audits. I can confirm that the files are those whose administration suspects that certain revenues have not been declared. Contacts between taxable persons and the administration may take place both in writing and orally, depending on the situation and the nature of the file. At this stage it is premature to give up numbers, as the administration for this action is still in the start-up phase.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u4	Thank you, Minister, for this clarification. It is important to clarify that the return of questions is linked to the tax-free periods. It is important to know that all procedures can be carried out and that the amounts on which tax is due can be recovered to a maximum.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u5	Debates of the European Parliament Mr Vanvelthoven's 23532 has been postponed. Debates of the European Parliament 23532 by Mrs Galant has been withdrawn. Debates of the European Parliament Mr Terwingen has been postponed.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u6	This is not about legislation, it is about proposals.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u7	Mr President, I shall continue with the previous questions Nos 9331, 9498 and 9624 on this very technical issue. In reply to these questions, you said that a legal solution had to be found to the problem of frontier workers and the payment of dependent children's allowances. From the year 2018 onwards, that solution has been registered in the law by the Law of 25 December 2017 laying down various provisions Ill. Recently, a very interesting article in Trends explained how this is assessed. According to the article, the assessment of the most advantageous assessment is not based on the principal but on the total of the tax state and the tax on the movable income box for the two spouses together. The tax-free surcharges for family expenses are thus automatically granted to the taxable person with the lowest taxable income from tax year 2018 when the sum of the tax state and the tax on the movable income box for that family is lower than the sum of the family allowances granted to the taxable person with the highest income. The deduction on the lowest income will be the general rule from the year 2018 onwards, if it is more advantageous. It is a curious finding that the assessment of the most advantageous tax calculation is not based on the final balance of the calculation but on an intermediate balance. In other words, according to the article, the assessment of the most advantageous assessment is carried out before the charge of most federal and all regional tax reductions, tax credits and municipal tax, which often leads to an apparently more advantageous charging at the level of the tax state of the family charges on the lowest income, whereas that calculation is de facto less favourable at the level of the final balance. The amendment through the law of 25 December 2017 therefore does not seem to offer a solution for everyone. For some, this would increase the tax burden by more than EUR 1 000. This seems to be due to the fact that, in some cases, the compulsory payment of family allowances to the taxpayer with the lowest income makes tax cuts for the housing bonus and pension savings virtually completely lost. However, the amendment of the law was not intended to affect the tax bill of the persons concerned. It is also a very technical mechanism due to the different methods of calculation and the sequence of steps. Minister, is the government aware that the amendment of the law could make some taxpayers worse off for the 2018 tax year than before, with the normal application of the methodology of Article 134 WIB? Therefore, should the law not be amended? How will you deal with this problem? For those concerned, it is a bitter pill if a well-meaning measure leads to a negative end result. It is a rather complex matter given the many parameters involved and our state structure.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u8	Mr Minister, my question goes in the same direction. The law on various tax provisions III of 25 December 2017 amended the law on tax relief for dependent children. From the 2018 tax year onwards, the administration can allocate the tax relief for dependent children to the partner with the lowest income, if this proves to be more advantageous. The administration would then make the calculation for the families concerned and automatically choose the most advantageous method. That was, of course, a good thing in itself. For years we have had to wait for a legal solution to the tax discrimination of married frontier workers. I was therefore very pleased at the end of December that a solution had finally been found. I myself have tabled legislative proposals for this, both in the previous legislature and in this legislature. Since the administration would now take it upon itself to make the best calculation, I did not want to demand that the solution contained in my bill be used. My proposal was simply to give married people the choice of who to charge the children, as is currently the case with actual cohabitants. Perhaps, however, it would be easier if the calculation could be made for them. Fiscalist Jef Wellens said in Trends that this will indeed be the case in a number of cases, but the current legislative amendment does not seem to be a solution for everyone. However, I believe that this should be the intention. The most advantageous calculation shall be determined not on the basis of the final balance of that calculation, but on the basis of an intermediate balance and before the charge of all other tax reductions. My questions are as follows, Minister. Is it true that the new method of calculating the tax relief even means an increase in the tax burden for some taxpayers? If so, will you take the necessary steps? Do you see any point in amending the law, taking over from my bill, in particular in order to leave the choice to the married persons themselves, so that they can carry out the calculation themselves? Finally, the new law has entered into force from the year 2018 onwards. For 2017 the scheme was applied administratively. How many taxable persons applied for exemption for the previous years on the basis of the judgments of the Constitutional Court and the European Court of Justice? Thank you for your answer.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u9	Mr President, Mrs Wouters, Mr Deseyn, if the assessment of whether a system is more advantageous or not, at a stage of the calculation before the final balance, it is logical that a number of elements should not be taken into account in this assessment. It cannot therefore be excluded that a system is more advantageous at the level of the tax State, but that it is not necessary at the level of the final balance. However, the above is the direct consequence of the legislative adjustment in 2014 of the Income Tax Code. At that time it was decided to introduce the regional additional tax on personal income tax, but in the sense that the application of those regional tax rules should not have an impact on the taxable base and the tax state. As a result, it was decided by law to assess, from the 2015 tax year onwards, not at the level of the final balance but at the level of the tax State whether or not the application of, inter alia, the marriage coefficient and the globalization of the separately taxable income is more advantageous to the taxable person. The same logic was followed for charging the allowances on the duty-free sum in the event of a common charge. I am aware, in other words, that in a limited number of cases this logic does not produce the expected result for taxpayers, but at the same time the sixth state reform also imposes a number of rules that do not allow us to look at or calculate things differently.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u10	Minister, your presentation of the history was very interesting. It explains the logic of things. Sometimes the end result seems absurd, but logic is inherent in the state system. It shows the need to hold more interfederal tax conferences. After all, one will only be in that group which is suffering the negative effects of a well-meaning measure. So the ratio is there. We had to find a comparison here, so that it leads to a more positive result for the target group that is in that particular situation. Minister, the analysis you are making is that we federally do not have the tools to remedy it now, in complete completeness. So it's a work in progress. The good understandor will perhaps understand that two accounts or two bills will bring about a more purer situation. But we must now explain how this can be done. It's not like I'm on the barricade advocating major reforms, but it does explain a few things. The complexity of our State has clear repercussions for the individual taxpayer.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u11	Mrs Wouters, do you have any institutional reservations?
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u12	Mr President, of course, for me the solution is that everything comes to Flanders so that we can look at it ourselves. Minister, you say this is the way it's been calculated since 2015. There was, of course, a solution, namely by allowing the married persons themselves to choose how to complete their tax return and to whom they assign the dependent children. The actual people living together can do that at the moment. They can and can optimise their tax bill for themselves. There is still a difference between those actually living together and those married. We have been discussing this for years and there have been statements that there is no equality between these two situations. And now the situation is still not resolved for everyone. Actually, cohabitants can perfectly calculate what is most optimal for them tax, while due to the calculation as it has been done since tax year 2015, the married couples of course cannot still be in a more negative situation for all married couples. Prime Minister, I did not receive an answer to my last question about the number of taxable persons who have applied for an automatic exemption. Can you give me that table in writing, because I can understand that the deadline for requesting those figures was too short?
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u13	Minister, how can we make GAFAs (Google, Apple, Facebook and Amazon) pay for these American digital platforms that have revolutionized the economy, their fair share of taxes? The debate is ongoing at European level. The French president, Emmanuel Macron, believes that the GAFAs, which he describes as "clandestine passengers of the contemporary world", are indeed a real challenge for tax practitioners. The rules for taxation of current enterprises, designed for the traditional economy, are in fact based on the principle of "permanent establishment", i.e. only those companies which have a physical presence in a country, measured by the amount of assets, the number of employees and the amount of sales, can be taxed. However, digital companies can offer their services via the Internet by being legally established in the country of their choice, in practice in a State which offers them advantageous tax conditions. For example, Facebook draws its wealth from data collected across Europe (33 million accounts in France, 31 million in Germany) which it sells to other companies that can then market. Thanks to the user's like, you can see if the user prefers rugby to football, for example, and approach it accordingly by offering products related to these sports. In addition, Facebook may sell its data by subsidiaries located elsewhere than where users and their data are located. In this case, while these advertising revenues are minimal in France and Germany, in 2015 they amounted to almost EUR 7.9 billion in Ireland, where there are far fewer Facebook accounts than in these other two countries. It is in states such as Ireland, where the tax rate is the lowest in Europe for companies (12.5%), that Silicon Valley giants house their subsidiaries, where they concentrate all their profits in other European countries. For Google, the same pattern is observed overall. In the face of this situation, several solutions are under consideration. In France, the idea was put forward to tax these GAFAs on the turnover generated in each European country, rather than on profits, which are now concentrated in countries with low tax rates. This proposal was presented by France in late September in Estonia. It has received support from some 20 countries, including Germany, Italy and Spain. Other States, such as Cyprus, Malta, Ireland or Luxembourg, are opposed. At the Belgian level, you had estimated, at the end of last year, that "the devil was hiding in the details", even though "the basic idea is very healthy". Other European Member States had been reserved, in particular because they wanted the problem to be dealt with at international level, within the OECD or the G20. However, in tax matters, the adoption of new European legislation requires unanimity among the 28 members. Jean-Claude Juncker would like to change this with a qualified majority on issues related to digital and its taxation. The coming year will obviously be very important in this area. We're going to have to make decisions in connection with these digital giants. Increasingly, they have an impact on all aspects of our life and society. It is therefore normal that they should also be able to contribute fairly to the financing of society, of social security, of a whole series of goods that we have. This is not the case today, a situation denounced by many countries. Minister, what is Belgium's official position on the French proposal to tax GAFAs on their turnover generated in each European country? Do you intend to support this initiative? The benefits of such a tax could, for example, finance a fund dedicated to the digital transition, in order to make it more inclusive and create sustainable jobs in our regions. If you remain lukewarm or not yet convinced by this French initiative, what other proposals or solutions does Belgium wish to put forward so that providers of digital platforms contribute fairly to the financing of the community? In our view, this is not the case today.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u14	Mr Vanden Burre, the issue of taxation of the digital economy is taken very seriously by Belgium and receives the necessary attention from its technical representatives. Aware of the growing importance of digital economy issues for the national tax base, Belgium welcomes the European initiative in this area and is following with interest the ongoing work and reflections, both within the OECD and within the European Union. Belgium supports the conclusions of the Council of the European Union in December. The definition of new international tax standards for the digital economy must take place, first and foremost, at the multinational, G20 and OECD levels. An accumulation of unilateral solutions by different states could be potentially harmful, both fiscally and economically. We await the European Commission's proposal, scheduled for the end of March 2018, and support Commissioner Moscovici's intention to find a solution at European level before the end of this year.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u15	I thank you, Minister, for this somewhat half-raisin response, if I may say so. Indeed, you welcome the initiative, but at the same time you say that it would be better to act at the OECD or the G20 level. You do not really comment on the possibility of taxing turnover as proposed by France. I really want the government to have more voluntarism on the file. We can't move on by ourselves, for sure. We're aware of that. Even if we can do things at Belgian level, I think that here, for a tax on turnover in a global way, on these content providers and digital providers, imagining that Belgium can move forward alone does seem a bit utopian to me, but we can have an influence at European level. I ask you to be more proactive, at least in terms of having a fair contribution from their economic activities to fund the common good or the community. Is this turnover tax? This seems to us a very interesting track at the level of Ecolo-Groen but we could obviously imagine something else. What is certain is that the current situation is completely unbalanced. My group and I personally have doubts about a resolution in the G20 or the OECD. It is already complicated at European Union level. In other broader international forums, this seems all the more complicated. As soon as we have the European Union's position or final proposal, we will come back with our questions on this fundamental issue, which indeed deserves the attention of all, and above all political will.
