Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-05-15-54-commissie-ic893x	ParlaMint-BE_2018-05-15-54-commissie-ic893x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-05-2018	2018-05-15	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2018-05-15-54-commissie-ic893x	ParlaMint-BE_2018-05-15-54-commissie-ic893x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-05-2018	2018-05-15	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-05-15-54-commissie-ic893x	ParlaMint-BE_2018-05-15-54-commissie-ic893x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-05-2018	2018-05-15	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	VandaeleWilfried	Vandaele, Wilfried	U	-	
ParlaMint-BE-en_2018-05-15-54-commissie-ic893x	ParlaMint-BE_2018-05-15-54-commissie-ic893x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-05-2018	2018-05-15	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	TemmermanKarin	Temmerman, Karin	F	1958	
ParlaMint-BE-en_2018-05-15-54-commissie-ic893x	ParlaMint-BE_2018-05-15-54-commissie-ic893x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-05-2018	2018-05-15	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	VandaeleWilfried	Vandaele, Wilfried	U	-	
ParlaMint-BE-en_2018-05-15-54-commissie-ic893x	ParlaMint-BE_2018-05-15-54-commissie-ic893x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-05-2018	2018-05-15	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	BothuyneRobrecht	Bothuyne, Robrecht	U	-	
ParlaMint-BE-en_2018-05-15-54-commissie-ic893x	ParlaMint-BE_2018-05-15-54-commissie-ic893x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-05-2018	2018-05-15	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	deLamotteMichel	de Lamotte, Michel	M	1955	
ParlaMint-BE-en_2018-05-15-54-commissie-ic893x	ParlaMint-BE_2018-05-15-54-commissie-ic893x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-05-2018	2018-05-15	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	BothuyneRobrecht	Bothuyne, Robrecht	U	-	
ParlaMint-BE-en_2018-05-15-54-commissie-ic893x	ParlaMint-BE_2018-05-15-54-commissie-ic893x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-05-2018	2018-05-15	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-05-15-54-commissie-ic893x	ParlaMint-BE_2018-05-15-54-commissie-ic893x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-05-2018	2018-05-15	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-05-15-54-commissie-ic893x	ParlaMint-BE_2018-05-15-54-commissie-ic893x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 15-05-2018	2018-05-15	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MaesAnnemie	Maes, Annemie	U	-	
