ParlaMint-BE_2018-04-18-54-commissie-ic868x.u1	Questions Nos 24258 and 24409 by Gautier Calomne are transformed into written questions.
ParlaMint-BE_2018-04-18-54-commissie-ic868x.u2	Minister, Knack magazine conducted a survey in March on the remuneration of notaries in the Flemish Community. The author analysed the financial accounts of forty notaries and showed that their gross monthly remuneration varied between 60,000 and 160,000 euros. The Federation of Notaries reacted: it did not contradict the veracity of the figures, but stated that these were exceptions and that the average remuneration was rather around 16,000 euros. At a time when the inhabitants tighten their belts to pay their rent or to feed themselves, these incomes seem, despite this correction, quite high. The observation is very simple. For 35 years, the price of real estate has increased considerably: up to 15 times in the case of a house (between 1975 and 2016); rather ten times in the case of apartments. It is therefore mathematical: notaries, who charge their fees by applying legal rates per instalment, earn more when a property is sold more expensive. At the same time, computerization and administrative simplification have considerably eased their task, but also shortened the processing time for real estate transactions. Minister, what is your assessment of the cost of notarial acts? In the light of technological developments, do you not think they are disproportionate, particularly with regard to the acquisition of real estate? As you know, notaries benefit from a monopoly. Some countries have decided to put an end to it. What do you think? Is it not time to put on the table the tariffs of notarial acts, as well as the relevance of the notarial obligation for certain acts? Finally, you want to reform the profession of notary. To do this, you have appointed experts, two notaries. What are their conclusions at this stage? Is it not problematic to entrust a mission of expertise to people who have special interests, whereas the reflection on the future of the profession of notary should be conducted without taboo and give priority to the general interest and that of consumers?
ParlaMint-BE_2018-04-18-54-commissie-ic868x.u3	Mrs Lalieux, as you know, at the end of the year, I wish to submit to the government and Parliament a bill to modernize the legal professions. A reform of the notariat will be part of it. For each profession, I have appointed experts who will send me an independent report, after consultation with stakeholders. Their membership in the relevant occupational group only enhances their expertise. These reports are not a diktat for the government and for myself, but rather a source of inspiration among others, from which I will draw in the development of the bill. The general interest and that of the citizens, i.e. the people and businesses, represent our guiding thread. I've also read about the revenues you're referring to. However, these amounts must be viewed in their proper context and should be balanced. The main thing is that these figures convince me that we must continue to follow the path that this government is already taking. Thus, in the law of 6 July 2017 or "pot-pourri V", it has been provided that the costs and fees of waivers and acceptances of estates in which the liability is greater than the asset, or in which the liability is less than EUR 5,000, must be borne by the notariat. Regardless of the fact that these revenue figures are the result of a booming real estate market in recent years, I am convinced that we can go further through the social cross-subsidization that is included in the tariffs. Thanks to this tariff, the wealthy citizen pays a larger contribution and thus allows free notice and low rates for basic benefits, such as those relating to family law and inheritance law. Quality basic services provided by notaries, which are more accessible to citizens, are only possible through a tariff that allows cross-subsidization. In this regard, I will take initiatives in the coming weeks, in addition to the modernization law that I have just discussed, which is expected to be completed by the end of the year.
ParlaMint-BE_2018-04-18-54-commissie-ic868x.u4	Minister, I heard you were going to do a study. However, this needs to be placed in a more European context. I am thinking of the fact that certain acts require notarial acts. This reflection must still have its place. Do you really need a notary, for example to create an AISBL? We wonder why. A notary must also be called upon to enter into a marriage contract. One wonders why the notary should do so, instead of members of other legal professions. I hope that you will incorporate this into your reflection, as well as the questioning of the monopoly of notaries, which they always have in fact. I know this only concerns part of the real estate costs. There are other areas where the Regions have done considerable work. In Brussels, sales have increased by thirty times in fifteen years, and notary fees have also risen as a result of the legal increase in the 1980s. It is easy to review the legal rates. This does not require a major reform of the notariat. Legal rates could be redone. I invite you to look at the bill I made. I believe that you can act before your great reform affecting all the legal professions.
ParlaMint-BE_2018-04-18-54-commissie-ic868x.u5	Following my previous questions on the ground sleepers in the various prisons, I was informed that thirty bunk beds were immediately placed in the Hasselt prison, where there were some beds to deal with the problem. The area of these cells is calculated on the basis of individual use; therefore, they are too small to accommodate several persons. Can you guarantee that the placement of bunk beds is a temporary solution to closed wings such as Bruges and Leuven, being manned and occupied again? Wouldn't it be better to reopen the prison wings closed due to staff shortages, instead of placing bunk beds in single cells? To man the wings, of course, you need staff. In the agreement with the trade unions that you concluded at the end of February 2018, you guarantee a framework of 6 825 full-time employees. Has that figure been achieved at the moment? How many full-time employees are currently employed? Is it clear when the closed departments in Bruges and Leuven will reopen?
ParlaMint-BE_2018-04-18-54-commissie-ic868x.u6	First of all, I would like to stress that the placement of bunk beds in prisons is a purely humanitarian measure, so that, in the case of overcrowding, prisoners can be accommodated in humanitarian circumstances, now and later if necessary. If we gave the placement a temporary character, it would mean that we could top the population figure in absolute terms, which, of course, is not possible for an arrest house. After all, the influx of prisoners into custody does not fall within the sphere of influence of the penitentiary administration. Consequently, the presence of accused persons in detention homes is subject to significant fluctuations and the placement of bunk beds is one of the material initiatives to deal with these fluctuations. We are, of course, making every effort to recruit additional staff in the short term, so that the closed wings can be put back into operation. Today, 6 732,9 full-time staff work in prisons under the surveillance framework and technical framework, or 98,6 % of the established frameworks. Last month that was 98.4 % or 6 715 employees. Other 44 confirmed their entry into service on 1 May 2018. In addition, Selor has recently announced new selection procedures for penitentiary security assistant. I therefore believe that the objective of Protocol 464 will be achieved. The reopening of the departments in Bruges and Leuven will be the logical consequence of this.
ParlaMint-BE_2018-04-18-54-commissie-ic868x.u7	So, Minister, can I assume that the placement of bunk beds is not a temporary solution?
ParlaMint-BE_2018-04-18-54-commissie-ic868x.u8	Mrs Lambrecht, those bunk beds don't have to be full. I don't know if you understand anything about prison management in this country. There is no numerus clausus for prisons. The only thing a country can do is maintain significant overcapacity, so that, if there are too many judgments, it can accommodate those concerned, thanks to this overcapacity. You are aware that at the moment we do not have overcapacity, because we do not have a number of new prisons built, and that, on the other hand, we are faced with undercapacity. I am therefore busy at the moment trying to get the prisons in Haren and Dendermonde built.
ParlaMint-BE_2018-04-18-54-commissie-ic868x.u9	Minister, all I understand is that people on the ground have to sleep in cells on a small surface. You can explain that. You have to explain that, too. That's your job. That is very bad for the staff who have to work there and that people need to calm down. I hear signals that this is very difficult. My question was whether you are aware that the area is too small for the bunk beds to be placed. This is very bad for the staff and for the inmate, who must be prepared to return to society under these conditions.
ParlaMint-BE_2018-04-18-54-commissie-ic868x.u10	Mr President, Minister, I recently asked your colleague the Minister of the Interior about motorists driving under the influence of drugs. While the phenomenon is not yet recognized as that of driving alcohol, it remains an issue of concern. Indeed, the number of drug-positive controlled persons has crossed the mark of 6,000 cases in three years. In addition, the proposed tests for drug use appear to be simpler than urinary or blood tests. They allow police officers to be more autonomous and less dependent on doctors. The acquisition of new tests would further increase the number of checks and thus increase citizens' awareness of the dangers of drugs driving. Your colleague, Minister, informed me that between 18,000 and 36,000 salivary tests were available. Could you confirm that number? Are the tests available in sufficient quantity? Do they cover all needs? If this is not the case, how can we manage the acquisition and distribution of drug testing devices?
ParlaMint-BE_2018-04-18-54-commissie-ic868x.u11	Mr President, Mrs Ben Hamou, 21,802 salivary tests were purchased in 2017 for an amount of 261,238.06 euros, including 7,025 salivary tests for the federal road police and 14,777 for the local police areas. For 2018, €303,068 was requested for the release of credits, which corresponds to all tests on an annual basis. In order to avoid deficits in local police areas, we will do what is necessary to optimize the procurement process. To date, 7,956 salivary tests have been commissioned by the FPS Justice and provided to local police areas and the federal road police. My administration is not aware of any particular deficits.
