ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u1	Question No 27460 by Mrs Fonck is transformed into a written question.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u2	Mr President, Minister, in July 2018, the combined title SNCB and TEC was introduced in Liège and, in a wider area, the title CityPass+ in the Caroloregian region. This title allows - finally - to move within more or less urban perimeters with a single title using the vehicles of the SNCB and those of the TEC indifferently. In this way, Wallonia joins Brussels (where the Jump title has existed for almost 20 years) and the Antwerp and Gantoese agglomerations, where the CityPass was introduced even earlier. Minister, can you give me an order of magnitude of the sales of these new titles since their creation in July, distinguishing the figures for Charleroi and Liège? On the basis of these commercial results, could you tell me whether such SNCB/TEC integration would be possible in the enlarged ER zone in the greater Namur, for example? Thank you, Minister, for your answers to my questions.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u3	Dear colleague, SNCB informs me that between July and September 2018, 1,794 CityPass subscription validations - one or twelve months - were sold in Liège and 129 in Charleroi. These results are therefore very encouraging, particularly in Liège. In the future, consideration may be given to the possibility of extending existing integration zones or creating equivalent offers elsewhere. However, I would point out that the creation of these integrated tariff offers is part of the AnGeLiC project, which concerns the cities of Antwerp, Ghent, Liège and Charleroi, in accordance with the government agreement.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u4	Thank you for your answers, Minister.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u5	Minister, on 23 August the launch of electrification of the 19 Mol-Hamont railway line was launched. This allows travellers from North Limburg to trace with newer equipment with a higher capacity to Antwerp and Brussels. A cross-border connection to Weert is also possible. Work, of course, also causes nuisance. In order to have the electrified rail line operational against the transport plan 2020, there will be a need to continue the work. The long single-track sections on this line also offer little flexibility to carry out an adapted timetable during certain works. I have the following questions, Minister. Will the passengers on the Mol-Hamont line be affected by the electrification works? Will an adapted timetable be implemented to enable the works to be carried out? What is the state of play in achieving a cross-border passenger connection towards Weert? Of course, my question has been asked a while ago, so we are a little overtaken by reality, but I look forward to your answer.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u6	Minister, I would like to join Mr Lijnen and have a few other questions. As far as the Mol-Hamont section is concerned, are the works on schedule? Will the 2020 deadline be met? I ask the question mainly because there is a European subsidy of 40%, if the project can be realised within the foreseen timeframe and within the budget of EUR 42 million. As regards the Hamont-Weert route, I refer to your reply during the discussion of your policy paper. You said at the time that this should be looked at in terms of operational and financial feasibility, together with the Netherlands. Is there any provision for additional studies and how much budget will be allocated to them?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u7	Ladies and gentlemen, the L19 electrification investment is estimated at EUR 47.5 million, of which 40% will be subsidised by Europe if the works are completed by the end of 2020. This is the first new rail project following the re-launch of the GEN works of the multi-annual strategic investment plan to be implemented under the federal budget in the multi-annual strategic investment plan. Infrabel's technical teams will be working at night from 10 p.m. to 5 p.m. for the construction of three new traction substations, the installation of 800 new overhead lines and the roll-out of 200 kilometers of new cables and wires over 33 kilometers. As a result of this work, Infrabel requests an exit from the entire railway line from Mol to Hamont between 10:00 p.m. and 5:00 a.m. on weeknights from Monday evening to Saturday morning. During the weekend there is no consequence for the travellers. From Monday evening to Friday evening, three trains from Antwerp will have to be limited to Mol, in particular IC 4320, IC 4321 and IC 4322, arriving in Mol at 21.02 hours, 20.02 hours and 23.28 hours respectively. A bus service to Hamont or Neerpelt is provided for travellers arriving in Mol beaches. In the morning, the first train with departure in Hamont can continue to drive at 5.28 h, albeit with a timetable that has been postponed for two minutes. The departure from Mol to Antwerp remains unchanged. For a possible cross-border passenger connection to Weert, SNCB will first have to carry out a preliminary investigation as required by the management contract, provided that De Lijn is effectively electrified on Dutch territory. Infrabel informs me that for her part little infrastructure work is needed and that a number of structural studies and analyses are ongoing in the Netherlands.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u8	Thank you, Minister, for your reply. Did I hear correctly that on the bus connection that replaces the train connection there is a difference of two minutes? So the passengers are no longer than two minutes away with the bus connection? For the three trains there is always a bus connection? All right, thank you.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u9	Mr Minister, the Belgian citizen may, if he so wishes and against remuneration, request that the registration plate of his vehicle be personalized. The Mobility and Transport FPS has simplified the application procedure for personalized license plates. Simply submit an application via the website of the SPF Mobility and Transport and then request the registration of the vehicle via WebDIV. On the website www.mobilit.belgium.be is a list of prohibited and authorized combinations. It appears that, in some cases, the rules on the different possible combinations are respected and that, nevertheless, the meaning of this combination may be of questionable taste, even to make clear reference to racist movements, for example. Minister, in addition to respecting the rules in terms of authorized combinations, does the administration conduct a case-by-case analysis of applications? Are filters in place?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u10	Dear colleague, every request for a personalized plate is actually analysed by a staff member of the Directorate for Vehicle Registration (DIV) according to the following procedure: the citizen who wishes to apply for a personalized plate first checks whether the desired plate is still available via the online application of the Mobility and Transport FPS provided for this purpose. It can then request the combination available via the same application. The application then comes to an IVD employee who analyses the combination and validates it after a positive assessment. The applicant is notified of this and at the same time receives an invitation to pay. If the IVD employee has not validated the combination, the applicant is also informed. Furthermore, in the event that an offensive plate has nevertheless been granted by the IVD, the regulation provides that the IVD may recall and delete any combination of which the offensive, insulting, racist or xenophobic character of which has been subject to a complaint, without any compensation being required from the holder. Such a case has been reported to me recently and the regulations in force will be applied.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u11	Minister, thank you for this information and clarification. I had seen a combination of plaques on Facebook, which interlocked me. I wanted to know whether this was an error and the procedure in that case.
