ParlaMint-BE_2018-07-10-54-commissie-ic947x.u1	Question No 25121 by Mr Emir Kir is transformed into a written question.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u2	Mr President, Minister, I come back to a matter that has already been referred to in committee. This is the reimbursement of the linguistic bonuses due to the Brussels municipalities for the agents who passed the Selor test, the bilingualism test required according to the type of function they assume. Verification carried out, all Brussels municipalities have not benefited since 2015 from the payment of the premiums provided according to the regulations. When asked in committee in November 2017, you stated that "the government of the Brussels Region has an important responsibility in this regard because it is up to it to ensure the legality of the appointments of staff members in the communes and CPAS" and you confirmed the refusal of reimbursement on the grounds that "services pay linguistic bonuses to staff members who do not have a Selor certificate, whereas the Brussels government's decree of 29 September 2011 provides that regional services can only pay a linguistic bonus to staff with a Selor certificate". You concluded by stating that "applying the law providing that the federal state can only repay the language bonuses paid to officials who actually have a Selor certificate". I must say that I have the proof, particularly in my communal administration, that the agents for whom we ask for payment of premiums have the Selor certificate and that we do not receive the premiums announced. I would add that, in the meantime, the Constitutional Court has annulled the legal provisions which reserve exclusively to Selor the competence to certify the knowledge of the other national language. There is now an important legal vacuum that federal legislators must fill. And in any case, you will no longer be able to consider, in the light of the ruling of the Constitutional Court, that only Selor can attest to the knowledge of the other national language for the agents who are subject to the bilingualism regime. It is therefore difficult to understand your argument, which seems to completely ignore and the scope of the Constitutional Court's ruling and the legislation in force. I ask you, minister, if you are finally considering unlocking the amounts of the premiums to be paid for agents who have met the requirement of knowledge of the other national language when the conditions are imposed on them by law. If so, within what time frame?
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u3	Mr Maingain, if there are problems with the Brussels local authorities because there has been no reimbursement of language allowances, these problems have only been caused by the fact that these Brussels communes have recruited, despite language laws, staff members who do not have a language certificate. In addition, some municipalities still grant language allowances to their staff members who do not have a language certificate. In my view, the Brussels government has a great responsibility but, of course, the municipalities also have their responsibility. As regards the reimbursement of premiums, I can inform you that I am organising a consultation with the Brussels-Capital Region. On a provisional basis, I have not yet received a correct or complete route or data from the Brussels government. However, I am organising a consultation with the Region to unblock the situation. As soon as I have the complete data, I will, of course, establish a royal decree to reimburse the linguistic premiums.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u4	I do not know whether to interpret the minister's words as a glimmer of hope! First of all, I support being very clear: I do not ask for reimbursement of premiums for agents who have not met the second language test. I do not believe that there is a commune that justifies the Region's payment of bonuses for agents who did not meet the second language test. On the other hand, Minister, you cannot ignore the ruling of the Constitutional Court, which has clearly confirmed the case law of the Court of Justice of the European Union as meaning that Selor can no longer be the only certifying body for the knowledge of the second language. The municipalities, on the basis of this ruling of the Constitutional Court, are entitled to consider that other certifiers, pending a more explicit legal provision, may be recognised. But this is a recent fact because the Constitutional Court's decision dates from no more than one year. It is certainly not for previous years that the municipalities would have taken into account the certifications established by another body than Selor. I must admit that one thing is to know whether the communes are able to find the staff members who meet the bilingual requirements when it is well known that they are facing a very serious difficulty in doing so. Another is to know who is entitled to the premium. The latter are only agents who have met the requirement of knowledge of the second language. As such, payment must be made. Thank you.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u5	Mr Vice Prime Minister, during the discussion of the policy paper for 2018, you informed us that the core tasks analysis should be an integral part of each mandate and letter of assignment. As a realisation horizon for the core tasks plan, 2018 was established. The year 2018 is now halfway and for certain yards the capacity and/or budgetary profit is already clear. You already reported some results, not including the Security Directorate (DAB) project. From the answers to previous questions from colleagues Degroote and Poncelet we learned that nine yards have already been completed but that this resulted in only a capacity gain of 98 men. The target was a profit of 2,500 men. We are talking about a reorientation of human resources towards the core tasks of the police of 850 full-time equivalents, 450 for the local police and 400 for the federal police. The six-month training for the SAB started on 1 March and will be spread over a period of one and a half years. The success rate of the selection is currently low, about 8 %. Every effort shall be made to comply with the deadlines, both at staff level and at work processes, infrastructure, logistical needs, the taking over of the missions of Defence and the BAC Security Corps. Last Thursday, you recorded in plenary that we are on schedule with regard to the SAB. I have the following specific questions. Firstly, can you tell us what the current state of play is with regard to the implementation of the core tasks plan for the 19 different yards? What capacity and budgetary gains do we have or expect? How does this relate to the original objectives? Secondly, how many candidates started training for the SAB on 1 March? What is the status of infrastructure and logistics needs? Thirdly, what is the current state of play in the forecasted second wave of the core tasks plan? What capacity and budgetary gains do we have or expect from it? Finally, can you confirm once again that the core tasks analysis should be an integral part of each mandate and of each letter of order and therefore also for the period 2019-2024?
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u6	Mr President, Mrs Lahaye-Battheu, I have often offered the committee a thorough and comprehensive explanation of the state of play of the core tasks plan and the 19 yards. After all, the time frame for questions is rather short. I can only offer that, but I note that we do not accept it and therefore have to provide partial information in response to questions. With regard to your first and third questions, I refer to the most recent answer I gave to Mrs Poncelet on 26 April and to which you yourself referred. In this I indicated that 9 out of 20 yards have been completed. Since that answer to that written question, there has been a lot of evolution, especially in the file of the SAB. There are still a number of yards whose implementation should be profitable in the long term, such as the rationalization of police deployment for bailiffs and the complete electronic handling of the minutes, where I and my colleague Koen None hope to find a solution to a legislative initiative. The latter is currently being implemented by, among other things, the Crossborder project which is already operational. It still knows a few children's diseases. Some projects have not immediately led to a reduction in staffing as the redrafting was accompanied by an increase in workload. This applies to the no longer fully unsubscribe tabs. When one reduces the write-out to a minimum, but meanwhile there are so many more CVs, the sum of them gets close to what it was before. There are indeed savings and higher revenues. For example, the certification of dogs yields between EUR 200 000 and EUR 300 000 per year. Overall, after full implementation within the federal police, some EUR 573 000 of operating costs will be reoriented. The studies are currently being carried out for the outsourcing of HRM and logistics. Those yards are also ending now. We have always said that the SAB is fully operational by the end of 2019. The first 58 aspirants started training on 1 March and will be operational on 1 September this year. So far 183 aspirants have started training. In March a training started, but meanwhile three more started: 85 on the campus of Jumet, 33 on the campus of Vottem, 40 on the campus of Ghent and 25 on the campus of Wilrijk. Currently, priority is given to the sites whose implementation of the operational staff is expected by the end of the year. At the same time, the research and development of housing solutions will continue for the next implementation phase. In the four federal police schools of Jumet, Vottem, Ghent and Antwerp, training as a security agent has started. The planned additional training at the police schools was accompanied by the search for additional infrastructure to provide the best possible training. As regards the infrastructure at the place of work, work is being carried out on-the-spot. In all arrondissements, the best accommodation is examined separately. For the infrastructure made available for the monitoring of nuclear sites, negotiations with the nuclear sites are in the final phase. Some of the buildings on some sites are already occupied by the staff. The logistical needs for the candidates starting their training are listed and financially covered on the basis of a detailed estimate and budgeting approved by the various budgetary control authorities. The purchase orders for individual and collective equipment, armament, vehicles, furniture and consumables are in progress for phase 1 and partially for phase 2. For some orders there is a delay in delivery or a shortage in stock. These are matters that are closely followed. The purchase for the remaining part of the second phase of these logistical needs shall be approved by the financial control authority. So that's all going its way. Indeed, I remain convinced that an increase in efficiency should be part of every letter of order. I will look, together with the new Commissioner-General, at how we can incorporate this into his objectives. But, of course, we must also be realistic about the feasibility of this. New insights have also emerged from this key task debate at a certain point. Let me give you an example. At some point, the question has arisen as to whether we should outsource the police's medical leg. The question was why the police should employ doctors. That was one of the 20 yards. Further study work has shown, and we have therefore decided to do so, that we could use this medical leg better for the excessively long absence. Overzealous may be a wrong word, but the long-term absence from the federal police is double the average among officials. If one can reduce that to normal proportions, one has a huge profit on capacity and budget. We have opted to use that medical leg for that purpose and therefore not to outsource. He gets a specific new assignment, namely getting control of those long-term absences. A decision is taken at some point. The study work will then go further and it will be noted that a reorientation is needed. Same story with our recruitment process. We wanted to outsource the HRM department. We have used it to thoroughly adjust our recruitment process, because that also left serious shortcomings. A core task project is started at a certain point but on the way there are progressive insights and guidance. My offer remains valid to look at the 20 yards in detail in committee. I can only suggest that.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u7	Thank you, Minister, for the state of play. I suggest that we discuss with the chairman of the committee how we can match your offer. This will be before after recess.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u8	As chairman of the Committee on the Interior, I fully agree with that, so I would immediately ask the committee secretariat to order the explanations of those 20 recruits in the key tasks debate in consultation with the permanent committee chairman.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u9	Mr President, before I ask my question, I insist that you inform Mr Nollet... no, that's a joke. I do insist on paying tribute to all those staff members working day after day, week after week, to reply to the questions put by Mr Nollet. If the chairman of the committee asks what the cost of answering all these questions is, then I am prepared to proceed immediately to my question without waiting for Mr Nollet.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u10	And what benefits?
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u11	The cost-benefit analysis does not even need to be calculated, I think. Mr Minister, my question concerns the cost of cleaning up drug labs. The parquets of Antwerp and Limburg have a directive in the making on the cost of this action. According to the public prosecutor, these costs should now be seen in the context of public security and therefore no longer as legal costs. This would also mean that the cost of the disposal and treatment of chemical waste associated with the disposal of drug labs would be borne by the administrative authorities and no longer by the judicial authorities. In my question, I also refer to the recent amendment of the Royal Decree of 10 June 2014 concerning the tasks and tasks of Civil Protection. Apparently, it is not entirely clear who will be responsible for these costs from now on. It goes without saying that when the payment is passed on to the local authorities, this will cause major problems. A prominent mayor of your party from South Limburg has had a lot of problems. It will only happen that a number of drug labs are found in a border municipality and that municipality has to pay for it. Then we are not even talking about the treatment of chemical waste or soil remodelling. Minister, where will these costs end up? Is that in the municipalities, or at least in the assisted areas, in the Civil Protection or in the regional services when it comes to soil pollution? What is the role of OVAM in these matters? My question has been asked. I'm not going to elaborate on drug labs unless there's an analogy in terms of danger in cleaning up cannabis plantations, but that's not the subject of this question. I can come back to that at a later date if necessary.
