ParlaMint-BE_2018-11-13-54-commissie-ic996x.u1	We come to the oral questions. Mr. Clarinval arrives a little later. Mr. Thiébaut is not present.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u2	Mr Minister, at the beginning of August, La Libre Belgique reported to us from the Minister of Justice that the renovation of the Brussels courthouse would not be completed until 2040. He added that the total cost of the operation would amount to EUR 100 million. While this new 20-year deadline was already incomprehensible, we learned in September that part of the ceiling of the registry of the same courthouse had collapsed. Although fortunately no injured person is to be deplored, the material damage nevertheless seems considerable and adds again to the deplorable state of this major building of our heritage. I would therefore like to ask you, Minister, the following questions. What are the plans of the Régie des Bâtiments to finally undertake the complete renovation and a sustainable and structural security of this building? Do you confirm the deadlines and costs proposed by the Minister of Justice? What is the extent of the damage caused by this collapse? When will the work be undertaken to ensure the safety of the occupants of the courthouse?
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u3	Mrs Lalieux, my answer will be a little more extensive, because the building in question deserves it. It was mismanaged for years. The scaffolding has been installed for forty years.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u4	I have never seen the courthouse without scaffolding.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u5	There you go. It seems to me that, throughout this period, the PS has exercised a lot of responsibilities, but nothing changes. The current government, on the other hand, has made a difference. The Justice Palace requires the Government of the Buildings to adopt an overarching approach, including the restoration of the façade. The study, which includes the complete restoration of all facades, has started. The front façade comes first. The study and work on the façade will be completed by 2021 at the latest, unless unforeseen circumstances occur. The facades should be completed by 2027. In short, we are doing a study on the façade. Then we start the works and make a study of the second façade, while the works of the façade are still in progress, and so it goes on. According to the planning resulting from the recently launched study, the end of the facades would be by 2030. Then the theories would disappear. In the memorandum of 7 July 2017 of the Council of Ministers on the appointment of the study team for the restoration of the facades, a publication in June 2017 was assumed. However, the dossier had to be re-examined by the new public procurement legislation, which allowed publication to take place only at the end of September, i.e. three months later. The opening of the tenders took place at the end of November 2017. The file was recorded by May 2018, and after the standstill is served at the beginning of July 2018. The study is therefore in progress since early 2018. The time required to study and restore each area was estimated to be three and a half years per area. It has also been foreseen that, starting from phase 2, the various studies of the different areas will be able to follow without waiting for the completion of the work concerned. This would give the following schedule: - Zone 1, Poelaert Square side facades: 2018-2022; - Zone 2, the fronts on Wynants Street and the base of the dome: 2022-2026; - the street-side facades at Les Laines: 2024-2028; - the facades on the Rue des Minimes side: 2026-2030. The overall cost of restoration of facades and studies is estimated at €80 million, including VAT. With regard to the contribution of the Poelaert Foundation to the future development of the courthouse, I wanted to point out that the decision taken by the Council of Ministers in 2016 to allocate the entire courthouse to the services of justice, not to a shopping centre or other farfetched idea, fully corresponds to the aspiration of the Poelaert Foundation to upgrade the courthouse. The renovation of the parking ramps is one of the elements that must be taken into account in the Region's decision on an application for an environmental permit to be submitted jointly by the Régie des Bâtiments and the SPF Justice. In addition to the "façades" project, since the decision of the Council of Ministers in 2016, a number of work has recently been carried out or started. First, the entrances were secured. The main entrance to Poelaert Square was with the street scan. Two separate entrances were introduced, one for the public, with the scan street, and the other for magistrates and staff. There is also an entrance for street staff in Les Laines. This represents an investment of approximately €1.8 million, including VAT. This is the investment made by the Régie des Bâtiments. The FPS Justice is also investing. New offices for the correctional registry of the Dutch-speaking court of first instance have also been established. To this end, former bpost premises have been renovated. These offices have been operational since the end of 2017. This represents an investment of EUR 463,000. In addition, the flat roofs of the courthouse, with a surface area of 20,000 m2, have been replaced. This was done in two phases: 2006-2010 and 2011-2015, with an investment of €4 million. There is also work in progress. The works for the boxes in the various courtrooms represent an investment of €4.3 million, excluding VAT. Four new highly secure courtrooms will be set up to deal with criminal cases. In one of the courts of the courthouse, a volume of the 50-60s was destroyed to be replaced by a new modular volume in which these four rooms will be fitted out. Traffic lanes for the public, magistrates and detainees will be completely separated from each other. The work will last about a year, until the end of 2019. Work is also under way to restore and equip former rooms of the Commercial Court for the Registry of the Court of Cassation. The work is scheduled to be completed by the end of 2018 and the investment is €8 million. As regards the damage to the false ceiling of the registry of the Court of Cassation, it has been found that they result from infiltration of water, itself caused by a descent of blocked rainwater. In order to ensure that other problems of run-off from roofs will not yet occur, particular attention has been paid to the proper maintenance and cleaning of roof channels and drains in a timely manner, as well as to the good condition of water discharges. On this last point, a camera inspection of all evacuations and a monitoring of the maintenance of channels, drains and roofs are planned in the near future. As the first camera inspection tests of the water drains have been successful, the planned inspections will take place in the next few days. As a security measure, it was decided to close the entire area to judicial officials and the public. In order to determine the size and accuracy of the repair to be arranged, it is now necessary to wait until the ceiling is completely dry. At first glance, the damage seems less severe than expected, since it is actually a piece of plaster moulding strip that has fallen. The length of the piece is in the order of one meter.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u6	Minister, thank you for your precise response to the timing. I will not fail to read it again in the transcript. When was the response to the transplant limit sent to you? It was destroyed in September and I do not know whether, since then, the work has been carried out because it has not been raining in the meantime.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u7	[[...]]
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u8	I guess it'll be fixed very quickly.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u9	I would like to say that this is the responsibility of the occupant of the building and not of the Régie. The occupant sometimes tends to forget it.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u10	Maintenance work is required on a regular basis in buildings. Otherwise, it leads to disasters, as is the case at the moment. But, as I understand it, the work to repair the ceiling has not yet been carried out.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u11	Mr President, it is well known that as part of the NATO summit, a prestigious meal was organized in the magnificent premises of the Royal Museums of Art and History of the Cinquantenaire. In order to do so, work was urgently commissioned in view of the outdated facilities. Minister, did the Régie des Bâtiments proceed on this occasion with work just in view of this prestigious dinner? If so, what was this work and for what amounts? It is particularly important to note that one can invest quickly when it comes to prestige, but when it comes to maintaining the building in condition, it becomes difficult.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u12	Mr President, Mrs Lalieux, the budget for the renovation work carried out by the Régie des Bâtiments in connection with this event amounts to EUR 544,500. The necessary appropriations have been made available to the Régie through the interdepartmental provision. They do not therefore come from the credits of the Régie stricto sensu.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u13	Minister, thank you. Half a million were indeed released quickly just for the prestige of an evening with this NATO summit. It is a pity that this sum and other sums are not used to maintain this important and very beautiful building, but it is in good need of it.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u14	Mr President, Minister, this issue dates back to August last year. A police operation took place on Monday, August 20th at the site of the future Haren prison to evacuate activists opposed to the creation of this mega-correctional complex. From the beginning, Ecolo-Groen strongly opposes this project to receive 1,190 detainees on 116 000 m2 in the north of Brussels and denounces the total lack of transparency in the procedures, so far in any case. The police operation of 20 August stopped us because you promised not to start work until all legal remedies against the project were exhausted, and the contract with the Cafasso consortium, designated for implementation, was not signed. You confirmed this to me in response to a question I asked you on June 19. I will not read your answer here, but in short, you said that you would wait for the last permits, especially for the Keelbeek procedure, for the name of a path that has been diverted. I also come to the contract with the Cafasso consortium. On June 19, I asked you about this case, and you confirmed that there was no contract yet. On 18 July, the Régie des Bâtiments issued a communiqué announcing the definitive designation of Cafasso for the execution of the works. Thus, a contract seems to have been signed. If that is the case, I would ask that it be made public, as you committed yourself to it in committee, and that, as a result, Members and citizens have access to it to understand what has been done and what are the financial and other conditions of this contract. Minister, I would also like to ask you the following two questions: Why did you order the evacuation of the land with a view to starting the construction of the prison when last August the court decision had not yet been issued concerning the last suspensive remedy, that of the Keelbeek? My second question is to ask you to make public the contract signed between the Régie des Bâtiments and the consortium Cafasso.
