ParlaMint-BE_2018-04-17-54-commissie-ic863x.u1	Question No 23827 by Mr Stéphane Crusnière is postponed.
ParlaMint-BE_2018-04-17-54-commissie-ic863x.u2	Mr President, Minister, I learned in a press release that the Council of Ministers agreed to the new studies of the Defence Science and Technology Research Program 2018. This research program currently includes 73 studies at various Defence Research Centres and the Royal Museum of Army and Military History. Important collaboration with Belgian and foreign academic institutions is also being implemented. In addition, six new internal studies at the Royal Higher Defence Institute have recently been planned. Minister, what is the area of these six new studies? What is the budget for the 2018 research and technology programme compared to previous years? What is the place of the Royal Military School in this program? With which universities does Defence collaborate? In this context, are civil-military synergies at the industrial and European levels being sought?
ParlaMint-BE_2018-04-17-54-commissie-ic863x.u3	Mr. Chairman, Mr.Chabot, in 2018, the six internal studies at the Royal Higher Defence Institute will be carried out within the Centre for Security and Defence Studies. These studies cover the field of security and defence policy, terrorism and cybersecurity. These areas were selected based on the evolution of the security environment, elements of the strategic vision for Defence, and expertise at the Centre for Security and Defence Studies. The budget allocated to the scientific and technological research programme is EUR 4.624 million and is consistent with previous years. It fully covers the 2018 program. Of the 73 research projects, six are conducted at the Royal Superior Defence Institute, fifty-one at the Royal Military School, eight at the Queen Astrid Military Hospital, three at the War Heritage Institute and five at the various Defence laboratories. As part of scientific research, Defence collaborates with all national universities and national and international research institutes. As part of the synergies, I commissioned the Royal Higher Defence Institute to implement the triple propeller concept within Defence. By definition, this concept involves the establishment of cooperation agreements between Defence, companies, research institutes and the academic world, both at national and international level.
ParlaMint-BE_2018-04-17-54-commissie-ic863x.u4	Minister, thank you for your answers.
ParlaMint-BE_2018-04-17-54-commissie-ic863x.u5	Minister, your strategic vision is to review Defence sourcing and, as a result, outsource certain tasks previously undertaken by Defence personnel. This outsourcing to the civilian sector would, in your view, save 5,000 full-time equivalents (FTEs), which would amount to around 275 million euros. As part of this outsourcing, the white fleet, which currently has six aircraft for the transport of personalities in particular, is likely to disappear to the benefit of contracts with the civilian under a leasing system. Such a change is expected to save between 12 and 15 per cent over the next eight years, if we believe in a television report on this subject. Mr Minister, is there already a precise timetable, including a budget, for the "extinction" of the white Defence fleet? Can you bring to our knowledge the calculation that allows you to achieve an expected economy of 12-15% over the next eight years by using outsourcing? What will be the impact of this announced outsourcing on the staff and infrastructure of this white fleet? Finally, is collaboration with other public services foreseen in this framework, such as B-FAST? Are agreements with civil aviation already under discussion?
ParlaMint-BE_2018-04-17-54-commissie-ic863x.u6	Mr President, Mr Chabot, with regard to small aircraft, namely Embraer and Falcon 900, the transition from a commercial fleet to a service contract is planned between 2018 and 2021. The timing of the withdrawal of the various aircraft is dictated by the large inspections to be carried out on these aircraft. As regards the service contract for the A321, it will be gradually replaced by our participation in the MRTT (Multi Role Tanker Transport) programme from 2020 onwards. The potential savings that go hand in hand with the transition are the result of the combination, on the one hand, of the cessation of maintenance of the current fleet with, on the other hand, the possible revenues resulting from the sale of the current fleet and, on the other hand, the savings in personnel resulting mainly from the outsourcing of maintenance. The technical staff who are now working on the commercial fleet will eventually either leave Defence after a natural departure from the pension or be converted to the A400M with all C-130 personnel. For crews, a number of crews will be maintained in order to be able to fly with aircraft on the service contract. The transition from the A321 to the MRTT could have a positive impact on cooperation with other services, such as B-FAST, due to the greater transport capacity of the MRTT compared to the current A321.
ParlaMint-BE_2018-04-17-54-commissie-ic863x.u7	Minister, as we know, without any consultation and without taking into account the human and budgetary impacts, this government decided at the end of 2016 to raise the pension age of the military, an age that had to be gradually changed to 63 by 2030. Since then, both the military and the unions have been in the unknown. At this time, the situation remains unclear. An agreement seemed to have been reached last October on the categorization of military personnel in difficult occupations. However, today, there seems to be no progress on the issue and there seems to be no determination as to whether being a military is a difficult job. Two points remain unknown and are still worrying our soldiers, namely the determination of the painful profession and the end-of-career measures. Minister, what is the current status of proposals for the end of military careers, particularly with regard to career savings? Are other proposals to improve the end of military careers under consideration? What about the end-of-career measures for members who need to be in-house at the Defence level? Do you have a clearer idea of the potential budgetary and human impact of this decision on your strategic vision?
ParlaMint-BE_2018-04-17-54-commissie-ic863x.u8	Minister, I have already received several signals from the military that the calculation of their pension through MyPension.be is not going smoothly. The years of service as a temporary military would be missing from the career review. One of the soldiers concerned reports that six years of military service, both of himself and of his colleagues, are not to be found on MyPension.be. The missing years are listed by everyone as unknown. The result is that the Federal Pension Service does not take it into account in the calculation. Those concerned are now seeking to regularise their service years on an individual basis, for the time being without success. My colleague Karin Temmerman already asked a question about this to the Minister for Pensions. According to him, the responsibility for this lies with the public employer. The public sector is itself responsible for the transmission of career data. The Minister also indicated that he would consider imposing a sanction on public sector employers who have still not provided their career data more than two years after the deadline set by the Capelo Act. I have the following questions. Firstly, for what reason is the data not passed on or not yet passed on? Secondly, how will you solve that problem? Thirdly, what time will you resolve it? Fourthly, what happens to workers who, if all data are correctly entered, could retire very soon, but who, due to the lack of data, have to work longer? In that case, the end date is not correct. Fifth, should the data be searched manually? Last but not least, how many soldiers have no idea of a proper pension calculation as a result of this problem?
ParlaMint-BE_2018-04-17-54-commissie-ic863x.u9	Minister, on April 4, I was able to read that Defence personnel were dissatisfied with the federal government's agreement on arduous duties as part of pension reform. Currently, military personnel can retire at 56 years of age. With the new pension scheme, they are now expected to work up to an additional seven years. This would increase their retirement age to 63 years or, in the best case, to 60 years if they obtain the highest coefficient of penitibility. A transition period of 20 years would be foreseen. As such, the Minister of Pensions will soon have to negotiate with the social partners in order to find common ground. Therefore, Minister, I would like to ask you the following questions. Will the military function be classified as one of the most difficult careers, or will only certain functions benefit from this status? Have you already quantified the cost of this measure that is difficult to justify for Defence? Similarly, what impact will it have on your strategic vision, both in budgetary terms and in terms of age pyramids?
ParlaMint-BE_2018-04-17-54-commissie-ic863x.u10	Minister, we are following with great interest the negotiations on the concept of hard work, on which we hope a positive and rapid outcome for all members of the military. You know the concern of all ranks of the military about this case. It will also be necessary – I sincerely believe it and have already repeated it – to communicate objectively during the final results of these negotiations. Minister, following the decision in principle of a reform of the military pension system in October 2016 and following the opening of the negotiations on pension reform by the Council of Ministers on 4 April 2016, your strategic unit undertook, in a draft of measures of joint relaxation with the Pensions Office, to study a system of pre-pension leave linked to the specific nature of the military profession. Minister, can you confirm this information formally? I have seen that there is a similar system in other sectors, particularly in Belgocontrol. What is the status of this project within your department? Is a proposal expected in parallel with the negotiations on penitibility, in order to facilitate their progress? Will this proposal be discussed in advance with the representative trade union organisations, just as your colleague from the Pensions has done on easing measures? More broadly, what is the status of pensions for both civilian and military defence personnel? Is a re-evaluation of the member's status envisaged as a result of this possible career extension?
ParlaMint-BE_2018-04-17-54-commissie-ic863x.u11	Mr President, ladies and gentlemen, in order to identify the cause of the problem of the lack of data on MyPension.be, a meeting between the Defence Personnel Administration and the Federal Pension Service took place on 28 March 2018. This meeting showed that the Department of Defense has transferred all the necessary data to the Federal Pension Service in good time. The Federal Pension Service stressed that everyone should direct their application directly to him and not through Defense. Since the date of retirement at the age of the military is independent of the data contained in MyPension.be, the problem cited cannot give rise to a possible extension of the career and cannot give rise to an impossibility of raising the pension. At the Council of Ministers on 4 April 2018, the Government approved a preliminary draft law on the recognition of the tenability of certain functions and amending the military pension system. This preliminary draft contains specific transitional measures for the military. Among other things, it must still be subject to social consultation, including social negotiation within the negotiating committee responsible for military personnel. Taking into account the decisions of 4 April 2018, Defence is currently quantifying the budgetary impact as well as the impact on the parameters of the strategic vision. It is clear that changing the retirement age of members will require a review of different aspects of the military career, starting with the component directly related to the end of the military career. You will understand that it is impossible for me to provide more details until formal discussions with trade union organisations have taken place or are under way.
