ParlaMint-BE_2018-01-31-54-commissie-ic806x.u1	We will start with a question from Mr Bogaert which dates from 3 October last year.
ParlaMint-BE_2018-01-31-54-commissie-ic806x.u2	Madam Minister, according to Belgium's 2015-2018 stability programme, approved by the Federal Council of Ministers on 24 April 2015, Belgium will achieve a structural balance by 2018. Today there are important deviations on the route. Often, arguments to justify a deviation refer to three or six or twelve months earlier, making the analysis very political and less analytical. If we consider the entire period since the government's approval of the stability programme, there can in principle be three reasons for a major deviation. It may, firstly, be a significantly lower economic growth and activity than planned. What were the expected results for 2018 and for the end of the legislature in April 2015 compared to today's forecast for 2018? Has the policy played into this? Secondly, if it is not due to growth, then the differences are due to expenditure or revenue. Over the period 2015-2018, can you indicate where the differences are in terms of growth, expenditure and revenue, and what political attitude do you adopt to this?
ParlaMint-BE_2018-01-31-54-commissie-ic806x.u3	Mr Bogaert, the 2015-2018 stability programme was indeed based on achieving a structural balance by 2018. Over the period 2015-2017, a structural improvement of 0,7 % would be achieved each time, starting from the realisation 2014 as published in April 2015 by the INR. The structural balance for 2014 was estimated at minus 2.8 %. In this way, there would still be a residual effort of 0.6% in 2018. In that scenario, the government went beyond the minimum improvements required at that time under the preventive arm of the Stability and Growth Pact for countries that were no longer subject to the excessive deficit procedure, i.e. an improvement in the structural balance by more than 0.5% per annum. However, the MTO, which was 0.75 % of GDP at the time, would not be achieved. Meanwhile, however, the MTO was revised to 0 % as a result of structural reforms of the pension system. However, at the request of the European Commission, the stability programme shall be updated annually. This must allow the governments of the Member States to take account of new policy impulses, reorientation, reforms, exceptional events or changes in the economic situation. For example, the 2017-2020 stability programme in 2017 assumed that the structural balance would be achieved by joint governments in 2019. The adjustment was due inter alia to the fact that the improvement in the structural balance between 2015 and 2016 was less than expected due to the economic, fiscal and budgetary impact of the March 2016 attacks and the additional costs for managing that crisis and the asylum crisis. It is also necessary to take account of the evolution of the major political orientations and of the new structural measures planned for the end of the legislature. I am thinking, among other things, of the national pact for strategic investment, the tax shift and the reform of corporate taxation. The government's focus is on restoring and strengthening sustainable growth and job creation. We have to recognise that some of the measures taken by the government in this context will only yield their full return in the slightly longer term, while some of them may cost in the short term. As a result, the budget is being reduced more slowly than the government wishes. However, they have the advantage of benefiting our country's competitiveness and not avoiding the recovery of the economy. May I also remind you that the Belgian nominal deficit for 2017 was estimated by the FOD BOSA to be below 1.2 % last November, or a reduction of more than 60% compared to the deficit in 2014, then minus 3.1 %. Budgetary restructuring is essential to protect the next generation. Only a dynamic economy can guarantee the long-term viability of our social protection. Without growth and job creation, a budget cannot remain in balance for long.
ParlaMint-BE_2018-01-31-54-commissie-ic806x.u4	Madam Minister, have I heard correctly that the medium term objective goes from 0.75 % of GDP to 0 %?
ParlaMint-BE_2018-01-31-54-commissie-ic806x.u5	It has been brought to minus 0.5 by the European Commission. That is an advantageous level for us. Because of our fault, that was taken to 0. We started with an MTO of 0.75 % and that has now been brought to 0 %.
ParlaMint-BE_2018-01-31-54-commissie-ic806x.u6	That is not an objective. So we shouldn't improve on MTO?
ParlaMint-BE_2018-01-31-54-commissie-ic806x.u7	The MTO is going to 0. In order to ensure the long-term financing of the State, there must be a balance. That's 0 %. For the pension reform we had to have a surplus in order to guarantee the long-term financing of the State. If we work on the budget lines, we can clean up the finances and reduce the deficit by acting directly on revenue and expenditure. For example, if you reform pensions in the long term, you also improve the MTO, the medium term objective. This means the capacity of the State to take long-term account of the ageing of the population.
ParlaMint-BE_2018-01-31-54-commissie-ic806x.u8	You mentioned nominal minus 1,2 in 2017. How much is that structural?
ParlaMint-BE_2018-01-31-54-commissie-ic806x.u9	That hasn't been calculated yet. I think I remember that it was structuralally minus 0.8 percent in the initial budget.
ParlaMint-BE_2018-01-31-54-commissie-ic806x.u10	In November?
ParlaMint-BE_2018-01-31-54-commissie-ic806x.u11	No. I repeat: -1.2 % structural. We didn't calculate that. We did calculate that in September, for the initial budget of 2018, with other figures for 2017. These are set out in the general explanatory memorandum to the 2018 budget.
