ParlaMint-BE_2018-11-13-54-commissie-ic997x.u1	Question No 26634 by Mrs Cassart-Mailleux is transformed into a written question.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u2	Mrs. Dierick can't be here.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u3	Mr Minister, you are undoubtedly aware of the problem of Ryanair's refusal to pay a flat-rate compensation for cancelled flights during the strike of 10 August 2018. However, I would like to refer once again to Regulation No. 261/2004 of the European Parliament and of the Council of 11 February 2004 establishing common rules on compensation and assistance to air passengers in the event of denied boarding and cancellation or long delay of flights, which obliges air carriers to offer passengers of a cancelled flight the choice between a new flight or the reimbursement of the cancelled flight. The passenger may also request an additional flat-rate compensation of 250 to 600 euros in case of cancellation, depending on the distance of the flight, except if the cancellation is notified at least two weeks before the scheduled departure time or if a place is offered in the event of a slight delay on another flight to the destination which closely corresponds to the original flight in terms of departure and arrival time. However, the air carrier should not pay the compensation if there is force majeure, such as political instability, difficult weather conditions and security risks. On 10 August 2018, Ryanair was suspended, which meant that approximately a hundred flights to and from Belgium were cancelled. The passengers whose flight was cancelled were given the opportunity between booking a new flight or reimbursement of their flight. However, Ryanair refuses to pay the flat-rate compensation of the flights on the grounds that a strike of its own personnel is a case of force majeure. The European Consumer Centre and Test-Achats also dispute the view of Ryanair. According to them, a strike of its own personnel is not a case of force majeure and therefore Ryanair should pay the flat-rate compensation for the cancelled flights. First, the strike of Ryanair's own staff falls within the definition of force majeure, as laid down in Regulation No. 261/2004 of the European Parliament and of the Council of 11 February 2004 establishing common rules on compensation and assistance to air passengers in the event of denied boarding and cancellation or long delay of flights? Secondly, if the answer to the first question is positive, what steps will you, as Minister, take to ensure payment of the flat-rate compensation to passengers for the cancelled flights during the strike of 10 August 2018? In other words, will you join in bourgeois parties? Mr Minister, my third question was not in my written question, but I shall nevertheless ask it. Apparently, the inhabitants of our country have a year to apply for such a flat-rate compensation. That period would be two years abroad, in our neighbouring countries and in Europe. Can you explain, if possible, it may also be written afterwards, if the answer is not prepared, why this time limit is not the same as in the neighbouring countries?
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u4	Mr President, Mrs Lijnen, as you know, I have already taken several initiatives to encourage Ryanair to comply promptly with the rules. For example, in the context of the July staff strikes, I sent a letter to the CEO of this airline. I asked for confirmation that passengers' rights would be respected, including the right to compensation. In my opinion, a strike on its own personnel should not be automatically decided on the existence of exceptional circumstances. In April, the European Court of Justice delivered another judgment in which a wild strike of its staff was not to be regarded as such. In its reply, Ryanair contests this view. It will, of course, ultimately be the court responsible for deciding on this matter. As you will be aware, Test-Achats has brought cases to justice on behalf of the various consumers. The Economic Inspectorate did not find any infringement of the necessary information to the consumer in respect of these cancelled flights. However, this is independent of the assessment of the legality of the alleged reason for refusing compensation. It is the FPS Mobility that is responsible for the follow-up to the European Regulation on Passenger Rights. That is why I also sent a letter to the Minister for Mobility on 28 September asking them to investigate the practices of Ryanair. It is up to him to determine whether coercive measures can or should be taken in this matter. The Economic Inspectorate has not committed any infringement of economic law. You had an additional question about the limitation periods, as did Mrs Lalieux, by the way. I will discuss this issue in depth with both the Minister for Mobility and the Minister for Justice. I will inform you as soon as possible, especially if your information is correct that there are different limitation periods in the different countries.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u5	Thank you, Minister, for your reply. I will also address the Minister for Mobility, asking what he will do. I understand that this case is no longer covered by economic law. This is, of course, a pity for the passengers who were stranded and still want compensation. I hope Test Purchasing is a success for the judge. It would be an important signal if a minister could have been you, but also the Minister of Mobility would have taken part in bourgeois parties. That would be interesting.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u6	Mr President, Deputy Prime Minister, Ryanair's aggressive policy towards its passengers is probably overtaken only by its policy towards its staff. Proof of this is the recent letter sent to customers whose flights were to take place after November 1, 2018. While they had already purchased their plane ticket, the passengers were required to pay a surcharge for their cabin baggage, which was included in the price at the time the ticket was purchased. If the customers refused this additional cost, Ryanair proposed to cancel and refund the airline ticket. This refusal was to be served within 14 days, failing which Ryanair assumed that the consumer's silence was equivalent to his acceptance of the additional cost. In other words, Ryanair considers that it is authorised to unilaterally modify one of the essential conditions of the valid contract, to presume the consumer's agreement to such an amendment and to terminate a contract in the event of a refusal to do so. Such an attitude is in total contradiction with the principles of the right to consumer protection, and more specifically with Regulation (EC) No 1008/2008 of the European Parliament and of the Council of 24 September 2008 laying down common rules for the operation of air services in the Community, which requires, inter alia, that "optional price supplements shall be communicated in a clear, transparent and unequivocal manner". It is clear that the additional cost that Ryanair is attempting to impose on its customers does not in any way meet these legal requirements. Mr President, I would like to draw your attention here to the fact that this issue was tabled in early September. Minister, have your services been informed of this new Ryanair tariff policy? Do you consider it acceptable? Do you intend to remind Ryanair of its obligation to respect the rules of European law? I know that it has been done, minister, but I would like you to tell me, today, what the situation is. What remedies are available to the travellers concerned? In short, I would like to know exactly what is happening following your announcement in the press.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u7	Mr Minister, air carrier Ryanair has amended its general terms and conditions. An important change concerns the clause which states that any debt between the passenger and Ryanair should henceforth be settled by an Irish court. This, of course, means an additional hurdle for consumers to assert their rights to society. Consumer organisations are therefore threatening to take legal action, claiming that this clause is contrary to the law. Ryanair argues, for its part, that an exception is provided for the airlines in international law, which allows this clause. Minister, what is your position on the legality of this new jurisdiction clause? Are you considering measures against Ryanair? If so, which one?
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u8	Mr President, as soon as I was informed of Ryanair's new baggage tariff policy, I asked the Economic Inspectorate to analyse the matter. The conclusion is clear: imposing this new rate on passengers who had previously booked an air ticket is a unilateral amendment to the contract. This is inadmissible. That is why I contacted the airline on 4 September. Two days later, Ryanair confirmed to me that the new conditions will only be applied to passengers who purchased their plane ticket after the announcement of those new conditions. As far as the competence clause is concerned, I have addressed the competent European Commissioner and asked him to take an initiative to refine or clarify European law in this area, so that this can be avoided in the future.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u9	Mr. Deputy Prime Minister, thank you. I imagine that there was no supplement and that no complaint was made to the SPF Economy regarding supplements. At least that's what I suppose: I don't know and I ask for confirmation. It would be desirable for European legislation to be clarified, so that such unilateral changes in contracts by companies that mistreat both their customers and their staff are no longer possible.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u10	If I am not mistaken, Minister, I have not been given an answer to my question on the complaints that must now be brought before an Irish court.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u11	I did not answer your question in full, for which I apologise. It is also perfectly possible for us to file a complaint or file with a Belgian court. There is therefore no obligation to go to an Irish court.
