ParlaMint-BE_2018-03-14-54-commissie-ic845x.u1	Question No 24128 by Mrs Ben Hamou is transformed into a written question.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u2	Minister, pursuant to the Government's agreement, the Act of 7 January 2018 amending the Act of 8 June 2006 regulating economic and individual activities with weapons, and the Civil Code provide for a new period of regularization for weapons subject to authorization. The aim is to remove from illegality weapons which have been authorized by the above-mentioned law and which have not been declared at the end of the transitional period which ended on 31 October 2008. Tens of thousands of undeclared firearms, or even hundreds of thousands, are said to still be held illegally by individuals who, through negligence, but also for lack of information, have failed to regularize their situation. Many of our fellow citizens are concerned. The new regularisation period opened on 1 March and will end on 31 December 2018. In order for it to fulfil its objective of removing all these weapons from illegality, it is of course essential that the information reaches their holders. So my questions are as follows. Is an information campaign planned on the subject? I have seen that a few media outlets have reported on the opening of a new regularisation period and the various possibilities for regularisation. Are you planning another type of communication? This new period of regularization raises many questions with holders who need to regularize their situation. Will the 'arms' file on the FPS Justice website be updated to clearly explain the different possibilities for regularization and the way forward?
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u3	Mr Clarinval, one of the objectives of the law of 7 January 2018 is indeed to bring out as many weapons as possible from illegality. To this end, I have planned to disseminate information as widely as possible through various channels. It is essential that the citizen be informed, in a timely manner, of the changes currently taking place in the law, in a clear and precise manner. A press release was launched to attract public attention in the media. We also made a communication on social networks. The Justice FPS site has been updated. Under the heading "Arms" are detailed information on the new amnesty period, the persons and weapons concerned, the various options available, the procedures to be followed and the period during which they are to be carried out, etc. A link makes it easy to find all the arms legislation currently in force. A booklet will have to be published in both languages, which will be distributed to police stations, provincial weapons services and other places regularly frequented by gunholders, including shooting stands. In addition, some governors have expressed their intention to send letters to known holders but whose weapons have not yet been regularized.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u4	Minister, you are currently modernising the legal professions to which lawyers belong. A text of more than 600 pages was distributed to all lawyers. In the margins of this operation there was a discussion between the Order and the universities about access to the profession and the necessary training for it. There was a discussion between them that involved your cabinet. The universities do not like to include a graduation "attorney" in the five-year programme, nor are they jumping for an extra year as a master after master. This year would not have been subsidised, so the cost would fall entirely on the students and the registration fee would be several thousands of euros. This would create an economic barrier. If there was a training between the master's degree in law and access to the desk, a selection procedure would be created whereby demand is greater than supply. Access to the profession of lawyer is regulated by the legislator. My question to you is: how do you see access to the profession of lawyer and the training for it, who should organise it and when should it preferably take place? The social status of the candidate attorney must also be clarified. This is a problem which has become more complex after the federalisation of family benefits. What solutions do you propose here?
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u5	Mrs Van Vaerenbergh, as a result of the topical questions raised in the plenary session on Thursday 1 March, I explained the way in which the expert report on the future of the profession of lawyer was discussed. The report contains proposals on which the Community Orders carry out an internal consultation. In consultation with the Presidents of the Orders, I expect their response to this report by the end of May. An important theme in the report is indeed training for the profession of lawyer. The experts suggest the path of integrating part of vocational training into university training. This slope is also currently the subject of internal debate within the legal profession. I therefore await the position of the lawyer on this point. However, there has been informal consultation between the experts and the universities. The experts have prepared their report openly with the actors concerned. But once again, I await the views of the Orders before working out this or that piste. It is clear that the universities remain involved in the debate on the training of the lawyer.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u6	Merged Questions No. 24174) by Mrs Van Cauter and others, on behalf of the Committee on Agriculture, Fisheries and Rural Development, on the proposal from the Commission to the Council (Doc. 24265 by Mrs Van Vaerenbergh are converted into written questions.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u7	Minister, we could read in the press that the federal government will pay one in three invoices late in 2017. All the federal administrations together left 266 626 invoices for too long last year. On average, it is already 56 days before payment is made, in 2016 this was 44 days. All these invoices together amount to EUR 1.6 billion. Outlier of all federal government services was Justice. In 2016, 119 000 invoices were paid late by the Justice Department. In 2017, this number increased to 171 599. In two out of three cases the invoices are paid late and on average the payment takes place only after 118 days. This will provide as much as 5.8 million euros of waste. This is very damaging for the hardworking people on the ground. When court psychiatrists, translators or experts have to wait so long for their money, this is not conducive to their performance in the future and quick and correct execution on the ground. In the beginning of the reigning period additional funds were provided for Justice, EUR 100 million, to remedy these situations. At the beginning of 2016, the situation seemed to be under control, but in the meantime this seems to be anything but the case. You also said in 2016 that you were going to set up specialised offices at the judicial districts with simpler administration. The billing would take place monthly instead of by order. Minister, I would have liked to have answered the following questions. How much (additional) budget have you received since the beginning of the government period in order to eliminate the delay in payments by the FPS Justice Department? What is the outstanding amount of unpaid invoices? How come the situation was under control at some point but apparently has escalated again? Can you give an overview of the number of invoices submitted locally over the last four years and can you divide them between timely and not timely? In case of non-timeliness, can you also indicate how late these were transferred to the FPS Justice in Brussels? Can you give an overview of whose invoices are still unpaid? Are there any other actors waiting for payment besides the legal psychiatrists, translators and experts? What progress has been made on setting up specialised offices by judicial arrondissements? Are these working everywhere? What are the short-term steps or initiatives you will take to overcome this delay?
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u8	At the beginning of this year, I asked all ministers a written question concerning the timeliness or lateness of the payments they make for their creditors. I have recently received an answer from the Minister for the Budget to a number of these questions (written question No. 244). That answer shows that the FPS Justice Department is by far the worst student of the class. In 2016, the payment period was 88 days, which amounted to 118 days in 2017, a multiple of the average payment period for all FPS together. In 2016, 61.5 % of payments were made late by the Justice Department. In 2017, this increased to 69 %. In 2017, therefore, 5.8 million euros of interest was to be paid by the FPS Justice, which accounts for 89 percent of all interest that all FPS had to pay together in that year. As we know, the Justice Department has been dealing with this problem for a long time. At the beginning of this parliamentary term, this government therefore decided to remove the historical backlog in this area and paid a considerable amount of money for it, which was indeed a significant step forward. In the meantime, we can only see that the situation in the area of justice is once again seriously derailed. How come the situation has been seriously derailed again? Does this have structural causes or is it a lack of financial resources? Where exactly are the bottlenecks? What measures are you taking to remedy this? What objectives do you set yourself in this respect and within what time limit do you want to see it achieved?
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u9	Minister, the late payment of justice is a problem that has actually existed for a very long time and reappears every so often. At the beginning of the legislature you inherited a situation that was not so favourable and with extra budget you were able to rectify it. Now there are again problems, which you also confirmed a few weeks ago in an answer to an oral question. You said this was due to a lack of qualified staff, resources or knowledge of the instructions. I have the following questions for you. Can you confirm that, for procedural reasons, at least three months between the time of submission of the costs and the payment still runs? What is the state of play with regard to the budget to pay the payments? How was this budgeted last year and how much was actually spent? What is the current level of late payment? What arrondissements score bad? What plans do you have to eliminate the lack of qualified personnel? How will you improve the knowledge of the instructions? What training courses do you provide? A few weeks ago during the weekend there was a breakdown at the telephone exchange at the court of appeal in Antwerp. In the margins, it became clear that communication between the court and the prison is still carried out via fax messages. Do you think it is normal that this type of data should still be sent by fax? What solutions are currently being prepared to permanently bury the fax and by what time will they be implemented?
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u10	Like you, I have also taken note of the reply of the Minister for the Budget to the parliamentary question of 24 January 2018. These are general figures drawn from the GSP database, which, however, reflect only a partial situation for the Justice Department. The total number of invoices for Justice in 2017 was calculated at 248 774. However, no account was taken of 222 993 invoices for urgent court fees paid by the Registry and 50 000 invoices for telephone tap orders. If you count it, you will get a total of 521 000 invoices for Justice, out of a total of 1 093 000 invoices for the entire federal government. This means that the Justice Department is responsible for half of all federal invoices, in number and not in amounts. While the average time limit for the 248 774 invoices in 2017 was translated into a payment period of 118 days, the average payment period of the expense statements for urgent court fees is............................................................................................................................................................................................................................................. In addition, the statistics show 5 783 306 euros of lingering interest. These are legal interests which the court grants in the case of large claims files in which the Justice defends the Belgian State. Indeed, some very old files were completed in 2017. In 2017, the real interest rates will be only 113 000 euros. That's not at all half of the state's waste. I would like to provide you with the statistics 2015-2018 from the initial budget court fees and from the final budget. The conclusion is that, in addition to the catching-up operation, no additional funds were allocated in 2015 to eliminate the loopholes in the Justice Department. The other operations have been carried out through shifts or redistributions, either within the justice budget or through the rights of justice on interdepartmental commissions. As already in response to numerous parliamentary questions, I continue to confirm that by the end of 2015 all cost statements dating from before 1 January 2015 were paid in 2015. All known backyards were disposed of. On the date of 8 January 2018, I found that the full 100% of the available credit for 2017 was committed and paid up to the last euro. On the date of 6 March 2018, only 704 257 euros have been paid to well-known cost statements for experts with date 2017 not yet paid. Since the translators are paid locally by the Registrys and not centrally by my services, through the mechanism of urgent court fees, I cannot answer the exact question of how many are still outstanding. In 2018 2 698 795 euros were already paid to cost statements with invoice date 2017, of which 1 594 923 euros on the visa 2018. It concerns the overflow of cost statements from December, delayed cost statements transmitted or in the meantime corrected cost statements previously contested. In those circumstances talking about behind is therefore not entirely correct. This can be better qualified as the normal overflow between two budget years. So it is certainly not possible to speak of a new serious derailment. The currently unpaid cost statements from 2017 cover the following categories: laboratory investigations of 266 927 euros, medical expertise of 172 248 euros, bailiffs of 103 350 euros, mental examinations of 71 406 euros, other experts of 90 324 euros. You are right to say that the files to be forwarded by the Secretariats and Registrys may not have arrived at the central service, even if they have been identified in the accounting application, in which they should be included as soon as possible. So we need to start checking those files. There may be several reasons why a file has not yet been forwarded. This is mainly due to the fact that the magistrate was not satisfied with the report, that he did not agree with the assessment or that the file had not yet been delivered to the Registry or the Secretariat. It's the magistrates who value the expertise. There is certainly one category that is always late, namely the files of the autonomous police investigation, APO. All costs of such a file will only be sent to the court after the whole procedure, which lasts on average six months. You also asked about the statistics of the number of cost statements for urgent and non-urgent court fees in the last four years and what was paid in good time or not. I cannot give figures for the full package in 2014, because at that time only the police guards and first instance were already connected to the new accounting application and then not for the full twelve months. I'll do it from 2015. You can obtain statistics of urgent and non-urgent court expenses via the committee secretariat. Special rules apply when charging treatment periods, which vary according to the type of claim. In the SAP accounting system, public procurement is subject to payment code ZP01, giving 30 days to accept the performance and 50 days to pay the invoice. For other invoices, it is usually paid with code ZP05, giving 30 days for acceptance of the performance and 30 days for payment. In the case of court fees, acceptance of the performance and the payment process is usually a joint process with application of once thirty days. This 30-day period has also not been applied for non-urgent court fees in the GSP statistics, as they are paid immediately with the code ZP04. As a result, the 30-day deadline will expire and the theoretical delay from the identification of the costs in our budget application to the effective payment will therefore almost be the full treatment period. In a normal way, the 25,23-day payment period for the 220 000 invoices on urgent court fees in 2017 would mean much less premature payments on average. Of course, the average does not say anything about the handling of individual files, which can be much delayed. I regret that situation and have asked my administration to better manage the time limits for each dossier locally at the Registry. I have already discussed the staffing problems in the Court of First Instance in the first nine months of 2017 in previous parliamentary questions. Between 15 August and 1 October, new staff were recruited, who worked very hard during the last three months of the year to catch up. The last delaying factor was certainly the very late commitment of the terra-credits, which make up one fifth of the global loan. The Minister of Budget wrote to me with the commitment to release that envelope by trimester in 2018, so that the treatment period will not run as long as in 2017. In order to speed up the current treatment of court fees, I have already taken several measures. First, each magistrate is obliged by potpourriwet III to receive training in court fees at the IGO. Secondly, the Central Court Office has created a quality manual to standardise and improve the processing of the cost statements of translators' interpreters. The professional associations were involved and it was explained in the auditorium for more than two hundred translators-interpreters. A similar quality manual is in preparation for the reimbursement of claims. Thirdly, in the Joint Consultation Committee of 21 February 2018, the colleges of the seat and the public prosecutor were asked to send a further binding letter to encourage their services to speed up the handling of court fees and to speed up identification. Finally, the new law on court fees and the Royal Decree on the organisation of court fees are almost ready. Of course, they still have to go down the regulatory road. This new law and the Royal Decree, of course, incorporate the principle of the local court fees per district. Such an agency will consist of a valuation firm and a liquidation firm. At the end of 2017, Selor published calls for nominations of accountant. Following the screening of the curricula vitae, the first Selor test took place in the week of 12 February 2018. The second test is currently being entered in Selor's work schedule and should end on 29 March. Afterwards, the new staff will take an internship at the Central Court Office. They will then be deployed on the ground in their respective offices. Together with the digitisation of the electronic claim and e-invoicing process, currently in testing in Leuven and Mons, this should lead to even more acceptable payment periods.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u11	Thank you, Minister, for the last words. I believe that everyone is waiting for payment periods that are even more acceptable. Apparently, you have taken steps to better organise the payment of urgent and non-urgent court fees on the ground. In your answer, I'm missing one more case. How much court fees are in circulation? You said that all budget appropriations for 2017 have been committed and paid. However, court fees had to be passed on to next year, if I have followed your explanation correctly. Do I have to understand that there would be insufficient resources? Does this have to do with the fact that there is insufficient knowledge or management of court fees in circulation? Maybe I should come back to that in another question. I'll analyse your answer carefully. I understand that efforts and efforts are being made, that investments are being made to give all invoices in good time. If the submission is checked in time, timely payment can follow. I'd like to remember how much is in circulation. Maybe it'll be all right then.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u12	Mr Minister, I will read your very comprehensive answer carefully, because you can read it more quickly than I can record. However, I understand clearly that you are working on it and making efforts to make the payment period acceptable. I welcome your draft law on the treatment of court fees. Saving is basically the thread of your justice policy. I do not need to repeat that you do not find in me any supporter of saving measures at the expense of safety. When it comes to measures that can reduce interest in court costs, you can certainly count on my support for that.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u13	Minister, I can only endorse this. Thank you for your detailed answer, which I will also have to read. In my question I referred to a payment period of at least three months. I hear it's 55.23 days, so that's already reduced. I think that is a good thing; we are following up on the matter.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u14	Mr President, Minister, the written press reported last week that four prisoners of the aid prison in Leuven had collapsed, presumably following an overdose of narcotics. We have known for some time that drug use within the prison walls is a major problem. Sometimes the inmates are already addicted when they end up in prison, teaching others how to use drugs in prison themselves. One in three used drugs in prison. Last year, you and your colleague, Minister De Block, came forward with a plan of action. Some pilot projects on drug use were set up in the Hasselt, Brussels and Liège prisons. The aim is to involve and direct various local actors and actors in the welfare sector in prison policy so as to improve the rehabilitation process of the drug addict inmate. Firstly, where are you and your colleague, Minister De Block, with your plan of action? Secondly, what are the results of the pilot projects? Thirdly, what lessons will be drawn from this? Fourthly, what measures will you take in Leuven's emergency prison to prevent situations if they have occurred?
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u15	Mr President, Mrs Lambrecht, there are pilot projects in the prisons of Hasselt, Sint-Gillis and Lantin. They were started on 15 December 2017 by the FPS Public Health and are therefore still in the start-up phase. During the start-up, attention was initially paid to the integration of these projects into the regular functioning of prisons in general and to their alignment with existing medical services. For example, the prison in Saint Gillis has a specific effect that focuses on drug problems and the new player, the I-Care association, focuses on the group of drug addicts, other than the opiate dependents, who have not yet been sufficiently achieved. The bridge function of I-Care to the outside world for the sake of continuity of service is also an important point of attention. With regard to the projects in Hasselt and Lantin, the focus is on developing the screening round to better identify the nature and extent of the drug phenomenon and then to better coordinate cooperation with external services. In view of the recent start-up of the three projects, this is logically in an exploratory phase and it is premature to draw up an evaluation. Last Sunday's incident in Leuven's emergency prison was of a different order, since it was about the introduction of drugs through the outside world. This means, of course, that there are drug users within these prisons and the way in which these prisoners are succeeded is, of course, the subject of discussions within the local Working Party on Drugs. It could also be an indication that the control and security processes to prevent the presence of drugs in prison are relatively efficient.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u16	Minister, I hear there are pilot projects going on. Can I know when the first evaluation will take place?
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u17	As soon as possible, but there has to be a reasonable experience.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u18	Mr President, Minister, twenty-four students from KU Leuven have spent a semester in Leuven-Central prison thinking about just and efficient punishments. Their findings were normally handed over to you last week. The students first wondered what to expect from a punishment. Crimes must be punished; people must be discouraged from committing crimes; we must be able to live in a safer society; victims' suffering must be compensated and perpetrators supported. Those were some important goals. According to the researchers, the current system of prison sentences is unsuitable to achieve the above-mentioned goals. According to them, punishment makes people worse rather than better because of a structural lack of assistance and guidance in prisons and because of the unpredictable duration of the sentence. According to the students, one of the main causes is the uncertainty and uncertainty about the duration of the sentence for the prisoner. If an end date is immediately pricked, it is much more comfortable for the prisoner. The prisoners will then know the date from which they will be able to work on their future again, which is now rather unclear and uncertain. Another point on which students stress is that prisoners need to be accompanied much more individually, so that it is easier for them to re-integrate into society afterwards. In addition to the figures, we note that Belgium pays 124.81 euros a day for a prisoner, with 57.6 % of all convicted persons reappearing after a period of 18 years. Compared to Sweden, for example, where a prisoner costs 620 euros a day, but the relapse rate is only 14%, Belgium lags well behind. Minister, I have three questions. Firstly, do you agree with the findings of the students of KU Leuven? Secondly, what is your view of a good and just punishment? Thirdly, do you agree that the current prison system is not working properly and that something needs to change structurally?
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u19	Mrs Lambrecht, the vision text of the study project "prison punishment as a living reality" of twelve students and twelve prisoners is evidence of an intensive reflection process on a meaningful interpretation of the penalty. There is no broad social consensus on this. The students did not come up with unanimous solutions either. Whether the sentence imposed and its execution are fair is answered differently depending on whether the question is addressed to the sentenced person, the victim or his environment, or to the man in the street. Personally, I believe that a punishment should be rewarded to some extent, and in this way preventively, but that it should also have positive effects on the recovery and compensation of the victims and society, on the one hand, and on the reintegration and improvement of the offender, on the other. So these are three objectives. These objectives are also put forward by the Expert Committee on the new Criminal Code as the objectives of the punishment. Often these objectives can be better pursued by penalties other than imprisonment. The new criminal law already provides for a wide range of alternative penalties. The experts argue for the abolition of prison sentences below the year because the infringement for which a short sentence is imposed is disproportionate to the consequences for the offender. With regard to the repeated figures you mentioned, I have other data. The NICC study states that 44.1 % of prisoners are recurrent, not 57.6 %. The rate of 57.6 % was calculated on the basis of prisoners and non-convicts, for example those who committed traffic offences. One of the conclusions of the NICC's research is that the Belgian findings on repeated crime do not differ so much from the results in our neighbouring countries.
