ParlaMint-BE_2018-02-07-54-commissie-ic816x.u1	Debates of the European Parliament 21000 by Mrs Caprasse will be converted into a written question.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u2	Madam President, Madam Minister, the Think-Pink Association, which raises awareness of breast cancer screening, has been very critical of the new "femina" insurance offered by AG lnsurance, which can be contracted by women treated for breast cancer or other women-specific cancers. The criticisms made relate to the conditions of access to cancer, as people at greatest risk of cancer do not have access to it, such as women over 50 years of age or those who have already been diagnosed with cancer. In addition, the Think-Pink representatives believe that such insurance contributes to the privatization of health and undermines the very principle of social security. Madam Minister, the press has told us that your office initially refused to react because it did not have sufficient information on this insurance. Have you been able to find out since then? What is your view of it and the criticisms made about it? In view of the conditions imposed, do you not consider that this insurance can be a source of discrimination and represent a commodification of health? Is there any agreement with your colleague Mr Peeters in this context?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u3	Mr Senesael, this is a matter for my colleague the Minister for Economic Affairs. You're saying I didn't react, but that's not true. I responded to this information, saying that this risk selection was not acceptable. In any case, it is my colleague Minister for the Economy who can intervene in the event that the insurance policy, to which you refer, violates the anti-discrimination law. In response to a question from Ms Jiroflée, in plenary session on 5 October, Minister Kris Peeters said that he had asked the Autorité des services et marchés financiers (FSMA), the supervisory body of the insurance sector, to analyse the product as quickly as possible. I advise you to turn to him for information on this matter. In addition, the premium that can be paid for a diagnosis of breast cancer is not used to reimburse medical expenses. This insurance product, which I think is quite dangerous and selective, does not receive my agreement.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u4	Mr Senesael, before giving you the floor for your reply, I would like to know from the Minister whether she wishes to stick to an end-hour.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u5	Madam President, I have to be present at another meeting at 6:00 p.m., so I can stay here until 5:00 p.m.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u6	I give the floor to Mr Senesael for his reply.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u7	Madam Minister, thank you for your answer. I fully share your point of view. I apologize, I didn't see your reaction at the time. I would like to ask your colleague Mr Peeters about his attitude in this area.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u8	Mr Terwingen and Mr Blanchart are not yet here to ask their questions. Maybe they'll show up in the afternoon. Merged Questions No. Mr Frédéric's 21598 and Mrs Caprasse's 23226 and 23227 have been postponed. The next item on the agenda is a question from myself.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u9	Madam Secretary, according to scientific evidence, clinical evolution after a stroke has been achieved about a year. Patients usually show enormous progress in the first year, followed by complete stagnation. Logopedists, however, have informed me that logo therapy would be eligible for reimbursement until after one year after a CVA. My question is whether this refund has been substantiated. Wouldn't it make more sense to limit the refund to one year after the CVA? What is your position on the matter?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u10	Ms Van Camp, in April 2017, a limited reform of the nomenclature was carried out, reducing the number of sessions for the disorder aphasia from a maximum of 480 to a maximum of 288 treatment sessions, based on evidence-based criteria. When changing the maximum number of sessions, it was not considered appropriate to reduce the maximum duration of treatment. This was taken in 2006 by my predecessor from two to four years. The new agreement for the period 2018-2019, concluded between the logopedists and the insurance institutions, provides for a comprehensive reform of the nomenclature "Article 36 of the logopedic benefits in kind' to be developed on the basis of evidence-based practical criteria. There is a working group which will carry out a critical analysis per pathology and propose the necessary reforms.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u11	Madam Minister, it is good to hear that working groups are considering the issue and finding out how the directives and the corresponding refunds can be further aligned with scientific evidence.
